date,open,high,low,close,volume
2025-03-27,35.11000,35.30000,34.77000,34.93000,173600
2025-03-28,35.12000,35.27000,34.87000,35.25000,263600
2025-03-31,35.30000,35.67000,35.20000,35.45000,318800
2025-04-01,35.52000,35.82000,35.16000,35.55000,324000
2025-04-02,35.35000,35.77000,35.01000,35.32000,291800
2025-04-03,35.29000,36.11000,35.20000,35.40000,375700
2025-04-04,35.01000,35.75000,34.50000,34.69000,481200
2025-04-07,33.85000,34.92000,33.01000,33.53000,571200
2025-04-08,34.02000,34.39000,32.47000,32.83000,366800
2025-04-09,32.38000,34.31000,31.70000,33.86000,558900
2025-04-10,33.75000,34.45000,33.25000,33.70000,322200
2025-04-11,33.76000,34.31000,33.20000,34.07000,315100
2025-04-14,34.22000,34.89000,34.11000,34.65000,239200
2025-04-15,34.67000,35.12000,34.56000,34.96000,432000
2025-04-16,35.05000,35.42000,34.86000,35.29000,267900
2025-04-17,35.10000,35.83000,35.10000,35.75000,289300
2025-04-21,35.53000,35.98000,35.20000,35.55000,347300
2025-04-22,35.75000,36.22000,35.43000,36.10000,335800
2025-04-23,36.04000,36.39000,35.41000,35.52000,303700
2025-04-24,35.59000,35.59000,35.25000,35.52000,203700
2025-04-25,35.45000,35.56000,34.95000,35.41000,172500
2025-04-28,35.40000,35.61000,35.04000,35.48000,360500
2025-04-29,35.32000,35.75000,35.31000,35.54000,296200
2025-04-30,35.55000,35.96000,35.24000,35.87000,290000
2025-05-01,35.68000,35.99000,35.42000,35.71000,214000
2025-05-02,35.97000,36.00000,35.24000,35.25000,403700
2025-05-05,35.38000,35.51000,34.58000,34.58000,582400
2025-05-06,34.98000,35.87000,34.11000,35.79000,523300
2025-05-07,35.99000,36.99000,35.91000,36.24000,503300
2025-05-08,36.24000,36.51000,35.70000,35.82000,255800
2025-05-09,35.77000,36.03000,35.42000,35.90000,247800
2025-05-12,36.10000,36.40000,35.47000,35.50000,306100
2025-05-13,35.67000,35.76000,35.23000,35.56000,352900
2025-05-14,35.36000,35.42000,34.75000,35.04000,332700
2025-05-15,35.28000,35.70000,35.26000,35.46000,385600
2025-05-16,35.49000,36.00000,35.49000,35.99000,279900
2025-05-19,35.97000,36.14000,35.85000,36.14000,342200
2025-05-20,36.08000,36.20000,35.90000,35.94000,244300
2025-05-21,35.78000,35.92000,35.15000,35.34000,266600
2025-05-22,35.19000,35.37000,34.76000,34.85000,306100
2025-05-23,34.85000,35.38000,34.78000,35.28000,334100
2025-05-27,35.45000,35.86000,35.32000,35.67000,387800
2025-05-28,35.67000,35.68000,34.97000,35.20000,256700
2025-05-29,35.10000,35.57000,35.10000,35.37000,254700
2025-05-30,35.29000,35.72000,35.22000,35.39000,325400
2025-06-02,35.25000,35.75000,35.13000,35.27000,374300
2025-06-03,35.34000,35.60000,34.82000,35.07000,248800
2025-06-04,34.95000,35.33000,34.85000,34.89000,234100
2025-06-05,34.89000,34.99000,34.55000,34.84000,253000
2025-06-06,34.99000,35.22000,34.84000,34.93000,216000
2025-06-09,34.85000,35.12000,34.53000,34.99000,249600
2025-06-10,35.09000,35.34000,34.88000,35.26000,347300
2025-06-11,35.31000,35.66000,35.22000,35.53000,409100
2025-06-12,35.47000,35.76000,35.34000,35.57000,328100
2025-06-13,35.59000,35.64000,34.95000,35.10000,245400
2025-06-16,35.16000,35.50000,34.65000,34.75000,325400
2025-06-17,34.75000,35.21000,34.62000,35.07000,256700
2025-06-18,35.11000,35.44000,34.88000,35.33000,319500
2025-06-20,35.21000,35.42000,34.78000,34.97000,454200
2025-06-23,35.00000,35.46000,34.98000,35.42000,293300
2025-06-24,35.58000,35.58000,35.14000,35.18000,368500
2025-06-25,35.05000,35.16000,34.58000,34.59000,374100
2025-06-26,34.75000,35.09000,34.48000,34.82000,285800
2025-06-27,34.88000,34.98000,34.44000,34.51000,458800
2025-06-30,34.55000,34.68000,34.20000,34.61000,355500
2025-07-01,34.87000,35.14000,34.55000,34.68000,346100
2025-07-02,34.60000,35.20000,34.47000,35.20000,344500
2025-07-03,35.21000,35.49000,35.16000,35.33000,167200
2025-07-07,35.38000,35.66000,35.10000,35.20000,354200
2025-07-08,35.10000,35.42000,34.90000,35.26000,325600
