date,open,high,low,close,volume
2022-11-01,81.35000,82.10000,80.45000,81.00000,4935859
2022-11-02,81.00000,81.30000,79.10000,79.40000,5073264
2022-11-03,79.00000,82.95000,78.75000,82.35000,11853353
2022-11-04,82.80000,83.10000,81.40000,81.75000,5260659
2022-11-07,82.20000,83.30000,82.00000,82.50000,4940270
2022-11-09,82.70000,84.15000,82.15000,82.50000,6513542
2022-11-10,82.50000,84.50000,80.30000,80.75000,8570493
2022-11-11,82.10000,82.50000,81.20000,81.60000,4676426
2022-11-14,81.65000,83.70000,81.00000,83.00000,5911809
2022-11-15,83.10000,83.40000,82.05000,83.05000,3871067
2022-11-16,83.00000,84.45000,82.20000,82.80000,11277056
2022-11-17,82.55000,83.10000,80.10000,80.95000,7658827
2022-11-18,81.05000,81.40000,79.80000,80.75000,5111020
2022-11-21,80.70000,81.15000,80.00000,80.50000,3695431
2022-11-22,80.85000,81.30000,80.10000,81.00000,5496783
2022-11-23,81.05000,82.60000,80.90000,82.10000,6457341
2022-11-24,82.15000,83.30000,82.10000,82.40000,5365670
2022-11-25,82.85000,87.45000,82.55000,86.90000,23427873
2022-11-28,87.40000,90.35000,87.00000,88.75000,21715643
2022-11-29,88.75000,89.45000,87.00000,87.15000,7057278
2022-11-30,87.15000,88.30000,86.65000,87.00000,6407760
2022-12-01,87.70000,89.20000,87.10000,88.40000,8499483
2022-12-02,88.40000,92.25000,88.15000,91.35000,28502730
2022-12-05,92.10000,93.90000,91.80000,93.30000,20689507
2022-12-06,93.40000,95.00000,92.55000,93.90000,12988090
2022-12-07,93.90000,94.40000,91.50000,93.85000,10516070
2022-12-08,94.00000,94.90000,93.35000,93.95000,7191657
2022-12-09,94.30000,94.65000,90.50000,92.00000,9290608
2022-12-12,91.90000,92.85000,90.40000,92.60000,8457938
2022-12-13,93.00000,93.45000,92.30000,92.90000,4918578
2022-12-14,92.50000,94.20000,92.40000,93.05000,7911903
2022-12-15,93.15000,96.35000,92.90000,93.50000,21279881
2022-12-16,93.10000,94.30000,90.15000,91.45000,10096447
2022-12-19,91.80000,93.60000,90.55000,93.10000,7989647
2022-12-20,93.05000,93.05000,90.05000,91.45000,6338956
2022-12-21,91.90000,92.60000,88.15000,88.70000,9833327
2022-12-22,89.00000,90.00000,86.55000,87.35000,8103801
2022-12-23,86.50000,86.75000,81.90000,82.40000,9697616
2022-12-26,82.00000,85.20000,81.40000,84.70000,6226483
2022-12-27,85.40000,85.85000,83.85000,85.40000,5079388
2022-12-28,85.00000,86.75000,84.65000,86.00000,5601560
2022-12-29,85.95000,86.30000,83.50000,85.70000,6807208
2022-12-30,86.30000,88.35000,86.30000,87.25000,6473689
2023-01-02,87.75000,90.20000,87.30000,89.85000,6250716
2023-01-03,90.00000,91.15000,89.25000,90.40000,8123105
2023-01-04,90.75000,91.20000,87.55000,88.50000,5641858
2023-01-05,89.00000,89.10000,87.35000,88.60000,6161579
2023-01-06,88.65000,89.00000,85.80000,86.90000,5242985
2023-01-09,87.55000,92.05000,87.25000,91.45000,14274639
2023-01-10,92.00000,92.95000,90.90000,91.90000,14349774
2023-01-11,92.15000,93.35000,90.85000,92.40000,9409863
2023-01-12,92.85000,92.85000,90.00000,90.95000,7763857
2023-01-13,91.35000,92.90000,90.60000,92.45000,6822607
2023-01-16,92.25000,98.30000,92.00000,95.15000,57962493
2023-01-17,95.30000,95.65000,93.00000,95.25000,12030242
2023-01-18,95.75000,95.75000,94.15000,95.25000,5281930
2023-01-19,95.00000,96.40000,94.30000,95.85000,7835545
2023-01-20,96.10000,96.65000,94.10000,94.70000,6707802
2023-01-23,95.10000,95.50000,93.15000,93.55000,5162822
2023-01-24,93.65000,94.20000,88.50000,90.60000,21783548
2023-01-25,90.60000,90.70000,88.70000,89.30000,8634902
2023-01-27,89.50000,90.20000,86.10000,87.45000,9005335
2023-01-30,87.95000,88.90000,85.10000,86.40000,5374638
2023-01-31,87.00000,89.35000,86.30000,88.90000,6595423
