date,open,high,low,close,volume
2016-02-01,126.81705,127.97547,122.70159,125.53669,1935263
2016-02-02,125.81105,129.07294,124.01244,126.90851,1241852
2016-02-03,124.43923,127.73160,120.17135,121.72607,1239232
2016-02-04,122.39674,126.75608,121.93947,122.61014,1439048
2016-02-05,123.15887,124.19535,117.82401,121.32977,2600859
2016-02-08,121.26881,126.45123,120.32378,125.75008,1298424
2016-02-09,123.89050,127.27432,122.48820,123.76856,1104211
2016-02-10,123.58566,125.32330,121.20783,122.73208,777298
2016-02-11,121.05541,124.80505,115.35474,116.81802,1998468
2016-02-12,116.93996,119.50068,105.53861,118.12886,3114112
2016-02-15,118.28129,129.92651,118.28129,126.35978,1489807
2016-02-16,125.29281,127.18287,123.06741,124.37826,1075069
2016-02-17,124.37826,129.40826,121.32977,128.03644,1108636
2016-02-18,128.03644,131.99948,125.93299,130.04845,2012067
2016-02-19,128.15839,132.73111,127.18287,131.78609,1415349
2016-02-22,130.47523,133.82857,130.47523,132.67015,650058
2016-02-23,131.69463,132.24336,126.99996,127.60966,974716
2016-02-24,126.75608,126.75608,121.93947,124.13438,1715541
2016-02-25,124.22584,125.44523,120.59814,122.94547,4443250
2016-02-26,124.80505,125.65862,121.02493,122.54917,870335
2016-02-29,124.19535,128.64615,120.78104,125.68911,2525471
2016-03-01,125.68911,133.09694,124.65263,131.05444,2001998
2016-03-02,131.84705,143.09596,131.84705,141.23639,2640081
2016-03-03,140.23039,141.44978,138.06596,140.35233,810198
2016-03-04,140.10846,148.09549,136.05397,146.93706,1272695
2016-03-08,147.48579,147.54675,138.34033,139.62070,1560354
2016-03-09,139.62070,142.66917,138.27936,141.51076,1242006
2016-03-10,141.44978,142.63870,137.85257,139.10245,729419
2016-03-11,139.01100,143.88858,138.76712,139.55972,2552748
2016-03-14,139.86458,142.05948,139.25488,140.44379,923228
2016-03-15,140.68767,141.14494,135.74911,137.05997,2070735
2016-03-16,136.02348,141.69366,133.58469,140.38281,1896521
2016-03-17,141.69366,144.19342,140.65718,142.82161,1269055
2016-03-18,141.75464,145.10797,140.53525,144.04100,904515
2016-03-21,145.38234,147.54675,143.33984,146.51027,1355521
2016-03-22,146.87610,147.24191,144.19342,146.66270,1454565
2016-03-23,146.81512,147.02852,144.92506,146.23592,700431
2016-03-28,146.23592,147.36385,143.82761,144.58972,1145159
2016-03-29,145.65669,145.99203,141.75464,142.33385,699325
2016-03-30,143.27888,147.54675,141.75464,146.93706,1209888
2016-03-31,146.93706,155.47282,142.54724,148.79665,5983294
2016-04-01,149.49779,151.81464,146.14445,148.00403,1287676
2016-04-04,148.76616,150.53427,146.99803,148.00403,848722
2016-04-05,148.64421,148.91858,143.73615,144.34586,2302060
2016-04-06,144.34586,146.60173,140.99251,142.54724,4752961
2016-04-07,143.15694,149.89409,142.36433,148.12598,6915463
2016-04-08,149.37585,152.11949,147.33336,151.17445,3738756
2016-04-11,150.65622,151.54028,148.79665,150.32088,1687438
2016-04-12,149.37585,161.32593,149.10149,158.42986,4048510
2016-04-13,160.59428,167.45338,159.49683,165.80719,3193443
2016-04-18,165.22798,171.59932,162.17950,169.86168,2719978
2016-04-20,170.71526,171.02011,162.88065,164.22198,5968497
2016-04-21,164.31343,166.38641,160.25896,160.92961,1991122
2016-04-22,159.00906,169.49586,159.00906,168.09357,3567348
2016-04-25,176.81224,183.76279,172.14806,181.47643,20964394
2016-04-26,180.01314,185.92722,178.24503,184.64685,7065953
2016-04-27,183.42744,191.74982,183.03114,186.99419,6367590
2016-04-28,185.95769,187.17709,181.14108,183.00066,8112500
2016-04-29,182.29951,184.18958,180.19606,182.90921,2835623
2016-05-02,182.84824,192.93874,181.20206,190.13412,4271484
2016-05-03,191.96321,192.66437,186.93321,188.91472,2636284
2016-05-04,190.10364,191.07915,186.26254,187.51242,1733830
2016-05-05,189.00618,189.98169,181.81175,184.43346,1648578
2016-05-06,183.82375,187.90872,182.29951,184.73830,2214047
2016-05-09,185.89673,186.53691,183.88472,185.50043,1259934
2016-05-10,186.99419,189.31104,177.60484,182.26903,8224201
2016-05-11,177.42194,183.88472,177.42194,182.90921,6016837
2016-05-12,185.31750,185.31750,180.50090,182.14708,1273421
2016-05-13,181.38496,184.03714,179.40344,183.09212,3101491
2016-05-16,183.21405,185.04315,180.86671,181.96417,2308694
2016-05-17,182.33000,183.33600,178.76326,180.77527,2796748
2016-05-18,179.86072,183.30551,179.28151,182.75679,1429414
2016-05-19,183.51891,189.58539,177.72678,179.09860,3598124
2016-05-20,179.92169,183.73230,178.73277,180.22653,1651248
2016-05-23,181.38496,182.90921,178.21454,179.49490,1639139
2016-05-24,179.89120,186.26254,179.86072,185.50043,2019856
2016-05-25,187.17709,189.00618,185.95769,188.15260,2225267
2016-05-26,189.49394,197.08467,189.06715,194.70685,5138611
2016-05-27,196.01770,200.37703,195.43849,198.06018,1969546
2016-05-30,198.02971,201.47449,196.29207,199.85880,1240720
2016-05-31,199.73685,202.75485,194.34103,196.04819,3747954
2016-06-01,196.87128,199.18813,195.34703,197.81630,1145330
2016-06-02,199.15764,199.15764,193.33504,196.13963,1915822
2016-06-03,197.96873,205.77286,197.84679,199.91977,4014729
2016-06-06,200.25510,203.45601,198.24310,200.10268,2360093
2016-06-07,201.01721,203.48650,200.31607,201.50497,1792973
2016-06-08,201.50497,208.02873,200.31607,206.96176,2248408
2016-06-09,208.48601,208.48601,200.68188,201.38304,1831298
2016-06-10,201.44400,203.24261,199.43201,199.88928,1749115
2016-06-13,198.21262,199.37103,195.71284,198.73085,882938
2016-06-14,198.21262,199.95024,196.87128,197.57243,643078
2016-06-15,197.96873,199.82831,196.96274,198.09067,1001396
2016-06-16,197.81630,198.39552,189.06715,190.68285,1449611
2016-06-17,190.71333,191.87177,183.82375,188.33551,2646950
2016-06-20,187.48193,195.59091,186.01866,194.70685,3178344
2016-06-21,196.50546,198.45650,195.95673,196.62740,1807144
2016-06-22,197.08467,197.81630,192.66437,194.76782,1367140
2016-06-23,195.01170,195.49945,192.54242,194.98122,885572
2016-06-24,186.38448,190.83527,180.47041,188.00018,2877634
2016-06-27,185.04315,194.18861,185.04315,190.92673,3269746
2016-06-28,191.81079,192.96921,188.70132,189.34151,2235125
2016-06-29,189.58539,199.37103,189.12811,195.74333,4113945
2016-06-30,196.93225,205.37656,195.83479,203.73038,4745790
2016-07-01,206.56546,219.30814,205.46800,216.44257,6702289
2016-07-04,217.66196,219.46057,213.45505,214.09523,3445463
2016-07-05,213.45505,216.74741,211.10771,216.04626,2365434
2016-07-07,216.74741,217.47905,212.78438,213.39407,1757581
2016-07-08,213.82086,217.17419,211.68692,216.07674,1915635
2016-07-11,218.27165,222.23468,216.86935,219.27765,3635769
2016-07-12,221.07626,221.07626,216.53401,218.05826,1086922
2016-07-13,217.78389,217.78389,208.51649,210.92480,2672947
2016-07-14,207.84583,207.84583,201.62692,202.38904,2797940
2016-07-15,203.60843,204.24861,195.25558,196.13963,3548112
2016-07-18,198.09067,202.38904,196.20061,200.49898,3787392
2016-07-19,202.84631,203.27310,194.06667,196.13963,3569052
2016-07-20,195.59091,198.88329,191.87177,192.72533,9158589
2016-07-21,192.66437,196.62740,191.20110,192.87776,2279355
2016-07-22,192.35951,203.88280,184.79927,192.99969,12517730
2016-07-25,185.34799,197.69437,182.75679,195.59091,9503218
2016-07-26,195.40800,197.23709,190.22557,191.62788,4609014
2016-07-27,191.74982,196.62740,187.60388,195.62140,3741667
2016-07-28,195.07266,199.31006,194.52394,195.74333,6887907
2016-07-29,196.29207,205.92528,196.29207,201.65739,5512475
2016-08-01,203.63892,209.61395,199.98073,207.78487,5484202
2016-08-02,209.73589,210.31511,203.21213,205.86432,3251286
2016-08-03,206.07771,208.51649,196.23109,197.17613,2990739
2016-08-04,197.69437,200.80382,195.10315,198.39552,1941340
2016-08-05,198.54794,204.12668,198.54794,203.39503,1894703
2016-08-08,203.63892,205.34607,200.83430,204.43152,1879158
2016-08-09,204.00473,205.19365,198.15164,204.30959,1985813
2016-08-10,203.51698,206.99225,198.97473,200.25510,2928082
2016-08-11,200.28558,201.74886,194.09715,197.96873,2651672
2016-08-12,197.78583,202.26711,196.99321,199.06619,1319216
2016-08-16,199.37103,201.13916,196.99321,199.24910,1152071
2016-08-17,199.34055,205.13268,198.02971,204.27910,2719714
2016-08-18,205.43753,206.26062,202.84631,204.06570,1405343
2016-08-19,204.06570,207.51050,203.54747,205.55946,2034207
2016-08-22,206.07771,207.41904,202.05371,204.15717,1183587
2016-08-23,204.12668,204.46201,198.94424,201.71837,1512904
2016-08-24,201.50497,203.27310,199.55394,202.26711,1601351
2016-08-25,202.60243,206.56546,200.49898,202.38904,1940748
2016-08-26,202.66341,205.04121,201.20013,202.23662,1620932
2016-08-29,202.41953,213.33310,201.62692,212.02226,5412983
2016-08-30,213.39407,215.77190,211.83934,214.97929,5035499
2016-08-31,215.83287,219.85687,215.52802,217.20468,3812017
2016-09-01,217.60098,220.52753,214.46104,215.49753,1985978
2016-09-02,215.83287,216.38159,212.51001,214.46104,1278988
2016-09-06,214.61346,219.24718,213.69893,218.24117,1354316
2016-09-07,218.27165,219.76541,216.19868,216.80838,1324025
2016-09-08,216.04626,226.50256,216.04626,221.74693,3154904
2016-09-09,222.29565,223.14923,214.24765,214.97929,1503539
2016-09-12,207.29710,210.74190,205.04121,205.92528,1501951
2016-09-14,205.19365,208.82135,202.38904,208.45552,4128735
2016-09-15,208.51649,208.88231,204.43152,206.32158,2084191
2016-09-16,208.45552,218.39360,207.72389,210.52850,4890536
2016-09-19,210.07123,211.90031,207.90680,209.73589,1691171
2016-09-20,210.95529,210.95529,203.94377,204.58395,2968159
2016-09-21,206.07771,211.26013,205.25461,210.16267,3737577
2016-09-22,212.32710,219.79590,212.17468,218.97281,3120864
2016-09-23,220.55801,220.55801,214.73541,215.58899,2837857
2016-09-26,214.49153,219.03378,212.75389,216.16820,1178515
2016-09-27,217.63147,217.93633,213.15019,214.70493,2448116
2016-09-28,214.49153,218.05826,213.63795,217.14371,1805746
2016-09-29,218.27165,223.39311,214.00377,215.25365,8647715
2016-09-30,213.39407,226.47208,213.39407,222.11275,3602716
2016-10-03,226.68547,236.31870,223.30165,235.09930,5375296
2016-10-04,236.59306,246.86646,228.02681,232.29469,5348435
2016-10-05,233.81894,234.12378,229.33766,231.04482,2514508
2016-10-06,232.23372,238.30022,228.72797,230.61803,4303316
2016-10-07,230.37415,233.84943,229.91687,232.23372,2545920
2016-10-10,234.27621,235.19075,229.36815,231.16675,2763054
2016-10-13,231.13626,231.13626,221.71645,225.43559,2546919
2016-10-14,226.16724,227.02081,221.56403,226.07578,3361610
2016-10-17,227.29518,227.29518,212.63196,213.85135,3378628
2016-10-18,214.36960,221.74693,211.26013,220.28366,3777543
2016-10-19,220.71045,222.96632,216.96080,219.33862,5000375
2016-10-20,219.24718,222.41760,217.02177,220.37511,2660006
2016-10-21,220.89336,222.53954,217.99728,220.89336,1985663
2016-10-24,221.62498,221.62498,216.62547,217.72293,1338513
2016-10-25,215.89383,219.64348,215.89383,217.08275,2506071
2016-10-26,211.86983,232.63002,211.86983,221.25917,15304832
2016-10-27,221.59450,226.80742,220.98480,222.50905,5394094
2016-10-28,224.06378,224.06378,219.88736,220.64948,1489227
2016-11-01,219.61299,221.25917,214.61346,215.43655,1305859
2016-11-02,214.24765,217.17419,210.34558,213.91232,2065813
2016-11-03,213.69893,219.24718,212.51001,213.66844,2506961
2016-11-04,214.24765,216.01578,206.07771,208.21164,1728626
