date,open,high,low,close,volume
2023-10-03,614.95001,615.04999,603.54999,604.95001,168694
2023-10-04,604.00000,617.90002,595.54999,599.40002,244372
2023-10-05,606.65002,620.70001,601.04999,605.20001,212520
2023-10-06,605.20001,612.59998,596.04999,598.75000,200338
2023-10-09,582.20001,626.40002,578.04999,620.50000,553913
2023-10-10,622.79999,627.50000,609.54999,616.90002,264883
2023-10-11,620.00000,657.75000,615.04999,650.00000,666783
2023-10-12,645.00000,682.50000,645.00000,675.34998,616540
2023-10-13,671.00000,672.45001,662.34998,664.54999,161827
2023-10-16,657.25000,695.45001,644.00000,679.00000,514189
2023-10-17,680.00000,688.90002,672.34998,676.59998,173732
2023-10-18,676.00000,685.95001,660.04999,681.04999,252174
2023-10-19,684.00000,684.00000,670.50000,677.59998,144037
2023-10-20,669.04999,686.40002,663.00000,666.84998,194369
2023-10-23,666.84998,686.00000,635.70001,667.54999,451008
2023-10-25,665.00000,672.95001,633.09998,648.45001,317396
2023-10-26,644.40002,689.90002,628.00000,681.90002,387330
2023-10-27,685.00000,712.59998,674.65002,691.65002,313995
2023-10-30,688.79999,699.00000,677.29999,689.54999,442798
2023-10-31,696.00000,720.00000,690.04999,717.50000,366809
2023-11-01,713.50000,722.90002,699.34998,709.15002,549750
2023-11-02,720.00000,731.84998,693.54999,727.09998,802353
2023-11-03,729.50000,745.70001,722.70001,735.70001,495243
2023-11-06,745.00000,754.90002,736.00000,745.40002,353701
2023-11-07,750.00000,817.79999,745.25000,801.40002,2014378
2023-11-08,799.45001,799.45001,780.09998,785.00000,409201
2023-11-09,792.00000,823.90002,788.45001,807.95001,614786
2023-11-10,804.04999,816.59998,792.54999,804.29999,225179
2023-11-13,805.00000,827.00000,800.00000,824.59998,362765
2023-11-15,834.00000,878.25000,828.00000,852.45001,755864
2023-11-16,856.79999,874.15002,850.45001,864.50000,276289
2023-11-17,859.90002,900.04999,855.50000,896.45001,373975
2023-11-20,905.40002,929.00000,897.90002,922.84998,287091
2023-11-21,910.00000,941.79999,875.70001,912.45001,364710
2023-11-22,912.00000,938.95001,884.15002,901.40002,290496
2023-11-23,901.40002,927.00000,900.00000,921.50000,217295
2023-11-24,920.04999,937.09998,914.00000,921.79999,109950
2023-11-28,921.00000,922.79999,892.54999,902.29999,207044
2023-11-29,900.25000,920.00000,895.59998,910.90002,100591
2023-11-30,917.90002,984.75000,901.00000,972.70001,558861
2023-12-01,975.00000,1015.00000,975.00000,1001.59998,315293
