date,open,high,low,close,volume
2023-10-03,1338.55005,1343.69995,1313.55005,1332.44995,52783
2023-10-04,1327.09998,1329.15002,1301.05005,1313.25000,39497
2023-10-05,1310.00000,1328.94995,1278.00000,1292.80005,98276
2023-10-06,1293.44995,1311.00000,1285.59998,1298.90002,170334
2023-10-09,1284.90002,1311.40002,1276.05005,1289.15002,71792
2023-10-10,1287.75000,1303.50000,1271.65002,1281.69995,38111
2023-10-11,1280.50000,1307.94995,1272.75000,1294.09998,42248
2023-10-12,1305.90002,1307.34998,1285.00000,1293.69995,24733
2023-10-13,1297.90002,1298.00000,1274.00000,1276.90002,41386
2023-10-16,1279.00000,1306.90002,1262.05005,1275.25000,78929
2023-10-17,1277.65002,1305.00000,1277.00000,1295.75000,77195
2023-10-18,1296.90002,1310.19995,1272.00000,1283.15002,72465
2023-10-19,1284.69995,1329.50000,1270.65002,1319.25000,152787
2023-10-20,1315.09998,1330.00000,1300.25000,1311.09998,44009
2023-10-23,1308.90002,1349.90002,1283.55005,1297.40002,100135
2023-10-25,1298.59998,1319.19995,1285.00000,1294.94995,142129
2023-10-26,1294.84998,1304.84998,1247.94995,1269.80005,208679
2023-10-27,1269.94995,1297.00000,1269.94995,1283.05005,35911
2023-10-30,1284.15002,1315.40002,1275.55005,1285.84998,73479
2023-10-31,1291.69995,1314.44995,1282.00000,1292.15002,375082
2023-11-01,1267.09998,1315.00000,1256.25000,1295.15002,327765
2023-11-02,1293.69995,1313.84998,1292.00000,1304.59998,812974
2023-11-03,1304.90002,1311.15002,1298.25000,1302.65002,38068
2023-11-06,1321.69995,1321.69995,1300.00000,1304.59998,39291
2023-11-07,1304.05005,1320.00000,1300.00000,1311.59998,46279
2023-11-08,1316.00000,1364.50000,1316.00000,1338.19995,160812
2023-11-09,1332.59998,1344.55005,1320.25000,1333.55005,46546
2023-11-10,1332.44995,1336.09998,1320.50000,1332.69995,30812
2023-11-13,1348.00000,1348.00000,1330.50000,1340.25000,25850
2023-11-15,1340.25000,1355.00000,1314.05005,1347.94995,161477
2023-11-16,1346.84998,1346.84998,1315.19995,1328.19995,48484
2023-11-17,1338.90002,1338.90002,1292.05005,1304.80005,68363
2023-11-20,1302.65002,1311.69995,1272.00000,1289.19995,142551
2023-11-21,1285.00000,1302.65002,1283.25000,1297.50000,304324
2023-11-22,1303.84998,1324.40002,1289.75000,1301.30005,63095
2023-11-23,1304.30005,1310.00000,1290.00000,1304.75000,1052777
2023-11-24,1308.90002,1359.00000,1301.19995,1344.34998,285045
2023-11-28,1360.00000,1420.00000,1360.00000,1406.55005,486545
2023-11-29,1420.00000,1426.05005,1381.34998,1394.94995,339781
2023-11-30,1392.90002,1399.00000,1360.00000,1370.44995,558892
2023-12-01,1370.50000,1399.00000,1356.59998,1391.75000,775656
2023-12-04,1404.00000,1428.00000,1387.00000,1396.15002,79142
2023-12-05,1399.90002,1444.84998,1387.05005,1432.55005,293873
2023-12-06,1448.80005,1454.05005,1426.59998,1438.50000,224687
2023-12-07,1438.50000,1464.00000,1427.05005,1457.65002,586071
2023-12-08,1457.65002,1487.90002,1442.00000,1458.75000,187910
2023-12-11,1458.75000,1474.69995,1422.00000,1434.19995,122921
2023-12-12,1434.19995,1435.00000,1356.05005,1368.15002,149828
2023-12-13,1372.30005,1406.69995,1345.94995,1376.25000,590742
2023-12-14,1383.00000,1385.05005,1331.69995,1338.94995,478421
2023-12-15,1350.00000,1359.50000,1319.65002,1330.94995,175028
2023-12-18,1339.94995,1380.00000,1335.40002,1371.19995,120772
2023-12-19,1380.00000,1382.30005,1341.00000,1347.69995,113652
2023-12-20,1359.50000,1362.40002,1288.94995,1296.15002,193080
2023-12-21,1295.90002,1304.00000,1266.09998,1295.94995,267687
2023-12-22,1307.90002,1309.90002,1251.80005,1278.34998,171175
2023-12-26,1290.00000,1294.90002,1277.00000,1281.94995,52963
2023-12-27,1282.00000,1293.90002,1263.05005,1266.44995,85107
2023-12-28,1271.44995,1275.69995,1251.09998,1261.09998,155921
