date,open,high,low,close,volume
2016-02-04,37.09000,37.36000,36.27000,36.77000,266200
2016-02-05,36.51000,37.32000,35.14000,35.19000,248600
2016-02-08,34.89000,35.31000,33.85000,35.12000,415400
2016-02-09,34.72000,35.60000,34.52000,35.22000,231100
2016-02-10,35.50000,36.39000,35.28000,35.36000,223700
2016-02-11,34.77000,35.38000,34.70000,35.17000,244800
2016-02-12,35.79000,35.94000,34.76000,35.41000,235000
2016-02-16,36.00000,36.86000,35.81000,36.47000,227400
2016-02-17,36.86000,37.42000,36.55000,36.77000,291700
2016-02-18,36.83000,37.67000,36.69000,37.22000,242000
2016-02-19,37.00000,37.18000,36.41000,36.66000,346300
2016-02-22,36.96000,37.19000,35.15000,35.48000,623200
2016-02-23,35.23000,36.07000,34.67000,35.46000,695700
2016-02-24,35.00000,38.35000,33.03000,37.50000,1521200
2016-02-25,37.35000,38.65000,36.38000,38.55000,393700
2016-02-26,39.48000,39.48000,38.70000,38.75000,326600
2016-02-29,38.66000,38.74000,37.80000,37.84000,353000
2016-03-01,38.27000,38.63000,37.70000,38.26000,270400
2016-03-02,38.27000,38.27000,37.57000,38.01000,345800
2016-03-03,38.08000,38.24000,37.49000,38.18000,262300
2016-03-04,38.07000,38.59000,37.86000,38.38000,226300
2016-03-07,38.30000,39.01000,38.13000,38.50000,258700
2016-03-08,38.40000,39.04000,38.08000,38.12000,253800
2016-03-09,38.31000,38.31000,37.61000,37.88000,131800
2016-03-10,38.05000,38.05000,37.16000,37.52000,175300
2016-03-11,37.92000,38.76000,37.57000,38.73000,235800
2016-03-14,38.72000,39.53000,37.30000,39.27000,359400
2016-03-15,39.16000,39.63000,38.80000,38.98000,384000
2016-03-16,38.96000,39.51000,38.68000,39.09000,364900
2016-03-17,38.94000,39.09000,37.91000,38.66000,246400
2016-03-18,38.84000,40.23000,38.17000,39.84000,654900
2016-03-21,39.81000,40.21000,39.42000,40.02000,360700
2016-03-22,39.93000,40.23000,39.88000,39.96000,294700
2016-03-23,39.95000,40.17000,39.78000,39.83000,393400
2016-03-24,39.67000,39.87000,39.24000,39.58000,295500
2016-03-28,39.67000,40.27000,39.53000,40.01000,167600
2016-03-29,40.00000,41.07000,39.95000,40.82000,370200
2016-03-30,41.04000,41.26000,39.85000,40.80000,244100
2016-03-31,40.68000,41.93000,40.47000,41.84000,383400
2016-04-01,41.65000,42.90000,41.38000,42.47000,357600
2016-04-04,42.41000,43.37000,42.10000,42.50000,387900
2016-04-05,42.11000,42.29000,41.31000,41.61000,231200
2016-04-06,41.77000,42.35000,41.62000,42.31000,252600
2016-04-07,42.18000,42.39000,41.78000,42.36000,353000
2016-04-08,42.64000,42.64000,41.64000,41.81000,152900
2016-04-11,41.98000,42.46000,41.74000,41.84000,159300
2016-04-12,41.96000,42.14000,41.19000,41.86000,186500
2016-04-13,42.06000,42.85000,41.83000,42.78000,312100
2016-04-14,42.78000,42.93000,42.52000,42.69000,165600
2016-04-15,42.52000,42.99000,42.21000,42.92000,217100
2016-04-18,42.73000,43.49000,42.73000,43.38000,181300
2016-04-19,43.50000,43.50000,42.55000,42.92000,224900
2016-04-20,42.98000,43.28000,41.90000,43.09000,264100
2016-04-21,43.20000,43.47000,42.74000,43.03000,151200
2016-04-22,43.10000,43.52000,42.77000,43.33000,271700
2016-04-25,43.25000,43.45000,42.92000,43.14000,265700
2016-04-26,43.19000,43.60000,42.53000,43.42000,251900
2016-04-27,43.55000,44.73000,42.63000,44.64000,412500
2016-04-28,44.25000,45.08000,42.33000,42.54000,495000
2016-04-29,42.56000,43.57000,41.83000,43.35000,471400
2016-05-02,43.43000,43.51000,42.43000,42.80000,253400
2016-05-03,42.62000,43.37000,42.02000,42.49000,218000
2016-05-04,42.39000,42.78000,42.01000,42.44000,339100
2016-05-05,45.00000,48.10000,44.77000,45.75000,1491200
2016-05-06,45.54000,46.12000,45.03000,46.09000,504100
2016-05-09,46.29000,47.25000,45.97000,46.62000,434800
2016-05-10,46.51000,46.69000,45.96000,46.40000,288500
2016-05-11,46.49000,47.25000,46.03000,46.29000,351400
2016-05-12,46.52000,46.79000,45.74000,46.46000,329400
2016-05-13,46.50000,46.98000,46.08000,46.87000,327100
2016-05-16,46.90000,48.20000,46.90000,47.80000,392800
2016-05-17,47.93000,48.50000,47.28000,47.69000,449300
2016-05-18,47.52000,48.87000,47.30000,48.51000,386600
2016-05-19,48.46000,48.74000,47.91000,48.30000,281200
2016-05-20,48.61000,48.84000,48.38000,48.63000,402600
2016-05-23,48.70000,48.70000,47.95000,48.03000,369800
2016-05-24,48.40000,49.68000,48.30000,49.57000,558300
2016-05-25,49.58000,49.94000,49.26000,49.35000,340100
