date,open,high,low,close,volume
2025-03-17,6.27700,6.41000,6.20000,6.41000,1000
2025-03-18,6.35000,6.60000,6.35000,6.49900,600
2025-03-19,6.49200,6.49200,6.49200,6.49200,200
2025-03-20,6.45000,6.45000,6.45000,6.45000,300
2025-03-21,6.33300,6.39500,6.33300,6.39500,800
2025-03-24,6.45000,6.49000,6.45000,6.49000,900
2025-03-25,6.48000,6.48000,6.48000,6.48000,400
2025-03-26,6.51700,6.51700,6.31000,6.31000,500
2025-03-27,6.36700,6.36700,6.25000,6.25000,5900
2025-03-28,6.25000,6.30900,6.25000,6.30900,400
2025-03-31,6.15900,6.15900,6.15900,6.15900,300
2025-04-01,6.11100,6.30000,6.10000,6.30000,13800
2025-04-02,6.30000,6.30000,6.30000,6.30000,400
2025-04-03,6.30000,6.30000,6.30000,6.30000,700
2025-04-04,6.10000,6.10300,5.75000,5.75000,11100
2025-04-07,5.75000,5.78000,3.80000,4.59000,54400
2025-04-08,4.77000,5.20000,4.60600,4.85000,21400
2025-04-09,5.05000,5.25000,4.95000,5.05000,2000
2025-04-10,5.03000,5.03000,4.84800,4.84800,1800
2025-04-11,4.70000,5.00000,4.52000,5.00000,5300
2025-04-14,4.86800,4.92500,4.86800,4.87100,1900
2025-04-15,4.82000,4.82000,4.56800,4.75500,3100
2025-04-16,4.62000,4.80000,4.62000,4.75000,7200
2025-04-17,4.75000,4.75000,4.51100,4.57000,900
2025-04-21,4.51000,4.52000,4.27000,4.27000,1900
2025-04-22,4.48000,4.48000,4.26900,4.30000,3800
2025-04-23,4.49000,4.52500,4.38800,4.50000,2500
2025-04-24,4.37500,4.37500,4.24500,4.24500,6100
2025-04-25,4.20000,4.35000,4.20000,4.25000,4900
2025-04-28,4.35000,4.42000,4.33000,4.36000,13000
2025-04-29,4.48000,4.49000,4.48000,4.48500,1300
2025-05-01,4.39000,4.47000,4.39000,4.40000,1100
2025-05-02,4.38300,4.40000,4.32000,4.35000,700
2025-05-05,4.33000,4.35000,4.31000,4.35000,1800
2025-05-06,4.32100,4.32100,4.32100,4.32100,500
2025-05-07,4.31000,4.50000,4.31000,4.45000,16900
2025-05-08,4.50000,4.50000,4.40500,4.40500,1200
2025-05-09,4.45000,4.45000,4.33000,4.40000,3200
2025-05-12,4.30000,4.40000,4.25000,4.25000,8100
2025-05-13,4.25000,4.25200,4.23900,4.25000,4400
2025-05-14,4.20000,4.35700,4.18000,4.30000,4600
2025-05-15,4.45000,4.45000,4.25000,4.43000,3600
2025-05-16,4.43000,4.43000,4.07800,4.27500,1200
2025-05-19,4.34000,4.80000,4.26000,4.80000,9900
2025-05-21,5.06000,5.06000,4.70000,4.70000,6600
2025-05-22,4.60000,4.62000,4.25000,4.31000,14400
2025-05-23,4.31000,4.31000,4.15000,4.22000,3000
2025-05-27,4.31000,4.31000,3.91800,3.95000,11700
2025-05-28,3.92000,3.94800,3.75000,3.76000,10900
2025-05-29,3.66000,3.80000,3.62000,3.70000,6600
2025-05-30,3.77000,3.80000,3.61000,3.80000,11000
2025-06-02,4.05000,4.08000,3.80000,3.92000,12000
2025-06-03,3.75000,3.80000,3.75000,3.77000,2600
2025-06-04,3.80000,3.95000,3.80000,3.93000,1600
2025-06-05,3.76500,3.83000,3.76500,3.79000,2900
2025-06-06,3.88500,3.88500,3.79000,3.79000,800
2025-06-09,3.78000,3.89800,3.78000,3.82700,1100
2025-06-10,3.83000,3.94400,3.83000,3.91000,2400
2025-06-11,3.83000,3.83000,3.77000,3.77000,3600
2025-06-12,3.75000,3.90000,3.72400,3.74800,3500
2025-06-13,4.50000,4.75000,4.50000,4.50000,13100
2025-06-16,4.12000,4.19000,4.05000,4.19000,1400
2025-06-17,4.00000,4.05000,4.00000,4.05000,300
2025-06-18,4.00000,4.06000,4.00000,4.06000,1900
2025-06-20,4.10000,4.23400,4.09500,4.23000,2000
2025-06-23,4.12500,4.51000,4.12000,4.25000,20500
2025-06-24,4.29000,4.87000,4.25000,4.79000,4800
2025-06-25,4.89900,4.89900,4.50000,4.52200,1500
2025-06-26,4.34500,4.62000,4.34500,4.62000,800
2025-06-27,4.26000,4.52600,4.15000,4.15000,17800
