date,open,high,low,close,volume
2025-03-19,1.45000,1.51900,1.45000,1.46000,5300
2025-03-20,1.45000,1.60000,1.45000,1.48000,87700
2025-03-21,1.46000,1.54000,1.39000,1.44000,24600
2025-03-24,1.40500,1.53000,1.40000,1.46000,22200
2025-03-25,1.44600,1.53000,1.43000,1.46000,6800
2025-03-26,1.41000,1.46100,1.38100,1.43200,8000
2025-03-27,1.42100,1.50000,1.40000,1.44100,12200
2025-03-28,1.40000,1.48000,1.40000,1.41000,22000
2025-03-31,1.40000,1.45000,1.36000,1.36200,39100
2025-04-01,1.50000,1.55000,1.36000,1.39200,37300
2025-04-02,1.40000,1.52000,1.40000,1.50500,38000
2025-04-03,1.42100,1.43000,1.41000,1.43000,12500
2025-04-04,1.36000,1.44000,1.36000,1.38500,21800
2025-04-07,1.35000,1.36500,1.19000,1.27000,46900
2025-04-08,1.30000,1.31000,1.04000,1.04000,56000
2025-04-09,1.02000,1.34100,1.02000,1.27000,61800
2025-04-10,1.22000,1.28000,1.07000,1.23000,28200
2025-04-11,1.25000,1.33000,1.08000,1.18000,23500
2025-04-14,1.19000,1.27800,1.16000,1.23000,19400
2025-04-15,1.25000,1.25000,1.19000,1.19000,11200
2025-04-16,1.20000,1.21000,1.20000,1.20000,2400
2025-04-17,1.20200,1.24000,1.15000,1.21000,14800
2025-04-21,1.18000,1.19000,1.13000,1.13000,18500
2025-04-22,1.12000,1.25000,1.12000,1.21000,12100
2025-04-23,1.18000,1.25500,1.18000,1.23000,13300
2025-04-24,1.25000,1.28900,1.25000,1.27000,6700
2025-04-25,1.29000,1.38000,1.26000,1.32000,14500
2025-04-28,1.34000,1.38000,1.31800,1.32500,4800
2025-04-29,1.37000,1.37000,1.26000,1.26000,9000
2025-04-30,1.31000,1.32900,1.10000,1.17000,15400
2025-05-01,1.20000,1.37000,1.18000,1.21000,17300
2025-05-02,1.24100,1.29000,1.21000,1.21400,13900
2025-05-05,1.15000,1.25600,1.15000,1.25600,7500
2025-05-06,1.19000,1.31000,1.16000,1.18000,4339500
2025-05-07,1.66000,2.18000,1.61000,1.95000,49554900
2025-05-08,1.74000,1.90000,1.70000,1.81000,841900
2025-05-09,1.89000,1.95000,1.56000,1.69000,850800
2025-05-12,1.46000,1.68000,1.37000,1.65000,304100
2025-05-13,1.61000,1.64700,1.51000,1.54000,78600
2025-05-14,1.49000,1.60000,1.43100,1.50000,89900
2025-05-15,1.48200,1.51000,1.40000,1.45800,49500
2025-05-16,1.45000,1.52000,1.41000,1.41100,38900
2025-05-19,1.37000,1.45000,1.35100,1.41000,43700
2025-05-20,1.41000,1.46000,1.36000,1.37000,30200
2025-05-21,1.33000,1.42200,1.30000,1.37400,80200
2025-05-22,1.36000,1.48000,1.31000,1.36000,28400
2025-05-23,1.32000,1.39000,1.32000,1.32000,25500
2025-05-27,1.32000,1.36200,1.28000,1.34000,17400
2025-05-28,1.27000,1.34500,1.27000,1.32000,20600
2025-05-29,1.29000,1.39500,1.26000,1.27000,26500
2025-05-30,1.37000,1.37000,1.23000,1.25700,29700
2025-06-02,1.20000,1.26000,1.20000,1.21000,10200
2025-06-03,1.25000,1.40000,1.23500,1.36400,110200
2025-06-04,1.30200,1.40900,1.30000,1.35000,45400
2025-06-05,1.35000,1.37000,1.27000,1.30000,73600
2025-06-06,1.31000,1.31000,1.24000,1.25000,12700
2025-06-09,1.25000,1.30000,1.25000,1.28100,13000
2025-06-10,2.14000,2.23000,1.79000,2.05000,57403400
2025-06-11,1.76000,2.14000,1.71000,1.97000,1026400
2025-06-12,1.88000,2.62000,1.71000,1.71000,2075700
2025-06-13,1.61000,1.88000,1.57000,1.61000,313800
2025-06-16,1.62000,1.93000,1.60000,1.61000,258400
2025-06-17,1.54000,1.82000,1.46000,1.69000,222900
2025-06-18,1.62000,1.74800,1.62000,1.73000,40100
2025-06-20,1.70000,1.77000,1.70000,1.74000,38400
2025-06-23,1.71000,1.75000,1.69500,1.73000,44200
2025-06-24,1.70000,1.85000,1.63000,1.67000,54500
2025-06-25,1.62000,1.68000,1.62000,1.64000,37000
2025-06-26,1.64000,1.65000,1.57000,1.65000,71100
2025-06-27,1.57000,1.61900,1.56000,1.58000,57100
2025-06-30,1.59000,1.59000,1.53000,1.56000,19700
2025-07-01,1.53000,1.60000,1.52000,1.60000,18700
2025-07-02,1.54900,1.61000,1.54000,1.61000,36000
2025-07-03,1.60000,1.64800,1.56500,1.64000,30000
2025-07-07,1.65000,1.65000,1.56000,1.58000,24400
2025-07-08,1.59500,1.64000,1.57000,1.59000,14600
2025-07-09,1.60000,1.60700,1.56000,1.57100,16800
2025-07-10,1.55000,1.59400,1.54600,1.56200,12900
2025-07-11,1.58000,1.60000,1.53000,1.55000,43500
2025-07-14,1.56000,1.56000,1.50000,1.51000,76400
2025-07-15,1.51100,1.55600,1.42000,1.46000,70200
2025-07-16,1.53000,1.53000,1.44000,1.49000,41200
2025-07-17,1.50000,1.50000,1.47000,1.50000,25200
2025-07-18,1.50000,1.53000,1.47100,1.51200,28600
2025-07-21,1.50000,1.53900,1.49000,1.53000,26200
2025-07-22,1.52000,1.55000,1.49000,1.54000,18100
2025-07-23,1.57500,1.57500,1.52000,1.56500,21000
2025-07-24,1.60000,2.27000,1.60000,1.86200,2037800
2025-07-25,1.81000,1.84900,1.73000,1.79000,75400
2025-07-28,1.84000,1.88000,1.73200,1.75500,73200
2025-07-29,1.74000,1.74000,1.38000,1.45000,260500
2025-07-30,1.46000,1.47800,1.37000,1.37000,44200
2025-07-31,1.39000,1.46000,1.34700,1.37000,46000
2025-08-01,1.36000,1.40200,1.32000,1.39000,22400
2025-08-04,1.33000,1.37900,1.32000,1.34000,55200
2025-08-05,1.40000,1.40000,1.31600,1.34000,14900
2025-08-06,1.36000,1.39000,1.32000,1.33000,12800
2025-08-07,1.35000,1.36000,1.33000,1.34500,7500
2025-08-08,1.34000,1.39000,1.33000,1.37000,12900
2025-08-11,1.35000,1.39000,1.34000,1.38800,9900
2025-08-12,1.40000,1.41000,1.36000,1.38000,14800
2025-08-13,1.39500,1.44000,1.38000,1.44000,7300
2025-08-14,1.44000,1.50000,1.40000,1.43000,19300
2025-08-15,1.46000,1.46000,1.42000,1.43000,4900
2025-08-18,1.45000,1.46000,1.40000,1.45000,13800
2025-08-19,1.43000,1.43000,1.40000,1.40000,15900
2025-08-20,1.35000,1.38000,1.33000,1.35500,7600
2025-08-21,1.40000,1.40000,1.34000,1.36000,7200
2025-08-22,1.36000,1.39800,1.35000,1.38000,7300
2025-08-25,1.38000,1.46000,1.34000,1.43000,35700
2025-08-26,1.40000,1.45000,1.38000,1.43000,31500
2025-08-27,1.40000,1.45000,1.38000,1.40500,219600
2025-08-28,1.39000,1.50000,1.39000,1.41000,77200
2025-08-29,1.40000,1.45000,1.40000,1.41000,7900
2025-09-02,1.40000,1.42000,1.38100,1.42000,11400
2025-09-03,1.36000,1.42000,1.36000,1.36000,16000
2025-09-04,1.36000,1.38400,1.36000,1.37000,20800
2025-09-05,1.36000,1.40000,1.30000,1.33000,14200
2025-09-08,1.37000,1.58200,1.35000,1.49000,792600
2025-09-09,1.39000,1.65000,1.38000,1.55000,233300
2025-09-10,1.50000,1.80000,1.49000,1.61000,472700
2025-09-11,1.58000,1.71800,1.52000,1.58000,76500
2025-09-12,1.56000,1.71000,1.52000,1.58000,129800
2025-09-15,1.55000,1.65000,1.55000,1.62000,46000
2025-09-16,1.63000,1.65000,1.57500,1.64000,17700
2025-09-17,1.64000,1.64900,1.57000,1.63000,46500
2025-09-18,1.65000,1.65000,1.45400,1.53000,82700
2025-09-19,1.56000,1.56000,1.50000,1.56000,47900
2025-09-22,1.57500,1.60000,1.53000,1.60000,24100
2025-09-23,1.60000,1.60000,1.53000,1.55000,18600
2025-09-24,1.57500,1.57500,1.53000,1.55500,18300
2025-09-25,1.53000,1.55500,1.50000,1.54000,5000
2025-09-26,1.52000,1.53000,1.47000,1.51000,12700
2025-09-29,1.46000,1.59900,1.46000,1.51700,21200
2025-09-30,1.50100,1.56000,1.49000,1.52000,15300
2025-10-01,1.53000,1.56400,1.50000,1.54000,10100
2025-10-02,1.55000,1.74000,1.54000,1.61000,95700
2025-10-03,1.64000,1.65000,1.53000,1.57800,52100
2025-10-06,1.57300,1.60000,1.55400,1.60000,30200
2025-10-07,1.61000,1.90000,1.60000,1.82000,199200
2025-10-08,1.80000,1.80000,1.62500,1.63000,63000
2025-10-09,1.61000,1.63000,1.50000,1.60000,52000
2025-10-10,1.56000,1.58000,1.46500,1.49000,58900
2025-10-13,1.50000,1.54000,1.46000,1.48000,6700
2025-10-14,1.51000,1.52000,1.46000,1.48000,18100
2025-10-15,1.53500,1.53500,1.48000,1.52000,9400
2025-10-16,1.54000,1.54500,1.46000,1.47000,9600
2025-10-17,1.48000,1.48000,1.45000,1.45000,12300
2025-10-20,1.46000,1.46000,1.41000,1.43000,5200
2025-10-21,1.46500,1.49000,1.44000,1.47000,19100
2025-10-22,1.42000,1.45500,1.41500,1.42000,9500
2025-10-23,1.43000,1.47000,1.40500,1.40500,28300
2025-10-24,1.41100,1.47000,1.38000,1.43000,44800
2025-10-27,1.45100,1.47000,1.38000,1.38000,38000
2025-10-28,1.39000,1.42900,1.37000,1.41000,7500
2025-10-29,1.37000,1.46000,1.37000,1.40000,40500
2025-10-30,1.38600,1.42000,1.38000,1.38000,29700
2025-10-31,1.43400,1.64000,1.42000,1.54000,363500
2025-11-03,1.48000,1.54000,1.40000,1.40000,76800
2025-11-04,1.40000,1.41500,1.34000,1.36000,50000
2025-11-05,1.39000,1.39000,1.31000,1.31000,18300
2025-11-06,1.40000,1.40000,1.31000,1.35000,9800
2025-11-07,1.32100,1.36000,1.29000,1.31500,29600
2025-11-10,1.40000,1.40000,1.32000,1.34000,17900
2025-11-11,1.33000,1.34800,1.29000,1.31000,16100
2025-11-12,1.33000,1.34000,1.31000,1.33000,15900
2025-11-13,1.31000,1.32000,1.30000,1.30000,25800
2025-11-14,1.25000,1.32600,1.20000,1.31000,11700
2025-11-17,1.38000,1.38000,1.29000,1.34000,17900
2025-11-18,1.30000,1.31500,1.23000,1.31000,16400
2025-11-19,1.29000,1.29000,1.24000,1.24600,10900
2025-11-20,1.25000,1.28500,1.19000,1.20000,32600
2025-11-21,1.22600,1.24400,1.18000,1.20000,21200
