date,open,high,low,close,volume
2023-09-25,7.30000,7.51000,7.23000,7.51000,1002100
2023-09-26,7.40000,7.64000,7.30000,7.35000,951800
2023-09-27,7.41000,7.55000,7.31000,7.37000,728400
2023-09-28,7.34000,7.64000,7.31000,7.60000,953000
2023-09-29,7.68000,7.75000,7.42000,7.54000,1023700
2023-10-02,7.48000,7.72000,7.39000,7.42000,959700
2023-10-03,7.31000,7.48000,7.29000,7.31000,750100
2023-10-04,7.32000,7.53000,7.26000,7.47000,797200
2023-10-05,7.46000,7.51000,7.30000,7.47000,1089200
2023-10-06,7.33000,7.62000,7.27000,7.47000,1083300
2023-10-09,7.38000,7.47000,7.25000,7.38000,929100
2023-10-10,7.41000,7.74000,7.38000,7.49000,871500
2023-10-11,7.46000,7.56000,7.34000,7.40000,622000
2023-10-12,7.39000,7.40000,6.97000,7.07000,1263400
2023-10-13,7.06000,7.13000,6.95000,7.00000,1292600
2023-10-16,6.97000,7.25000,6.87000,7.19000,834500
2023-10-17,7.10000,7.50000,7.04000,7.50000,1071000
2023-10-18,7.39000,7.40000,7.19000,7.20000,792200
2023-10-19,7.24000,7.35000,7.10000,7.20000,823400
2023-10-20,7.19000,7.19000,7.04000,7.04000,757200
2023-10-23,7.00000,7.18000,6.93000,7.05000,617000
2023-10-24,7.13000,7.46000,7.12000,7.13000,891900
2023-10-25,7.07000,7.08000,6.67000,6.70000,1503100
2023-10-26,6.60000,6.66000,6.28000,6.51000,2527400
2023-10-27,6.55000,6.77000,6.53000,6.60000,1073800
2023-10-30,6.67000,6.71000,6.42000,6.53000,791300
2023-10-31,6.55000,6.74000,6.49000,6.64000,900200
2023-11-01,6.70000,6.74000,6.46000,6.64000,1067700
2023-11-02,6.82000,7.31000,6.82000,7.05000,1705300
2023-11-03,7.25000,7.51000,7.22000,7.40000,1328300
2023-11-06,7.39000,7.42000,7.07000,7.21000,903600
2023-11-07,7.14000,7.50000,7.10000,7.21000,1552800
2023-11-08,7.27000,7.36000,7.09000,7.35000,2275700
2023-11-09,7.07000,7.44000,6.55000,7.33000,2198600
2023-11-10,7.19000,7.45000,7.00000,7.33000,1143900
2023-11-13,7.24000,7.29000,6.88000,6.96000,1151600
2023-11-14,7.19000,7.68000,7.19000,7.66000,1929400
2023-11-15,7.70000,7.97000,7.57000,7.89000,1655100
2023-11-16,7.83000,7.85000,7.61000,7.64000,958500
2023-11-17,7.73000,7.93000,7.61000,7.89000,1064200
2023-11-20,7.81000,8.07000,7.74000,7.95000,1102500
2023-11-21,7.87000,7.97000,7.74000,7.91000,766500
2023-11-22,7.99000,8.19000,7.99000,8.07000,563000
2023-11-24,8.03000,8.19000,8.03000,8.18000,263200
2023-11-27,8.11000,8.42000,8.08000,8.32000,1021500
2023-11-28,8.31000,8.41000,8.19000,8.33000,908400
2023-11-29,8.42000,8.58000,8.21000,8.29000,899000
2023-11-30,8.27000,8.37000,7.97000,8.08000,881400
2023-12-01,8.05000,8.43000,8.04000,8.39000,905200
2023-12-04,8.35000,8.62000,8.35000,8.56000,884400
2023-12-05,8.46000,8.49000,8.17000,8.22000,834700
