date,open,high,low,close,volume
2020-08-20,10.05000,10.47000,9.85000,9.95000,157800
2020-08-21,9.94000,9.98000,9.90000,9.98000,192600
2020-08-24,10.00000,10.11500,9.90000,9.97000,50600
2020-08-25,9.95000,10.01000,9.85000,10.01000,257700
2020-08-26,9.91000,10.05000,9.91000,9.97000,4600
2020-08-27,9.99000,9.99000,9.91100,9.95500,9200
2020-08-28,9.91000,10.05000,9.91000,10.00000,597800
2020-08-31,10.08000,10.18000,9.90000,10.00000,7500
2020-09-01,10.10000,10.13500,9.96000,10.11000,281200
2020-09-02,10.21000,10.72000,10.05000,10.27000,443800
2020-09-03,10.35000,10.44000,10.15000,10.32000,282800
2020-09-04,10.48000,10.48000,10.25000,10.34000,139800
2020-09-08,10.50000,10.57000,10.30000,10.42000,321300
2020-09-09,10.50000,10.50000,10.30000,10.40000,350400
2020-09-10,10.50000,10.50000,10.30000,10.32000,59900
2020-09-11,10.33000,10.50000,10.30000,10.39000,116100
2020-09-14,10.35000,10.49800,10.30000,10.38000,65000
2020-09-15,10.32000,10.68500,10.32000,10.52800,353000
2020-09-16,10.56000,10.60000,10.46000,10.50000,54200
2020-09-17,10.50000,10.60000,10.35000,10.43500,56900
2020-09-18,10.36000,11.03000,10.36000,11.03000,84400
2020-09-21,10.60000,10.84500,10.44000,10.70000,571300
2020-09-22,10.75000,10.75000,10.43300,10.65000,69800
2020-09-23,10.52000,10.65000,10.45000,10.65000,68500
2020-09-24,10.35000,10.72000,10.35000,10.69000,286100
2020-09-25,10.42000,10.70000,10.35000,10.60000,190800
2020-09-28,10.58000,10.81000,10.50000,10.62000,19200
2020-09-29,10.65000,10.97000,10.45000,10.85000,415400
2020-09-30,10.85000,11.07000,10.69000,10.76000,105000
2020-10-01,10.76000,10.85000,10.59000,10.62000,173200
2020-10-02,10.50000,10.71000,10.50000,10.52000,136300
2020-10-05,10.57500,10.65000,10.46000,10.47000,93800
2020-10-06,10.55000,10.55000,10.30000,10.38000,94300
2020-10-07,10.45000,10.50000,10.30000,10.35000,81400
2020-10-08,10.41000,10.46000,10.20000,10.33000,151800
2020-10-09,10.30000,10.30000,10.14000,10.27400,1446700
2020-10-12,10.30000,10.31000,10.25000,10.30000,79100
2020-10-13,10.46000,10.46000,10.21000,10.29400,85000
2020-10-14,10.31000,10.36500,10.23000,10.30000,73300
2020-10-15,10.30000,10.30000,10.26000,10.30000,21200
2020-10-16,10.36000,10.36000,10.20000,10.30000,24900
2020-10-19,10.34000,10.41000,10.25000,10.27000,44900
2020-10-20,10.38000,10.38000,10.26000,10.26000,341100
2020-10-21,10.26000,10.30000,10.25000,10.25000,17500
2020-10-22,10.25000,10.25000,10.15000,10.22000,43300
2020-10-23,10.25000,10.27000,10.12000,10.15000,129700
2020-10-26,10.10000,10.15000,10.03000,10.06500,59300
2020-10-27,10.16000,10.16000,9.94000,10.00000,155800
2020-10-28,9.90000,10.09000,9.89000,9.89000,1465500
2020-10-29,9.96000,9.96000,9.89000,9.92000,54200
2020-10-30,9.95000,9.95000,9.88000,9.95000,35100
2020-11-02,10.00000,10.01000,9.89000,9.92000,155800
2020-11-03,9.94000,9.96600,9.91000,9.95000,41300
2020-11-04,9.95000,10.06000,9.87000,9.98000,20200
2020-11-05,10.12000,10.12000,9.99000,10.03000,17300
2020-11-06,10.05000,10.05000,9.94000,10.00000,26300
2020-11-09,10.16000,10.22000,10.00000,10.00000,72400
2020-11-10,10.00000,10.04000,9.98000,10.02000,67800
2020-11-11,10.10000,10.10000,9.95000,10.08000,26100
2020-11-12,10.19000,10.19000,10.05500,10.07500,45300
2020-11-13,10.11000,10.12000,10.04000,10.08000,90100
2020-11-16,10.10000,10.10000,10.01000,10.09000,20300
2020-11-17,10.10000,10.10000,10.01000,10.05000,45900
2020-11-18,10.05000,10.11000,10.01000,10.06000,21300
2020-11-19,10.06000,10.22000,10.06000,10.14000,51700
2020-11-20,10.25000,10.27000,10.10000,10.20500,29000
2020-11-23,10.21000,10.22000,10.10000,10.16000,340500
2020-11-24,10.24000,10.24000,10.11000,10.16000,356500
2020-11-25,10.20000,10.29200,10.12000,10.21000,399800
2020-11-27,10.40000,10.40000,10.16000,10.37000,404200
2020-11-30,10.50000,10.50000,10.30000,10.45000,578700
2020-12-01,10.51000,10.51000,10.37000,10.45000,630400
2020-12-02,10.55000,10.60000,10.33000,10.43000,214600
2020-12-03,10.40000,10.54000,10.36000,10.38000,536300
2020-12-04,10.38000,10.48000,10.35000,10.40000,125400
2020-12-07,10.69000,10.69000,10.26000,10.43000,1507200
2020-12-08,10.60000,10.63000,10.41000,10.57000,1364100
2020-12-09,10.65000,10.92000,10.42000,10.55000,422700
2020-12-10,10.53000,10.67000,10.53000,10.60000,606700
2020-12-11,10.73000,10.95000,10.66000,10.71000,893000
2020-12-14,10.80000,10.89000,10.49000,10.50000,589000
2020-12-15,10.60000,10.60000,10.35000,10.45000,831400
2020-12-16,10.53000,10.57000,10.35000,10.45000,1835800
2020-12-17,10.39000,10.50000,10.35000,10.50000,415900
2020-12-18,10.50000,10.51100,10.42500,10.49000,213300
2020-12-21,10.50000,10.54000,10.47000,10.50000,475800
2020-12-22,10.60000,10.73000,10.56000,10.71000,1053300
2020-12-23,10.74000,10.78000,10.65000,10.74000,1156200
2020-12-24,10.99000,11.15000,10.79100,10.85000,2015500
2020-12-28,11.03000,11.15000,10.89000,11.08000,2562300
2020-12-29,11.10000,11.10000,10.68000,10.85000,1686700
2020-12-30,10.81000,11.03000,10.76000,10.87000,928700
2020-12-31,10.85000,11.09000,10.85000,10.90000,884900
2021-01-04,11.08000,11.18000,10.85000,10.96000,1265300
2021-01-05,10.96000,11.00000,10.93000,10.99000,448100
2021-01-06,10.97000,10.99500,10.76000,10.88000,1015700
2021-01-07,10.90000,11.17000,10.90000,11.00000,910700
