date,open,high,low,close,volume
2023-10-03,70.48194,70.95498,65.45059,67.38573,47155
2023-10-04,66.22465,68.76183,63.30044,65.70861,35570
2023-10-05,67.98777,68.33179,62.87041,65.10657,81616
2023-10-06,66.05264,70.35294,64.76254,67.98777,97838
2023-10-09,69.62189,69.62189,66.22465,66.86969,15581
2023-10-10,65.88062,67.85876,65.88062,67.47173,19732
2023-10-11,67.94477,68.50381,66.43966,67.38573,10265
2023-10-12,67.55774,68.54681,65.02056,65.96663,21901
2023-10-13,66.48267,67.17072,64.93456,66.86969,26800
2023-10-16,67.94477,67.94477,66.65468,67.17072,14432
2023-10-17,67.94477,68.33179,65.62260,67.81576,39461
2023-10-18,67.51473,67.68675,66.22465,66.82669,15789
2023-10-19,67.64375,71.81504,65.83762,71.16999,83453
2023-10-20,72.07306,72.24507,67.34273,70.86897,84780
2023-10-23,70.52495,70.86897,66.43966,66.86969,39784
2023-10-25,65.02056,68.93384,64.89156,67.90176,38289
2023-10-26,68.76183,68.76183,64.93456,65.70861,54878
2023-10-27,67.34273,68.37479,66.61167,67.55774,49531
2023-10-30,68.07378,68.63281,66.65468,66.95570,11014
2023-10-31,68.33179,69.57888,66.31065,66.82669,15280
2023-11-01,69.44987,69.44987,66.69768,67.60074,48171
2023-11-02,69.40687,69.40687,66.65468,67.17072,29045
2023-11-03,68.58981,73.96519,67.34273,70.78297,61331
2023-11-06,72.63210,72.63210,69.96590,70.35294,21870
2023-11-07,70.95498,71.12699,68.80482,69.36387,11163
2023-11-08,70.61095,71.42801,69.32086,70.73996,40063
2023-11-09,69.36387,77.31943,69.36387,74.65324,190826
2023-11-10,74.52423,75.72831,71.72903,72.63210,57378
2023-11-13,73.83618,73.83618,71.25600,72.41708,62886
2023-11-15,71.85804,79.42657,71.85804,77.66345,144710
2023-11-16,77.40543,88.15618,77.40543,84.15691,588404
2023-11-17,85.79102,87.64014,81.23270,81.87775,127532
2023-11-20,84.28591,89.44627,83.42585,88.88724,224634
2023-11-21,90.26334,90.26334,85.14597,86.35006,137014
2023-11-22,85.83402,89.27426,85.83402,86.09204,55978
2023-11-23,86.52207,89.44627,84.75895,88.02718,77787
2023-11-24,88.02718,89.36027,82.47979,84.80195,96619
2023-11-28,86.09204,87.64014,81.87775,82.30778,113786
2023-11-29,82.82381,82.82381,78.78152,81.53372,74249
2023-11-30,81.96375,85.14597,80.84567,83.03883,120424
2023-12-01,84.28591,86.39306,81.01768,81.87775,86935
2023-12-04,83.12483,85.74802,83.12483,85.14597,50738
2023-12-05,85.10297,86.73708,81.79174,83.12483,51614
2023-12-06,82.26477,84.50093,81.36171,82.56579,23643
2023-12-07,83.33984,83.33984,80.84567,81.44772,32023
2023-12-08,80.84567,82.35078,79.34057,80.24363,36156
2023-12-11,81.18970,84.84496,80.54465,83.72688,21305
2023-12-12,84.71594,84.71594,81.06068,82.56579,21524
2023-12-13,84.67294,84.67294,81.57672,83.42585,35313
2023-12-14,83.42585,85.53300,80.80267,81.49072,42265
2023-12-15,84.58694,84.58694,80.58765,80.88867,19641
2023-12-18,80.88867,81.70573,80.11462,80.88867,21526
2023-12-19,80.97468,81.66273,77.92147,78.95354,34502
2023-12-20,79.94261,80.15762,74.86826,77.23342,32504
2023-12-21,79.12555,80.84567,76.54537,79.85661,25564
2023-12-22,82.56579,82.56579,78.26549,79.21156,18569
2023-12-26,79.21156,81.61973,78.56651,79.08255,23685
2023-12-27,78.60951,80.24363,78.17948,78.35149,14042
2023-12-28,79.98561,79.98561,76.54537,78.05048,45147
2023-12-29,81.14669,81.70573,76.54537,79.51258,25941
2024-01-01,79.51258,80.37264,78.69552,78.78152,10848
2024-01-02,79.64159,80.75967,79.25456,80.50165,25942
2024-01-03,81.01768,82.56579,79.64159,80.63065,14207
2024-01-04,81.31870,81.70573,79.64159,80.63065,14126
2024-01-05,81.66273,81.66273,79.16856,79.89960,22465
2024-01-08,80.71666,81.66273,77.49143,79.85661,38974
2024-01-09,81.06068,81.70573,79.12555,79.72759,19384
2024-01-10,81.57672,81.57672,78.13648,78.48051,34535
2024-01-11,80.20063,80.20063,76.88940,78.43750,34846
2024-01-12,80.67366,93.48856,78.52351,91.03738,492346
2024-01-16,99.76700,104.88436,92.02646,93.78958,175866
2024-01-17,93.74657,97.31583,88.67222,92.67150,149905
2024-01-18,91.72543,98.69193,87.89817,95.81072,179582
2024-01-19,97.18682,114.94707,95.81072,114.94707,1097028
