date,open,high,low,close,volume
2023-10-05,98.13000,99.31000,96.05000,99.14000,47900
2023-10-06,98.40000,100.29000,97.72000,100.03000,22700
2023-10-09,98.00000,103.14000,98.00000,102.42000,33400
2023-10-10,103.26000,107.17000,102.99000,106.58000,36200
2023-10-11,107.52000,108.91000,106.19000,107.55000,50700
2023-10-12,108.20000,108.20000,102.51000,102.64000,50600
2023-10-13,102.42000,102.80000,99.33000,101.45000,38900
2023-10-16,102.81000,103.31000,98.77000,98.95000,49400
2023-10-17,99.49000,107.28000,99.49000,106.88000,51400
2023-10-18,104.77000,104.77000,99.98000,99.99000,25000
2023-10-19,100.31000,101.79000,98.34000,98.60000,25000
2023-10-20,98.60000,100.20000,96.29000,96.56000,25400
2023-10-23,96.33000,99.85000,96.33000,98.07000,41900
2023-10-24,99.09000,101.94000,98.12000,101.41000,39700
2023-10-25,100.31000,100.31000,97.53000,100.00000,49900
2023-10-26,100.34000,101.07000,96.34000,96.57000,20800
2023-10-27,96.47000,96.73000,93.95000,96.52000,34600
2023-10-30,97.91000,99.69000,92.54000,93.99000,62000
2023-10-31,94.99000,96.08000,93.33000,93.83000,40200
2023-11-01,93.80000,97.58000,87.77000,89.06000,46600
2023-11-02,90.79000,93.60000,87.21000,90.34000,59300
2023-11-03,92.61000,95.40000,91.35000,93.22000,48900
2023-11-06,95.33000,97.19000,89.05000,91.91000,76000
2023-11-07,90.18000,93.44000,89.12000,93.32000,39500
2023-11-08,92.87000,94.21000,91.44000,93.73000,24400
2023-11-09,93.28000,93.92000,84.63000,85.66000,75300
2023-11-10,86.54000,87.56000,83.75000,85.04000,34600
2023-11-13,85.78000,86.11000,82.86000,84.55000,33300
2023-11-14,87.92000,94.53000,87.92000,93.58000,49700
2023-11-15,94.92000,97.61000,92.46000,93.77000,43300
2023-11-16,93.88000,100.60000,90.84000,91.62000,30000
2023-11-17,91.96000,91.96000,88.84000,89.93000,41100
2023-11-20,90.55000,92.39000,89.04000,89.33000,32100
2023-11-21,88.73000,90.31000,87.06000,88.55000,35300
2023-11-22,90.03000,90.58000,87.00000,87.87000,65400
2023-11-24,87.80000,91.99000,87.59000,91.60000,27900
2023-11-27,91.50000,92.85000,86.44000,86.44000,36900
2023-11-28,86.05000,87.92000,85.17000,87.63000,39500
2023-11-29,87.90000,89.90000,87.13000,87.86000,38800
2023-11-30,87.60000,89.00000,85.19000,85.37000,43700
2023-12-01,84.66000,91.13000,84.66000,90.37000,46000
2023-12-04,90.66000,95.95000,90.66000,95.49000,59000
2023-12-05,95.12000,97.11000,93.94000,94.99000,55900
2023-12-06,95.98000,99.38000,94.47000,95.04000,73600
2023-12-07,95.70000,100.64000,92.82000,100.39000,50900
2023-12-08,100.45000,104.30000,98.76000,103.01000,53900
2023-12-11,102.85000,105.09000,101.21000,103.38000,56100
2023-12-12,103.84000,105.31000,101.00000,102.62000,45900
2023-12-13,102.36000,108.45000,101.19000,108.42000,59300
2023-12-14,110.32000,117.06000,110.32000,115.06000,70700
2023-12-15,116.00000,119.71000,110.10000,110.37000,163700
2023-12-18,110.98000,110.98000,105.23000,106.22000,46400
2023-12-19,108.14000,110.54000,104.71000,105.00000,102000
2023-12-20,104.64000,106.35000,102.20000,102.20000,83100
2023-12-21,102.86000,104.56000,102.60000,104.33000,37800
2023-12-22,105.00000,107.03000,102.59000,105.08000,62900
2023-12-26,105.84000,105.84000,103.25000,105.00000,36100
2023-12-27,105.00000,105.75000,103.59000,103.81000,34800
2023-12-28,102.92000,107.48000,102.03000,106.00000,149900
2023-12-29,106.49000,107.03000,103.59000,104.77000,54400
2024-01-02,104.61000,109.08000,102.61000,106.26000,107100
2024-01-03,106.32000,106.32000,95.24000,97.13000,104500
2024-01-04,99.00000,104.05000,98.10000,100.64000,75100
2024-01-05,99.68000,101.01000,97.40000,98.93000,64900
2024-01-08,98.90000,102.57000,96.02000,102.55000,46000
2024-01-09,101.63000,104.47000,99.03000,102.02000,77800
2024-01-10,102.00000,102.75000,97.36000,99.81000,56000
2024-01-11,99.07000,99.34000,95.04000,96.34000,70400
2024-01-12,98.66000,100.87000,94.78000,95.96000,70100
2024-01-16,96.07000,96.07000,93.64000,95.36000,56400
2024-01-17,93.33000,95.50000,91.43000,92.30000,57500
2024-01-18,92.69000,92.69000,89.61000,90.68000,47700
2024-01-19,91.36000,91.45000,88.65000,91.22000,49700
2024-01-22,92.63000,96.91000,92.63000,96.39000,50800
2024-01-23,97.70000,97.70000,91.65000,93.01000,49200
2024-01-24,95.28000,97.33000,92.30000,93.22000,58500
2024-01-25,94.85000,94.85000,91.58000,92.15000,49300
2024-01-26,93.32000,96.00000,92.54000,95.01000,38300
2024-01-29,94.74000,97.34000,93.20000,96.43000,54000
2024-01-30,95.94000,96.92000,93.94000,94.05000,29900
2024-01-31,94.16000,96.25000,91.51000,91.62000,58300
2024-02-01,94.20000,94.97000,90.84000,94.07000,48000
