date,open,high,low,close,volume
2023-10-05,3.61000,4.73000,3.60000,4.27000,624300
2023-10-06,3.84000,4.10000,3.71000,4.02000,59400
2023-10-09,3.90000,4.09000,3.90000,3.97000,22500
2023-10-10,3.94000,4.06000,3.85000,3.94000,15500
2023-10-11,3.93000,3.93000,3.55000,3.60000,41200
2023-10-12,3.66000,3.69000,3.47200,3.58000,14000
2023-10-13,3.53000,3.63000,3.44800,3.56000,6400
2023-10-16,3.57000,3.86000,3.54000,3.58000,7600
2023-10-17,3.45000,3.86000,3.45000,3.56000,6900
2023-10-18,3.47000,3.70100,3.47000,3.51000,2700
2023-10-19,3.51000,3.51000,3.27000,3.33000,18500
2023-10-20,3.33000,3.54000,3.15000,3.18000,18200
2023-10-23,3.10000,3.29000,3.10000,3.10000,7800
2023-10-24,3.05000,3.36000,3.02000,3.05000,9000
2023-10-25,3.00000,3.20000,3.00000,3.01000,17000
2023-10-26,3.05000,3.21400,3.00000,3.05000,14000
2023-10-27,3.07000,3.19000,2.72000,2.72000,16200
2023-10-30,2.80000,2.93000,2.71000,2.71000,8200
2023-10-31,2.73000,2.88000,2.69000,2.74000,4700
2023-11-01,3.12000,3.13000,2.75000,2.94000,16700
2023-11-02,2.90000,2.99000,2.85000,2.85000,9600
2023-11-03,2.84000,3.11000,2.80000,3.00000,23900
2023-11-06,3.04200,3.20000,2.97000,3.02000,6000
2023-11-07,2.81000,2.99500,2.70000,2.70000,18100
2023-11-08,2.78000,2.97000,2.39000,2.54000,22800
2023-11-09,2.82000,2.82000,2.40000,2.40000,12800
2023-11-10,2.45000,2.50700,2.35000,2.41500,8600
2023-11-13,2.45000,2.48000,2.40000,2.47000,7700
2023-11-14,2.56000,2.65000,2.52000,2.60000,3800
2023-11-15,2.69000,2.69000,2.50000,2.59500,6000
2023-11-16,2.63000,2.69000,2.40000,2.41000,6500
2023-11-17,2.50000,2.50000,2.32000,2.39000,8100
2023-11-20,2.45000,2.72000,2.39000,2.42500,23600
2023-11-21,2.48000,2.54000,2.36000,2.40000,18900
2023-11-22,2.40000,2.50000,2.39000,2.40000,2800
2023-11-24,2.40000,2.50000,2.36800,2.48000,3000
2023-11-27,2.42000,2.50000,2.35000,2.37000,10400
2023-11-28,2.35000,2.43000,2.35000,2.39000,5800
2023-11-29,2.45000,2.71000,2.40000,2.51000,28400
2023-11-30,3.03000,3.03000,2.59200,2.75000,18300
2023-12-01,2.64000,2.74000,2.60500,2.65000,9500
2023-12-04,2.56000,2.74000,2.47800,2.70000,8500
2023-12-05,2.64000,2.68000,2.55000,2.58000,8500
2023-12-06,2.69000,2.69000,2.44000,2.51000,4700
2023-12-07,2.53000,2.53800,2.41000,2.50000,7000
2023-12-08,2.45000,2.59300,2.42000,2.42000,6200
2023-12-11,2.40000,2.55000,2.40000,2.47500,3600
2023-12-12,2.42000,2.47500,2.10000,2.25500,37300
2023-12-13,2.30000,2.30000,2.18000,2.19700,9800
2023-12-14,2.17000,2.30000,2.17000,2.18000,16000
2023-12-15,2.18000,2.40000,2.14000,2.37000,33700
2023-12-18,2.38000,2.50000,2.22000,2.37300,23000
2023-12-19,2.45600,2.49000,2.35000,2.49000,9300
2023-12-20,2.49000,2.49000,2.30200,2.30300,15700
2023-12-21,2.41000,3.14900,2.23300,2.90000,125100
2023-12-22,2.90000,3.02600,2.59000,2.66000,78700
2023-12-26,2.61000,2.62000,2.50000,2.57000,39300
2023-12-27,2.65000,3.35500,2.59000,3.12000,106700
2023-12-28,3.22000,3.69000,3.12000,3.27000,89800
2023-12-29,3.23000,3.29000,2.89000,3.09000,34000
2024-01-02,3.01000,3.08000,2.57500,2.91500,35800
2024-01-03,2.63000,2.76000,2.63000,2.76000,2400
2024-01-04,2.81000,2.81000,2.70000,2.76500,8800
2024-01-05,2.75800,2.84000,2.63400,2.71000,2800
2024-01-08,2.77000,2.96000,2.63500,2.86500,6500
2024-01-09,2.80000,3.03500,2.70000,3.03500,3000
2024-01-10,3.11000,3.11000,2.73000,2.83000,10200
2024-01-11,2.84000,2.84000,2.64000,2.75000,15400
2024-01-12,2.58200,2.78000,2.56000,2.78000,8200
2024-01-16,2.60000,3.05000,2.59000,2.77000,3700
2024-01-17,2.56400,2.62500,2.50000,2.50000,8200
2024-01-18,2.50000,2.59000,2.41000,2.50000,13900
2024-01-19,2.62000,2.74000,2.50000,2.50000,6900
