date,open,high,low,close,volume
2023-12-27,282.350010,324.799990,261.600010,312.200010,31205569.00
2023-12-28,309.000000,323.450010,295.250000,297.399990,4623675.00
2023-12-29,297.700010,299.000000,289.000000,291.500000,1549391.00
2024-01-01,292.000000,292.649990,281.000000,282.250000,1380728.00
2024-01-02,282.850010,290.250000,276.799990,284.450010,1310040.00
2024-01-03,285.000000,293.450010,280.100010,280.799990,1550455.00
2024-01-04,282.250000,285.649990,279.500000,280.649990,920248.00
2024-01-05,283.000000,283.350010,276.649990,278.250000,486918.00
2024-01-08,279.000000,279.750000,267.500000,271.299990,871199.00
2024-01-09,272.000000,274.950010,266.000000,267.350010,652018.00
2024-01-10,267.549990,269.700010,264.149990,266.149990,626230.00
2024-01-11,266.299990,275.750000,266.299990,270.100010,581651.00
2024-01-12,271.950010,274.000000,271.100010,272.649990,193907.00
2024-01-16,273.700010,273.700010,266.000000,269.350010,322062.00
2024-01-17,272.399990,289.000000,270.100010,273.950010,2567758.00
2024-01-18,273.700010,275.500000,262.600010,268.250000,609081.00
2024-01-19,270.000000,273.950010,265.000000,266.149990,321118.00
2024-01-23,267.049990,267.700010,251.850010,252.850010,444380.00
2024-01-24,254.800000,258.799990,251.250000,252.100010,222893.00
2024-01-25,252.250000,255.450000,250.000000,252.250000,145875.00
2024-01-29,252.800000,262.000000,252.800000,259.450010,243923.00
2024-01-30,260.899990,263.000000,258.250000,259.549990,247797.00
2024-01-31,259.049990,266.700010,259.049990,265.149990,229559.00
2024-02-01,267.200010,275.299990,260.350010,272.399990,476825.00
2024-02-02,273.450010,278.399990,268.200010,272.549990,401474.00
2024-02-05,273.950010,273.950010,259.049990,260.500000,330280.00
2024-02-06,261.250000,262.399990,253.200000,253.899990,300596.00
2024-02-07,255.399990,263.950010,253.450000,261.000000,293109.00
2024-02-08,261.000000,264.000000,252.399990,253.500000,314432.00
2024-02-09,254.399990,256.350010,246.100010,248.950000,283655.00
2024-02-12,248.000000,250.149990,241.100010,244.750000,220309.00
2024-02-13,245.800000,245.800000,237.350010,238.450000,292709.00
2024-02-14,230.600010,247.000000,230.600010,244.899990,241872.00
2024-02-15,235.000000,250.399990,230.950000,246.100010,552037.00
2024-02-16,249.100010,253.200000,239.250000,240.050000,320450.00
2024-02-19,242.200000,242.200000,233.600010,234.850010,272895.00
2024-02-20,236.899990,237.000000,233.800000,234.250000,216600.00
2024-02-21,236.149990,237.050000,226.149990,227.200000,536773.00
2024-02-22,228.700000,234.500000,227.000000,233.450000,251927.00
2024-02-23,234.950000,235.300000,231.050000,233.350010,173402.00
2024-02-26,234.750000,235.399990,231.149990,232.100010,116643.00
2024-02-27,232.500000,239.899990,231.050000,237.250000,233758.00
2024-02-28,236.200000,239.100010,224.899990,228.450000,256217.00
2024-02-29,229.899990,230.950000,222.800000,225.000000,162292.00
2024-03-01,225.200000,229.050000,221.149990,223.100010,177490.00
2024-03-04,234.899990,236.100010,225.200000,226.500000,233394.00
2024-03-05,226.350010,226.350010,219.050000,219.550000,221590.00
2024-03-06,219.550000,221.450000,198.050000,205.200000,1114977.00
2024-03-07,208.850010,209.700000,197.050000,198.550000,754297.00
2024-03-11,199.200000,203.000000,188.750000,191.000000,610675.00
2024-03-12,191.950000,192.649990,182.550000,185.950000,517845.00
2024-03-13,185.950000,189.200000,177.000000,183.600010,718552.00
2024-03-14,185.050000,191.450000,180.050000,180.850010,612810.00
2024-03-15,180.800000,183.950000,174.800000,177.550000,418591.00
2024-03-18,178.100010,197.649990,178.100010,195.350010,1021699.00
2024-03-19,194.899990,196.450000,185.850010,186.600010,303485.00
2024-03-20,186.500000,188.450000,176.000000,177.050000,467085.00
2024-03-21,182.000000,188.000000,177.500000,179.500000,797445.00
2024-03-22,179.000000,183.350010,174.700000,179.649990,729510.00
2024-03-26,177.700000,181.000000,174.000000,175.300000,467377.00
2024-03-27,175.300000,178.850010,167.850010,169.050000,846609.00
2024-03-28,170.300000,174.899990,165.399990,166.950000,995430.00
2024-04-01,169.000000,180.399990,168.500000,179.649990,719567.00
2024-04-02,175.700000,188.000000,175.700000,186.000000,785422.00
2024-04-03,184.500000,202.000000,179.950000,197.950000,1217405.00
2024-04-04,201.399990,211.550000,201.399990,203.899990,1195013.00
2024-04-05,208.899990,208.899990,200.500000,202.500000,254898.00
2024-04-08,204.450000,205.700000,197.000000,197.450000,263588.00
2024-04-09,199.800000,201.250000,191.399990,193.649990,220638.00
2024-04-10,194.950000,194.950000,188.899990,190.600010,181889.00
2024-04-12,193.450000,195.500000,188.800000,191.450000,169289.00
2024-04-15,186.450000,188.000000,179.399990,184.750000,214872.00
2024-04-16,183.399990,187.750000,182.800000,183.700000,180599.00
2024-04-18,185.050000,192.950000,183.149990,184.649990,219470.00
2024-04-19,181.950000,185.450000,180.550000,184.050000,108548.00
2024-04-22,187.399990,188.750000,184.600010,185.050000,113470.00
2024-04-23,185.950000,190.100010,185.100010,188.700000,144644.00
2024-04-24,191.000000,192.399990,189.250000,190.950000,126539.00
2024-04-25,191.800000,193.450000,187.350010,188.649990,159943.00
2024-04-26,188.649990,189.350010,185.350010,186.500000,117022.00
2024-04-29,187.750000,188.300000,183.500000,184.149990,112408.00
2024-04-30,185.149990,186.950000,181.050000,182.750000,192694.00
2024-05-02,185.000000,188.450000,181.300000,186.600010,289481.00
2024-05-03,187.899990,188.000000,182.250000,186.399990,279207.00
2024-05-06,186.300000,187.450000,179.000000,181.550000,165186.00
2024-05-07,182.500000,183.899990,177.100010,178.700000,218184.00
2024-05-08,179.450000,182.300000,177.000000,180.050000,82940.00
2024-05-09,181.450000,181.450000,173.149990,173.899990,111404.00
2024-05-10,175.950000,176.000000,170.550000,171.750000,203659.00
2024-05-13,172.050000,173.000000,169.450000,170.600010,111848.00
2024-05-14,172.250000,173.500000,170.500000,170.950000,109911.00
2024-05-15,171.800000,174.300000,168.899990,170.149990,123010.00
2024-05-16,171.450000,173.000000,169.899990,171.750000,96524.00
2024-05-17,172.300000,177.649990,172.100010,175.250000,164411.00
2024-05-21,179.950000,180.000000,175.300000,176.200000,123806.00
2024-05-22,178.399990,178.399990,174.050000,174.950000,68904.00
2024-05-23,174.000000,176.300000,170.899990,171.399990,160179.00
2024-05-24,172.250000,173.250000,168.899990,169.100010,194574.00
2024-05-27,170.950000,172.500000,167.050000,167.700000,223823.00
2024-05-28,167.950000,173.200000,167.700000,169.600010,281039.00
2024-05-29,169.850010,170.450000,168.500000,168.950000,89547.00
2024-05-30,169.800000,173.250000,167.500000,168.200000,212849.00
2024-05-31,165.000000,166.149990,161.750000,162.200000,464358.00
2024-06-03,165.750000,168.000000,158.550000,159.950000,273804.00
2024-06-04,160.100010,160.550000,145.200000,150.850010,316607.00
2024-06-05,152.450000,160.000000,147.250000,154.550000,379933.00
2024-06-06,158.100010,162.000000,157.550000,160.300000,192714.00
2024-06-07,161.200000,162.399990,159.550000,161.399990,111322.00
2024-06-10,161.399990,166.520000,159.710010,165.810000,196980.00
2024-06-11,166.250000,166.980000,162.120000,163.370000,128577.00
2024-06-12,163.899990,164.750000,162.350010,162.920000,125338.00
2024-06-13,163.950000,172.500000,163.570010,167.970000,431441.00
2024-06-14,169.000000,176.610000,168.149990,174.050000,426399.00
2024-06-18,175.899990,175.899990,170.270000,171.679990,198449.00
2024-06-19,174.250000,174.250000,168.960010,170.300000,133686.00
2024-06-20,170.300000,171.500000,168.100010,168.920000,197227.00
2024-06-21,169.990010,171.450000,167.500000,169.580000,181672.00
2024-06-24,169.000000,169.610000,165.940000,167.580000,158447.00
2024-06-25,169.600010,169.600010,166.000000,166.399990,80043.00
2024-06-26,166.700000,166.700000,164.300000,164.730000,97877.00
2024-06-27,165.000000,165.149990,161.000000,162.990010,89602.00
2024-06-28,164.520000,164.520000,161.590000,163.500000,115898.00
2024-07-01,165.000000,170.500000,164.000000,169.880000,209174.00
2024-07-02,170.500000,171.899990,166.000000,166.780000,137824.00
2024-07-03,167.800000,174.240010,167.800000,172.929990,299966.00
2024-07-04,173.399990,174.399990,168.990010,169.740010,193059.00
2024-07-05,172.000000,172.399990,168.050000,168.520000,146371.00
2024-07-08,168.000000,172.700000,167.110000,169.170000,174105.00
2024-07-09,169.500000,170.700000,167.200000,167.890000,92052.00
2024-07-10,168.350010,172.000000,164.830000,170.610000,135391.00
2024-07-11,171.600010,178.500000,169.690000,175.590000,453199.00
2024-07-12,176.399990,178.399990,171.500000,172.179990,175292.00
2024-07-15,172.800000,175.800000,169.009990,172.429990,132981.00
2024-07-16,172.429990,174.350010,169.030000,170.140000,105769.00
2024-07-18,171.600010,171.600010,165.250000,167.179990,114201.00
2024-07-19,168.399990,168.470000,162.800000,163.340000,101131.00
2024-07-22,163.340000,164.920000,160.300000,160.610000,149035.00
2024-07-23,161.410000,161.410000,156.410000,158.390000,191800.00
2024-07-24,159.000000,162.190000,159.000000,160.130000,162818.00
2024-07-25,161.000000,161.000000,158.940000,159.770000,106483.00
2024-07-26,161.990010,163.490010,159.550000,160.340000,147721.00
2024-07-29,161.899990,162.539990,159.509990,159.910000,230129.00
2024-07-30,161.600010,161.600010,159.700000,159.830000,152613.00
2024-07-31,160.000000,162.000000,159.950000,160.330000,323315.00
