date,open,high,low,close,volume
2022-09-12,61.00000,64.00000,61.00000,62.10000,64235
2022-09-13,63.45000,66.00000,61.55000,62.85000,87999
2022-09-14,60.15000,66.00000,60.15000,62.00000,44381
2022-09-15,62.35000,65.00000,61.50000,63.85000,69726
2022-09-16,64.70000,64.70000,60.70000,61.10000,15320
2022-09-19,61.15000,61.15000,59.40000,59.50000,15250
2022-09-20,61.50000,61.50000,59.25000,59.90000,4279
2022-09-21,59.05000,59.55000,58.00000,58.55000,7599
2022-09-22,58.55000,60.55000,58.05000,59.35000,15962
2022-09-23,59.80000,60.60000,58.15000,58.85000,11911
2022-09-26,58.90000,58.90000,55.05000,56.05000,8935
2022-09-27,55.15000,60.00000,54.55000,58.15000,20944
2022-09-28,57.95000,57.95000,56.50000,57.45000,5158
2022-09-29,58.95000,59.95000,55.35000,55.90000,8232
2022-09-30,56.05000,57.00000,55.25000,56.60000,10588
2022-10-03,54.30000,58.90000,54.30000,56.25000,6734
2022-10-04,55.55000,59.00000,55.55000,58.15000,12378
2022-10-06,59.80000,59.90000,57.70000,58.85000,9685
2022-10-07,59.65000,62.05000,58.20000,61.50000,42376
2022-10-10,61.95000,64.45000,60.25000,63.15000,74760
2022-10-11,64.00000,64.90000,57.50000,59.25000,64709
2022-10-12,60.00000,61.80000,59.25000,59.90000,15544
2022-10-13,61.40000,61.60000,59.20000,59.80000,7524
2022-10-14,61.00000,63.20000,59.65000,61.55000,36493
2022-10-17,62.80000,66.00000,60.80000,63.70000,74795
2022-10-18,64.40000,64.65000,62.00000,62.85000,18431
2022-10-19,63.40000,63.40000,54.70000,59.55000,29570
2022-10-20,59.90000,61.50000,58.15000,60.55000,18443
2022-10-21,60.95000,62.25000,60.90000,61.55000,11130
2022-10-24,62.60000,63.80000,56.80000,62.20000,11822
2022-10-25,62.70000,62.70000,60.10000,60.35000,5178
2022-10-27,61.55000,61.55000,59.25000,59.95000,2314
2022-10-28,59.75000,60.70000,57.55000,57.90000,9520
2022-10-31,59.95000,59.95000,57.55000,58.05000,6343
2022-11-01,58.20000,62.60000,58.05000,60.40000,24939
2022-11-02,61.30000,65.75000,59.50000,61.90000,116327
2022-11-03,62.30000,63.00000,61.05000,62.05000,6659
2022-11-04,60.30000,64.75000,60.30000,61.75000,13950
2022-11-07,61.75000,62.00000,60.20000,61.05000,13673
2022-11-09,60.15000,63.50000,60.15000,60.65000,8073
2022-11-10,60.65000,60.65000,58.65000,58.85000,9362
2022-11-11,60.00000,64.95000,58.15000,61.10000,106915
2022-11-14,63.15000,64.80000,60.60000,61.75000,73475
2022-11-15,61.80000,61.80000,57.65000,58.95000,32422
2022-11-16,60.15000,60.15000,56.15000,57.50000,19537
2022-11-17,58.00000,58.25000,55.85000,56.85000,14982
2022-11-18,57.90000,57.90000,56.45000,56.80000,15023
2022-11-21,58.10000,58.65000,55.50000,55.75000,6342
2022-11-22,55.30000,55.50000,52.00000,53.10000,19362
2022-11-23,53.15000,56.00000,52.25000,54.80000,26555
2022-11-24,55.20000,55.80000,51.15000,54.10000,15763
2022-11-25,55.80000,56.25000,54.50000,55.55000,11761
2022-11-28,56.00000,57.60000,56.00000,57.10000,12162
2022-11-29,57.00000,57.70000,55.55000,55.90000,3872
2022-11-30,55.90000,57.80000,55.50000,56.90000,17689
2022-12-01,56.30000,59.35000,56.30000,58.15000,20381
2022-12-02,58.55000,60.00000,58.00000,59.35000,17469
2022-12-05,59.20000,61.35000,58.10000,60.15000,44729
2022-12-06,60.60000,61.10000,59.25000,60.50000,14107
2022-12-07,61.00000,61.55000,60.15000,60.50000,11437
2022-12-08,60.90000,60.90000,59.15000,59.30000,10612
2022-12-09,61.00000,61.00000,56.70000,57.30000,28748
2022-12-12,57.90000,61.55000,55.30000,56.90000,70720
2022-12-13,57.30000,58.10000,55.95000,56.55000,15214
2022-12-14,57.95000,57.95000,56.55000,57.35000,9362
2022-12-15,57.10000,57.80000,57.10000,57.25000,7802
2022-12-16,57.10000,57.85000,50.35000,55.55000,33536
2022-12-19,55.75000,57.50000,55.65000,57.00000,10746
2022-12-20,57.35000,57.35000,54.60000,55.95000,20363
2022-12-21,56.10000,57.00000,54.20000,54.45000,10531
2022-12-22,54.10000,55.70000,50.05000,51.95000,20190
2022-12-23,53.70000,53.70000,50.55000,50.95000,18820
2022-12-26,52.05000,53.45000,50.85000,51.70000,12869
2022-12-27,53.45000,53.45000,51.55000,52.30000,4157
2022-12-28,51.75000,52.95000,51.70000,52.75000,9531
2022-12-29,52.75000,55.15000,52.10000,53.15000,8847
2022-12-30,53.95000,54.75000,52.50000,53.00000,7239
2023-01-02,53.50000,54.70000,52.60000,54.10000,5921
2023-01-03,54.75000,54.80000,52.30000,53.50000,12362
2023-01-04,54.45000,54.70000,53.30000,53.95000,8198
2023-01-05,55.00000,56.20000,53.55000,54.95000,23481
2023-01-06,55.90000,55.90000,54.15000,54.35000,8163
2023-01-09,54.80000,55.00000,54.35000,55.00000,4444
2023-01-10,55.00000,55.00000,53.60000,53.70000,2482
2023-01-11,53.55000,55.30000,53.20000,54.25000,4161
2023-01-12,54.25000,56.00000,53.85000,54.35000,13606
2023-01-13,55.80000,55.80000,54.25000,55.20000,11887
2023-01-16,56.00000,56.00000,53.30000,53.60000,10107
2023-01-17,55.30000,55.30000,53.00000,53.15000,2715
2023-01-18,54.90000,58.70000,53.20000,56.85000,109836
2023-01-19,56.70000,56.75000,55.30000,55.55000,6528
2023-01-20,55.35000,56.25000,54.55000,55.30000,21498
2023-01-23,55.40000,56.45000,54.70000,55.50000,5183
2023-01-24,55.35000,56.00000,54.25000,54.85000,2823
2023-01-25,55.20000,58.00000,54.80000,55.00000,21038
2023-01-27,55.05000,59.25000,54.25000,55.10000,88054
2023-01-30,54.60000,56.40000,54.00000,54.70000,7485
2023-01-31,54.15000,55.75000,54.10000,54.80000,9676
