date,open,high,low,close,volume
2023-09-27,12.50000,12.73000,12.45000,12.65000,585800
2023-09-28,12.63000,12.88000,12.55000,12.75000,617300
2023-09-29,12.82000,12.84000,12.59000,12.68000,748800
2023-10-02,12.59000,12.65000,12.53000,12.58000,610900
2023-10-03,12.53000,12.65000,12.47000,12.55000,620800
2023-10-04,12.53000,12.78000,12.48000,12.75000,620400
2023-10-05,12.80000,12.89000,12.67000,12.74000,836800
2023-10-06,12.69000,12.96000,12.68000,12.88000,587200
2023-10-09,12.80000,12.96000,12.72000,12.84000,790300
2023-10-10,12.89000,13.02000,12.76000,12.80000,697600
2023-10-11,12.78000,13.03000,12.78000,13.02000,1292600
2023-10-12,13.06000,13.13000,12.76000,12.91000,889400
2023-10-13,12.89000,12.99000,12.62000,12.74000,714300
2023-10-16,12.86000,12.98000,12.64000,12.98000,1456300
2023-10-17,12.92000,13.23000,12.90000,12.95000,924400
2023-10-18,12.80000,12.80000,12.30000,12.31000,833600
2023-10-19,12.26000,12.53000,12.13000,12.30000,835800
2023-10-20,12.33000,12.41000,12.20000,12.25000,2000800
2023-10-23,12.31000,12.39000,12.18000,12.21000,862500
2023-10-24,12.33000,12.58000,12.22000,12.55000,1082300
2023-10-25,12.64000,12.76000,12.40000,12.58000,1262100
2023-10-26,12.64000,12.81000,12.56000,12.61000,955700
2023-10-27,12.57000,12.67000,12.39000,12.48000,816900
2023-10-30,12.35000,12.58000,12.13000,12.22000,1016100
2023-10-31,12.46000,12.47000,12.24000,12.37000,1962700
2023-11-01,12.37000,12.37000,12.13000,12.31000,1158300
2023-11-02,12.56000,12.63000,12.41000,12.60000,1141900
2023-11-03,13.01000,13.11000,12.84000,13.02000,1820200
2023-11-06,13.09000,13.19000,12.91000,13.06000,1068200
2023-11-07,13.11000,13.11000,12.66000,12.74000,696400
2023-11-08,12.58000,12.66000,12.39000,12.57000,925500
2023-11-09,12.68000,12.77000,12.59000,12.76000,907500
2023-11-10,12.82000,12.92000,12.69000,12.87000,661200
2023-11-13,12.85000,12.91000,12.76000,12.87000,585400
2023-11-14,13.18000,13.34000,13.11000,13.33000,818200
2023-11-15,13.36000,13.47000,13.23000,13.26000,610100
2023-11-16,13.24000,13.26000,13.15000,13.21000,533800
2023-11-17,13.27000,13.35000,13.20000,13.28000,652300
2023-11-20,13.26000,13.26000,13.09000,13.22000,1093200
2023-11-21,13.18000,13.19000,13.08000,13.09000,434100
2023-11-22,13.18000,13.28000,13.12000,13.22000,796300
2023-11-24,13.20000,13.38000,13.19000,13.34000,305000
2023-11-27,13.30000,13.38000,13.21000,13.31000,594800
2023-11-28,13.26000,13.39000,13.12000,13.22000,623700
2023-11-29,13.31000,13.41000,13.23000,13.28000,580700
2023-11-30,13.26000,13.45000,13.08000,13.29000,1110800
2023-12-01,13.32000,13.63000,13.28000,13.55000,977200
2023-12-04,13.47000,13.71000,13.42000,13.70000,557800
2023-12-05,13.60000,13.61000,13.40000,13.48000,478300
2023-12-06,13.58000,13.80000,13.53000,13.53000,599300
2023-12-07,13.60000,13.62000,13.45000,13.58000,501600
2023-12-08,13.60000,13.76000,13.60000,13.71000,783400
2023-12-11,13.70000,13.81000,13.62000,13.79000,701200
2023-12-12,13.85000,13.85000,13.71000,13.74000,582000
2023-12-13,13.82000,14.09000,13.63000,14.06000,1217600
2023-12-14,13.82000,15.06000,13.82000,14.76000,1763400
2023-12-15,14.73000,14.73000,13.90000,13.95000,2754500
2023-12-18,14.07000,14.27000,13.94000,14.22000,1230800
2023-12-19,14.28000,14.41000,14.11000,14.28000,1291400
2023-12-20,14.26000,14.50000,14.17000,14.17000,796500
2023-12-21,14.30000,14.33000,14.11000,14.19000,1258500
2023-12-22,14.31000,14.53000,14.27000,14.46000,833900
2023-12-26,14.51000,14.71000,14.38000,14.64000,723700
2023-12-27,14.72000,14.78000,14.63000,14.67000,721200
2023-12-28,14.58000,14.69000,14.52000,14.60000,588300
2023-12-29,14.54000,14.65000,14.39000,14.40000,465300
2024-01-02,14.30000,14.34000,14.02000,14.13000,684200
2024-01-03,14.05000,14.05000,13.80000,13.85000,928500
2024-01-04,13.83000,13.94000,13.81000,13.83000,558600
2024-01-05,13.76000,13.97000,13.70000,13.73000,790500
2024-01-08,13.75000,14.01000,13.73000,14.00000,622900
2024-01-09,13.82000,13.82000,13.71000,13.77000,481100
2024-01-10,13.73000,13.86000,13.73000,13.85000,620000
2024-01-11,13.80000,13.86000,13.68000,13.81000,554300
2024-01-12,13.99000,13.99000,13.80000,13.86000,466500
2024-01-16,13.73000,13.94000,13.73000,13.87000,575200
2024-01-17,13.65000,13.78000,13.56000,13.65000,567600
2024-01-18,13.70000,13.96000,13.68000,13.95000,783400
2024-01-19,14.00000,14.13000,13.84000,14.08000,1924800
2024-01-22,14.16000,14.39000,14.16000,14.37000,678500
2024-01-23,14.44000,14.48000,14.22000,14.22000,860900
2024-01-24,14.33000,14.37000,13.84000,13.86000,698000
2024-01-25,14.01000,14.04000,13.79000,13.89000,1010400
2024-01-26,14.01000,14.06000,13.83000,13.83000,451300
2024-01-29,13.81000,14.12000,13.73000,14.12000,532500
2024-01-30,14.02000,14.11000,13.97000,14.02000,809100
2024-01-31,14.03000,14.03000,13.71000,13.71000,950300
2024-02-01,13.85000,13.94000,13.69000,13.92000,607800
2024-02-02,13.75000,13.93000,13.69000,13.91000,557900
2024-02-05,13.68000,13.77000,13.53000,13.59000,770100
2024-02-06,13.55000,13.75000,13.49000,13.69000,805000
2024-02-07,13.72000,13.91000,13.64000,13.75000,708100
2024-02-08,13.73000,13.91000,13.67000,13.89000,978400
2024-02-09,14.82000,15.31000,14.43000,15.23000,2831900
2024-02-12,15.46000,15.86000,15.45000,15.71000,1924400
2024-02-13,15.31000,15.48000,14.98000,15.18000,1505900
2024-02-14,15.44000,15.58000,15.28000,15.48000,1353800
2024-02-15,15.55000,16.16000,15.55000,16.12000,2043800
2024-02-16,16.01000,16.93000,15.93000,16.00000,2209200
2024-02-20,15.74000,15.88000,15.48000,15.64000,2743800
2024-02-21,15.61000,15.79000,15.60000,15.68000,1463100
2024-02-22,15.67000,15.78000,15.60000,15.77000,1427200
2024-02-23,15.80000,15.98000,15.73000,15.85000,829500
