date,open,high,low,close,volume
2025-03-21,3.00000,3.10900,2.97000,3.09000,1084000
2025-03-24,3.14000,3.17000,3.07000,3.15000,415500
2025-03-25,3.07000,3.12000,2.99000,3.10000,438400
2025-03-26,3.10000,3.10000,2.77000,2.78000,473600
2025-03-27,2.81000,2.90000,2.71500,2.82000,522500
2025-03-28,2.79000,2.82000,2.70100,2.73000,279100
2025-03-31,2.66000,2.77000,2.62000,2.73000,524600
2025-04-01,2.70000,2.75500,2.64000,2.71000,485800
2025-04-02,2.67000,2.78500,2.63000,2.76000,316900
2025-04-03,2.68000,2.79000,2.53500,2.60000,750900
2025-04-04,2.48000,2.53500,2.41000,2.45000,587900
2025-04-07,2.36000,2.58000,2.29000,2.47000,759400
2025-04-08,2.55000,2.55000,2.25000,2.33000,681700
2025-04-09,2.29000,2.59500,2.25000,2.53000,791500
2025-04-10,2.53000,2.53000,2.21000,2.34000,1158200
2025-04-11,2.33000,2.58000,2.30000,2.58000,445100
2025-04-14,2.62000,2.72000,2.51000,2.60000,693300
2025-04-15,2.41000,2.74000,2.29000,2.65000,1378400
2025-04-16,2.63000,2.67000,2.50000,2.55000,694200
2025-04-17,2.53000,2.63000,2.52500,2.61000,472300
2025-04-21,2.57000,2.67500,2.53000,2.57000,545500
2025-04-22,2.61000,2.84000,2.61000,2.73000,629000
2025-04-23,2.78000,2.89000,2.71000,2.81000,1412800
2025-04-24,2.82000,2.89000,2.78000,2.84000,429400
2025-04-25,2.85000,2.88000,2.79000,2.88000,289900
2025-04-28,2.88000,2.95500,2.83000,2.92000,868500
2025-04-29,2.92000,2.93000,2.87000,2.91000,494500
2025-04-30,2.86000,2.88500,2.80000,2.84000,562300
2025-05-01,2.85000,2.87500,2.75500,2.79000,316000
2025-05-02,2.83000,2.87500,2.80000,2.82000,243100
2025-05-05,2.79000,2.80000,2.65000,2.67000,388900
2025-05-06,2.64000,2.76500,2.60000,2.66000,2126800
2025-05-07,2.69000,2.86000,2.66000,2.74000,603700
2025-05-08,2.45000,2.74000,2.39500,2.43000,1329200
2025-05-09,2.43000,2.43000,2.29000,2.35500,1936100
2025-05-12,2.42000,2.46900,2.23000,2.27000,1013300
