date,open,high,low,close,volume
2019-01-31,13.25000,13.78000,12.90000,13.07000,4047000
2019-02-01,13.50000,14.00000,13.44000,13.95000,984800
2019-02-04,13.96000,14.05000,13.81000,13.99000,289200
2019-02-05,14.00000,14.12000,13.85000,13.98000,533100
2019-02-06,14.05000,14.05000,13.85000,14.00000,407300
2019-02-07,14.08000,14.09000,13.90000,14.06000,400600
2019-02-08,13.96000,14.25600,13.95000,14.00000,230100
2019-02-11,14.23000,14.23000,14.01000,14.09000,212500
2019-02-12,14.03000,14.20000,13.95000,14.07000,124600
2019-02-13,14.11000,14.14000,13.62000,14.00000,90300
2019-02-14,14.04000,14.06000,13.95000,14.00000,46600
2019-02-15,14.02000,14.08000,13.99000,14.01000,164300
2019-02-19,14.02000,14.08000,14.00000,14.00000,106000
2019-02-20,14.00000,14.07000,13.90000,14.07000,291800
2019-02-21,14.09000,14.10000,13.95000,14.02000,91000
2019-02-22,14.05000,14.05000,14.00000,14.00000,81900
2019-02-25,14.05000,14.65000,13.90000,14.00000,403900
2019-02-26,14.04000,14.84000,14.02100,14.62000,252000
2019-02-27,14.59000,15.83000,14.28500,15.64000,244600
2019-02-28,15.60000,16.00000,15.00000,15.42000,203900
2019-03-01,15.57000,16.05000,15.35000,15.91000,110900
2019-03-04,15.95000,16.10600,14.16000,14.75000,408300
2019-03-05,14.75000,14.75000,14.41000,14.65000,200200
2019-03-06,14.65000,14.70500,14.19700,14.51000,231100
2019-03-07,14.50000,14.70000,14.32000,14.53000,149300
2019-03-08,14.66000,14.70000,14.27000,14.28000,123500
2019-03-11,14.35000,14.38800,12.50000,12.76000,551500
2019-03-12,12.82000,13.01000,12.06000,12.47000,268000
2019-03-13,12.51000,12.51000,11.75000,11.99000,297800
2019-03-14,11.95000,11.95000,10.40000,11.07000,686900
2019-03-15,11.01000,11.12000,9.93000,10.28000,423500
2019-03-18,10.28000,11.55000,10.28000,11.25000,714400
2019-03-19,11.20000,11.54500,11.01000,11.23000,532300
2019-03-20,11.19000,11.53000,10.66000,10.89000,326800
2019-03-21,10.94000,11.22000,10.64500,10.86000,179900
2019-03-22,10.79000,10.85000,10.05000,10.16000,201900
2019-03-25,10.20000,10.42700,9.56000,9.85000,115000
2019-03-26,9.85000,10.18000,9.61000,9.73000,46200
2019-03-27,9.78000,9.92000,8.90000,9.51000,221100
2019-03-28,9.45000,10.39200,9.34000,9.91000,1543100
2019-03-29,10.24000,11.93000,9.55000,11.68000,575300
2019-04-01,11.75000,12.04000,10.72000,11.13000,236500
2019-04-02,11.23000,11.75000,11.10000,11.41000,99200
2019-04-03,11.66000,12.30000,11.37000,12.26000,155700
2019-04-04,12.22000,12.71000,12.05200,12.18000,112100
2019-04-05,12.19000,12.67000,12.00000,12.65000,86900
2019-04-08,12.76000,12.89000,12.15000,12.35000,79800
2019-04-09,12.28000,13.10900,11.81000,11.93000,114300
2019-04-10,11.97000,12.25000,11.68000,11.80000,69000
2019-04-11,11.81000,12.32500,11.28000,11.41000,208200
2019-04-12,11.47000,11.66000,10.61000,10.97000,82100
2019-04-15,11.00000,11.18000,10.50000,10.76000,89400
2019-04-16,10.79000,11.35000,10.63000,11.10000,55000
2019-04-17,11.16000,11.18000,10.91000,11.05000,22500
2019-04-18,11.00000,11.11000,10.70000,10.77000,62500
2019-04-22,11.15000,12.06000,10.69000,12.03000,313300
2019-04-23,12.23000,13.25000,12.05000,12.69000,199200
2019-04-24,12.70000,12.86800,11.92000,12.03000,66200
2019-04-25,11.96000,12.21000,11.77000,12.02000,32400
2019-04-26,11.98000,12.17000,11.49000,11.84000,86200
2019-04-29,12.01000,13.20000,11.52000,12.79000,102400
2019-04-30,12.79000,12.94900,12.01000,12.56000,71200
2019-05-01,12.56000,12.88000,12.16000,12.74000,27200
2019-05-02,12.76000,12.91700,12.50000,12.71000,45600
2019-05-03,12.78000,12.98000,12.61000,12.90000,63700
2019-05-06,12.82000,12.90000,12.42000,12.65000,47600
2019-05-07,12.82000,12.82200,12.16000,12.18000,55200
2019-05-08,12.32000,12.32000,11.37000,12.09000,71800
2019-05-09,12.02000,13.18500,11.56000,12.29000,118300
2019-05-10,12.21000,12.37000,11.57000,11.87000,47500
2019-05-13,11.77000,11.87000,11.04000,11.11000,86800
2019-05-14,11.16000,11.40000,10.84000,11.34000,113900
2019-05-15,11.50000,12.15300,11.35000,11.65000,207200
2019-05-16,11.88000,11.88000,10.97000,11.33000,124600
2019-05-17,11.50000,12.28000,11.50000,12.10000,113600
2019-05-20,12.10000,13.06000,12.07000,13.02000,325300
2019-05-21,13.20000,13.50200,12.50000,12.97000,83000
2019-05-22,12.66000,13.06000,11.50000,12.86000,51400
2019-05-23,12.77000,13.38000,12.60000,13.38000,157800
2019-05-24,12.98000,13.51000,12.85500,13.22000,111300
2019-05-28,13.30000,13.47000,12.62300,12.91000,86100
2019-05-29,12.93000,13.00000,12.22000,12.25000,59400
2019-05-30,12.25000,12.30000,11.50000,11.77000,66800
2019-05-31,11.78000,11.78000,10.85000,10.88000,188100
2019-06-03,10.91000,11.22500,9.60000,10.10000,351700
2019-06-04,10.19000,10.69000,9.78000,10.38000,185500
2019-06-05,10.39000,10.66000,10.00000,10.50000,164500
2019-06-06,10.40000,10.63000,9.93000,10.49000,126700
2019-06-07,10.51000,10.56000,9.76000,10.25000,120100
2019-06-10,10.30000,10.30000,9.85000,10.00000,136000
2019-06-11,10.07000,10.08000,9.34000,9.65000,153700
2019-06-12,9.66000,10.26000,9.50000,9.69000,162000
2019-06-13,9.72000,10.19000,9.72000,10.02000,148600
2019-06-14,10.07000,10.50000,9.81000,10.18000,130900
2019-06-17,10.18000,10.39000,9.80000,10.22000,74000
2019-06-18,10.35000,10.41000,10.03000,10.34000,128400
2019-06-19,10.36000,10.40000,10.01000,10.13000,112600
2019-06-20,10.22000,10.35000,10.00000,10.06000,59800
2019-06-21,10.10000,10.85000,10.01000,10.55000,149500
2019-06-24,10.59000,10.82000,10.36000,10.60000,101200
2019-06-25,10.70000,11.13000,10.43000,10.86000,120300
2019-06-26,10.93000,11.15000,10.85000,11.05000,86300
2019-06-27,11.08000,11.10000,10.70500,10.92000,74600
2019-06-28,10.91000,11.84000,10.91000,11.71000,108600
2019-07-01,11.80000,11.99000,11.13000,11.87000,111300
2019-07-02,11.57000,11.84000,11.11000,11.37000,227400
2019-07-03,11.41000,11.88000,11.28000,11.84000,41600
2019-07-05,11.78000,11.97000,11.28000,11.42000,43600
2019-07-08,11.45000,11.72000,11.15000,11.61000,39200
2019-07-09,11.65000,11.72000,11.36000,11.62000,42500
