date,open,high,low,close,volume
2025-03-28,42.25000,42.32000,41.82000,42.09000,1100900
2025-03-31,42.28000,42.83000,42.18000,42.65000,1470300
2025-04-01,42.88000,42.89000,42.01000,42.50000,1239700
2025-04-02,42.57000,42.71000,42.12000,42.41000,788800
2025-04-03,42.68000,42.87000,41.60000,41.89000,2242400
2025-04-04,41.45000,42.31000,40.48000,40.56000,3003500
2025-04-07,39.74000,40.26000,38.22000,38.49000,3455500
2025-04-08,39.18000,39.41000,37.21000,37.56000,3054600
2025-04-09,36.83000,39.44000,35.80000,39.22000,3254100
2025-04-10,39.11000,39.76000,38.15000,39.07000,2103900
2025-04-11,38.88000,39.83000,38.44000,39.70000,1930500
2025-04-14,40.00000,40.82000,39.86000,40.64000,960200
2025-04-15,40.54000,41.28000,40.39000,40.90000,1370800
2025-04-16,41.21000,41.85000,40.90000,41.36000,1622500
2025-04-17,41.25000,42.03000,41.25000,41.63000,951200
2025-04-21,41.33000,41.83000,40.85000,41.26000,1041800
2025-04-22,41.63000,42.01000,41.04000,41.47000,1373800
2025-04-23,41.62000,41.72000,40.60000,41.12000,1694400
2025-04-24,41.12000,41.35000,40.77000,40.96000,1284700
2025-04-25,40.95000,41.07000,40.61000,40.85000,1118900
2025-04-28,40.80000,41.18000,40.68000,41.12000,857100
2025-04-29,41.09000,41.53000,40.88000,41.38000,1107000
2025-04-30,40.81000,41.15000,40.21000,41.11000,1693900
2025-05-01,41.79000,41.79000,40.62000,41.23000,1572300
2025-05-02,41.52000,41.85000,41.14000,41.75000,1432200
2025-05-05,41.80000,42.50000,41.65000,42.29000,2007000
2025-05-06,42.32000,42.46000,41.94000,42.01000,893100
2025-05-07,41.94000,42.25000,41.71000,41.73000,1025000
2025-05-08,41.79000,41.93000,41.36000,41.46000,667500
2025-05-09,41.59000,41.91000,41.25000,41.69000,684700
2025-05-12,41.67000,41.91000,41.14000,41.50000,1013600
2025-05-13,41.58000,41.58000,40.60000,40.83000,896500
2025-05-14,40.69000,40.75000,40.20000,40.65000,918700
2025-05-15,40.91000,41.50000,40.90000,41.48000,872100
2025-05-16,41.50000,42.03000,41.45000,42.00000,777200
2025-05-19,41.79000,42.14000,41.74000,42.05000,837200
2025-05-20,41.88000,42.18000,41.71000,41.83000,733600
2025-05-21,41.83000,41.83000,41.04000,41.09000,818700
2025-05-22,41.03000,41.13000,40.54000,41.01000,1162000
2025-05-23,41.17000,41.28000,40.71000,41.13000,806100
2025-05-27,41.47000,41.94000,41.17000,41.79000,860200
2025-05-28,41.78000,41.79000,41.13000,41.14000,1416800
2025-05-29,41.07000,41.66000,41.00000,41.50000,761600
2025-05-30,41.50000,41.87000,41.36000,41.76000,1127500
2025-06-02,41.46000,41.92000,41.21000,41.80000,726900
2025-06-03,41.53000,41.81000,41.46000,41.56000,762300
2025-06-04,41.56000,41.60000,41.06000,41.40000,948000
2025-06-05,41.45000,41.49000,41.09000,41.30000,843400
2025-06-06,41.36000,41.72000,41.36000,41.69000,885700
2025-06-09,41.52000,42.48000,41.52000,42.25000,1332200
2025-06-10,42.30000,42.70000,42.29000,42.50000,1024200
2025-06-11,42.52000,42.91000,42.32000,42.47000,874900
2025-06-12,42.58000,42.64000,42.22000,42.55000,601300
2025-06-13,42.48000,42.68000,42.14000,42.42000,735700
2025-06-16,42.48000,42.74000,41.89000,42.01000,676000
2025-06-17,42.01000,42.49000,41.75000,42.40000,1018900
2025-06-18,42.51000,43.04000,42.34000,42.70000,761100
2025-06-20,42.69000,42.96000,42.38000,42.50000,1395800
2025-06-23,42.59000,43.53000,42.59000,43.42000,1155100
2025-06-24,43.36000,43.50000,42.89000,43.00000,888400
2025-06-25,42.84000,43.24000,42.38000,42.79000,1573900
2025-06-26,43.10000,43.17000,42.70000,43.12000,1483300
2025-06-27,43.07000,43.41000,42.66000,42.88000,1504000
2025-06-30,42.78000,43.21000,42.41000,43.18000,1046100
2025-07-01,43.24000,43.89000,43.06000,43.56000,1348300
2025-07-02,43.53000,43.81000,43.27000,43.68000,930100
2025-07-03,43.70000,43.77000,43.35000,43.51000,866400
2025-07-07,43.68000,43.85000,43.19000,43.34000,961900
2025-07-08,43.02000,43.49000,43.02000,43.21000,1092100
2025-07-09,43.29000,43.34000,42.79000,42.88000,1195100
2025-07-10,42.86000,43.45000,42.77000,43.13000,1178200
2025-07-11,43.04000,43.36000,42.77000,43.16000,1233800
2025-07-14,43.25000,44.15000,43.17000,44.10000,1597800
2025-07-15,44.17000,44.23000,42.88000,42.89000,1156400
2025-07-16,42.92000,43.29000,42.77000,43.15000,1152800
2025-07-17,43.08000,43.26000,42.52000,42.74000,1257500
2025-07-18,42.74000,43.11000,42.54000,42.75000,734000
2025-07-21,42.94000,43.13000,42.70000,42.83000,866100
2025-07-22,42.50000,43.41000,42.50000,43.35000,1250700
2025-07-23,43.28000,43.50000,42.84000,43.18000,1337900
2025-07-24,43.18000,43.23000,42.72000,42.72000,1007100
2025-07-25,42.81000,42.99000,42.27000,42.74000,1159600
2025-07-28,42.79000,42.79000,42.07000,42.07000,1245800
2025-07-29,42.32000,42.74000,42.02000,42.62000,1255600
2025-07-30,42.65000,42.82000,41.88000,42.10000,1527500
2025-07-31,41.27000,41.67000,41.03000,41.26000,2014800
2025-08-01,41.69000,42.03000,41.43000,42.02000,1776500
2025-08-04,42.10000,43.09000,41.93000,43.05000,2173300
2025-08-05,42.51000,42.93000,41.92000,41.98000,2799100
2025-08-06,42.08000,42.35000,41.33000,41.35000,1269600
2025-08-07,41.46000,42.03000,41.22000,41.93000,1340300
2025-08-08,41.93000,42.27000,41.75000,41.84000,691100
2025-08-11,41.83000,41.97000,41.49000,41.57000,727000
2025-08-12,41.70000,41.82000,41.20000,41.64000,786500
2025-08-13,41.74000,41.80000,41.19000,41.61000,2106200
2025-08-14,41.40000,41.59000,40.95000,41.14000,2434200
2025-08-15,41.20000,41.53000,41.09000,41.32000,1114900
2025-08-18,41.43000,41.43000,40.65000,40.68000,1374300
2025-08-19,40.74000,41.66000,40.74000,41.62000,1578900
2025-08-20,41.85000,42.48000,41.76000,42.29000,1199700
2025-08-21,42.11000,42.36000,42.09000,42.13000,1035800
2025-08-22,42.31000,42.75000,42.31000,42.41000,1192300
2025-08-25,42.39000,42.56000,41.85000,42.03000,1243000
2025-08-26,42.04000,42.19000,41.82000,41.94000,875100
2025-08-27,42.05000,42.52000,42.04000,42.39000,1222600
2025-08-28,42.41000,42.42000,41.94000,42.18000,785300
2025-08-29,42.30000,42.95000,42.17000,42.91000,1307000
2025-09-02,42.76000,42.80000,41.82000,42.13000,1501300
2025-09-03,42.00000,42.59000,41.99000,42.53000,934800
2025-09-04,42.64000,42.86000,42.17000,42.38000,945000
2025-09-05,42.56000,43.35000,42.53000,43.35000,1785800
2025-09-08,42.93000,43.23000,42.70000,43.01000,1678400
2025-09-09,42.75000,42.97000,42.49000,42.68000,1274000
2025-09-10,42.68000,42.88000,42.59000,42.68000,1151800
2025-09-11,42.80000,43.35000,42.69000,43.29000,1385900
2025-09-12,43.25000,43.35000,43.02000,43.02000,1022500
2025-09-15,43.09000,43.21000,42.78000,42.96000,1085500
2025-09-16,42.91000,43.02000,42.36000,42.55000,1365500
2025-09-17,42.69000,43.24000,42.57000,42.57000,1770300
2025-09-18,42.41000,42.73000,42.24000,42.28000,1022600
2025-09-19,42.19000,42.54000,42.04000,42.12000,1724900
2025-09-22,42.22000,42.27000,41.76000,41.79000,1362300
2025-09-23,41.85000,42.19000,41.70000,42.11000,1126600
2025-09-24,42.03000,42.23000,41.90000,42.00000,1056800
2025-09-25,42.22000,42.34000,41.76000,42.02000,2269700
2025-09-26,42.22000,42.55000,42.07000,42.37000,1577500
2025-09-29,42.45000,42.62000,41.94000,42.13000,950900
2025-09-30,42.25000,42.58000,42.11000,42.57000,1413300
2025-10-01,42.68000,43.06000,42.52000,42.98000,976600
2025-10-02,42.80000,43.02000,42.43000,42.91000,964600
2025-10-03,42.94000,43.39000,42.79000,42.82000,854800
2025-10-06,42.69000,42.80000,42.34000,42.40000,785300
2025-10-07,42.50000,42.55000,42.12000,42.24000,819900
2025-10-08,42.23000,42.28000,41.89000,42.01000,727000
2025-10-09,42.10000,42.41000,41.82000,41.96000,615000
2025-10-10,42.19000,42.26000,41.64000,41.68000,840900
2025-10-13,41.50000,42.31000,41.50000,42.26000,982800
2025-10-14,42.26000,42.47000,42.08000,42.22000,958300
2025-10-15,42.27000,42.71000,42.27000,42.63000,970900
2025-10-16,42.73000,42.85000,42.24000,42.28000,1024500
2025-10-17,42.29000,42.79000,42.23000,42.76000,910200
2025-10-20,42.76000,43.00000,42.48000,42.71000,805700
2025-10-21,42.69000,42.88000,42.11000,42.16000,1465700
2025-10-22,42.33000,42.37000,41.93000,42.25000,1227800
2025-10-23,42.31000,42.38000,41.86000,42.27000,1393100
2025-10-24,42.30000,42.53000,42.11000,42.15000,1383700
2025-10-27,42.08000,42.23000,41.83000,42.20000,938800
2025-10-28,42.00000,42.10000,41.46000,41.59000,1147200
2025-10-29,41.45000,41.52000,40.59000,41.11000,1722700
2025-10-30,41.23000,41.33000,40.75000,40.84000,1672100
2025-10-31,40.15000,40.65000,39.99000,40.46000,2101200
2025-11-03,40.32000,40.94000,39.90000,40.89000,2061900
2025-11-04,41.17000,41.50000,39.46000,39.82000,2726200
2025-11-05,40.02000,40.30000,39.61000,39.83000,1814000
2025-11-06,39.81000,40.12000,39.60000,39.65000,1037600
2025-11-07,39.79000,40.72000,39.71000,40.69000,1294300
2025-11-10,40.57000,40.73000,40.18000,40.52000,1225600
2025-11-11,40.78000,41.47000,40.72000,41.41000,1462800
2025-11-12,41.19000,41.35000,40.81000,40.87000,1060200
2025-11-13,40.79000,41.26000,40.76000,41.04000,1145500
2025-11-14,41.09000,41.34000,40.87000,41.24000,1603300
2025-11-17,41.37000,41.49000,40.94000,41.04000,1139600
2025-11-18,40.91000,41.35000,40.84000,41.16000,1065100
2025-11-19,41.10000,41.22000,40.52000,40.62000,1414500
2025-11-20,40.74000,40.97000,40.35000,40.40000,1511300
2025-11-21,40.59000,41.25000,40.45000,40.95000,1853100
2025-11-24,41.08000,41.19000,40.80000,40.85000,1520400
2025-11-25,41.10000,41.28000,41.00000,41.00000,956900
2025-11-26,41.01000,41.36000,41.01000,41.08000,926900
2025-11-28,41.08000,41.39000,41.05000,41.35000,462000
2025-12-01,41.06000,41.16000,40.87000,40.89000,1010000
2025-12-02,41.05000,41.05000,40.38000,40.61000,1172900
2025-12-03,40.65000,41.16000,40.65000,41.11000,1265600
2025-12-04,40.93000,41.20000,40.51000,40.64000,1750100
2025-12-05,40.61000,40.73000,40.18000,40.21000,1370000
2025-12-08,40.21000,40.21000,39.72000,39.73000,2108000
2025-12-09,39.86000,40.21000,39.27000,39.29000,1693100
2025-12-10,39.34000,39.95000,39.33000,39.68000,1491500
2025-12-11,39.95000,39.96000,39.56000,39.84000,1405500
