date,open,high,low,close,volume
2025-03-19,16.85000,17.50000,16.80000,17.40000,114500
2025-03-20,16.06000,17.35000,15.09000,16.57000,236800
2025-03-21,16.21000,16.72000,16.04000,16.12000,105300
2025-03-24,16.13000,16.59000,16.13000,16.36000,177200
2025-03-25,16.36000,16.56000,16.20000,16.36000,142700
2025-03-26,16.31000,17.07000,16.31000,16.99000,97300
2025-03-27,16.88000,16.88000,16.08000,16.09000,109100
2025-03-28,16.01000,16.15000,15.91000,15.99000,57500
2025-03-31,15.84000,16.00000,15.71000,15.79000,40500
2025-04-01,15.72000,16.08000,15.71000,16.01000,84500
2025-04-02,15.80000,16.32000,15.80000,16.28000,72400
2025-04-03,15.97000,16.27000,15.61000,15.64000,158700
2025-04-04,15.17000,15.17000,14.06000,14.27000,194200
2025-04-07,13.88000,14.50000,13.60000,13.93000,167900
2025-04-08,14.37000,14.45000,13.35000,13.44000,206800
2025-04-09,13.28000,15.04000,13.19000,14.83000,166400
2025-04-10,14.44000,14.44000,13.66000,13.75000,156600
2025-04-11,13.98000,14.37000,13.58000,14.32000,90700
2025-04-14,14.52000,14.73000,14.25000,14.40000,118900
2025-04-15,14.29000,14.95000,14.29000,14.79000,89100
2025-04-16,14.89000,15.38000,14.88000,15.15000,77400
2025-04-17,15.33000,15.50000,15.12000,15.35000,85900
2025-04-21,15.09000,15.34000,14.89000,15.24000,68300
2025-04-22,15.48000,15.58000,15.16000,15.31000,58500
2025-04-23,15.44000,15.73000,15.31000,15.39000,78500
2025-04-24,15.54000,15.59000,15.13000,15.23000,73300
2025-04-25,15.03000,15.50000,14.98000,15.36000,71600
2025-04-28,15.32000,15.49000,15.20000,15.38000,94600
2025-04-29,15.33000,15.40000,15.12000,15.25000,102800
2025-04-30,15.09000,15.21000,14.75000,15.19000,83800
2025-05-01,15.17000,15.62000,15.17000,15.45000,122100
2025-05-02,15.47000,15.82000,15.41000,15.75000,69600
2025-05-05,15.61000,15.61000,15.31000,15.31000,56900
2025-05-06,15.29000,15.78000,15.29000,15.63000,92400
2025-05-07,15.73000,15.88000,15.50000,15.77000,64400
2025-05-08,15.91000,16.06000,15.73000,15.94000,78900
2025-05-09,16.11000,16.19000,15.69000,15.78000,56500
2025-05-12,16.18000,16.48000,16.10000,16.21000,54500
2025-05-13,16.19000,16.61000,16.19000,16.44000,91600
2025-05-14,16.39000,16.98000,16.38000,16.78000,197500
2025-05-15,15.60000,17.67000,15.60000,17.25000,181200
2025-05-16,17.40000,17.46000,17.10000,17.27000,79100
2025-05-19,17.32000,17.36000,17.16000,17.21000,40400
2025-05-20,17.10000,17.25000,16.93000,17.01000,67400
2025-05-21,17.07000,17.09000,16.53000,16.53000,52800
2025-05-22,16.37000,17.13000,16.24000,17.01000,88200
2025-05-23,16.79000,17.23000,16.79000,17.13000,34100
2025-05-27,17.38000,17.44000,17.06000,17.17000,88400
2025-05-28,17.17000,17.56000,17.09000,17.32000,29300
2025-05-29,17.42000,17.48000,17.20000,17.39000,39500
2025-05-30,17.35000,17.35000,16.94000,17.14000,47200
2025-06-02,17.31000,17.32000,17.13000,17.13000,31900
2025-06-03,17.15000,17.79000,17.11000,17.60000,42700
2025-06-04,17.53000,17.66000,17.29000,17.45000,55500
2025-06-05,17.48000,17.61000,17.30000,17.41000,67200
2025-06-06,17.48000,17.88000,17.48000,17.85000,53800
2025-06-09,17.92000,18.08000,17.86000,17.97000,37000
2025-06-10,18.03000,18.24000,17.80000,17.83000,93500
2025-06-11,17.88000,18.15000,17.87000,18.10000,48200
2025-06-12,18.03000,18.06000,17.91000,17.94000,50300
2025-06-13,18.07000,18.07000,17.86000,17.95000,35200
2025-06-16,17.87000,17.92000,17.64000,17.70000,51900
2025-06-17,17.68000,18.05000,17.66000,17.96000,68300
2025-06-18,18.04000,18.04000,17.61000,17.61000,46600
2025-06-20,17.68000,17.68000,17.45000,17.55000,58600
2025-06-23,17.55000,17.66000,16.81000,16.81000,114400
2025-06-24,16.73000,16.92000,16.65000,16.76000,46100
2025-06-25,16.78000,16.78000,16.32000,16.32000,43700
2025-06-26,16.58000,16.83000,16.34000,16.78000,56000
2025-06-27,16.77000,16.81000,15.89000,16.14000,86300
2025-06-30,16.10000,16.20000,15.81000,15.98000,52200
2025-07-01,15.91000,16.29000,15.88000,16.06000,18800
2025-07-02,16.13000,16.59000,16.02000,16.56000,39100
2025-07-03,16.45000,16.62000,16.38000,16.55000,18900
2025-07-07,16.50000,16.53000,15.96000,16.12000,42000
2025-07-08,16.24000,16.61000,16.20000,16.54000,66800
2025-07-09,16.45000,16.74000,16.35000,16.66000,42500
2025-07-10,16.56000,17.04000,16.56000,16.71000,47700
2025-07-11,16.47000,16.67000,15.33000,15.98000,201100
2025-07-14,15.97000,15.97000,15.45000,15.55000,60300
2025-07-15,15.55000,15.71000,15.19000,15.22000,53400
2025-07-16,15.16000,15.20000,14.98000,15.16000,62200
2025-07-17,15.08000,15.29000,15.01000,15.22000,65400
2025-07-18,15.38000,15.50000,15.25000,15.31000,90500
2025-07-21,15.26000,15.41000,15.22000,15.36000,58200
2025-07-22,15.41000,15.44000,15.25000,15.33000,66200
2025-07-23,15.36000,15.80000,15.36000,15.78000,83200
2025-07-24,15.76000,15.85000,15.62000,15.83000,50100
2025-07-25,15.80000,15.80000,15.36000,15.39000,37700
2025-07-28,15.48000,15.59000,15.41000,15.42000,47800
2025-07-29,15.36000,15.66000,15.28000,15.62000,70100
2025-07-30,15.66000,15.66000,15.13000,15.25000,44700
2025-07-31,15.11000,15.26000,14.92000,15.03000,41100
2025-08-01,14.94000,14.94000,14.61000,14.94000,64600
2025-08-04,14.95000,15.08000,14.54000,14.58000,49700
2025-08-05,14.74000,15.05000,14.62000,14.67000,275300
2025-08-06,14.84000,15.20000,14.84000,15.20000,79600
2025-08-07,15.61000,16.69000,15.55000,16.02000,159400
2025-08-08,16.58000,16.58000,16.10000,16.40000,143100
2025-08-11,16.38000,16.40000,16.19000,16.26000,54300
2025-08-12,16.25000,16.72000,16.25000,16.48000,43400
2025-08-13,16.22000,16.80000,16.22000,16.77000,153000
2025-08-14,13.60000,13.80000,12.39000,12.90000,998500
2025-08-15,12.80000,12.81000,12.23000,12.31000,269000
2025-08-18,12.29000,12.71000,12.12000,12.50000,365700
2025-08-19,12.43000,12.58000,12.24000,12.37000,406900
2025-08-20,12.45000,13.10000,12.28000,12.98000,241700
2025-08-21,12.90000,13.37000,12.90000,13.31000,233000
2025-08-22,13.22000,13.76000,13.22000,13.56000,177300
2025-08-25,13.49000,13.49000,13.07000,13.07000,71700
2025-08-26,13.05000,13.28000,13.05000,13.15000,99300
2025-08-27,13.10000,13.49000,13.10000,13.44000,53600
2025-08-28,13.58000,13.67000,13.40000,13.61000,56700
2025-08-29,13.57000,13.71000,13.46000,13.67000,87500
2025-09-02,13.52000,13.68000,13.33000,13.65000,133200
2025-09-03,13.50000,13.62000,13.33000,13.37000,116500
2025-09-04,13.32000,13.50000,13.29000,13.47000,95900
2025-09-05,13.39000,13.59000,13.21000,13.37000,111100
2025-09-08,13.32000,13.48000,13.10000,13.48000,96200
2025-09-09,13.41000,13.59000,13.35000,13.36000,201700
2025-09-10,13.44000,13.77000,13.43000,13.71000,82900
2025-09-11,13.60000,13.72000,13.46000,13.49000,97300
2025-09-12,13.50000,13.77000,13.49000,13.67000,114500
2025-09-15,13.66000,13.81000,13.50000,13.68000,76200
2025-09-16,13.71000,13.92000,13.59000,13.86000,102400
2025-09-17,13.97000,14.23000,13.82000,13.87000,106000
2025-09-18,13.91000,13.91000,13.64000,13.73000,63800
2025-09-19,13.70000,13.70000,13.47000,13.52000,68500
2025-09-22,13.40000,13.79000,13.37000,13.74000,85100
2025-09-23,13.82000,14.07000,13.58000,13.59000,133500
2025-09-24,13.67000,13.86000,13.56000,13.78000,116500
2025-09-25,13.72000,13.80000,13.60000,13.76000,80600
2025-09-26,13.87000,13.98000,13.75000,13.83000,57900
2025-09-29,13.80000,14.17000,13.66000,14.11000,58700
2025-09-30,13.98000,14.26000,13.93000,14.20000,126800
2025-10-01,14.12000,14.71000,14.12000,14.61000,193900
2025-10-02,14.57000,14.63000,14.24000,14.54000,106900
2025-10-03,14.56000,14.60000,14.29000,14.34000,78000
2025-10-06,14.39000,14.86000,14.30000,14.73000,253100
2025-10-07,14.62000,15.13000,14.39000,14.59000,225500
2025-10-08,14.64000,14.73000,14.42000,14.51000,114200
2025-10-09,14.47000,14.82000,14.28000,14.36000,80600
2025-10-10,14.32000,14.32000,13.44000,13.45000,224800
2025-10-13,13.60000,13.67000,13.45000,13.62000,54500
2025-10-14,13.41000,14.45000,13.41000,14.41000,120800
2025-10-15,14.59000,14.73000,14.44000,14.63000,88400
2025-10-16,14.72000,14.72000,14.35000,14.43000,63400
2025-10-17,14.48000,14.50000,14.05000,14.38000,85200
2025-10-20,14.43000,14.96000,14.43000,14.83000,86900
2025-10-21,14.89000,14.98000,14.61000,14.79000,76800
2025-10-22,14.80000,15.07000,14.78000,15.03000,74100
2025-10-23,15.19000,15.69000,15.19000,15.44000,126500
2025-10-24,15.38000,15.58000,15.24000,15.24000,51000
2025-10-27,15.35000,15.39000,15.13000,15.28000,77200
2025-10-28,15.22000,15.40000,15.18000,15.20000,74900
2025-10-29,15.38000,15.72000,15.33000,15.72000,73400
2025-10-30,15.61000,15.79000,15.40000,15.40000,56800
2025-10-31,15.47000,15.64000,15.38000,15.58000,91400
2025-11-03,15.46000,15.59000,15.12000,15.44000,74000
2025-11-04,15.26000,15.26000,14.16000,14.17000,99300
2025-11-05,14.15000,14.32000,14.02000,14.04000,109800
2025-11-06,13.96000,14.32000,13.94000,14.00000,114300
2025-11-07,13.99000,13.99000,13.63000,13.80000,72500
2025-11-10,13.98000,14.19000,13.62000,13.67000,87600
2025-11-11,13.74000,14.23000,13.74000,14.17000,70100
2025-11-12,14.23000,14.50000,13.96000,14.44000,128600
2025-11-13,15.52000,15.52000,13.15000,13.34000,147400
2025-11-14,13.26000,14.17000,13.24000,13.90000,200600
2025-11-17,13.98000,13.98000,13.36000,13.47000,146300
2025-11-18,13.48000,13.85000,13.26000,13.51000,357800
2025-11-19,13.37000,13.74000,13.29000,13.69000,221600
2025-11-20,13.99000,14.12000,13.46000,13.51000,156700
2025-11-21,13.41000,13.70000,13.14000,13.57000,130500
2025-11-24,13.46000,13.78000,13.44000,13.77000,230700
2025-11-25,13.65000,14.10000,13.55000,14.08000,125800
2025-11-26,14.10000,14.18000,13.96000,14.14000,93000
2025-11-28,14.02000,14.58000,14.02000,14.35000,48700
2025-12-01,14.20000,14.62000,14.20000,14.37000,123200
2025-12-02,14.47000,14.48000,14.01000,14.19000,96500
2025-12-03,14.17000,14.50000,14.17000,14.42000,136800
2025-12-04,14.37000,14.57000,14.20000,14.22000,98500
2025-12-05,14.41000,14.47000,14.01000,14.08000,102200
2025-12-08,14.12000,14.13000,13.60000,13.69000,122400
2025-12-09,13.79000,13.82000,13.56000,13.61000,113400
2025-12-10,13.67000,14.07000,13.36000,13.94000,250100
2025-12-11,13.93000,13.95000,13.70000,13.88000,167800
2025-12-12,13.94000,13.94000,13.54000,13.74000,98600
2025-12-15,13.84000,13.88000,13.61000,13.83000,236000
2025-12-16,13.77000,13.95000,13.56000,13.94000,165900
2025-12-17,14.03000,14.44000,13.85000,13.97000,203400
2025-12-18,14.00000,14.06000,13.72000,13.82000,170600
2025-12-19,13.92000,14.06000,12.46000,13.09000,419200
2025-12-22,13.24000,14.03000,13.24000,13.85000,236600
2025-12-23,13.90000,14.11000,13.61000,13.63000,117500
2025-12-24,13.59000,13.93000,13.55000,13.83000,61500
2025-12-26,13.77000,13.88000,13.64000,13.80000,64700
2025-12-29,13.70000,14.28000,13.70000,14.13000,121600
2025-12-30,14.12000,14.37000,14.12000,14.29000,107800
2025-12-31,14.30000,14.40000,14.21000,14.37000,100600
2026-01-02,14.48000,14.73000,14.19000,14.69000,152000
2026-01-05,14.83000,15.05000,14.29000,14.61000,167400
2026-01-06,14.64000,15.40000,14.60000,15.28000,192800
2026-01-07,15.39000,15.39000,14.52000,14.65000,124700
2026-01-08,14.67000,15.20000,14.66000,15.01000,86100
2026-01-09,14.98000,15.31000,14.87000,15.13000,71200
2026-01-12,15.12000,15.40000,14.94000,15.31000,103000
2026-01-13,15.44000,15.83000,15.36000,15.66000,69200
2026-01-14,15.77000,16.08000,15.64000,15.94000,208000
2026-01-15,15.82000,16.12000,15.62000,15.92000,140300
2026-01-16,16.06000,16.06000,15.51000,15.60000,130700
