date,open,high,low,close,volume
2025-01-16,9.85000,9.85000,9.80000,9.82000,35200
2025-01-17,10.78000,10.78000,9.78000,9.80000,24600
2025-01-22,9.88000,9.88000,9.88000,9.88000,100
2025-01-23,9.90000,9.90000,9.79000,9.90000,3000
2025-01-24,9.80000,9.90000,9.80000,9.87000,5800
2025-01-27,9.78000,9.89000,9.78000,9.89000,700
2025-01-28,9.82000,9.90000,9.82000,9.90000,600
2025-01-29,9.87000,9.87000,9.86000,9.86000,2200
2025-01-30,9.90000,9.90000,9.88000,9.88000,1800
2025-01-31,9.89000,9.89000,9.89000,9.89000,100
2025-02-03,9.85000,9.90000,9.85000,9.90000,500
2025-02-04,9.86000,9.87000,9.85000,9.87000,32500
2025-02-05,9.85000,9.87000,9.85000,9.87000,1100
2025-02-06,9.87000,9.87000,9.85100,9.85100,500
2025-02-07,9.82000,9.87000,9.82000,9.87000,1000
2025-02-10,9.87000,9.87000,9.87000,9.87000,4300
2025-02-11,9.87000,9.87000,9.87000,9.87000,100
2025-02-12,9.86000,9.86000,9.86000,9.86000,100
2025-02-13,9.86000,9.87000,9.85000,9.85000,56100
2025-02-14,9.85000,9.86000,9.85000,9.86000,300
2025-02-18,9.86000,9.86000,9.86000,9.86000,200
2025-02-19,9.87000,9.87000,9.85000,9.85000,3700
2025-02-20,9.86000,9.86000,9.86000,9.86000,200
2025-02-21,9.86000,9.86000,9.86000,9.86000,5200
2025-02-24,9.86000,9.86000,9.86000,9.86000,200
2025-02-25,9.86000,9.86000,9.85000,9.85000,10100
2025-02-26,9.86000,9.86000,9.84000,9.84000,2600
2025-02-27,9.86000,9.86000,9.85000,9.85000,300
2025-03-03,9.86000,9.86000,9.85000,9.85000,107800
2025-03-04,9.85000,9.85000,9.84000,9.84000,197800
2025-03-05,9.85000,9.86000,9.85000,9.85000,263300
2025-03-06,9.85000,9.87000,9.85000,9.87000,746000
2025-03-07,9.87000,9.87000,9.86500,9.87000,216400
2025-03-10,9.87000,9.88000,9.87000,9.88000,72400
2025-03-11,9.87500,9.88000,9.87500,9.88000,15000
2025-03-12,9.88000,9.88000,9.88000,9.88000,1200
2025-03-13,9.88000,9.88000,9.88000,9.88000,1000
2025-03-14,9.87200,9.88000,9.87000,9.87000,183100
2025-03-17,9.87000,9.87500,9.87000,9.87000,32500
2025-03-18,9.87000,9.87000,9.87000,9.87000,4400
2025-03-19,9.87000,9.87000,9.87000,9.87000,600
2025-03-20,9.87900,9.87900,9.87000,9.87000,34900
2025-03-24,9.86000,9.88000,9.86000,9.87000,315100
2025-03-25,9.87000,9.88000,9.87000,9.87500,20800
2025-03-26,9.88000,9.89000,9.87000,9.88000,430100
2025-03-27,9.89000,9.96000,9.89000,9.94000,2100
2025-03-28,9.91000,9.91000,9.91000,9.91000,500
2025-03-31,9.92000,9.92000,9.92000,9.92000,1500
2025-04-07,9.92000,10.00000,9.92000,10.00000,140800
2025-04-08,10.03000,10.03000,9.92000,10.00000,1700
2025-04-09,9.97000,9.97000,9.97000,9.97000,300
2025-04-10,9.97000,9.97000,9.97000,9.97000,100
2025-04-21,9.99000,9.99000,9.94000,9.94000,200
2025-04-22,9.96000,9.96000,9.96000,9.96000,100
2025-04-23,9.97000,9.97000,9.97000,9.97000,200
2025-04-24,9.97000,9.97000,9.97000,9.97000,100
2025-04-28,9.96000,9.96000,9.96000,9.96000,50000
2025-04-29,9.98000,9.98000,9.98000,9.98000,200
2025-04-30,9.99000,9.99000,9.95000,9.98000,700
2025-05-01,9.98000,9.98000,9.98000,9.98000,1100
2025-05-02,9.98000,9.98000,9.98000,9.98000,100
2025-05-05,9.98000,9.98000,9.98000,9.98000,400
2025-05-06,9.98000,9.98000,9.98000,9.98000,100
2025-05-07,9.99000,9.99000,9.99000,9.99000,100
2025-05-08,9.98000,9.98000,9.98000,9.98000,100
2025-05-09,9.98000,9.98000,9.98000,9.98000,100
2025-05-12,9.98000,10.00000,9.96500,9.99000,24600
2025-05-13,10.49000,10.49000,9.98000,9.98000,16900
2025-05-14,9.99000,9.99000,9.99000,9.99000,100
2025-05-15,9.99000,10.01000,9.99000,9.99500,64600
2025-05-16,9.97000,9.98000,9.97000,9.98000,1400
2025-05-20,9.96500,9.96500,9.96500,9.96500,200
2025-05-21,9.98000,9.99000,9.98000,9.99000,1300
2025-05-22,9.99000,9.99000,9.99000,9.99000,9800
2025-05-28,9.99000,9.99000,9.98000,9.99000,11600
2025-05-29,10.00000,10.00000,10.00000,10.00000,800
2025-06-02,10.00000,10.00000,9.99000,9.99000,160300
2025-06-03,10.00000,10.00000,10.00000,10.00000,6300
2025-06-04,10.00000,10.00000,10.00000,10.00000,300
2025-06-05,10.05000,10.05000,10.02000,10.05000,13100
2025-06-06,10.03500,10.03500,10.03500,10.03500,2000
2025-06-09,10.02000,10.04000,10.02000,10.04000,150200
2025-06-10,10.04000,10.08000,10.03000,10.08000,6600
2025-06-11,10.05000,10.05500,10.04000,10.05000,9800
2025-06-12,10.04000,10.04000,10.04000,10.04000,100
2025-06-13,10.05000,10.05500,10.05000,10.05500,140400
2025-06-16,10.06000,10.08000,10.05500,10.08000,12000
2025-06-17,10.05500,10.05500,10.05500,10.05500,200
2025-06-18,10.05500,10.05500,10.05500,10.05500,100
2025-06-20,10.06000,10.06000,10.06000,10.06000,100
2025-06-23,10.06000,10.06000,10.06000,10.06000,100
2025-06-25,10.07000,10.07000,10.06000,10.06000,105400
2025-06-30,10.07000,10.07000,10.07000,10.07000,2200
2025-07-01,10.49000,10.49000,10.11000,10.11000,600
2025-07-08,10.11000,10.11000,10.11000,10.11000,1800
2025-07-09,10.10000,10.10000,10.08000,10.08000,25300
2025-07-11,10.08000,10.08000,10.08000,10.08000,24100
2025-07-21,10.12000,10.12000,10.12000,10.12000,300
2025-07-25,10.08000,10.08000,10.08000,10.08000,3000
2025-07-29,10.09000,10.09000,10.09000,10.09000,19500
2025-07-31,10.10000,10.10000,10.10000,10.10000,2100
2025-08-04,10.10000,10.10000,10.10000,10.10000,20000
2025-08-07,10.10000,10.10000,10.10000,10.10000,1800
2025-08-13,10.08700,10.09100,10.08000,10.08000,3700
2025-08-15,10.09000,10.09000,10.09000,10.09000,60100
2025-08-20,10.10000,10.10000,10.10000,10.10000,100
2025-08-25,10.14000,10.14000,10.14000,10.14000,900
2025-08-28,10.15000,10.15000,10.15000,10.15000,200
2025-09-02,10.12000,10.15000,10.12000,10.15000,600
2025-09-04,10.15000,10.15000,10.15000,10.15000,300
2025-09-11,10.14000,10.14000,10.14000,10.14000,500
2025-09-12,10.14000,10.14400,10.14000,10.14400,300
2025-09-15,10.15000,10.15000,10.15000,10.15000,200
2025-09-16,10.16000,10.16000,10.16000,10.16000,200
2025-09-17,10.20000,10.20000,10.20000,10.20000,2600
2025-09-26,10.15000,10.20000,10.15000,10.20000,45500
2025-10-02,10.16000,10.16000,10.16000,10.16000,200
2025-10-06,10.18600,10.18600,10.18600,10.18600,200
2025-10-08,10.18000,10.18000,10.18000,10.18000,300
