date,open,high,low,close,volume
2025-03-21,7.99000,8.07000,7.68000,7.71000,2276100
2025-03-24,7.70000,7.77000,7.34000,7.34000,757700
2025-03-25,7.34000,7.34000,6.79000,6.85000,677700
2025-03-26,6.86000,7.01000,6.82000,6.93000,491800
2025-03-27,6.94000,7.57000,6.94000,7.51000,551200
2025-03-28,7.49000,7.57000,7.16000,7.22000,314000
2025-03-31,7.15000,7.41000,7.09000,7.26000,397300
2025-04-01,7.25000,7.38000,7.10000,7.22000,366800
2025-04-02,7.15000,7.29000,7.05000,7.13000,372700
2025-04-03,6.96000,7.05000,6.73000,6.83000,444200
2025-04-04,6.66000,6.69000,6.39000,6.44000,527600
2025-04-07,6.23000,6.54000,6.01000,6.22000,694500
2025-04-08,6.26000,6.31000,5.95000,6.02000,1218700
2025-04-09,6.02000,6.65000,5.91000,6.36000,784600
2025-04-10,6.22000,6.35000,5.90000,6.07000,704400
2025-04-11,6.01000,6.32000,5.75000,6.23000,1151500
2025-04-14,6.30000,6.31000,5.96000,6.09000,975400
2025-04-15,6.00000,6.09000,5.90000,5.94000,498600
2025-04-16,5.89000,5.92000,5.60000,5.61000,875300
2025-04-17,5.57000,5.73000,5.35000,5.48000,746700
2025-04-21,5.48000,5.59000,5.32000,5.57000,702100
2025-04-22,5.63000,5.68000,5.40000,5.54000,554500
2025-04-23,5.68000,5.96000,5.50000,5.52000,546800
2025-04-24,5.55000,5.73000,5.43000,5.72000,520200
2025-04-25,5.69000,5.77000,5.60000,5.77000,440500
2025-04-28,5.76000,5.89000,5.74000,5.84000,553500
2025-04-29,5.82000,6.10000,5.77000,6.06000,542600
2025-04-30,6.03000,6.34000,5.95000,6.33000,652800
2025-05-01,6.27000,6.36000,6.11000,6.16000,521100
2025-05-02,6.24000,6.28000,6.13000,6.19000,488100
2025-05-05,6.10000,6.16000,5.91000,5.92000,470000
2025-05-06,5.85000,5.86000,5.63000,5.78000,598000
2025-05-07,5.83000,5.86000,5.65000,5.75000,684100
2025-05-08,5.81000,6.16000,5.78000,6.16000,864100
2025-05-09,6.60000,7.35000,6.59000,6.84000,1169000
2025-05-12,7.15000,7.53000,7.10000,7.44000,1319200
2025-05-13,7.44000,7.50000,7.27000,7.43000,646300
2025-05-14,7.39000,7.40000,7.19000,7.32000,522900
2025-05-15,7.27000,7.49000,7.21000,7.47000,326400
2025-05-16,7.47000,7.67000,7.46000,7.58000,379000
2025-05-19,7.46000,7.56000,7.40000,7.45000,750400
2025-05-20,7.44000,7.68000,7.42000,7.59000,340500
2025-05-21,7.47000,7.50000,7.28000,7.28000,303100
2025-05-22,7.22000,7.41000,7.20000,7.32000,217100
2025-05-23,7.20000,7.29000,7.13000,7.26000,592300
2025-05-27,7.37000,7.62000,7.31000,7.57000,568800
2025-05-28,7.58000,7.63000,7.37000,7.41000,547100
2025-05-29,7.67000,8.47000,7.55000,8.40000,1139100
2025-05-30,8.30000,8.95000,8.15000,8.63000,1174900
2025-06-02,8.44000,8.60000,8.29000,8.33000,870100
2025-06-03,8.29000,8.30000,7.93000,8.01000,517200
2025-06-04,8.01000,8.14000,7.84000,7.88000,551300
2025-06-05,7.96000,7.96000,7.75000,7.78000,357800
2025-06-06,7.86000,7.94000,7.78000,7.93000,309500
2025-06-09,7.97000,8.09000,7.90000,8.04000,530900
2025-06-10,8.04000,8.51000,8.01000,8.37000,477300
2025-06-11,8.37000,8.43000,8.07000,8.09000,466300
2025-06-12,8.00000,8.19000,7.97000,7.99000,305100
2025-06-13,7.85000,8.00000,7.54000,7.56000,362900
2025-06-16,7.71000,7.98000,7.67000,7.95000,453500
2025-06-17,7.90000,7.93000,7.70000,7.77000,459700
2025-06-18,7.75000,7.86000,7.67000,7.68000,355500
2025-06-20,7.72000,7.79000,7.49000,7.72000,1223100
2025-06-23,7.62000,7.79000,7.30000,7.66000,517400
2025-06-24,7.74000,7.81000,7.60000,7.76000,491300
2025-06-25,7.69000,7.76000,7.58000,7.73000,356900
2025-06-26,7.75000,7.99000,7.66000,7.97000,521200
2025-06-27,8.02000,8.16000,7.93000,8.09000,863100
2025-06-30,8.07000,8.12000,7.86000,7.99000,444000
2025-07-01,8.02000,8.98000,7.97000,8.86000,766500
2025-07-02,8.80000,8.98000,8.60000,8.82000,623900
2025-07-03,8.86000,9.06000,8.83000,8.92000,348500
2025-07-07,8.85000,9.16000,8.85000,8.92000,571000
2025-07-08,8.98000,9.29000,8.89000,9.26000,462400
2025-07-09,9.29000,9.37000,9.13000,9.35000,443900
2025-07-10,9.37000,9.50000,9.25000,9.33000,395200
2025-07-11,9.31000,9.36000,9.12000,9.25000,494300
2025-07-14,9.13000,9.20000,8.43000,8.65000,447000
2025-07-15,8.64000,8.75000,8.40000,8.43000,375400
2025-07-16,8.42000,8.48000,8.10000,8.28000,723200
2025-07-17,8.30000,8.42000,8.24000,8.27000,385800
2025-07-18,8.28000,8.35000,8.16000,8.34000,316400
2025-07-21,8.36000,8.64000,8.28000,8.56000,352300
2025-07-22,8.57000,9.05000,8.56000,9.03000,510000
2025-07-23,9.24000,9.82000,9.24000,9.81000,693400
2025-07-24,9.70000,9.70000,8.96000,8.96000,392000
2025-07-25,8.99000,8.99000,8.63000,8.75000,331400
2025-07-28,8.75000,8.95000,8.68000,8.89000,259700
2025-07-29,8.91000,8.97000,8.60000,8.65000,439800
2025-07-30,8.73000,8.87000,8.55000,8.62000,333400
2025-07-31,8.56000,8.63000,8.35000,8.38000,457400
2025-08-01,8.38000,8.44000,8.00000,8.20000,559100
2025-08-04,8.37000,8.43000,8.26000,8.33000,343900
2025-08-05,8.43000,8.74000,8.29000,8.34000,501200
2025-08-06,8.29000,8.66000,8.23000,8.58000,623900
2025-08-07,8.62000,8.76000,8.15000,8.20000,757100
2025-08-08,8.52000,9.19000,8.26000,8.93000,1141600
2025-08-11,9.01000,10.64000,8.84000,10.58000,1293200
2025-08-12,10.70000,11.15000,10.69000,11.15000,996100
2025-08-13,11.34000,11.96000,11.13000,11.54000,940300
2025-08-14,11.36000,11.56000,11.17000,11.44000,614400
2025-08-15,11.58000,11.74000,11.16000,11.56000,557800
2025-08-18,11.54000,11.95000,11.51000,11.67000,702800
2025-08-19,11.71000,12.23000,11.70000,11.86000,719100
2025-08-20,11.77000,11.91000,11.56000,11.76000,702900
2025-08-21,11.60000,11.61000,11.34000,11.38000,530400
2025-08-22,11.52000,12.16000,11.52000,12.13000,631000
2025-08-25,11.97000,12.16000,11.92000,12.02000,338900
2025-08-26,11.96000,12.41000,11.88000,12.21000,779700
2025-08-27,12.06000,12.26000,11.91000,12.19000,411400
2025-08-28,12.19000,12.22000,11.83000,11.94000,460700
2025-08-29,11.87000,12.19000,11.87000,12.17000,485100
2025-09-02,11.83000,12.27000,11.70000,12.12000,638500
2025-09-03,12.13000,12.23000,11.93000,12.04000,472200
2025-09-04,12.15000,12.37000,12.02000,12.30000,508300
2025-09-05,12.18000,12.30000,11.32000,11.49000,531100
2025-09-08,11.56000,11.67000,11.37000,11.51000,437500
2025-09-09,11.47000,11.77000,11.31000,11.60000,401800
2025-09-10,11.52000,11.60000,11.35000,11.52000,404700
2025-09-11,11.50000,11.96000,11.50000,11.70000,616200
2025-09-12,11.67000,12.10000,11.50000,12.04000,434000
2025-09-15,12.06000,12.08000,11.72000,11.83000,351800
2025-09-16,11.77000,11.87000,11.60000,11.72000,341100
2025-09-17,11.75000,12.17000,11.71000,11.86000,382800
2025-09-18,11.91000,12.37000,11.86000,12.32000,548800
2025-09-19,12.37000,12.37000,12.01000,12.09000,1250500
2025-09-22,12.35000,13.17000,12.23000,12.84000,1400900
2025-09-23,14.00000,14.62000,12.11000,12.34000,1673900
2025-09-24,12.35000,12.41000,11.50000,11.87000,868700
2025-09-25,11.87000,12.01000,11.58000,12.00000,540900
2025-09-26,12.01000,12.59000,11.89000,12.24000,727600
2025-09-29,12.35000,12.50000,11.97000,12.08000,429800
2025-09-30,12.03000,12.26000,12.01000,12.19000,504400
2025-10-01,12.05000,12.17000,11.68000,12.01000,494200
2025-10-02,11.98000,12.04000,11.57000,11.72000,399400
2025-10-03,11.78000,12.03000,11.30000,11.37000,726400
2025-10-06,11.37000,11.63000,11.31000,11.45000,431400
2025-10-07,11.52000,11.59000,10.93000,11.11000,594600
2025-10-08,11.20000,11.31000,11.08000,11.26000,342500
2025-10-09,11.31000,11.31000,10.78000,11.04000,445300
2025-10-10,11.04000,11.04000,10.28000,10.29000,613300
2025-10-13,10.48000,10.71000,10.36000,10.46000,444500
2025-10-14,10.31000,10.70000,10.31000,10.63000,421100
2025-10-15,10.76000,10.81000,10.52000,10.62000,393100
2025-10-16,10.61000,10.83000,10.55000,10.66000,352500
2025-10-17,10.65000,10.80000,10.58000,10.69000,317600
2025-10-20,10.76000,11.00000,10.70000,10.80000,338500
2025-10-21,10.92000,11.03000,10.81000,10.85000,261000
2025-10-22,10.83000,10.96000,10.73000,10.86000,330200
2025-10-23,10.78000,11.04000,10.74000,10.93000,263600
2025-10-24,11.10000,11.15000,11.00000,11.02000,264700
2025-10-27,11.14000,11.28000,10.93000,10.94000,437300
2025-10-28,10.93000,10.95000,10.67000,10.74000,352300
2025-10-29,10.64000,10.86000,10.49000,10.65000,435300
2025-10-30,10.58000,10.70000,10.45000,10.62000,335300
2025-10-31,10.61000,10.96000,10.50000,10.72000,401000
2025-11-03,10.74000,10.76000,10.51000,10.70000,519300
2025-11-04,10.60000,10.78000,10.50000,10.58000,396100
2025-11-05,10.58000,11.14000,10.58000,11.09000,396700
2025-11-06,11.10000,11.15000,10.80000,10.83000,524100
2025-11-07,10.40000,10.75000,8.90000,9.12000,1264900
2025-11-10,9.19000,10.02000,9.14000,9.87000,661700
2025-11-11,9.83000,9.88000,9.27000,9.57000,642300
2025-11-12,9.63000,9.76000,9.36000,9.60000,418900
