date,open,high,low,close,volume
2023-10-02,1.77000,1.81000,1.76000,1.77000,838800
2023-10-03,1.76000,1.83000,1.74000,1.76000,1342400
2023-10-04,1.79000,1.91000,1.77000,1.89000,1566400
2023-10-05,1.91000,1.91000,1.83000,1.88000,938500
2023-10-06,1.87000,1.96000,1.85000,1.92000,692200
2023-10-09,1.89000,1.91000,1.86000,1.89000,330500
2023-10-10,1.89000,1.95000,1.87000,1.93000,416900
2023-10-11,1.95000,2.00500,1.95000,1.98000,600200
2023-10-12,1.97000,1.97000,1.89300,1.91000,591200
2023-10-13,1.91000,1.91000,1.80000,1.82000,681500
2023-10-16,1.83000,1.93000,1.83000,1.93000,508700
2023-10-17,1.83000,1.97000,1.83000,1.94000,824600
2023-10-18,1.77000,1.86000,1.74000,1.83000,2043100
2023-10-19,1.83000,1.88000,1.81000,1.84000,893000
2023-10-20,1.84000,1.84000,1.78500,1.81000,927500
2023-10-23,1.79000,1.79000,1.74000,1.75000,1340100
2023-10-24,1.78000,1.80500,1.74500,1.77000,781800
2023-10-25,1.76000,1.78000,1.71000,1.71000,555200
2023-10-26,1.71000,1.74000,1.68000,1.72000,696800
2023-10-27,1.73000,1.74000,1.70000,1.72000,708000
2023-10-30,1.73000,1.76000,1.71500,1.76000,461700
2023-10-31,1.73000,1.83500,1.72000,1.82000,1065200
2023-11-01,1.80000,1.82000,1.74500,1.76000,808300
2023-11-02,1.78000,1.84000,1.78000,1.83000,1491200
2023-11-03,1.85000,1.87000,1.81500,1.85000,1620800
2023-11-06,1.85000,1.91000,1.75000,1.75000,934500
2023-11-07,1.73000,1.83000,1.73000,1.82000,1586400
2023-11-08,1.72000,1.72000,1.46500,1.51000,5879000
2023-11-09,1.50000,1.50500,1.43000,1.44000,2476700
2023-11-10,1.40000,1.46000,1.32000,1.42000,5658600
2023-11-13,1.39000,1.60000,1.39000,1.59000,3462400
2023-11-14,1.60000,1.72000,1.60000,1.71000,3164800
2023-11-15,1.67000,1.76000,1.61000,1.62000,1738300
2023-11-16,1.45000,1.56000,1.42000,1.55000,2915000
2023-11-17,1.55000,1.65000,1.53000,1.65000,1639800
2023-11-20,1.62000,1.68000,1.62000,1.64000,1036900
2023-11-21,1.62000,1.64000,1.54000,1.55000,1372300
2023-11-22,1.54000,1.62000,1.54000,1.56000,1083900
2023-11-24,1.57000,1.62000,1.56000,1.61000,310900
2023-11-27,1.60000,1.63000,1.58000,1.60000,696700
2023-11-28,1.59000,1.61000,1.55000,1.61000,539600
2023-11-29,1.61000,1.69000,1.61000,1.63000,583100
2023-11-30,1.62000,1.66000,1.56500,1.60000,1002500
2023-12-01,1.57000,1.66000,1.55000,1.64000,1667400
2023-12-04,1.62000,1.66000,1.62000,1.66000,1385800
2023-12-05,1.64000,1.64000,1.54000,1.59000,1821200
2023-12-06,1.63000,1.72000,1.61000,1.66000,2007900
2023-12-07,1.61000,1.68000,1.61000,1.63000,1635200
2023-12-08,1.66000,1.71000,1.60000,1.68000,4047900
2023-12-11,1.70000,1.75000,1.63000,1.69000,3156400
2023-12-12,1.69000,1.77000,1.65000,1.73000,3515600
2023-12-13,1.77000,1.82000,1.73000,1.80000,4802000
2023-12-14,1.82000,1.88000,1.81000,1.87000,2773800
2023-12-15,1.95000,2.03500,1.87000,1.94000,4869700
2023-12-18,1.99000,2.00500,1.93000,1.94000,2735200
2023-12-19,1.95000,2.05000,1.94000,2.04000,2387000
2023-12-20,2.03000,2.09000,1.96000,1.98000,1973600
2023-12-21,2.03000,2.04000,1.94000,1.96000,1450000
2023-12-22,2.02000,2.02000,1.92500,1.96000,1001800
2023-12-26,1.99000,2.00000,1.88000,1.93000,1418600
2023-12-27,1.90000,1.98000,1.90000,1.97000,2598200
2023-12-28,1.96000,1.98500,1.93000,1.95000,1503800
2023-12-29,1.91000,1.93000,1.84000,1.89000,2212900
2024-01-02,1.83000,1.87000,1.73500,1.74000,2087800
2024-01-03,1.73000,1.73200,1.65000,1.70000,1738500
2024-01-04,1.75000,1.75000,1.69000,1.70000,1138800
2024-01-05,1.73000,1.74000,1.69500,1.70000,1068000
2024-01-08,1.66000,1.74000,1.66000,1.72000,979000
2024-01-09,1.71000,1.71000,1.68000,1.69000,894600
2024-01-10,1.66000,1.70000,1.64500,1.67000,1026000
2024-01-11,1.66000,1.69000,1.61000,1.66000,1470500
2024-01-12,1.67000,1.71100,1.62000,1.63000,1234900
2024-01-16,1.61000,1.61100,1.55000,1.56000,1295800
2024-01-17,1.33000,1.56000,1.32000,1.56000,5164600
2024-01-18,1.59000,1.62000,1.55000,1.61000,1205300
2024-01-19,1.61000,1.61000,1.53000,1.59000,1370900
2024-01-22,1.61000,1.66000,1.60000,1.65000,1252800
2024-01-23,1.69000,1.71000,1.64000,1.66000,653700
2024-01-24,1.67000,1.67000,1.58000,1.58000,856600
2024-01-25,1.63000,1.64000,1.53000,1.55000,837200
2024-01-26,1.57000,1.59000,1.52500,1.54000,865100
2024-01-29,1.57000,1.60000,1.53000,1.60000,1119100
2024-01-30,1.58000,1.59000,1.55500,1.58000,1194500
2024-01-31,1.54000,1.59000,1.52000,1.52000,1626900
2024-02-01,1.56000,1.63000,1.55000,1.61000,956500
2024-02-02,1.59000,1.65500,1.59000,1.64000,911000
2024-02-05,1.60000,1.64500,1.59000,1.62000,1230600
2024-02-06,1.61000,1.66000,1.60000,1.62000,716000
2024-02-07,1.61000,1.62500,1.56500,1.62000,1047700
2024-02-08,1.61000,1.67500,1.60000,1.67000,771200
2024-02-09,1.67000,1.71000,1.66500,1.70000,1582400
2024-02-12,1.69000,1.77500,1.69000,1.76000,2022000
2024-02-13,1.61000,1.72000,1.61000,1.68000,1199500
2024-02-14,1.71000,1.76000,1.70000,1.75000,2559700
2024-02-15,1.75000,1.82500,1.74000,1.82000,1633300
2024-02-16,1.80000,1.84000,1.77000,1.79000,1258600
2024-02-20,1.78000,1.82000,1.73000,1.73000,504900
2024-02-21,1.68000,1.71500,1.68000,1.70000,742900
2024-02-22,1.69000,1.74000,1.67000,1.72000,1425300
2024-02-23,2.13000,2.15000,1.98000,2.00000,10029200
2024-02-26,2.03000,2.13600,2.02000,2.04000,2695200
2024-02-27,2.05000,2.09000,1.98000,2.04000,4014200
2024-02-28,2.20000,2.20000,1.99000,2.09000,4099400
2024-02-29,2.04000,2.25000,2.04000,2.19000,4360400
2024-03-01,2.22000,2.22000,2.09000,2.18000,2511500
2024-03-04,2.14000,2.39000,2.14000,2.37000,4822800
2024-03-05,2.30000,2.34000,2.20000,2.20000,1707700
2024-03-06,2.24000,2.28000,2.20000,2.21000,1372100
2024-03-07,2.22000,2.34500,2.22000,2.31000,1771600
2024-03-08,2.33000,2.39000,2.24500,2.25000,1814200
2024-03-11,2.23000,2.31000,2.20000,2.22000,977100
2024-03-12,2.21000,2.25000,2.18000,2.21000,1283900
2024-03-13,2.19000,2.25000,2.17000,2.25000,1864000
2024-03-14,2.23000,2.23000,2.16000,2.21000,2212000
2024-03-15,2.19000,2.23000,2.13000,2.15000,3220400
2024-03-18,2.13000,2.15000,2.04000,2.10000,3226700
2024-03-19,2.07000,2.09500,2.03000,2.05000,2231500
2024-03-20,2.03000,2.15000,2.01000,2.13000,1774400
2024-03-21,2.15000,2.16000,2.11000,2.13000,1102400
2024-03-22,2.11000,2.18000,2.10000,2.12000,1058500
2024-03-25,2.15000,2.15000,2.09000,2.13000,1033800
2024-03-26,2.14000,2.28000,2.14000,2.24000,1391100
2024-03-27,2.25000,2.26800,2.22000,2.26000,1122700
2024-03-28,2.25000,2.28000,2.21000,2.25000,1141000
2024-04-01,2.25000,2.25000,2.19000,2.24000,1071500
2024-04-02,2.21000,2.21000,2.16500,2.20000,439200
2024-04-03,2.17000,2.23500,2.17000,2.20000,422100
2024-04-04,2.23000,2.25000,2.11000,2.13000,1153400
2024-04-05,2.13000,2.19000,2.06000,2.08000,2071500
2024-04-08,2.11000,2.14000,2.10000,2.11000,625000
2024-04-09,2.12000,2.16000,2.09000,2.10000,863200
2024-04-10,2.04000,2.09000,2.01000,2.05000,960500
2024-04-11,2.05000,2.12000,2.02500,2.12000,899500
2024-04-12,2.11000,2.11000,2.03000,2.04000,947500
2024-04-15,2.05000,2.05000,1.93000,1.96000,1628300
2024-04-16,1.93000,1.98000,1.93000,1.96000,813700
2024-04-17,1.96000,1.99000,1.92000,1.93000,919600
2024-04-18,1.94000,1.98000,1.91000,1.95000,747500
2024-04-19,1.92000,1.98000,1.92000,1.98000,982300
