date,open,high,low,close,volume
2025-03-19,0.97000,0.99000,0.91000,0.95000,11400
2025-03-20,0.98000,0.98000,0.92000,0.96000,12200
2025-03-21,0.99000,1.02000,0.93000,1.02000,141500
2025-03-24,1.03000,1.03000,0.90000,0.93000,114900
2025-03-25,0.90000,0.94000,0.90000,0.92000,38200
2025-03-26,0.96000,0.96000,0.91000,0.94000,18200
2025-03-27,0.94000,0.97000,0.91000,0.94000,26100
2025-03-28,0.99000,0.99000,0.82000,0.85000,60400
2025-03-31,0.86000,0.86000,0.81000,0.83000,35000
2025-04-01,0.86000,0.86000,0.77000,0.81000,100100
2025-04-02,0.79000,0.84000,0.79000,0.79000,42200
2025-04-03,0.77000,0.81000,0.77000,0.77000,35100
2025-04-04,0.75000,0.77000,0.65000,0.69000,77000
2025-04-07,0.70000,0.83000,0.67000,0.67000,26300
2025-04-08,0.80000,0.80000,0.63000,0.68000,34000
2025-04-09,0.69000,0.80000,0.63000,0.80000,3623600
2025-04-10,0.75000,0.76000,0.63000,0.67000,5056500
2025-04-11,0.64000,0.65000,0.56000,0.62000,407800
2025-04-14,0.58000,0.60000,0.55000,0.55000,279400
2025-04-15,0.51000,0.55000,0.50000,0.51000,115500
2025-04-16,0.52000,0.54000,0.47000,0.48000,88800
2025-04-17,0.50000,0.50000,0.43000,0.49000,106600
2025-04-21,0.48000,0.49000,0.46000,0.48000,69400
2025-04-22,0.48000,0.60000,0.47000,0.53000,108300
2025-04-23,0.57000,0.57000,0.50000,0.51000,65200
2025-04-24,0.52000,0.55000,0.49000,0.55000,62300
2025-04-25,0.55000,0.73000,0.51000,0.58000,908200
2025-04-28,0.56000,0.59000,0.53000,0.55000,198200
2025-04-29,0.56000,0.57000,0.53000,0.54000,91400
2025-04-30,0.52000,0.60000,0.52000,0.56000,117500
2025-05-01,0.54000,0.58000,0.54000,0.55000,88700
2025-05-02,0.54000,0.57000,0.51000,0.54000,46500
2025-05-05,0.54000,0.55000,0.51000,0.53000,15400
2025-05-06,0.52000,0.54000,0.52000,0.53000,63100
2025-05-07,0.53000,0.54000,0.50000,0.52000,40900
2025-05-08,0.51000,0.55000,0.51000,0.53000,63500
2025-05-09,0.52000,0.59000,0.51000,0.55000,73900
2025-05-12,0.59000,0.61000,0.55000,0.59000,114700
2025-05-13,0.64000,0.69000,0.58000,0.67000,164800
2025-05-14,0.69000,0.69000,0.61000,0.64000,50900
2025-05-15,0.58000,0.61000,0.55000,0.58000,81300
2025-05-16,0.58000,0.63000,0.56000,0.58000,34700
2025-05-19,0.56000,0.60000,0.56000,0.60000,18800
2025-05-20,0.57000,0.64000,0.57000,0.59000,41400
2025-05-21,0.61000,0.61000,0.59000,0.60000,28300
2025-05-22,0.59000,0.67000,0.59000,0.63000,81400
2025-05-23,0.63000,0.63000,0.59000,0.62000,19300
2025-05-27,0.60000,0.63000,0.56000,0.61000,39400
2025-05-28,0.61000,0.63000,0.60000,0.60000,10800
2025-05-29,0.61000,0.67000,0.60000,0.67000,48100
2025-05-30,0.66000,0.68000,0.63000,0.66000,22600
2025-06-02,0.63000,0.65000,0.61000,0.62000,10900
2025-06-03,0.60000,0.65000,0.60000,0.64000,43400
2025-06-04,0.65000,0.68000,0.62000,0.65000,33500
2025-06-05,0.65000,0.71000,0.65000,0.68000,75500
2025-06-06,0.70000,0.70000,0.65000,0.70000,21100
2025-06-09,0.68000,0.72000,0.67000,0.70000,24000
2025-06-10,0.70000,0.70000,0.66000,0.70000,30100
2025-06-11,0.65000,0.73000,0.65000,0.66000,46400
2025-06-12,0.68000,0.73000,0.67000,0.71000,17100
2025-06-13,0.73000,0.73000,0.69000,0.69000,18600
2025-06-16,0.69000,0.76000,0.66000,0.70000,41200
2025-06-17,0.70000,0.70000,0.62000,0.67000,16700
2025-06-18,0.66000,0.72000,0.66000,0.70000,4300
2025-06-20,0.70000,0.73000,0.65000,0.72000,21800
2025-06-23,0.69000,0.73000,0.66000,0.69000,13500
2025-06-24,0.70000,0.73000,0.67000,0.71000,15000
2025-06-25,0.77000,0.77000,0.69000,0.73000,40300
2025-06-26,0.71000,0.73000,0.70000,0.73000,12600
2025-06-27,0.70000,0.75000,0.70000,0.74000,73600
2025-06-30,0.73000,0.74000,0.68000,0.74000,31600
2025-07-01,0.74000,0.85000,0.70000,0.77000,57900
2025-07-02,0.80000,0.81000,0.75000,0.76000,77900
2025-07-03,0.75000,0.77000,0.73000,0.76000,12000
2025-07-07,0.79000,0.80000,0.74000,0.78000,26500
2025-07-08,0.79000,0.80000,0.74000,0.74000,28900
2025-07-09,0.77000,0.80000,0.74000,0.78000,14900
2025-07-10,0.78000,0.80000,0.75000,0.79000,14200
2025-07-11,0.74000,0.77000,0.74000,0.75000,25200
2025-07-14,0.75000,0.76000,0.72000,0.73000,16600
2025-07-15,0.76000,0.80000,0.73000,0.80000,26000
2025-07-16,0.80000,0.84000,0.77000,0.78000,216100
2025-07-17,0.77000,0.82000,0.77000,0.81000,107800
2025-07-18,0.81000,0.85000,0.76000,0.79000,276000
2025-07-21,0.80000,0.82000,0.76000,0.77000,46700
2025-07-22,0.78000,0.90000,0.76000,0.90000,62200
2025-07-23,0.94000,0.94000,0.82000,0.83000,53700
2025-07-24,0.87000,0.87000,0.75000,0.80000,60600
2025-07-25,0.76000,0.78000,0.75000,0.76000,22500
2025-07-28,0.76000,0.76000,0.74000,0.75000,26000
2025-07-29,0.75000,0.75000,0.70000,0.71000,49500
2025-07-30,0.71000,0.72000,0.70000,0.71000,10200
2025-07-31,0.70000,0.71000,0.67000,0.68000,36500
2025-08-01,0.67000,0.69000,0.65000,0.69000,18900
2025-08-04,0.65000,0.72000,0.65000,0.71000,72400
2025-08-05,0.74000,0.79000,0.74000,0.75000,35800
2025-08-06,0.73000,0.73000,0.69000,0.71000,51800
2025-08-07,0.72000,0.72000,0.69000,0.71000,5200
2025-08-08,0.76000,0.76000,0.69000,0.75000,15500
2025-08-11,0.72000,0.77000,0.70000,0.75000,15000
2025-08-12,0.70000,0.77000,0.70000,0.77000,11100
2025-08-13,0.78000,0.82000,0.74000,0.78000,84800
2025-08-14,0.72000,0.73000,0.67000,0.70000,158600
2025-08-15,0.68000,0.82000,0.68000,0.77000,107700
2025-08-18,0.78000,0.78000,0.73000,0.73000,79000
2025-08-19,0.73000,0.74000,0.71000,0.71000,6500
2025-08-20,0.71000,0.73000,0.66000,0.70000,70700
2025-08-21,0.71000,0.71000,0.66000,0.69000,77900
2025-08-22,0.70000,0.75000,0.69000,0.73000,55500
2025-08-25,0.71000,0.77000,0.71000,0.75000,45600
2025-08-26,0.75000,0.84000,0.75000,0.80000,97900
2025-08-27,0.78000,0.83000,0.78000,0.78000,53500
2025-08-28,0.80000,0.81000,0.73000,0.74000,40000
2025-08-29,0.80000,0.80000,0.70000,0.70000,89100
2025-09-02,0.69000,0.73000,0.66000,0.66000,45800
2025-09-03,0.68000,0.72000,0.68000,0.71000,70800
2025-09-04,0.72000,0.72000,0.69000,0.70000,41700
2025-09-05,0.70000,0.72000,0.69000,0.71000,30100
2025-09-08,0.72000,0.72000,0.71000,0.71000,48900
2025-09-09,0.68000,0.74000,0.67000,0.68000,138500
2025-09-10,0.70000,0.72000,0.70000,0.70000,21200
2025-09-11,0.69000,0.72000,0.69000,0.70000,7000
2025-09-12,0.72000,0.72000,0.71000,0.72000,18400
2025-09-15,0.71000,0.75000,0.71000,0.73000,24000
2025-09-16,0.73000,0.80000,0.73000,0.78000,1207700
2025-09-17,0.77000,0.88000,0.75000,0.86000,463700
2025-09-18,0.86000,0.96000,0.80000,0.80000,411700
2025-09-19,0.81000,0.88000,0.77000,0.88000,212000
2025-09-22,0.85000,0.93000,0.83000,0.90000,178800
2025-09-23,0.88000,0.88000,0.78000,0.79000,2573900
2025-09-24,0.79000,0.81000,0.78000,0.80000,77700
2025-09-25,0.78000,0.82000,0.76000,0.81000,69800
2025-09-26,0.82000,0.85000,0.81000,0.85000,29800
2025-09-29,0.83000,0.86000,0.81000,0.82000,31500
2025-09-30,0.82000,0.84000,0.82000,0.83000,13700
2025-10-01,0.85000,0.85000,0.82000,0.84000,22100
2025-10-02,0.84000,0.86000,0.83000,0.84000,72100
