date,open,high,low,close,volume
2025-03-21,34.76000,34.76000,33.30900,33.52000,6500
2025-03-24,34.98000,34.99000,34.30000,34.55000,4600
2025-03-25,34.00000,34.68000,34.00000,34.68000,1100
2025-03-26,33.62000,33.62000,33.62000,33.62000,400
2025-03-27,34.39000,35.09000,34.39000,35.02200,2500
2025-03-28,34.33500,34.33500,33.38000,33.90000,2900
2025-03-31,33.90000,34.59100,33.05000,33.85000,7100
2025-04-01,35.69000,37.50000,35.69000,37.50000,10400
2025-04-02,36.78000,37.93000,36.54700,36.99500,5800
2025-04-03,35.19000,35.66100,34.90000,35.30000,7600
2025-04-04,35.30000,35.57000,33.82000,34.40000,8400
2025-04-07,32.74000,33.48000,32.37900,32.86000,11700
2025-04-08,33.97000,34.26300,33.82000,34.00000,4600
2025-04-09,33.19000,35.24000,33.19000,35.24000,2200
2025-04-10,35.71000,36.07000,34.05000,35.89000,4300
2025-04-11,35.69000,38.00000,35.50500,36.81000,6600
2025-04-14,36.18000,36.18000,36.18000,36.18000,1600
2025-04-15,37.10000,39.49000,37.10000,38.87000,6900
2025-04-16,39.23000,40.09000,37.00000,39.35000,5100
2025-04-17,38.80000,38.80000,37.44700,38.39000,3800
2025-04-21,37.95500,38.97000,37.00000,37.31700,6400
2025-04-22,39.86000,40.01000,39.38000,39.58500,5600
2025-04-23,41.46000,42.00000,41.00000,41.07000,6300
2025-04-24,41.65000,41.96000,41.07000,41.28000,3900
2025-04-25,41.90000,41.90000,41.90000,41.90000,300
2025-04-28,41.71000,42.04300,41.35000,41.99000,2500
2025-04-29,41.44000,42.12500,40.69000,41.39000,17700
2025-04-30,40.57000,41.80000,40.52000,41.16000,4700
2025-05-01,41.25000,42.76000,41.25000,42.45500,5500
2025-05-02,42.78000,42.78000,41.98500,42.40000,8300
2025-05-05,40.32000,40.32000,39.26000,40.00000,29300
2025-05-06,39.27000,40.81000,39.27000,39.82000,14100
2025-05-07,41.10000,42.27000,39.53000,41.61000,26800
2025-05-08,42.14000,42.70000,41.10000,41.33000,13300
2025-05-09,41.55000,42.85000,41.55000,42.16000,21600
2025-05-12,41.06000,41.30000,39.75000,40.65500,8700
2025-05-13,38.84000,39.86000,37.95000,39.74000,27000
2025-05-14,41.46000,41.48000,40.03000,40.64000,4100
2025-05-15,42.11000,42.16000,41.19600,42.00000,9000
2025-05-16,42.37000,42.37000,41.00000,41.32000,15700
2025-05-19,41.20000,41.52700,40.39000,41.18000,13900
2025-05-20,42.47000,42.60000,42.02000,42.22000,15900
2025-05-21,41.87000,42.15100,40.74300,41.43000,5200
2025-05-22,40.82500,40.82500,40.82500,40.82500,1100
2025-05-23,38.50000,40.89000,38.50000,40.75000,1400
2025-05-27,42.91000,43.33000,42.33000,42.75000,40500
2025-05-28,44.00000,44.98000,44.00000,44.50000,37000
2025-05-29,45.72000,45.72000,44.55000,44.68500,14800
2025-05-30,44.12000,44.90000,44.00000,44.70000,9400
2025-06-02,44.84000,45.51000,44.18000,45.51000,40200
2025-06-03,44.44000,44.65000,44.09000,44.12000,26300
2025-06-04,45.24500,46.13000,44.61500,45.93000,47700
2025-06-05,45.21000,45.28000,44.00000,44.18000,8500
2025-06-06,45.67000,45.67000,44.16000,44.78000,18800
2025-06-09,44.40000,44.47500,44.13500,44.34500,9900
2025-06-10,45.25000,45.60000,45.00000,45.15000,39400
2025-06-11,44.65000,44.86000,44.15400,44.18000,14300
2025-06-12,43.25000,44.18000,43.16700,43.23000,22500
2025-06-13,43.09000,43.09000,42.40000,42.76000,12800
2025-06-16,44.55000,45.55000,44.04000,45.55000,59500
2025-06-17,45.27000,46.27000,44.80500,44.90000,10600
2025-06-18,45.62000,46.28000,45.49000,45.64000,29800
2025-06-20,47.05000,47.36000,46.20000,47.36000,50800
2025-06-23,46.61000,46.86400,45.01000,46.64000,26400
2025-06-24,48.75000,49.84500,48.75000,49.19000,28800
2025-06-25,49.15000,49.63000,48.61000,49.09500,6100
2025-06-26,48.23000,48.91000,48.23000,48.53000,12100
2025-06-27,48.08000,49.61000,48.08000,49.61000,17300
2025-06-30,49.51000,50.45800,49.51000,50.27000,13900
2025-07-01,52.46000,52.46000,51.49000,51.76000,15000
2025-07-02,51.59000,51.90000,51.33000,51.52000,9500
2025-07-03,51.44000,51.44000,50.44000,50.44000,1900
2025-07-07,47.59000,50.01000,45.09000,47.36000,18300
2025-07-08,45.69000,45.69000,44.00000,44.22000,27100
2025-07-09,43.43000,44.30000,43.42000,43.72000,34000
2025-07-10,43.57000,43.60000,42.87500,43.60000,18600
2025-07-11,43.49000,43.69000,43.32000,43.59000,8900
2025-07-14,42.63000,43.10000,42.50000,42.84000,15300
2025-07-15,43.29000,43.49000,43.20000,43.47000,4300
2025-07-16,43.50000,44.40000,43.44500,44.40000,3500
2025-07-17,44.55000,45.44000,44.55000,45.44000,3600
2025-07-18,45.68000,45.68000,44.95000,45.19000,8000
2025-07-21,45.73000,46.18000,45.72000,46.08000,10100
2025-07-22,46.28000,47.00000,46.01000,46.71500,10700
2025-07-23,46.82000,46.82000,46.51000,46.53000,3000
2025-07-24,45.75000,47.00000,45.75000,46.20000,3100
2025-07-25,46.13000,46.13000,46.13000,46.13000,700
2025-07-28,44.68000,45.47000,44.50000,44.50000,6300
2025-07-29,44.93000,45.39000,44.79500,45.08500,7700
2025-07-30,44.99000,45.42000,44.55000,44.55000,7500
2025-07-31,43.58000,44.52500,43.12000,43.12000,11700
2025-08-01,43.07000,44.00000,42.24000,42.65000,14000
2025-08-04,43.83000,44.09400,43.51000,43.64000,5600
2025-08-05,42.85000,42.85000,42.10700,42.23300,4400
2025-08-06,42.15000,42.55000,42.15000,42.55000,1400
2025-08-07,43.30000,43.30000,42.38000,42.62000,3100
2025-08-08,42.48000,43.10000,42.33000,42.53000,34900
2025-08-11,44.11000,45.99000,44.11000,44.76000,11400
2025-08-12,44.50000,44.76000,43.36000,43.85000,8600
2025-08-13,44.00000,44.00000,42.80000,43.12500,35000
2025-08-14,44.10000,44.72000,43.99500,44.49500,16900
2025-08-15,45.00000,45.00000,44.22300,44.41700,6000
2025-08-18,44.81000,46.64000,44.81000,46.22000,14900
2025-08-19,46.68000,46.97000,46.30000,46.43000,9800
2025-08-20,46.79000,46.79000,45.98000,46.25000,6900
2025-08-21,46.07000,46.28000,46.07000,46.28000,3100
2025-08-22,46.51000,47.24000,46.51000,47.00000,8500
2025-08-25,46.95000,47.03000,46.77000,47.03000,4300
2025-08-26,47.13000,47.55000,47.12000,47.16000,2100
2025-08-27,47.89000,47.90000,47.72000,47.72000,5700
2025-08-28,49.34000,50.87000,49.34000,50.11000,23900
2025-08-29,50.23000,50.23000,49.75000,49.75000,1600
2025-09-02,48.80000,49.12000,47.88000,48.32000,17400
2025-09-03,48.29000,48.76000,48.10000,48.10000,5300
2025-09-04,49.61000,49.77000,49.06000,49.47000,17600
2025-09-05,49.97000,50.64000,49.38000,49.93000,16100
2025-09-08,50.75000,51.54300,50.53000,51.30000,31100
2025-09-09,50.69000,50.96500,50.32000,50.69000,14100
2025-09-10,49.92000,50.48000,49.51000,50.25000,8700
2025-09-11,49.75000,51.03000,49.73500,50.57000,25200
2025-09-12,50.55000,50.96000,50.42500,50.75000,6800
2025-09-15,48.26000,48.98000,46.33000,48.42000,14100
2025-09-16,48.34000,48.49500,47.53000,48.18000,7200
2025-09-17,46.75000,46.75000,45.98300,46.16000,10800
2025-09-18,47.33000,47.86000,47.33000,47.59000,5100
2025-09-19,47.45000,48.00000,47.23000,47.67000,10600
2025-09-22,47.67000,47.89000,47.29200,47.73000,6500
2025-09-23,47.59000,47.62000,47.11000,47.14000,3500
2025-09-24,46.61000,47.62000,46.61000,47.44000,3900
2025-09-25,47.21000,47.25000,47.00000,47.11000,2200
2025-09-26,47.04000,47.32000,46.81000,46.81000,3000
2025-09-29,46.98000,47.75800,46.98000,47.42000,5200
2025-09-30,47.53500,47.66000,47.39000,47.61000,2400
2025-10-01,46.93900,47.72000,46.93900,47.72000,3200
2025-10-02,47.66000,48.47000,47.65800,47.96000,9000
2025-10-03,48.41000,48.41000,47.04000,47.04000,1800
2025-10-06,47.00000,48.34000,47.00000,47.80000,4900
2025-10-07,48.15000,48.50000,47.82000,48.13000,14400
2025-10-08,48.18000,49.28000,48.18000,49.28000,4700
