date,open,high,low,close,volume
2025-03-17,9.75000,10.15000,9.69000,10.00000,1700
2025-03-18,9.82000,10.00000,9.51000,9.51000,2800
2025-03-19,9.90000,9.90000,9.90000,9.90000,1800
2025-03-20,9.45000,10.01000,9.30000,9.55600,3600
2025-03-21,9.40000,10.53000,9.40000,10.35000,4700
2025-03-24,10.35000,10.95000,10.04500,10.75000,10300
2025-03-25,10.75000,10.75000,10.54000,10.73000,2900
2025-03-26,10.75000,10.75000,10.53000,10.55000,3200
2025-03-27,10.75000,10.75000,10.04000,10.54000,2300
2025-03-28,10.73000,12.48000,10.40000,11.45000,14200
2025-03-31,11.97000,12.20000,10.65000,11.20000,23100
2025-04-01,11.21000,12.10000,10.90000,11.38000,7500
2025-04-02,11.27000,12.17000,11.20000,11.27000,4300
2025-04-03,10.94000,12.19000,9.48000,11.31000,14600
2025-04-04,11.22000,11.23000,9.43000,10.65000,13300
2025-04-07,10.80000,11.34000,9.98500,11.01400,7000
2025-04-08,11.39000,11.95000,10.70000,11.47000,5800
2025-04-09,11.18000,11.72000,11.18000,11.45000,3000
2025-04-10,11.16000,11.95000,11.09700,11.86000,7800
2025-04-11,11.99000,12.00000,11.80000,12.00000,5300
2025-04-14,11.81000,12.43000,11.81000,12.13000,17200
2025-04-15,11.90000,13.59000,11.82000,12.50000,27100
2025-04-16,11.70000,11.70000,11.06000,11.37000,18800
2025-04-17,11.05000,11.70000,10.51000,11.70000,5700
2025-04-21,11.59000,11.59000,11.59000,11.59000,600
2025-04-22,11.12700,11.70000,11.12700,11.53000,2900
2025-04-23,11.30000,11.49000,11.30000,11.33200,1100
2025-04-24,10.93000,12.24000,10.93000,11.94000,4300
2025-04-25,12.75200,12.75200,11.31600,12.00000,5600
2025-04-28,11.98000,12.00000,11.54000,11.54000,1800
2025-04-29,11.09300,11.60000,11.09300,11.54000,2400
2025-04-30,11.11000,11.71800,11.11000,11.33000,2400
2025-05-01,11.32000,12.00000,11.12600,11.12600,1500
2025-05-02,11.73100,11.73100,10.80000,10.80000,1200
2025-05-05,10.68000,11.02000,10.68000,11.00000,2100
2025-05-06,11.21500,11.21500,11.13000,11.13000,700
2025-05-07,11.13000,11.66000,11.13000,11.66000,2000
2025-05-08,11.70700,11.70700,11.46500,11.46500,900
2025-05-09,11.13000,11.46500,11.13000,11.46500,900
2025-05-12,11.40000,11.77000,10.80800,11.50000,1700
2025-05-13,11.08000,11.25000,10.74000,11.25000,2700
2025-05-14,11.25000,11.75000,10.55000,10.55000,2500
2025-05-15,11.00000,11.00000,10.65000,10.65000,5300
2025-05-16,10.50000,10.90000,10.50000,10.90000,3500
2025-05-19,11.14000,11.29400,10.45100,10.57000,4600
2025-05-20,10.30000,10.94200,10.25000,10.25000,3000
2025-05-21,10.05000,10.56000,9.60400,10.56000,1700
2025-05-22,10.80000,10.80000,10.80000,10.80000,900
2025-05-23,10.77000,10.80000,10.06800,10.60000,4000
2025-05-27,10.30000,10.30000,9.70000,9.70000,1600
