date,open,high,low,close,volume
2025-03-21,5.80000,5.81000,5.66000,5.69000,534600
2025-03-24,5.68000,5.84000,5.66000,5.79000,277100
2025-03-25,5.82000,6.11000,5.82000,5.98000,486800
2025-03-26,6.01000,6.22000,6.01000,6.03000,577100
2025-03-27,6.00000,6.10000,5.83000,6.00000,477600
2025-03-28,6.00000,6.03000,5.84000,5.86000,383600
2025-03-31,5.77000,5.93000,5.72000,5.86000,322200
2025-04-01,5.86000,6.04000,5.79000,6.02000,310900
2025-04-02,5.97000,6.08000,5.93000,6.00000,254900
2025-04-03,5.58000,5.73000,5.27000,5.32000,637000
2025-04-04,5.19000,5.19000,4.40000,4.55000,781300
2025-04-07,4.26000,4.74000,4.18000,4.45000,932400
2025-04-08,4.73000,4.73000,4.08000,4.12000,948600
2025-04-09,4.02000,4.81000,4.01000,4.76000,1472500
2025-04-10,4.67000,4.70000,4.23000,4.30000,672800
2025-04-11,4.39000,4.68000,4.35000,4.60000,601400
2025-04-14,4.75000,4.81000,4.60000,4.73000,696400
2025-04-15,4.76000,4.95000,4.73000,4.78000,448200
2025-04-16,4.83000,5.13000,4.83000,5.04000,664500
2025-04-17,5.15000,5.15000,4.70000,4.76000,1268800
2025-04-21,4.68000,4.68000,4.47000,4.58000,543400
2025-04-22,4.66000,4.77000,4.64000,4.71000,406700
2025-04-23,4.79000,4.79000,4.47000,4.51000,491200
2025-04-24,4.57000,4.61000,4.47000,4.47000,262500
2025-04-25,4.44000,4.52000,4.41000,4.47000,225600
2025-04-28,4.45000,4.53000,4.43000,4.51000,296700
2025-04-29,4.50000,4.50000,4.36000,4.41000,400300
2025-04-30,4.32000,4.33000,4.18000,4.21000,1045200
2025-05-01,4.23000,4.34000,4.14000,4.23000,539800
2025-05-02,4.29000,4.30000,4.13000,4.14000,787500
2025-05-05,4.12000,4.14000,3.93000,3.95000,634200
2025-05-06,4.00000,4.10000,3.96000,4.08000,730700
2025-05-07,4.13000,4.16000,3.88000,4.09000,689500
2025-05-08,4.17000,4.36000,4.17000,4.32000,709200
2025-05-09,4.41000,4.62000,4.41000,4.56000,640700
2025-05-12,4.98000,5.03000,4.82000,4.82000,895000
2025-05-13,4.88000,5.18000,4.84000,5.13000,525200
2025-05-14,5.06000,5.10000,4.95000,4.97000,520300
2025-05-15,4.84000,4.87000,4.65000,4.67000,500700
2025-05-16,4.67000,4.81000,4.67000,4.76000,331300
2025-05-19,4.70000,4.72000,4.58000,4.70000,227000
2025-05-20,4.68000,4.78000,4.64000,4.75000,219200
2025-05-21,4.78000,4.86000,4.72000,4.74000,345500
2025-05-22,4.70000,4.81000,4.61000,4.77000,263500
2025-05-23,4.68000,4.95000,4.68000,4.95000,293300
2025-05-27,4.95000,5.04000,4.90000,4.95000,280400
2025-05-28,4.95000,5.03000,4.84000,4.85000,259900
2025-05-29,4.87000,4.96000,4.85000,4.90000,296200
2025-05-30,4.84000,4.88000,4.77000,4.79000,168900
2025-06-02,4.95000,5.11000,4.92000,4.99000,418900
2025-06-03,5.01000,5.25000,4.98000,5.19000,325900
2025-06-04,5.29000,5.36000,5.06000,5.11000,299000
2025-06-05,5.17000,5.20000,5.04000,5.14000,286900
2025-06-06,5.21000,5.31000,5.08000,5.28000,365700
2025-06-09,5.31000,5.47000,5.29000,5.36000,357300
2025-06-10,5.44000,5.61000,5.39000,5.51000,303500
2025-06-11,5.63000,5.87000,5.55000,5.78000,442700
2025-06-12,5.68000,5.77000,5.61000,5.74000,351800
2025-06-13,6.04000,6.09000,5.82000,5.95000,656600
2025-06-16,5.80000,5.93000,5.66000,5.68000,672600
2025-06-17,5.79000,6.03000,5.71000,6.00000,703900
2025-06-18,6.00000,6.03000,5.86000,5.90000,385000
2025-06-20,5.90000,5.95000,5.81000,5.90000,512900
2025-06-23,5.93000,6.07000,5.57000,5.58000,624200
2025-06-24,5.41000,5.71000,5.34000,5.52000,553700
2025-06-25,5.51000,5.56000,5.45000,5.47000,235800
2025-06-26,5.48000,5.60000,5.45000,5.48000,327000
2025-06-27,5.48000,5.56000,5.42000,5.49000,261900
2025-06-30,5.46000,5.60000,5.43000,5.55000,366300
2025-07-01,5.55000,5.71000,5.47000,5.59000,243500
2025-07-02,5.66000,5.97000,5.57000,5.95000,572300
2025-07-03,5.95000,5.99000,5.81000,5.85000,268300
2025-07-07,5.86000,5.90000,5.69000,5.80000,426500
2025-07-08,5.81000,6.07000,5.81000,5.97000,517800
2025-07-09,5.96000,6.11000,5.96000,6.01000,345200
2025-07-10,5.93000,5.96000,5.50000,5.52000,625900
2025-07-11,5.51000,5.68000,5.46000,5.60000,293200
2025-07-14,5.58000,5.60000,5.43000,5.47000,267600
2025-07-15,5.47000,5.48000,5.36000,5.36000,211500
2025-07-16,5.34000,5.47000,5.27000,5.40000,279400
2025-07-17,5.36000,5.54000,5.31000,5.49000,250800
2025-07-18,5.56000,5.65000,5.47000,5.48000,232100
2025-07-21,5.51000,5.56000,5.43000,5.47000,201700
2025-07-22,5.49000,5.68000,5.49000,5.63000,229400
2025-07-23,5.64000,5.77000,5.63000,5.77000,300000
2025-07-24,5.80000,5.97000,5.70000,5.96000,236300
2025-07-25,5.96000,5.98000,5.83000,5.83000,142300
2025-07-28,5.86000,6.05000,5.86000,6.03000,449400
2025-07-29,6.04000,6.37000,6.04000,6.22000,725600
2025-07-30,6.06000,6.26000,5.89000,6.22000,378200
2025-07-31,6.06000,6.53000,6.06000,6.12000,460500
2025-08-01,6.13000,6.19000,5.88000,5.90000,376700
2025-08-04,5.79000,5.91000,5.70000,5.71000,232400
2025-08-05,5.73000,5.96000,5.70000,5.95000,315100
2025-08-06,5.98000,6.11000,5.79000,5.82000,166100
2025-08-07,5.87000,5.97000,5.78000,5.83000,187200
2025-08-08,5.81000,5.89000,5.74000,5.79000,212500
2025-08-11,5.80000,5.80000,5.63000,5.68000,197900
2025-08-12,5.69000,5.81000,5.68000,5.73000,250400
2025-08-13,5.74000,5.79000,5.60000,5.72000,232300
2025-08-14,5.77000,5.81000,5.68000,5.70000,274600
2025-08-15,5.62000,5.65000,5.55000,5.59000,185200
2025-08-18,5.58000,5.71000,5.52000,5.66000,234600
2025-08-19,5.56000,5.70000,5.55000,5.55000,200400
2025-08-20,5.60000,5.71000,5.57000,5.62000,197800
2025-08-21,5.60000,5.80000,5.58000,5.80000,174300
2025-08-22,5.82000,6.04000,5.81000,6.02000,341200
2025-08-25,6.02000,6.14000,6.00000,6.08000,201900
2025-08-26,6.03000,6.06000,5.97000,6.02000,157700
2025-08-27,5.95000,6.13000,5.95000,6.11000,229900
2025-08-28,6.15000,6.31000,6.06000,6.27000,300100
2025-08-29,6.25000,6.25000,6.09000,6.15000,133800
2025-09-02,6.15000,6.24000,6.07000,6.20000,325500
2025-09-03,6.09000,6.17000,5.92000,5.94000,290000
2025-09-04,5.91000,6.06000,5.85000,6.04000,149600
2025-09-05,5.94000,6.00000,5.82000,5.84000,342800
2025-09-08,5.84000,6.00000,5.81000,5.84000,186300
2025-09-09,5.90000,6.13000,5.89000,5.90000,290700
2025-09-10,5.95000,6.25000,5.87000,6.22000,386900
2025-09-11,6.13000,6.20000,6.02000,6.04000,299100
2025-09-12,6.10000,6.15000,6.00000,6.00000,290100
2025-09-15,6.03000,6.14000,5.92000,6.10000,286600
2025-09-16,6.12000,6.45000,6.12000,6.41000,620100
2025-09-17,6.41000,6.44000,6.29000,6.36000,303200
2025-09-18,6.36000,6.37000,6.24000,6.30000,247700
2025-09-19,6.28000,6.36000,6.17000,6.20000,465200
2025-09-22,6.18000,6.43000,6.17000,6.37000,278300
2025-09-23,6.46000,6.74000,6.42000,6.46000,432200
2025-09-24,6.56000,6.80000,6.52000,6.64000,285700
2025-09-25,6.62000,6.67000,6.53000,6.59000,183900
2025-09-26,6.72000,6.84000,6.62000,6.71000,394100
2025-09-29,6.69000,6.69000,6.46000,6.56000,331400
2025-09-30,6.45000,6.67000,6.43000,6.54000,389300
2025-10-01,6.47000,6.67000,6.34000,6.61000,244900
2025-10-02,6.61000,6.76000,6.51000,6.51000,179700
2025-10-03,6.51000,6.77000,6.51000,6.73000,290100
2025-10-06,6.78000,6.95000,6.71000,6.76000,264000
2025-10-07,6.68000,6.83000,6.65000,6.83000,218900
2025-10-08,6.83000,6.94000,6.70000,6.87000,316300
2025-10-09,6.90000,7.07000,6.68000,6.73000,332200
2025-10-10,6.64000,6.64000,6.16000,6.17000,425700
2025-10-13,6.24000,6.29000,6.19000,6.25000,190000
2025-10-14,6.14000,6.20000,5.96000,5.99000,528600
2025-10-15,6.01000,6.13000,5.92000,5.95000,282700
2025-10-16,5.96000,6.03000,5.77000,5.80000,298300
2025-10-17,5.81000,5.81000,5.69000,5.80000,374800
2025-10-20,5.83000,5.89000,5.71000,5.72000,247700
2025-10-21,5.77000,5.77000,5.58000,5.63000,311000
2025-10-22,5.71000,5.79000,5.60000,5.70000,331100
2025-10-23,5.94000,6.13000,5.88000,6.06000,697000
2025-10-24,6.25000,6.25000,5.96000,6.06000,465700
2025-10-27,6.12000,6.12000,5.99000,6.00000,318500
2025-10-28,5.87000,6.04000,5.70000,5.95000,345400
2025-10-29,6.00000,6.13000,5.94000,5.97000,365200
2025-10-30,5.95000,6.02000,5.64000,5.66000,414800
2025-10-31,5.63000,5.91000,5.44000,5.67000,633100
2025-11-03,5.69000,5.70000,5.49000,5.68000,260600
2025-11-04,5.57000,5.59000,5.47000,5.52000,270400
2025-11-05,5.55000,5.73000,5.53000,5.64000,233300
2025-11-06,5.60000,5.79000,5.57000,5.66000,230300
2025-11-07,5.68000,5.89000,5.61000,5.86000,369000
2025-11-10,5.91000,6.08000,5.86000,6.07000,252100
2025-11-11,6.14000,6.41000,6.09000,6.30000,346400
2025-11-12,6.13000,6.32000,6.08000,6.17000,429400
2025-11-13,6.20000,6.30000,6.06000,6.08000,363700
2025-11-14,6.13000,6.31000,6.04000,6.27000,271900
2025-11-17,6.27000,6.33000,6.05000,6.06000,219200
2025-11-18,5.94000,6.35000,5.93000,6.27000,382900
2025-11-19,6.15000,6.27000,6.06000,6.24000,256900
