date,open,high,low,close,volume
2016-02-04,5.80000,6.49000,5.75000,6.11000,263900
2016-02-05,6.08000,6.26000,5.75000,5.99000,292600
2016-02-08,5.92000,5.97000,5.43000,5.61000,187800
2016-02-09,5.51000,5.73000,5.22000,5.54000,216500
2016-02-10,5.60000,5.95000,5.43500,5.54000,151400
2016-02-11,5.43000,5.87000,5.41000,5.63000,136500
2016-02-12,5.66000,5.71000,5.20000,5.59000,194000
2016-02-16,5.66000,6.38000,5.57500,6.26000,192800
2016-02-17,9.09000,10.09000,8.05000,8.67000,5617300
2016-02-18,8.59000,8.66000,8.07000,8.27000,744000
2016-02-19,8.17000,9.38000,8.17000,8.94000,599800
2016-02-22,9.15000,9.27000,8.28000,8.42000,437700
2016-02-23,8.40000,8.60000,7.82000,7.92000,174600
2016-02-24,7.79000,8.11000,7.53200,7.99000,180200
2016-02-25,8.07000,8.07000,7.69000,7.82000,119700
2016-02-26,7.91000,8.25000,7.76000,8.07000,124500
2016-02-29,8.13000,8.16000,7.80000,7.87000,171700
2016-03-01,7.87000,8.22000,7.72000,8.12000,120100
2016-03-02,8.14000,8.97000,8.01000,8.83000,260300
2016-03-03,8.80000,9.08000,8.52000,8.71000,217300
2016-03-04,8.71000,9.22000,8.55000,8.71000,203500
2016-03-07,8.71000,10.19000,8.56300,9.58000,412700
2016-03-08,9.54000,9.66600,8.83000,8.90000,231000
2016-03-09,8.92000,9.09800,8.13000,8.23000,196300
2016-03-10,8.48000,8.59000,7.79000,7.94000,250100
2016-03-11,7.94000,8.50000,7.86000,8.43000,119000
2016-03-14,8.38000,9.25000,8.38000,9.05000,242000
2016-03-15,8.93000,8.93000,8.08000,8.49000,198100
2016-03-16,8.39000,8.47000,7.96300,8.35000,172700
2016-03-17,8.31000,8.87000,8.23000,8.79000,135800
2016-03-18,8.84000,9.22000,8.58000,9.04000,257500
2016-03-21,9.05000,9.46000,8.90000,9.09000,225700
2016-03-22,9.02000,9.47000,9.02000,9.41000,159300
2016-03-23,9.22000,9.49000,8.59000,8.75000,162700
2016-03-24,8.62000,9.10000,8.50000,8.77000,82200
2016-03-28,8.84000,8.96000,8.48000,8.68000,109000
2016-03-29,8.65000,9.40000,8.51000,9.39000,176500
2016-03-30,9.56000,9.86000,9.37000,9.41000,201300
2016-03-31,9.39000,9.93000,9.16000,9.66000,125700
2016-04-01,9.55000,9.95500,9.43000,9.86000,275200
2016-04-04,9.99000,10.99000,9.62000,10.52000,387000
2016-04-05,10.55000,11.19000,10.47000,10.67000,213800
