date,open,high,low,close,volume
2025-03-21,7.50000,7.90000,7.40000,7.90000,4450
2025-03-24,7.90000,8.00000,7.40000,7.60000,8980
2025-03-25,7.60000,7.90000,7.20000,7.50000,6000
2025-03-26,7.10000,7.60000,7.10000,7.50000,5390
2025-03-27,7.20000,7.80000,7.20000,7.60000,2840
2025-03-28,7.30000,7.70000,7.20000,7.60000,4750
2025-03-31,7.50000,7.70000,7.20000,7.20000,1700
2025-04-01,7.20000,7.70000,7.20000,7.30000,2270
2025-04-02,7.50000,7.60000,7.30000,7.40000,2020
2025-04-03,7.20000,7.60000,7.20000,7.40000,3810
2025-04-04,7.40000,7.40000,7.00000,7.10000,5420
2025-04-07,6.90000,7.20000,6.90000,6.90000,2930
2025-04-08,7.30000,7.30000,6.80000,6.80000,3720
2025-04-09,7.00000,7.10000,6.50000,6.80000,5350
2025-04-10,6.60000,8.00000,6.50000,7.10000,118020
2025-04-11,7.00000,7.60000,7.00000,7.20000,14930
2025-04-14,7.50000,7.50000,7.00000,7.00000,2890
2025-04-15,7.30000,7.70000,7.00000,7.20000,28530
2025-04-16,7.00000,7.40000,7.00000,7.10000,2350
2025-04-17,7.10000,7.90000,7.00000,7.10000,82720
2025-04-21,7.00000,7.80000,7.00000,7.60000,193360
2025-04-22,7.70000,8.00000,7.40000,7.90000,150040
2025-04-23,7.80000,8.10000,7.20000,7.20000,98970
2025-04-24,7.20000,7.40000,6.80000,7.20000,5510
2025-04-25,7.10000,7.40000,7.10000,7.30000,3660
2025-04-28,7.10000,7.30000,7.10000,7.20000,2560
2025-04-29,7.30000,8.10000,7.30000,7.50000,1310
2025-04-30,7.70000,8.00000,7.50000,7.80000,2150
2025-05-01,7.70000,8.10000,7.20000,7.30000,2610
2025-05-02,7.50000,7.80000,7.40000,7.60000,2290
2025-05-05,8.00000,8.00000,7.10000,7.10000,8680
2025-05-06,7.40000,7.40000,7.00000,7.10000,4750
2025-05-07,7.40000,7.50000,6.90000,7.10000,6130
2025-05-08,7.00000,7.30000,7.00000,7.10000,1650
2025-05-09,7.20000,7.30000,6.70000,6.70000,6440
2025-05-12,7.00000,7.30000,6.80000,6.80000,3940
2025-05-13,6.80000,7.20000,6.80000,7.20000,5100
2025-05-14,7.20000,7.20000,6.90000,6.90000,3070
2025-05-15,7.20000,7.40000,6.90000,7.40000,1740
2025-05-16,7.10000,8.10000,7.10000,7.40000,3860
2025-05-19,7.10000,7.90000,7.00000,7.10000,1750
2025-05-20,6.90000,7.50000,6.90000,7.20000,4120
2025-05-21,7.40000,7.40000,6.80000,6.90000,5270
2025-05-22,6.80000,7.20000,6.80000,6.90000,3970
2025-05-23,7.20000,7.20000,6.70000,7.00000,1400
2025-05-27,6.90000,7.20000,6.80000,6.90000,2480
2025-05-28,7.00000,7.10000,6.90000,6.90000,870
2025-05-29,7.00000,7.00000,6.80000,6.80000,1690
2025-05-30,6.80000,7.00000,6.30000,6.70000,25630
2025-06-02,6.70000,6.70000,6.50000,6.50000,7410
2025-06-03,6.50000,6.80000,6.40000,6.80000,6570
2025-06-04,6.80000,6.80000,6.00000,6.10000,45200
2025-06-05,6.10000,6.10000,5.90000,5.90000,10080
2025-06-06,6.00000,6.10000,5.80000,5.80000,11710
2025-06-09,5.80000,5.90000,5.70000,5.70000,8650
2025-06-10,5.70000,6.00000,5.70000,6.00000,19010
2025-06-11,6.00000,6.30000,5.90000,6.10000,14930
2025-06-12,6.20000,6.20000,5.90000,5.90000,6730
2025-06-13,5.90000,5.90000,5.80000,5.80000,7130
2025-06-16,5.80000,5.80000,5.70000,5.70000,8610
2025-06-17,5.70000,5.70000,5.60000,5.60000,7710
2025-06-18,5.60000,5.70000,5.60000,5.70000,7860
2025-06-20,5.80000,5.90000,5.80000,5.90000,13300
2025-06-23,5.90000,6.10000,5.80000,5.90000,12460
2025-06-24,5.80000,5.90000,5.80000,5.90000,8380
2025-06-25,6.00000,6.00000,5.90000,5.90000,13740
2025-06-26,6.10000,6.90000,5.70000,6.80000,38780
2025-06-27,6.90000,6.90000,6.00000,6.30000,16830
2025-06-30,6.50000,6.70000,5.90000,6.00000,8020
2025-07-01,6.00000,6.30000,6.00000,6.00000,14250
2025-07-02,6.20000,6.20000,5.90000,5.90000,1990
2025-07-03,5.70000,6.50000,5.70000,6.10000,6380
2025-07-07,6.30000,6.70000,6.10000,6.10000,4770
2025-07-08,6.30000,6.30000,6.10000,6.10000,5220
2025-07-09,6.10000,6.20000,6.10000,6.20000,1790
2025-07-10,6.20000,6.20000,6.00000,6.20000,9230
2025-07-11,6.20000,6.60000,6.20000,6.40000,6720
2025-07-14,6.50000,6.50000,5.50000,5.80000,16740
2025-07-15,5.80000,6.10000,5.80000,5.80000,16180
2025-07-16,5.80000,5.80000,5.60000,5.60000,14670
2025-07-17,5.70000,5.80000,5.60000,5.60000,10830
2025-07-18,5.60000,5.80000,5.60000,5.60000,9530
2025-07-21,6.00000,6.10000,5.80000,5.80000,15940
2025-07-22,6.10000,6.20000,6.00000,6.10000,12290
2025-07-23,6.10000,6.20000,6.10000,6.10000,6900
2025-07-24,6.20000,6.20000,5.90000,5.90000,2840
2025-07-25,6.00000,6.20000,6.00000,6.00000,5150
2025-07-28,6.00000,6.10000,5.90000,6.00000,7240
2025-07-29,5.90000,6.00000,5.80000,6.00000,4050
2025-07-30,6.10000,6.30000,5.90000,6.10000,32360
2025-07-31,6.00000,6.00000,5.80000,6.00000,4510
2025-08-01,6.00000,6.00000,5.80000,5.90000,3810
2025-08-04,5.80000,6.00000,5.70000,5.80000,8820
2025-08-05,5.80000,5.90000,5.70000,5.70000,26350
2025-08-06,6.20000,7.80000,6.00000,6.90000,198640
2025-08-07,6.70000,6.90000,6.30000,6.50000,29910
2025-08-08,6.30000,7.10000,6.30000,6.80000,21820
2025-08-11,7.10000,7.60000,6.80000,6.90000,17470
2025-08-12,6.80000,6.80000,6.50000,6.70000,4410
2025-08-13,6.80000,6.80000,6.40000,6.40000,4530
2025-08-14,6.60000,6.60000,6.10000,6.30000,5250
2025-08-15,6.10000,6.30000,6.10000,6.20000,3350
2025-08-18,6.20000,6.30000,6.10000,6.20000,2540
2025-08-19,6.30000,6.40000,6.10000,6.30000,17550
2025-08-20,6.10000,6.30000,5.70000,6.00000,30660
2025-08-21,6.00000,6.20000,5.80000,6.00000,25960
2025-08-22,5.88000,6.58000,5.60000,6.21000,47200
2025-08-25,6.21000,7.49000,6.21000,7.36000,80600
2025-08-26,7.43000,7.68000,7.17000,7.31000,39000
2025-08-27,7.19000,7.45000,6.78000,6.93000,12600
2025-08-28,6.93000,7.32000,6.79000,6.81000,15900
2025-08-29,7.00000,7.36000,6.87000,6.93000,18700
2025-09-02,7.08000,7.50000,7.04000,7.04000,17300
2025-09-03,7.04000,7.44000,7.03000,7.40000,18300
2025-09-04,7.10000,7.39000,7.10000,7.35000,9200
2025-09-05,7.08000,7.45000,7.08000,7.26000,22400
2025-09-08,7.26000,7.46000,7.26000,7.38000,10500
2025-09-09,7.29000,7.94000,7.18000,7.91000,10400
2025-09-10,8.01000,8.85000,8.01000,8.77000,23000
2025-09-11,8.75000,9.09000,8.54000,8.84000,13600
2025-09-12,8.98000,9.01000,8.76000,8.91000,8700
2025-09-15,9.00000,9.44000,8.96000,9.44000,17100
2025-09-16,9.50000,10.00000,9.45000,9.83000,34300
2025-09-17,10.00000,10.00000,9.12000,9.14000,17700
2025-09-18,9.60000,9.70000,8.46000,9.22000,26500
2025-09-19,9.05000,9.23000,8.75000,9.19000,17600
2025-09-22,8.90000,8.90000,7.85000,8.58000,46500
2025-09-23,8.58000,9.13000,8.57000,8.80000,13700
2025-09-24,8.69000,8.93000,8.31000,8.82000,8300
2025-09-25,8.36000,8.80000,8.36000,8.76000,4800
2025-09-26,8.60000,8.73000,8.46000,8.70000,2800
2025-09-29,8.60000,8.90000,8.03000,8.90000,6000
2025-09-30,8.83000,8.83000,8.42000,8.76000,2800
2025-10-01,8.49000,8.65000,8.14000,8.16000,11400
2025-10-02,8.00000,8.24000,7.90000,8.23000,6600
2025-10-03,8.25000,8.26000,8.13000,8.26000,3200
2025-10-06,8.17000,8.40000,7.84000,7.97000,39900
2025-10-07,8.08000,8.20000,7.94000,8.02000,6400
2025-10-08,8.09000,8.12000,7.88000,7.96000,7600
2025-10-09,8.04000,8.04000,7.91000,7.99000,3000
2025-10-10,7.99000,8.14000,7.99000,8.04000,7400
2025-10-13,8.06000,9.25000,7.99000,9.24000,35400
2025-10-14,9.27000,10.00000,8.82000,9.77000,40300
2025-10-15,9.77000,9.89000,9.55000,9.85000,12200
2025-10-16,9.79000,10.07000,9.00000,9.52000,57000
2025-10-17,9.32000,9.32000,8.75000,8.98000,12700
2025-10-20,8.97000,9.69000,8.91000,9.69000,10000
2025-10-21,9.49000,9.68000,9.10000,9.43000,19300
2025-10-22,9.64000,9.64000,9.12000,9.13000,9900
2025-10-23,9.00000,9.33000,8.75000,9.29000,48700
2025-10-24,9.20000,9.64000,9.15000,9.48000,42300
