date,open,high,low,close,volume
2023-10-02,11.24000,11.25000,10.90000,11.17000,47400
2023-10-03,11.21000,11.25000,10.80000,10.85000,32000
2023-10-04,10.75000,11.06000,10.70000,10.84000,43100
2023-10-05,10.84000,11.00000,10.67000,11.00000,34500
2023-10-06,10.99000,11.22000,10.85000,11.15000,42200
2023-10-09,11.20000,11.34000,10.88000,11.10000,24000
2023-10-10,10.94000,11.17000,10.90000,10.92000,50600
2023-10-11,10.83000,11.36000,10.83000,11.03000,38200
2023-10-12,11.09000,11.14000,10.85000,10.95000,21400
2023-10-13,10.90000,10.99000,10.75000,10.84000,7900
2023-10-16,10.94000,11.00000,10.85000,10.85000,17800
2023-10-17,10.85000,11.00000,10.68000,10.68000,10500
2023-10-18,10.85000,10.90000,10.50000,10.68000,23600
2023-10-19,10.66000,10.79000,10.50000,10.50000,10700
2023-10-20,10.52000,10.63000,10.25000,10.34000,22200
2023-10-23,10.30000,10.44000,10.05000,10.21000,19500
2023-10-24,10.20000,10.40000,10.11000,10.16000,24400
2023-10-25,10.22000,10.38000,9.87000,9.90000,22700
2023-10-26,9.96000,10.09000,9.87000,9.91000,26900
2023-10-27,9.89000,10.03000,9.75000,9.95000,25600
2023-10-30,10.03000,10.03000,9.69000,9.97000,47500
2023-10-31,9.88000,10.01000,9.75000,9.84000,23100
2023-11-01,9.91000,10.02000,9.85000,9.95000,16200
2023-11-02,9.91000,10.19000,9.90000,10.07000,24900
2023-11-03,10.15000,10.25000,10.06000,10.12000,42400
2023-11-06,10.18000,10.45000,10.06000,10.22000,35700
2023-11-07,10.29000,10.50000,10.05000,10.50000,27700
2023-11-08,10.25000,10.40000,10.14000,10.30000,31900
2023-11-09,10.31000,10.33000,10.06000,10.20000,33700
2023-11-10,10.20000,10.39000,10.15000,10.37000,13300
2023-11-13,10.20000,10.40000,10.19000,10.33000,42100
2023-11-14,10.27000,10.44000,10.11000,10.15000,66600
2023-11-15,10.25000,10.29000,10.10000,10.14000,38900
2023-11-16,10.01000,10.25000,10.01000,10.10000,37100
2023-11-17,10.19000,10.44000,10.15000,10.40000,32800
2023-11-20,10.33000,10.42000,10.20000,10.37000,26700
2023-11-21,10.29000,10.51000,10.28000,10.28000,22800
2023-11-22,10.27000,10.50000,10.27000,10.44000,34400
2023-11-24,10.43000,10.63000,10.41000,10.49000,21100
2023-11-27,10.63000,10.83000,10.54000,10.65000,55000
2023-11-28,10.67000,10.84000,10.45000,10.47000,34500
2023-11-29,10.59000,10.85000,10.50000,10.67000,20400
2023-11-30,10.78000,10.99000,10.52000,10.69000,30800
2023-12-01,10.89000,10.97000,10.65000,10.93000,49800
2023-12-04,10.95000,11.18000,10.91000,11.13000,43200
2023-12-05,11.15000,11.18000,10.83000,10.95000,42700
2023-12-06,11.06000,11.15000,10.85000,10.95000,18300
2023-12-07,11.00000,11.92000,10.90000,11.27000,85800
2023-12-08,11.25000,11.48000,11.21000,11.41000,35300
2023-12-11,11.57000,11.66000,11.14000,11.48000,33400
2023-12-12,11.48000,11.50000,11.11000,11.21000,54700
2023-12-13,11.21000,11.44000,11.01000,11.39000,51000
2023-12-14,11.52000,12.05000,11.47000,11.96000,91000
2023-12-15,11.98000,12.04000,11.75000,11.95000,218500
2023-12-18,12.10000,12.30000,12.02000,12.25000,114500
2023-12-19,12.10000,12.41000,12.08000,12.31000,160800
2023-12-20,12.24000,12.38000,11.94000,12.13000,245800
2023-12-21,11.54000,11.81000,11.40000,11.45000,120900
2023-12-22,11.29000,11.38000,11.00000,11.02000,98400
2023-12-26,11.17000,11.29000,11.06000,11.24000,63100
2023-12-27,11.30000,11.68000,11.15000,11.56000,130000
2023-12-28,11.59000,11.78000,11.36000,11.70000,42100
2023-12-29,11.78000,11.82000,11.52000,11.70000,59100
2024-01-02,11.51000,11.81000,11.32000,11.34000,81800
2024-01-03,11.39000,11.55000,11.21000,11.32000,65300
2024-01-04,11.33000,11.44000,11.21000,11.25000,44500
2024-01-05,11.30000,11.58000,11.30000,11.41000,30800
2024-01-08,11.21000,11.59000,11.21000,11.34000,52400
2024-01-09,11.37000,11.38000,11.20000,11.27000,23900
2024-01-10,11.30000,11.39000,11.26000,11.31000,12400
2024-01-11,11.53000,11.53000,11.25000,11.48000,43200
2024-01-12,11.46000,11.55000,11.28000,11.40000,28000
2024-01-16,11.47000,11.72000,11.45000,11.65000,35100
2024-01-17,11.73000,11.87000,11.65000,11.73000,45400
2024-01-18,11.87000,11.88000,11.67000,11.86000,35100
2024-01-19,11.85000,11.93000,11.80000,11.84000,29300
2024-01-22,11.93000,12.05000,11.87000,11.87000,44700
2024-01-23,11.96000,12.05000,11.77000,12.03000,25300
2024-01-24,12.03000,12.07000,11.81000,11.87000,24800
2024-01-25,11.99000,11.99000,11.75000,11.77000,20100
2024-01-26,11.85000,11.98000,11.70000,11.77000,29300
2024-01-29,11.70000,11.70000,11.28000,11.45000,61100
2024-01-30,11.44000,11.75000,11.44000,11.55000,37500
2024-01-31,11.45000,11.72000,11.35000,11.54000,17700
2024-02-01,11.49000,11.63000,11.25000,11.31000,21000
2024-02-02,11.29000,11.45000,11.29000,11.35000,14500
2024-02-05,11.44000,11.44000,11.32000,11.32000,31400
2024-02-06,11.20000,11.37000,11.20000,11.37000,37300
2024-02-07,11.62000,11.69000,11.40000,11.66000,122000
2024-02-08,11.43000,11.62000,11.40000,11.49000,15900
2024-02-09,11.53000,11.71000,11.42000,11.50000,17600
2024-02-12,11.53000,11.57000,11.36000,11.43000,49200
2024-02-13,11.40000,11.50000,11.28000,11.35000,12900
2024-02-14,11.41000,11.47000,11.23000,11.31000,20100
2024-02-15,11.32000,11.44000,11.32000,11.33000,18500
2024-02-16,11.25000,11.40000,11.20000,11.22000,35100
2024-02-20,11.12000,11.42000,11.05000,11.27000,34300
2024-02-21,11.41000,11.48000,11.21000,11.38000,16900
2024-02-22,11.40000,11.57000,11.38000,11.57000,26400
2024-02-23,11.55000,11.68000,11.45000,11.54000,21600
2024-02-26,11.65000,11.67000,11.43000,11.44000,29700
