date,open,high,low,close,volume
2023-09-25,65.70000,66.90000,65.52000,66.54000,59253300
2023-09-26,66.19000,66.51000,64.21000,64.48000,8473900
2023-09-27,64.85000,65.14000,64.19000,64.51000,8827800
2023-09-28,64.42000,65.44000,64.42000,64.89000,8411700
2023-09-29,64.94000,65.00000,63.16000,63.43000,6587900
2023-10-02,63.68000,63.91000,61.61000,61.85000,5811900
2023-10-03,61.37000,61.99000,60.70000,61.98000,6405200
2023-10-04,61.13000,61.70000,60.58000,61.35000,5428800
2023-10-05,60.80000,62.64000,60.79000,62.44000,5458300
2023-10-06,62.49000,63.97000,61.92000,63.50000,5106100
2023-10-09,64.65000,66.16000,64.35000,65.95000,5414200
2023-10-10,65.91000,66.98000,65.91000,66.86000,4060500
2023-10-11,66.85000,67.56000,66.60000,67.46000,3936900
2023-10-12,67.82000,68.40000,67.59000,68.10000,3669700
2023-10-13,69.00000,69.45000,68.61000,69.12000,3597600
2023-10-16,69.50000,70.33000,69.28000,70.07000,4143600
2023-10-17,70.10000,70.56000,69.11000,69.51000,4641200
2023-10-18,69.51000,69.75000,68.46000,68.64000,3802800
2023-10-19,68.63000,69.80000,68.29000,69.21000,4445200
2023-10-20,68.96000,69.04000,67.26000,67.58000,4004400
2023-10-23,67.07000,67.32000,66.59000,66.74000,3006700
2023-10-24,66.95000,67.29000,66.31000,66.60000,2935500
2023-10-25,66.55000,66.96000,65.97000,66.27000,2913000
2023-10-26,65.53000,66.79000,65.47000,66.32000,2497900
2023-10-27,66.43000,66.43000,65.04000,65.44000,3265400
2023-10-30,65.74000,66.17000,64.83000,65.61000,3515500
2023-10-31,64.52000,65.20000,64.09000,65.20000,4062200
2023-11-01,65.57000,65.96000,64.00000,64.54000,4952300
2023-11-02,64.10000,66.69000,64.10000,66.65000,5098100
2023-11-03,66.69000,67.33000,66.28000,66.84000,3466800
2023-11-06,67.14000,67.24000,66.15000,66.28000,2703800
2023-11-07,65.42000,65.68000,64.58000,64.70000,3465600
2023-11-08,64.34000,64.58000,63.33000,63.63000,2941400
2023-11-09,64.42000,64.43000,63.81000,63.83000,3344500
2023-11-10,64.48000,64.94000,64.11000,64.36000,3039200
2023-11-13,64.17000,64.93000,63.77000,64.66000,2912000
2023-11-14,65.57000,66.27000,65.44000,65.73000,3281200
2023-11-15,65.83000,67.05000,65.71000,66.12000,2881200
