date,open,high,low,close,volume
2023-10-05,103.50000,109.00000,102.50000,107.05000,1477975
2023-10-06,107.85000,116.40000,105.35000,115.75000,2834178
2023-10-09,114.10000,114.45000,108.00000,108.70000,1259178
2023-10-10,109.75000,112.60000,109.10000,110.50000,939676
2023-10-11,111.80000,112.80000,109.00000,109.80000,568398
2023-10-12,110.30000,116.30000,109.45000,114.85000,1892926
2023-10-13,113.00000,125.05000,113.00000,119.30000,6538442
2023-10-16,119.55000,120.50000,117.40000,117.95000,1234301
2023-10-17,119.00000,121.00000,115.10000,116.20000,1032855
2023-10-18,116.95000,123.20000,116.00000,119.05000,2850190
2023-10-19,118.45000,120.00000,117.40000,118.05000,630980
2023-10-20,118.05000,128.39999,117.55000,122.95000,7801571
2023-10-23,123.20000,123.45000,109.10000,110.25000,2589407
2023-10-25,111.75000,113.85000,106.50000,108.45000,1253221
2023-10-26,108.00000,112.50000,104.35000,111.95000,1592115
2023-10-27,112.90000,114.85000,111.35000,112.45000,821487
2023-10-30,111.85000,113.65000,109.25000,109.95000,786590
2023-10-31,111.00000,111.95000,108.50000,109.05000,864060
2023-11-01,109.35000,113.30000,108.55000,109.10000,905971
2023-11-02,111.00000,113.70000,110.10000,112.40000,555237
2023-11-03,113.85000,114.40000,111.00000,111.50000,518331
2023-11-06,112.45000,123.20000,112.45000,117.60000,8007077
2023-11-07,118.00000,118.45000,111.55000,112.35000,3159336
2023-11-08,112.60000,112.60000,106.85000,108.00000,2621212
2023-11-09,108.60000,109.90000,107.60000,107.95000,816525
2023-11-10,107.40000,109.15000,107.20000,107.80000,497909
2023-11-13,107.45000,107.95000,105.00000,105.95000,640076
2023-11-15,106.85000,108.75000,106.80000,107.65000,701719
2023-11-16,107.95000,113.50000,107.75000,110.65000,2071192
2023-11-17,111.90000,113.15000,111.00000,111.50000,1227878
2023-11-20,112.80000,114.00000,104.45000,108.05000,1521040
2023-11-21,108.90000,110.85000,108.10000,109.05000,796803
2023-11-22,110.20000,110.20000,106.85000,107.25000,512929
2023-11-23,107.95000,109.25000,107.70000,108.10000,465865
2023-11-24,109.05000,109.05000,107.05000,107.40000,335659
2023-11-28,108.45000,108.95000,107.00000,108.10000,458047
2023-11-29,109.30000,109.60000,106.45000,106.85000,461248
2023-11-30,107.20000,109.50000,105.60000,107.00000,784371
2023-12-01,108.45000,108.60000,106.10000,106.60000,524769
2023-12-04,109.50000,109.50000,107.20000,108.35000,875484
2023-12-05,108.35000,109.60000,106.65000,106.95000,691412
2023-12-06,107.90000,108.20000,105.95000,106.10000,612704
2023-12-07,106.95000,108.65000,105.95000,106.80000,714525
