date,open,high,low,close,volume
2025-03-28,0.49000,0.49000,0.44000,0.47000,4119600
2025-03-31,0.45000,0.46000,0.43000,0.46000,3443200
2025-04-01,0.44000,0.45000,0.40000,0.40000,5421100
2025-04-02,0.40000,0.42000,0.39000,0.41000,3063900
2025-04-03,0.38000,0.41000,0.37000,0.40000,2580900
2025-04-04,0.37000,0.38000,0.30000,0.33000,7408900
2025-04-07,0.31000,0.39000,0.31000,0.35000,5091800
2025-04-08,0.38000,0.40000,0.33000,0.34000,4905700
2025-04-09,0.34000,0.39000,0.33000,0.39000,4091600
2025-04-10,0.45000,0.45000,0.39000,0.40000,4359400
2025-04-11,0.44000,0.44000,0.39000,0.41000,7328600
2025-04-14,0.45000,0.46000,0.42000,0.44000,5242100
2025-04-15,0.46000,0.49000,0.42000,0.43000,3385200
2025-04-16,0.42000,0.42000,0.39000,0.41000,2606600
2025-04-17,0.41000,0.42000,0.38000,0.40000,1795400
2025-04-21,0.39000,0.39000,0.36000,0.37000,1891200
2025-04-22,0.37000,0.40000,0.37000,0.39000,1858600
2025-04-23,0.40000,0.42000,0.40000,0.40000,1553400
2025-04-24,0.41000,0.45000,0.40000,0.43000,8197900
2025-04-25,0.47000,0.48000,0.42000,0.43000,7925000
2025-04-28,0.43000,0.44000,0.41000,0.42000,2751000
2025-04-29,0.42000,0.42000,0.40000,0.41000,1232400
2025-04-30,0.40000,0.41000,0.39000,0.41000,1822500
2025-05-01,0.41000,0.43000,0.40000,0.43000,1916300
2025-05-02,0.43000,0.45000,0.42000,0.43000,2235800
2025-05-05,0.48000,0.51000,0.45000,0.50000,12546100
2025-05-06,0.50000,0.50000,0.43000,0.44000,4493700
2025-05-07,0.45000,0.48000,0.45000,0.47000,2558200
2025-05-08,0.49000,0.49000,0.46000,0.47000,2524800
2025-05-09,0.47000,0.49000,0.46000,0.47000,2193500
2025-05-12,0.50000,0.52000,0.47000,0.50000,3605800
2025-05-13,0.50000,0.57000,0.50000,0.55000,7953500
2025-05-14,0.57000,0.62000,0.56000,0.57000,6950400
2025-05-15,0.57000,0.57000,0.51000,0.54000,4133600
2025-05-16,0.57000,0.59000,0.54000,0.57000,3732200
2025-05-19,0.56000,0.56000,0.52000,0.53000,3915900
2025-05-20,0.53000,0.54000,0.51000,0.53000,2831800
2025-05-21,0.53000,0.53000,0.48000,0.50000,3592500
2025-05-22,0.50000,0.56000,0.47000,0.55000,4255100
2025-05-23,0.53000,0.54000,0.51000,0.52000,2971000
2025-05-27,0.53000,0.55000,0.52000,0.54000,2731600
