date,open,high,low,close,volume
2023-09-25,4.11000,4.20300,4.11000,4.12000,6700
2023-09-26,4.23000,4.23000,4.11000,4.20000,5500
2023-09-27,4.21000,4.21000,4.11000,4.11000,5000
2023-09-28,4.15500,4.18000,4.11200,4.13000,7800
2023-09-29,4.23000,4.23000,4.14800,4.15500,2700
2023-10-02,4.14000,4.22000,3.86000,3.98000,27800
2023-10-03,3.88000,3.93100,3.75000,3.82500,16800
2023-10-04,3.78000,3.90000,3.78000,3.80000,1200
2023-10-05,3.81000,3.81000,3.66500,3.71000,39200
2023-10-06,3.67000,3.69700,3.62000,3.66000,14900
2023-10-09,3.78000,3.83000,3.63500,3.79000,21000
2023-10-10,3.73000,3.80000,3.73000,3.79000,4000
2023-10-11,3.79000,3.80000,3.68000,3.71000,19600
2023-10-12,3.77000,3.80000,3.75000,3.77500,18000
2023-10-13,3.80000,3.80000,3.75000,3.77000,2400
2023-10-16,3.79000,3.84800,3.76000,3.77000,8300
2023-10-17,3.85000,4.05000,3.80000,4.00000,16800
2023-10-18,4.00000,4.09000,4.00000,4.06500,52200
2023-10-19,4.08000,4.08000,3.95000,3.98000,35700
2023-10-20,4.02500,4.02500,4.02300,4.02500,800
2023-10-23,3.92000,4.08000,3.90000,4.04000,3700
2023-10-24,4.05000,4.06000,3.91000,4.05500,2400
2023-10-25,3.99000,4.00700,3.91000,3.92500,11100
2023-10-26,3.94000,4.01500,3.92500,4.01500,5700
2023-10-27,4.07000,4.08000,3.94900,4.00000,3800
2023-10-30,3.92000,3.96400,3.92000,3.96400,1000
2023-10-31,3.90000,3.93000,3.90000,3.93000,1200
2023-11-01,3.92500,3.94500,3.90000,3.92500,3400
2023-11-02,3.90000,3.99500,3.90000,3.99500,3200
2023-11-03,3.99400,4.00000,3.91000,3.91000,7300
2023-11-06,3.92000,4.00000,3.92000,3.92000,8000
2023-11-07,3.90000,3.95000,3.85000,3.85000,2700
2023-11-08,3.93500,3.93500,3.87000,3.87000,500
2023-11-09,3.86000,3.91500,3.86000,3.91500,400
2023-11-10,3.86000,3.98000,3.85000,3.85000,7400
2023-11-13,3.86000,3.96000,3.86000,3.95000,7700
2023-11-14,3.99000,4.15000,3.98000,4.07600,31300
2023-11-15,4.13500,4.15000,4.10000,4.15000,5100
2023-11-16,4.15000,4.20000,4.12000,4.20000,6000
2023-11-17,4.21000,4.21000,4.06000,4.16000,7700
2023-11-20,4.16000,4.16000,4.14000,4.16000,3700
2023-11-21,4.16600,4.19500,4.15000,4.15000,1000
2023-11-22,4.11000,4.23700,4.11000,4.23000,1400
2023-11-24,4.25000,4.25000,4.22500,4.22500,1500
2023-11-27,4.21000,4.29000,4.15000,4.23000,16700
2023-11-28,4.28000,4.40000,4.23000,4.33500,25800
2023-11-29,4.40000,4.40000,4.32000,4.32000,8400
2023-11-30,4.27000,4.39000,4.26000,4.26000,3500
2023-12-01,4.30500,4.40000,4.30500,4.40000,4000
2023-12-04,4.40000,4.40000,4.31000,4.31000,8100
2023-12-05,4.34500,4.40000,4.29000,4.39000,6700
2023-12-06,4.42000,4.42000,4.35000,4.35000,2300
2023-12-07,4.26500,4.47000,4.18000,4.21000,9100
2023-12-08,4.33600,4.35000,4.21000,4.35000,12300
2023-12-11,4.33500,4.33500,4.25000,4.30000,2100
2023-12-12,4.25000,4.35000,4.09000,4.21000,29100
2023-12-13,4.17000,4.37500,4.17000,4.17000,10700
2023-12-14,4.15000,4.30000,4.15000,4.17000,4100
2023-12-15,4.20000,4.30000,4.15000,4.15000,8900
2023-12-18,4.17100,4.27800,4.11000,4.11000,30600
2023-12-19,4.72000,4.97000,4.62000,4.87500,105000
2023-12-20,4.96000,5.24000,4.80000,5.22000,139900
2023-12-21,5.24000,5.99000,5.22800,5.88000,391000
2023-12-22,5.83000,5.99000,5.50000,5.98500,68200
2023-12-26,5.98000,6.32500,5.74000,6.16000,63700
2023-12-27,6.16000,6.37000,5.84000,6.37000,61400
2023-12-28,6.37000,6.46000,6.25600,6.46000,42900
2023-12-29,6.46000,6.59900,6.35000,6.55500,86000
2024-01-02,6.45000,6.85000,6.35100,6.80000,66800
2024-01-03,6.85000,6.85400,6.51000,6.85000,25000
2024-01-04,6.85000,6.86000,6.41000,6.52000,60300
2024-01-05,6.52000,6.62000,6.18000,6.32000,28800
2024-01-08,6.22000,6.22000,5.50000,5.63000,42600
2024-01-09,5.63500,6.07000,5.63500,5.73000,23600
2024-01-10,5.79300,5.88000,5.61000,5.61000,11800
2024-01-11,5.85700,5.90000,5.60000,5.79000,13900
2024-01-12,5.79000,5.97000,5.64000,5.64000,2900
2024-01-16,5.51000,5.97000,5.51000,5.74000,27200
2024-01-17,5.63000,5.66000,5.50000,5.51000,11300
2024-01-18,5.59000,5.59000,5.14000,5.17000,100200
2024-01-19,5.25000,5.42000,5.20000,5.29000,23500
2024-01-22,5.27000,5.70500,5.23000,5.37000,74600
2024-01-23,5.36000,5.66000,5.36000,5.36000,3800
2024-01-24,5.56000,5.58100,5.39000,5.41000,16600
2024-01-25,5.63700,5.65000,5.32000,5.32000,22700
2024-01-26,5.33000,5.56000,5.20000,5.21000,63400
2024-01-29,5.37200,5.38000,5.29000,5.29000,2200
2024-01-30,5.39000,5.59000,5.20000,5.59000,76800
2024-01-31,5.54000,5.58000,5.45000,5.45000,9100
2024-02-01,5.64000,5.64000,5.56000,5.56000,2000
2024-02-02,5.60000,6.04000,5.50000,5.98000,34900
2024-02-05,5.90000,6.25000,5.76000,6.03000,31500
2024-02-06,6.06500,6.19000,5.50100,5.88000,36500
2024-02-07,5.76000,6.23700,5.76000,6.15000,32700
2024-02-08,6.14000,6.19000,6.07500,6.08000,6500
2024-02-09,6.00000,6.00000,5.72000,5.79000,21900
2024-02-12,5.79000,5.85000,5.72100,5.78000,17100
2024-02-13,5.52000,6.00000,5.52000,5.92000,47100
