date,open,high,low,close,volume
2022-08-30,140.60001,144.80000,140.60001,142.89999,41183
2022-09-01,142.89999,153.50000,142.85001,149.60001,142570
2022-09-02,151.20000,151.25000,145.00000,149.35001,52216
2022-09-05,151.05000,154.39999,147.80000,150.10001,88041
2022-09-06,153.00000,156.00000,149.55000,151.95000,64428
2022-09-07,151.64999,158.50000,151.55000,154.55000,92191
2022-09-08,157.89999,171.95000,155.10001,162.10001,391438
2022-09-09,163.85001,166.00000,158.50000,159.55000,54803
2022-09-12,160.80000,166.00000,159.75000,162.20000,77845
2022-09-13,163.10001,163.80000,158.75000,161.60001,40787
2022-09-14,157.55000,167.80000,157.55000,163.60001,76491
2022-09-15,164.89999,168.85001,161.39999,165.75000,80655
2022-09-16,166.14999,173.50000,158.05000,163.30000,138560
2022-09-19,164.55000,175.00000,163.14999,172.25000,107968
2022-09-20,172.75000,177.80000,166.25000,167.80000,89011
2022-09-21,166.00000,173.00000,164.10001,166.39999,43605
2022-09-22,165.25000,168.14999,163.30000,164.85001,34584
2022-09-23,165.10001,166.39999,160.00000,161.05000,30968
2022-09-26,161.00000,161.00000,144.14999,149.14999,85218
2022-09-27,151.70000,156.20000,143.25000,147.75000,58319
2022-09-28,145.25000,153.85001,145.00000,149.45000,27857
2022-09-29,153.70000,159.75000,151.00000,152.20000,40050
2022-09-30,154.80000,155.95000,149.20000,154.00000,33940
2022-10-03,155.05000,158.60001,153.14999,155.50000,24656
2022-10-04,158.89999,162.89999,156.55000,158.05000,25148
2022-10-06,156.00000,163.55000,156.00000,161.80000,17108
2022-10-07,160.00000,164.55000,159.05000,162.85001,21608
2022-10-10,166.00000,170.85001,165.00000,167.89999,61466
2022-10-11,169.70000,170.00000,160.14999,162.85001,28297
2022-10-12,164.70000,165.10001,157.39999,158.45000,16884
2022-10-13,157.14999,158.70000,153.60001,156.45000,18742
2022-10-14,159.00000,161.89999,155.10001,158.39999,15382
2022-10-17,158.39999,162.64999,156.89999,160.55000,25157
2022-10-18,163.80000,173.00000,160.95000,165.14999,80710
2022-10-19,167.70000,167.70000,165.00000,165.25000,14704
2022-10-20,167.89999,168.50000,164.05000,165.45000,20844
2022-10-21,165.10001,169.00000,159.00000,165.20000,46568
2022-10-24,169.20000,170.00000,160.00000,165.85001,11605
2022-10-25,162.20000,167.35001,162.20000,165.30000,34543
2022-10-27,169.50000,171.45000,164.50000,170.05000,37377
2022-10-28,174.00000,191.30000,172.00000,185.85001,463592
2022-10-31,186.89999,188.45000,178.10001,180.20000,138117
2022-11-01,185.00000,185.00000,179.50000,180.50000,32965
2022-11-02,183.25000,183.39999,179.70000,181.00000,38333
2022-11-03,182.80000,192.95000,182.45000,188.64999,165502
2022-11-04,192.70000,196.50000,190.00000,191.10001,121815
2022-11-07,190.89999,195.60001,183.30000,185.70000,119126
2022-11-09,189.70000,189.75000,184.50000,185.39999,44673
2022-11-10,185.39999,188.89999,180.00000,180.89999,37128
2022-11-11,186.39999,186.50000,173.10001,175.60001,36556
2022-11-14,175.95000,179.25000,168.10001,171.20000,49349
2022-11-15,168.00000,178.75000,168.00000,176.80000,36930
2022-11-16,180.00000,180.00000,176.00000,177.64999,23892
2022-11-17,179.00000,180.00000,176.14999,178.25000,21681
2022-11-18,175.10001,175.20000,166.60001,168.05000,47887
2022-11-21,165.35001,168.05000,158.00000,159.89999,30160
2022-11-22,159.50000,164.85001,156.64999,162.70000,16012
2022-11-23,165.89999,165.89999,157.00000,158.60001,21442
2022-11-24,159.00000,164.00000,159.00000,162.55000,10918
2022-11-25,163.75000,165.95000,161.10001,163.85001,12914
2022-11-28,163.95000,166.14999,161.00000,162.00000,17400
2022-11-29,162.10001,163.45000,156.05000,157.75000,24738
2022-11-30,160.00000,160.45000,156.60001,158.14999,10081
2022-12-01,156.39999,160.00000,154.75000,155.45000,20550
2022-12-02,155.00000,160.89999,155.00000,156.35001,16596
2022-12-05,159.30000,161.00000,156.00000,160.64999,16214
2022-12-06,163.64999,163.64999,155.10001,156.64999,14953
2022-12-07,157.00000,157.95000,153.55000,154.35001,6607
2022-12-08,154.35001,156.39999,150.30000,151.95000,22124
2022-12-09,154.00000,161.39999,154.00000,157.64999,41605
2022-12-12,159.89999,159.89999,153.00000,153.45000,11772
2022-12-13,154.00000,158.60001,154.00000,156.85001,20566
2022-12-14,159.10001,160.64999,155.20000,159.55000,22464
2022-12-15,161.20000,161.20000,155.80000,159.30000,21589
2022-12-16,160.64999,164.39999,157.45000,159.35001,37901
2022-12-19,159.35001,162.39999,155.05000,160.80000,25941
2022-12-20,161.00000,161.20000,157.60001,158.55000,6337
2022-12-21,160.00000,162.45000,148.14999,151.35001,34536
2022-12-22,150.00000,151.80000,142.30000,149.20000,33878
2022-12-23,145.25000,148.60001,139.20000,142.60001,23591
2022-12-26,140.39999,157.30000,140.39999,154.10001,35899
2022-12-27,154.50000,155.64999,151.00000,152.85001,11381
2022-12-28,152.00000,163.70000,151.80000,161.39999,42719
2022-12-29,160.00000,160.70000,155.25000,159.14999,14344
2022-12-30,162.14999,162.14999,157.10001,157.85001,7490
2023-01-02,158.50000,159.95000,153.80000,155.35001,14768
2023-01-03,155.80000,157.45000,155.50000,156.05000,4302
2023-01-04,158.10001,165.45000,155.80000,159.50000,48171
2023-01-05,163.85001,163.85001,155.80000,156.89999,15147
2023-01-06,162.00000,162.00000,154.00000,158.20000,27245
2023-01-09,158.20000,159.89999,153.00000,153.85001,23866
2023-01-10,154.00000,154.95000,148.30000,149.89999,47803
2023-01-11,150.39999,155.75000,150.35001,152.35001,27983
2023-01-12,152.35001,152.95000,145.10001,146.70000,55620
2023-01-13,146.70000,148.75000,146.70000,147.70000,7072
2023-01-16,146.05000,151.95000,146.05000,149.70000,28416
2023-01-17,150.00000,153.45000,148.50000,151.45000,50845
2023-01-18,151.45000,153.60001,150.50000,151.70000,12058
2023-01-19,150.00000,153.75000,150.00000,153.20000,9957
2023-01-20,153.20000,160.00000,151.60001,159.14999,37169
2023-01-23,157.50000,164.70000,157.50000,161.10001,34254
2023-01-24,159.05000,161.00000,153.20000,157.10001,63548
2023-01-25,155.25000,156.20000,152.39999,152.50000,14209
2023-01-27,152.60001,152.95000,147.25000,148.20000,23137
2023-01-30,149.25000,149.75000,141.60001,144.85001,30087
2023-01-31,144.55000,149.70000,144.55000,149.14999,11654
2023-02-01,147.60001,151.89999,146.00000,147.89999,11628
2023-02-02,145.10001,149.60001,145.10001,147.75000,6194
2023-02-03,147.60001,149.70000,145.00000,145.45000,11095
2023-02-06,148.39999,161.89999,145.05000,154.05000,52126
2023-02-07,154.05000,154.75000,153.00000,153.35001,5113
2023-02-08,152.60001,153.45000,149.14999,151.00000,31869
2023-02-09,151.00000,152.60001,146.05000,146.60001,16145
2023-02-10,146.85001,148.50000,146.20000,147.70000,4253
2023-02-13,148.64999,148.75000,144.50000,145.05000,5884
2023-02-14,144.50000,146.75000,141.50000,142.35001,7722
2023-02-15,141.64999,144.14999,141.50000,143.14999,4562
2023-02-16,144.25000,146.14999,143.55000,144.80000,4466
2023-02-17,144.80000,144.80000,141.14999,142.30000,3823
2023-02-20,141.75000,144.45000,141.70000,143.45000,2904
2023-02-21,143.50000,143.70000,140.20000,141.14999,4174
2023-02-22,140.60001,141.00000,134.20000,135.95000,12297
2023-02-23,135.89999,136.45000,133.05000,135.35001,8515
2023-02-24,135.75000,155.80000,134.05000,142.45000,9803
2023-02-27,142.55000,142.55000,133.60001,136.14999,12689
2023-02-28,136.70000,137.25000,134.50000,134.95000,3113
2023-03-01,136.20000,137.25000,132.60001,134.25000,4519
2023-03-02,132.20000,136.20000,132.20000,136.00000,2326
2023-03-03,136.25000,141.20000,135.30000,139.05000,7727
2023-03-06,138.60001,140.00000,137.00000,139.00000,5390
2023-03-08,139.75000,143.75000,139.00000,141.00000,9479
2023-03-09,144.70000,144.70000,138.70000,139.39999,2940
2023-03-10,139.00000,140.70000,138.10001,139.80000,2542
2023-03-13,138.00000,139.00000,129.20000,131.30000,12464
2023-03-14,132.25000,134.50000,131.55000,132.14999,5037
2023-03-15,133.75000,134.75000,131.00000,131.20000,4144
2023-03-16,131.55000,132.60001,127.10000,127.50000,18608
2023-03-17,129.25000,131.70000,125.10000,126.30000,20637
2023-03-20,126.40000,127.75000,121.50000,122.20000,10110
2023-03-21,121.60000,125.05000,121.50000,123.40000,3517
2023-03-22,124.25000,124.70000,122.00000,122.90000,6329
2023-03-23,124.25000,124.75000,121.50000,122.15000,8417
2023-03-24,122.50000,128.39999,121.30000,124.40000,50978
2023-03-27,125.05000,125.05000,118.55000,119.95000,25770
2023-03-28,119.95000,120.55000,116.05000,116.65000,9839
