date,open,high,low,close,volume
2016-02-04,68.78287,70.37017,66.66647,66.86613,9283081
2016-02-05,66.28712,66.53670,64.63992,65.35870,6403686
2016-02-08,63.57174,66.58661,63.13249,66.07748,6607232
2016-02-09,65.01928,66.05751,63.94112,65.10912,4978964
2016-02-10,65.01928,66.88610,64.18071,65.54838,7309426
2016-02-11,64.28054,66.40691,64.01099,66.08746,6049584
2016-02-12,66.88610,67.66477,66.32705,66.94600,5033457
2016-02-16,68.13397,68.20386,67.03584,67.89439,6307322
2016-02-17,69.22212,71.17879,68.59319,70.50993,6550937
2016-02-18,71.20874,71.33852,69.69132,70.17051,4886607
2016-02-19,69.72128,70.25037,68.81282,70.14056,5556446
2016-02-22,71.77777,72.06728,70.97913,71.55814,4673044
2016-02-23,71.24867,71.64799,68.46342,68.88270,4221877
2016-02-24,67.59489,69.49166,67.28542,69.35190,3453271
2016-02-25,69.55000,69.93000,68.47000,69.65000,2522900
2016-02-26,71.23000,71.23000,69.75000,69.80000,3347800
2016-02-29,70.31000,70.53000,68.52000,68.82000,4651000
2016-03-01,69.25000,70.60000,68.57000,70.45000,4472100
2016-03-02,70.08000,71.66000,69.57000,71.61000,4522400
2016-03-03,71.59000,71.62000,69.38000,70.49000,6663200
2016-03-04,70.70000,71.00000,69.15000,69.72000,5744800
2016-03-07,70.07000,70.74000,68.32000,70.35000,6939600
2016-03-08,69.12000,69.18000,66.20000,66.40000,7144900
2016-03-09,67.23000,69.25000,66.30000,68.43000,5721100
2016-03-10,68.27000,68.73000,67.53000,68.44000,4637700
2016-03-11,69.67000,70.21000,69.11000,69.95000,3925300
2016-03-14,69.13000,69.67000,68.65000,69.05000,2938200
2016-03-15,68.06000,68.36000,67.48000,68.33000,4180000
2016-03-16,68.74000,69.74000,68.07000,69.42000,3601500
2016-03-17,70.33000,71.17000,69.45000,70.66000,4337100
2016-03-18,71.24000,71.57000,70.10000,71.30000,5978200
2016-03-21,70.89000,71.36000,70.07000,70.67000,2327000
2016-03-22,70.03000,70.57000,69.37000,69.61000,3321000
2016-03-23,68.89000,69.40000,68.03000,68.29000,4478900
2016-03-24,67.27000,68.74000,67.25000,68.51000,5142200
2016-03-28,68.66000,68.72000,67.76000,68.03000,2499600
2016-03-29,66.95000,68.04000,66.90000,67.93000,3324700
2016-03-30,68.91000,69.31000,68.22000,68.60000,3037600
2016-03-31,68.24000,69.42000,68.15000,68.43000,3304700
2016-04-01,67.23000,68.42000,66.98000,68.20000,2629500
2016-04-04,68.68000,69.12000,67.77000,68.19000,3233700
2016-04-05,67.48000,68.08000,66.94000,67.42000,4191400
2016-04-06,67.94000,70.24000,67.40000,70.12000,4120800
2016-04-07,69.55000,70.40000,69.00000,69.38000,2558800
2016-04-08,70.71000,71.14000,70.22000,70.60000,3212700
2016-04-11,70.81000,71.58000,70.77000,70.79000,3170900
2016-04-12,71.28000,72.92000,70.33000,72.45000,4211000
2016-04-13,72.65000,72.88000,71.65000,72.24000,3753200
2016-04-14,72.66000,74.47000,72.30000,74.32000,6062700
2016-04-15,73.80000,74.00000,72.10000,72.15000,4782300
2016-04-18,72.15000,73.66000,70.70000,73.30000,3763100
2016-04-19,73.71000,74.99000,72.99000,74.86000,4027200
2016-04-20,74.63000,76.12000,74.00000,75.07000,4187200
2016-04-21,75.21000,75.73000,74.38000,74.62000,3228800
2016-04-22,74.92000,76.00000,74.83000,75.85000,2851900
2016-04-25,75.26000,75.93000,74.63000,75.10000,3065200
2016-04-26,75.75000,76.60000,75.24000,76.48000,3223500
2016-04-27,76.76000,78.09000,76.65000,77.52000,3678600
2016-04-28,77.71000,77.71000,75.83000,76.23000,3683300
2016-04-29,76.50000,77.23000,75.78000,76.65000,4495300
2016-05-02,76.22000,76.50000,75.39000,76.33000,3354900
2016-05-03,75.43000,75.88000,74.71000,75.57000,4191900
2016-05-04,75.18000,75.78000,73.85000,73.96000,6165400
2016-05-05,75.66000,76.89000,75.08000,76.14000,6338800
2016-05-06,75.31000,76.64000,75.10000,76.06000,5258000
2016-05-09,75.25000,75.83000,74.25000,75.54000,3936400
2016-05-10,75.66000,76.58000,75.52000,76.41000,4696300
2016-05-11,75.90000,77.02000,75.68000,76.31000,4523400
2016-05-12,76.98000,77.20000,76.16000,76.48000,3639500
2016-05-13,76.36000,76.38000,75.17000,75.34000,3689900
2016-05-16,76.15000,76.85000,75.84000,76.53000,4468400
2016-05-17,76.33000,77.08000,75.76000,76.34000,5319300
2016-05-18,75.38000,75.89000,74.31000,74.81000,6095500
2016-05-19,74.50000,75.00000,73.82000,74.84000,3963800
2016-05-20,75.31000,75.43000,74.60000,74.96000,3411300
2016-05-23,74.48000,75.37000,74.31000,74.87000,3334500
2016-05-24,75.54000,76.39000,74.98000,76.12000,3619900
2016-05-25,76.87000,77.35000,75.88000,76.17000,3399500
2016-05-26,76.70000,77.18000,76.05000,76.11000,2286800
2016-05-27,75.97000,76.22000,75.58000,76.15000,2203100
2016-05-31,76.22000,76.51000,75.08000,75.44000,4584800
2016-06-01,74.90000,75.55000,74.33000,75.44000,3041900
2016-06-02,74.82000,75.25000,74.36000,75.21000,2244600
2016-06-03,75.48000,75.72000,74.37000,74.83000,2562000
2016-06-06,75.56000,76.18000,75.22000,75.41000,3296100
2016-06-07,76.00000,77.17000,75.57000,76.87000,4531800
2016-06-08,76.60000,76.97000,75.31000,75.44000,4143400
2016-06-09,74.56000,75.66000,74.52000,75.60000,3846600
2016-06-10,75.00000,75.46000,74.80000,75.45000,4066300
2016-06-13,74.84000,75.69000,74.63000,75.25000,5074600
2016-06-14,75.09000,75.26000,74.80000,75.12000,3880300
2016-06-15,75.09000,75.34000,74.59000,74.85000,3104700
2016-06-16,74.36000,74.63000,73.82000,74.45000,3378000
2016-06-17,74.85000,75.05000,74.46000,74.95000,4062600
2016-06-20,75.98000,76.66000,75.70000,76.10000,3698000
2016-06-21,76.31000,77.28000,75.81000,77.16000,3164000
2016-06-22,77.28000,77.68000,76.76000,77.10000,3564000
2016-06-23,77.82000,78.31000,77.29000,78.31000,4104000
2016-06-24,75.68000,76.45000,74.84000,75.27000,5601400
2016-06-27,74.36000,74.74000,72.50000,73.12000,5173100
2016-06-28,74.31000,74.31000,73.17000,73.97000,4449100
2016-06-29,73.98000,75.34000,73.88000,75.09000,4330800
2016-06-30,75.22000,75.66000,74.84000,75.56000,3779300
2016-07-01,75.43000,76.25000,75.14000,75.67000,3944600
2016-07-05,74.90000,75.72000,74.53000,75.22000,3599000
2016-07-06,75.22000,75.56000,74.68000,75.45000,3358300
2016-07-07,75.67000,75.99000,75.00000,75.45000,4564200
2016-07-08,76.50000,76.50000,75.36000,76.13000,3804200
2016-07-11,76.33000,76.82000,75.93000,76.20000,3204200
2016-07-12,77.41000,77.50000,76.66000,77.37000,4347500
2016-07-13,77.49000,77.58000,76.22000,76.83000,3659400
2016-07-14,77.55000,77.66000,76.93000,77.21000,4158200
2016-07-15,77.34000,77.57000,76.89000,77.32000,3886400
2016-07-18,77.01000,77.13000,76.53000,76.77000,2779400
2016-07-19,76.33000,76.88000,76.13000,76.37000,2262500
2016-07-20,76.14000,76.87000,75.87000,76.35000,1825800
2016-07-21,75.92000,76.51000,75.59000,75.73000,1980400
2016-07-22,75.67000,76.01000,75.13000,75.38000,2411400
2016-07-25,74.90000,75.26000,74.10000,74.51000,4181800
2016-07-26,74.21000,74.89000,73.97000,74.69000,2734400
2016-07-27,74.57000,74.85000,73.82000,74.16000,2975100
2016-07-28,73.78000,74.32000,73.43000,73.91000,3570000
2016-07-29,73.42000,74.89000,73.25000,74.73000,3210700
2016-08-01,74.40000,74.49000,73.30000,73.59000,4132400
2016-08-02,73.96000,74.08000,72.11000,73.12000,5563900
2016-08-03,73.53000,74.41000,72.33000,74.38000,4697100
2016-08-04,74.01000,74.85000,73.92000,74.25000,3745600
2016-08-05,74.20000,74.20000,73.06000,73.68000,3842600
2016-08-08,74.19000,74.69000,73.85000,74.36000,3378000
2016-08-09,74.68000,74.77000,73.32000,73.68000,3353200
2016-08-10,74.00000,74.32000,73.13000,73.27000,2659800
2016-08-11,73.84000,74.58000,73.31000,74.25000,2729400
2016-08-12,74.46000,74.60000,73.85000,74.46000,2151400
2016-08-15,74.90000,75.23000,74.72000,75.05000,4851600
2016-08-16,74.77000,76.26000,74.50000,76.01000,4289400
2016-08-17,75.87000,76.62000,75.45000,76.61000,3983000
2016-08-18,76.92000,77.51000,76.73000,77.48000,4390500
2016-08-19,76.91000,77.15000,76.33000,76.54000,2992200
2016-08-22,76.03000,76.53000,75.67000,76.36000,2521900
2016-08-23,76.37000,77.07000,76.37000,76.89000,2432900
2016-08-24,76.88000,77.94000,76.57000,77.72000,5358000
2016-08-25,77.66000,77.70000,77.00000,77.36000,3228100
2016-08-26,77.54000,77.94000,76.85000,77.17000,3517400
2016-08-29,77.10000,78.02000,76.60000,77.95000,3335300
2016-08-30,78.48000,78.48000,77.59000,77.84000,2309600
2016-08-31,77.58000,77.58000,76.49000,76.85000,3376600
2016-09-01,76.55000,76.85000,76.01000,76.84000,3261000
2016-09-02,77.57000,77.78000,76.56000,77.51000,3458300
2016-09-06,77.60000,78.17000,77.36000,78.00000,3978800
2016-09-07,77.40000,77.76000,76.95000,77.13000,3881700
2016-09-08,77.57000,77.90000,76.79000,77.75000,5019200
2016-09-09,77.30000,77.30000,76.00000,76.11000,4496700
2016-09-12,75.10000,76.15000,74.79000,75.85000,4638200
2016-09-13,75.02000,75.15000,73.35000,73.51000,5846500
2016-09-14,73.31000,73.69000,71.43000,71.80000,5624200
2016-09-15,71.87000,72.77000,71.83000,72.27000,5324800
2016-09-16,71.60000,71.80000,70.93000,71.03000,5411300
2016-09-19,71.53000,71.81000,70.81000,70.82000,4220500
2016-09-20,70.86000,71.31000,70.49000,70.50000,4337600
2016-09-21,71.12000,71.89000,70.71000,71.80000,4294500
2016-09-22,72.58000,72.80000,71.30000,71.41000,5204000
