date,open,high,low,close,volume
2023-09-25,53.45000,54.00000,52.15000,52.40000,2106082
2023-09-26,52.40000,52.90000,51.70000,51.80000,1810471
2023-09-27,51.50000,52.00000,50.85000,51.35000,1948372
2023-09-28,51.50000,53.90000,51.45000,51.70000,5574802
2023-09-29,52.20000,52.50000,51.50000,51.75000,1634142
2023-10-03,51.80000,51.85000,50.50000,51.50000,2628802
2023-10-04,51.20000,52.25000,49.80000,50.05000,4418516
2023-10-05,50.90000,52.55000,49.80000,52.55000,8702493
2023-10-06,53.25000,53.45000,51.50000,51.85000,5789663
2023-10-09,49.55000,50.85000,49.25000,49.25000,5003129
2023-10-10,50.40000,51.40000,50.10000,50.40000,3092842
2023-10-11,50.85000,51.80000,50.60000,51.15000,2067837
2023-10-12,51.60000,51.60000,50.45000,50.95000,1986166
2023-10-13,50.80000,52.00000,50.45000,50.70000,3350350
2023-10-16,50.95000,51.00000,50.10000,50.20000,1725263
2023-10-17,50.40000,52.70000,50.40000,51.00000,4987806
2023-10-18,51.20000,51.40000,49.75000,49.95000,2635178
2023-10-19,49.90000,50.35000,49.00000,49.50000,2344265
2023-10-20,49.50000,50.50000,48.80000,49.00000,1815062
2023-10-23,47.60000,48.90000,46.55000,46.55000,4148796
2023-10-25,44.60000,46.00000,44.25000,44.25000,5325911
2023-10-26,42.90000,45.90000,42.05000,44.65000,9024722
2023-10-27,45.00000,46.85000,44.60000,46.85000,3769432
2023-10-30,47.15000,47.40000,45.70000,46.10000,2273312
2023-10-31,46.40000,48.40000,46.10000,48.40000,3390059
2023-11-01,48.90000,50.35000,48.35000,48.75000,3290635
2023-11-02,49.25000,49.90000,48.60000,48.95000,1715840
2023-11-03,49.60000,51.35000,48.40000,48.80000,9438306
2023-11-06,49.15000,49.45000,46.70000,47.30000,4160924
2023-11-07,47.30000,48.80000,47.30000,48.45000,2735929
2023-11-08,48.50000,48.80000,47.50000,47.70000,1463508
2023-11-09,47.80000,48.20000,46.75000,47.10000,2020783
2023-11-10,46.70000,47.40000,46.40000,46.70000,2039858
2023-11-13,47.60000,48.25000,46.60000,47.20000,2322350
2023-11-15,47.90000,48.10000,46.85000,47.00000,1888195
2023-11-16,47.25000,47.80000,46.50000,46.75000,1988444
2023-11-17,46.35000,49.05000,46.35000,49.05000,4165900
2023-11-20,51.00000,51.50000,50.50000,51.50000,5158206
2023-11-21,53.25000,54.05000,52.55000,54.05000,8570638
2023-11-22,54.85000,55.20000,51.35000,52.10000,6653753
2023-11-23,52.40000,53.50000,51.20000,51.95000,2437572
2023-11-24,52.30000,52.50000,50.50000,51.05000,1719154
2023-11-28,51.30000,52.20000,49.75000,50.25000,2158315
2023-11-29,50.25000,51.05000,49.50000,49.70000,2006786
2023-11-30,47.65000,49.50000,47.65000,48.45000,3724860
2023-12-01,49.05000,50.85000,48.65000,49.05000,2495943
2023-12-04,51.00000,51.50000,50.95000,51.50000,913296
2023-12-05,54.05000,54.05000,51.50000,53.10000,13303711
2023-12-06,53.90000,55.20000,52.05000,54.10000,7412195
2023-12-07,55.50000,59.70000,54.45000,56.60000,30777260
2023-12-08,57.00000,63.20000,56.30000,61.85000,40167687
2023-12-11,63.00000,69.10000,62.90000,68.45000,38908198
2023-12-12,69.10000,69.70000,63.70000,64.25000,24293803
2023-12-13,64.50000,66.45000,63.60000,64.15000,7249168
2023-12-14,64.90000,65.70000,62.65000,63.30000,6050477
2023-12-15,63.90000,64.70000,62.50000,63.00000,4984418
2023-12-18,63.15000,66.00000,61.95000,64.20000,6358163
2023-12-19,64.55000,64.60000,62.25000,63.10000,4050439
2023-12-20,63.50000,65.00000,56.10000,58.00000,8979929
2023-12-21,56.55000,60.60000,55.60000,60.30000,9788272
2023-12-22,60.75000,63.75000,60.30000,61.95000,8749998
2023-12-26,62.30000,62.80000,60.75000,61.30000,3345391
2023-12-27,61.55000,62.40000,60.05000,60.85000,3651822
2023-12-28,61.20000,61.35000,59.50000,59.65000,3670749
2023-12-29,60.05000,61.60000,59.70000,60.15000,4386942
2024-01-01,61.70000,67.20000,61.70000,64.90000,19161359
2024-01-02,65.20000,65.35000,62.25000,63.45000,6525262
2024-01-03,63.00000,64.00000,62.40000,62.75000,4206036
2024-01-04,63.10000,65.70000,62.90000,64.10000,6278600
2024-01-05,64.50000,65.35000,63.10000,64.30000,5467164
2024-01-08,64.50000,67.50000,63.50000,64.05000,13378863
2024-01-09,64.60000,66.30000,63.45000,64.35000,5085500
2024-01-10,64.35000,64.45000,62.50000,63.20000,4932150
2024-01-11,63.60000,64.80000,63.35000,63.60000,4576893
2024-01-12,64.00000,65.50000,63.65000,64.00000,6145818
2024-01-15,64.40000,67.30000,64.25000,65.25000,11226963
2024-01-16,65.90000,67.00000,61.75000,63.40000,10421127
2024-01-17,62.90000,63.75000,61.25000,62.35000,4951453
2024-01-18,62.40000,63.20000,59.45000,62.45000,6028729
2024-01-19,62.90000,64.20000,61.70000,62.05000,4765914
2024-01-23,62.95000,63.90000,58.90000,59.60000,7474304
2024-01-24,59.80000,60.90000,58.20000,60.35000,5029731
2024-01-25,60.70000,61.45000,59.75000,60.00000,3495266
2024-01-29,60.30000,61.50000,60.25000,60.85000,3438916
2024-01-30,61.55000,64.40000,61.55000,62.70000,7895141
2024-01-31,63.00000,70.75000,62.40000,69.05000,24770254
2024-02-01,70.00000,72.50000,67.20000,67.95000,25108652
2024-02-02,68.60000,72.25000,68.35000,69.15000,14502540
2024-02-05,69.65000,73.70000,68.30000,70.20000,19338611
2024-02-06,70.80000,79.00000,69.65000,76.35000,30612044
2024-02-07,77.10000,77.50000,72.80000,73.95000,13602853
2024-02-08,74.50000,74.55000,71.40000,72.30000,7234682
2024-02-09,72.70000,72.75000,66.20000,71.55000,12224305
2024-02-12,71.80000,71.80000,66.05000,67.25000,23173866
2024-02-13,68.25000,70.40000,63.95000,68.10000,12602659
2024-02-14,66.40000,71.90000,66.20000,71.65000,10215492
2024-02-15,72.25000,72.80000,70.40000,71.20000,5719230
2024-02-16,71.55000,72.90000,69.00000,69.45000,5130481
2024-02-19,69.45000,69.85000,68.00000,68.15000,4396007
2024-02-20,68.50000,73.40000,67.85000,71.55000,8950553
2024-02-21,71.75000,73.45000,69.45000,70.85000,11263197
2024-02-22,71.20000,71.55000,68.85000,70.65000,6147681
2024-02-23,70.95000,73.30000,70.05000,70.75000,8408556
2024-02-26,71.10000,74.50000,70.50000,73.85000,15315335
2024-02-27,74.20000,75.00000,70.70000,70.90000,7515164
