date,open,high,low,close,volume
2025-03-21,23.55000,24.30000,21.99000,24.30000,5133
2025-03-24,24.30000,24.30000,22.77000,24.00000,5280
2025-03-25,24.00000,24.30000,22.26000,22.80000,6247
2025-03-26,24.24000,25.14000,23.10000,24.45000,3993
2025-03-27,24.03000,24.39000,22.56000,23.04000,4620
2025-03-28,22.80000,23.10000,21.39000,22.50000,3497
2025-03-31,21.81000,22.32000,20.82000,21.63000,2003
2025-04-01,21.57000,21.57000,20.82000,21.00000,2417
2025-04-02,20.55000,21.30000,20.04000,20.28000,4407
2025-04-03,20.28000,20.28000,19.50000,19.80000,1263
2025-04-04,19.74000,19.74000,17.70000,17.85000,14683
2025-04-07,17.70000,18.00000,16.50000,18.00000,6660
2025-04-08,18.00000,20.28000,17.40000,18.06000,14917
2025-04-09,18.30000,21.00000,17.40000,20.79000,12863
2025-04-10,20.19000,20.70000,18.93000,20.40000,2997
2025-04-11,20.55000,21.06000,19.32000,20.34000,2087
2025-04-14,20.37000,21.90000,19.14000,21.60000,2017
2025-04-15,21.60000,22.35000,19.50000,21.45000,2767
2025-04-16,21.87000,21.87000,20.40000,20.40000,540
2025-04-17,20.10000,21.42000,20.10000,21.30000,603
2025-04-21,21.90000,21.90000,19.20000,19.65000,2860
2025-04-22,20.16000,22.11000,19.20000,21.00000,1450
2025-04-23,20.10000,23.10000,20.10000,23.10000,4747
2025-04-24,23.10000,24.00000,21.63000,22.65000,2727
2025-04-25,23.40000,23.40000,22.05000,22.80000,1083
2025-04-28,23.10000,23.10000,21.60000,21.60000,1500
2025-04-29,21.30000,23.04000,21.24000,21.87000,673
2025-04-30,21.36000,22.59000,21.00000,21.75000,1363
2025-05-01,23.10000,25.11000,22.65000,24.60000,4783
2025-05-02,24.60000,24.90000,23.40000,23.70000,6323
2025-05-05,22.80000,23.70000,22.80000,23.10000,1493
2025-05-06,24.00000,24.09000,22.80000,23.10000,3927
2025-05-07,24.00000,24.00000,21.54000,22.05000,1577
2025-05-08,21.90000,22.50000,20.19000,20.19000,5360
2025-05-09,19.80000,21.00000,19.50000,20.46000,5120
2025-05-12,20.55000,21.57000,19.71000,21.18000,3660
2025-05-13,22.20000,22.44000,20.16000,21.69000,9507
2025-05-14,21.60000,23.40000,20.70000,21.90000,27397
2025-05-15,23.10000,23.10000,18.81000,18.90000,14690
2025-05-16,18.90000,20.04000,18.03000,19.47000,5937
2025-05-19,20.76000,20.76000,18.09000,18.90000,13270
2025-05-20,18.93000,19.50000,18.24000,18.90000,5840
2025-05-21,18.90000,19.50000,18.30000,18.90000,7127
2025-05-22,19.50000,19.83000,18.03000,19.50000,8253
2025-05-23,19.80000,19.80000,18.90000,19.41000,4150
2025-05-27,19.50000,19.80000,18.90000,19.71000,4100
2025-05-28,19.71000,19.71000,19.23000,19.35000,7163
2025-05-29,19.20000,19.20000,18.30000,18.48000,7770
2025-05-30,18.54000,18.69000,17.97000,18.03000,3500
2025-06-02,17.70000,18.75000,17.64000,18.30000,4947
2025-06-03,18.51000,18.90000,17.22000,18.00000,7363
2025-06-04,17.70000,18.60000,17.40000,18.39000,4843
2025-06-05,18.00000,19.20000,18.00000,18.96000,1883
2025-06-06,18.57000,19.41000,18.57000,18.96000,3233
2025-06-09,19.20000,19.71000,18.90000,19.26000,4887
2025-06-10,19.50000,20.40000,19.20000,19.89000,12683
2025-06-11,20.10000,20.70000,19.53000,20.70000,7040
2025-06-12,20.70000,20.70000,19.50000,20.34000,3653
2025-06-13,20.34000,20.34000,19.05000,19.17000,5197
2025-06-16,19.17000,19.92000,18.60000,18.75000,3123
2025-06-17,18.60000,18.90000,17.58000,18.36000,6810
2025-06-18,18.33000,19.44000,18.15000,18.30000,2393
2025-06-20,18.90000,18.90000,17.40000,17.40000,5093
2025-06-23,17.55000,18.75000,17.13000,18.39000,8983
2025-06-24,18.30000,19.17000,17.76000,18.24000,7977
2025-06-25,18.45000,18.60000,17.70000,18.45000,4470
2025-06-26,18.60000,18.60000,17.76000,18.54000,2267
2025-06-27,17.79000,18.60000,17.76000,18.00000,4147
2025-06-30,18.24000,18.84000,17.76000,18.00000,4620
2025-07-01,17.73000,18.51000,17.73000,18.48000,3577
2025-07-02,18.60000,18.60000,17.13000,17.73000,7033
2025-07-03,18.00000,18.15000,17.88000,17.91000,663
2025-07-07,18.30000,18.30000,17.46000,17.70000,2607
2025-07-08,17.40000,18.00000,16.62000,16.62000,4673
2025-07-09,17.19000,17.97000,16.26000,17.97000,8513
2025-07-10,18.00000,18.18000,17.40000,18.00000,3783
2025-07-11,18.00000,18.00000,17.40000,17.91000,993
2025-07-14,18.00000,18.60000,17.40000,17.64000,3353
2025-07-15,17.70000,17.70000,17.19000,17.19000,2093
2025-07-16,17.40000,17.64000,17.22000,17.25000,3010
2025-07-17,17.40000,18.00000,17.40000,18.00000,3427
2025-07-18,18.00000,18.21000,17.70000,18.09000,3013
2025-07-21,18.30000,18.60000,17.70000,17.91000,6967
2025-07-22,18.57000,18.57000,17.43000,17.64000,6090
2025-07-23,17.70000,17.79000,17.25000,17.79000,3460
2025-07-24,17.97000,17.97000,17.31000,17.58000,3010
2025-07-25,17.52000,18.00000,17.31000,17.46000,2473
2025-07-28,17.31000,17.85000,17.10000,17.13000,2800
2025-07-29,17.10000,17.55000,16.80000,17.31000,1907
2025-07-30,17.70000,17.70000,16.50000,16.98000,3483
2025-07-31,16.80000,17.64000,16.50000,17.28000,2060
2025-08-01,17.07000,17.07000,15.39000,15.75000,6197
2025-08-04,15.60000,15.84000,15.60000,15.78000,2483
2025-08-05,15.90000,15.99000,14.70000,14.70000,4790
2025-08-06,14.61000,15.57000,13.83000,13.92000,4720
2025-08-07,14.40000,14.40000,9.12000,12.30000,12773
