date,open,high,low,close,volume
2023-10-02,258.60999,262.00000,256.88000,260.04001,501700
2023-10-03,258.78000,262.59000,257.81000,261.54001,593400
2023-10-04,262.73999,265.48999,257.16000,261.17001,497500
2023-10-05,261.59000,263.32999,258.44501,262.60001,359200
2023-10-06,260.75000,272.37500,260.75000,270.28000,517800
2023-10-09,267.23001,276.14001,267.23001,275.69000,330700
2023-10-10,276.00000,279.95999,274.81000,275.00000,387000
2023-10-11,275.78000,278.26999,273.98499,278.09000,281500
2023-10-12,278.23001,278.23001,268.21100,268.54001,517700
2023-10-13,268.67999,271.49500,262.51001,264.97000,324600
2023-10-16,265.59000,271.72000,261.53000,270.13000,336300
2023-10-17,269.09000,275.67001,268.01999,275.23001,484000
2023-10-18,272.67999,274.09000,266.97000,268.23001,389700
2023-10-19,270.09000,272.32501,264.17001,265.50000,365100
2023-10-20,264.85999,266.25000,256.48001,259.09000,420300
2023-10-23,257.45999,262.20001,254.82500,257.64999,367800
2023-10-24,259.57001,264.70300,256.89999,261.45001,282800
2023-10-25,258.14001,258.17999,248.00000,248.08000,445500
2023-10-26,250.67000,253.33000,242.64999,244.94000,471000
2023-10-27,245.80000,246.00000,238.17500,240.34000,570200
2023-10-30,241.00000,242.28000,236.87000,240.06000,846800
2023-10-31,241.62000,247.42000,239.00999,244.97000,1837900
2023-11-01,152.55000,159.00000,146.88000,150.69000,11068400
2023-11-02,152.21001,162.92000,146.14999,162.66000,5212800
2023-11-03,163.06000,165.45000,156.05000,159.02000,3408700
2023-11-06,161.36000,164.03999,154.55000,160.89000,2966800
2023-11-07,162.62000,169.46001,162.00000,167.84000,1477700
2023-11-08,167.60001,170.63000,165.39000,167.52000,943400
2023-11-09,169.30000,170.89999,166.62000,167.75999,1013700
2023-11-10,166.08000,171.61000,165.20000,171.16000,1015300
2023-11-13,169.84000,172.44000,169.25000,172.00000,908900
2023-11-14,174.84000,180.35001,174.11000,176.28000,1211100
2023-11-15,177.95000,182.99500,176.92000,177.11000,1128200
2023-11-16,177.48000,178.98000,172.75000,173.64999,953700
2023-11-17,175.03000,177.89999,173.26500,177.50000,1356100
2023-11-20,177.89999,184.53000,176.34000,182.44000,1036700
2023-11-21,180.66000,182.14999,177.78000,178.12000,679200
2023-11-22,179.91000,180.39999,177.46001,177.50000,773300
2023-11-24,177.14999,179.03999,176.35001,178.49001,501800
2023-11-27,177.42999,179.05000,175.78000,176.11000,750400
2023-11-28,175.62000,178.63000,174.75000,178.25999,600900
2023-11-29,180.50999,184.62000,180.39999,181.28999,800000
2023-11-30,183.30000,183.30000,177.89999,181.66000,1371900
2023-12-01,181.82001,185.86000,181.03000,185.75000,1290300
