date,open,high,low,close,volume
2023-10-05,3.46000,3.74000,3.41000,3.73000,2250800
2023-10-06,3.75000,3.76000,3.53000,3.65000,1948300
2023-10-09,3.61000,3.72000,3.55000,3.66000,1088600
2023-10-10,3.69000,3.82000,3.65000,3.72000,1035700
2023-10-11,3.72000,3.78000,3.68000,3.77000,972800
2023-10-12,3.79000,3.79000,3.62000,3.65000,1741100
2023-10-13,3.68000,3.69000,3.57000,3.62000,1212800
2023-10-16,3.64000,3.71000,3.60000,3.62000,755200
2023-10-17,3.60000,3.81000,3.58000,3.77000,855800
2023-10-18,3.73000,3.73000,3.59000,3.60000,1108500
2023-10-19,3.57000,3.60000,3.48000,3.48000,1075500
2023-10-20,3.46000,3.49000,3.39000,3.40000,971400
2023-10-23,3.38000,3.43000,3.29000,3.30000,976600
2023-10-24,3.32000,3.36000,3.26000,3.26000,947200
2023-10-25,3.25000,3.28000,3.14000,3.20000,754000
2023-10-26,3.20000,3.30000,3.17000,3.26000,766400
2023-10-27,3.26000,3.28000,3.03000,3.06000,1113900
2023-10-30,3.11000,3.19000,3.05000,3.14000,1402300
2023-10-31,3.14000,3.23000,3.05000,3.23000,873000
2023-11-01,3.22000,3.29000,3.15000,3.17000,1033800
2023-11-02,3.60000,4.01000,3.60000,3.98000,5496200
2023-11-03,3.98000,4.36000,3.95000,4.11000,2891500
2023-11-06,4.11000,4.20000,3.84000,3.97000,1803100
2023-11-07,3.98000,3.98000,3.83000,3.90000,968700
2023-11-08,3.93000,4.07000,3.86000,4.06000,1384800
2023-11-09,4.10000,4.14000,3.91000,3.97000,1062700
2023-11-10,3.98000,4.12000,3.88000,4.03000,1109000
2023-11-13,3.99000,4.03000,3.88000,3.92000,736100
2023-11-14,3.97000,4.23000,3.97000,4.13000,1959600
2023-11-15,4.13000,4.22000,3.96000,4.00000,1278700
2023-11-16,4.02000,4.02000,3.83000,3.91000,921900
2023-11-17,3.91000,4.01000,3.89000,3.92000,1521200
2023-11-20,3.95000,4.01000,3.87000,3.98000,634000
2023-11-21,3.92000,3.94000,3.85000,3.88000,604600
2023-11-22,3.92000,3.97000,3.88000,3.94000,634100
2023-11-24,3.96000,4.00000,3.91000,3.94000,221800
2023-11-27,3.91000,4.06000,3.84000,4.04000,1186700
2023-11-28,4.04000,4.10000,3.92000,4.03000,1293200
2023-11-29,4.09000,4.16000,4.02000,4.13000,1345700
2023-11-30,4.17000,4.18000,3.99000,4.04000,1515500
2023-12-01,4.05000,4.31000,3.99000,4.30000,1217100
2023-12-04,4.25000,4.36000,4.22000,4.30000,1398100
2023-12-05,4.24000,4.25000,4.04000,4.16000,1149000
2023-12-06,4.13000,4.25000,4.13000,4.16000,1049400
2023-12-07,4.16000,4.25000,4.14000,4.20000,671800
2023-12-08,4.20000,4.21000,4.04000,4.19000,929400
2023-12-11,4.15000,4.19000,4.11000,4.13000,826800
2023-12-12,4.15000,4.16000,4.06000,4.10000,973000
2023-12-13,4.09000,4.39000,4.01000,4.32000,1920500
2023-12-14,4.40000,4.58000,4.40000,4.44000,1513600
2023-12-15,4.51000,4.51000,4.11000,4.16000,4297700
2023-12-18,4.17000,4.20000,4.07000,4.07000,1016000
2023-12-19,4.16000,4.25000,4.12000,4.14000,1530400
2023-12-20,4.11000,4.25000,3.97000,3.97000,1986700
2023-12-21,4.06000,4.14000,4.00000,4.09000,1027400
2023-12-22,4.12000,4.34000,4.08000,4.28000,1401900
2023-12-26,4.28000,4.32000,4.23000,4.31000,622900
2023-12-27,4.29000,4.34000,4.23000,4.30000,920300
2023-12-28,4.27000,4.41000,4.24000,4.36000,1143500
2023-12-29,4.36000,4.45000,4.34000,4.40000,1083600
2024-01-02,4.41000,4.43000,4.30000,4.35000,1235500
2024-01-03,4.22000,4.28000,4.13000,4.15000,1786300
2024-01-04,4.21000,4.25000,4.14000,4.20000,1400400
2024-01-05,4.13000,4.25000,4.13000,4.23000,1787400
2024-01-08,4.20000,4.26000,4.20000,4.20000,1297400
2024-01-09,4.16000,4.29000,4.13000,4.26000,1860800
2024-01-10,4.25000,4.30000,4.20000,4.25000,1577500
2024-01-11,4.25000,4.27000,4.14000,4.24000,1395100
2024-01-12,4.28000,4.37000,4.13000,4.17000,1333000
2024-01-16,4.14000,4.20000,4.08000,4.11000,1209100
2024-01-17,4.08000,4.12000,4.02000,4.12000,1559600
2024-01-18,4.15000,4.19000,4.04000,4.15000,1070800
2024-01-19,4.17000,4.19000,4.08000,4.18000,777400
2024-01-22,4.24000,4.40000,4.20000,4.38000,3790500
2024-01-23,4.44000,4.44000,4.26000,4.33000,1060800
2024-01-24,4.40000,4.41000,4.25000,4.28000,1265400
2024-01-25,4.35000,4.43000,4.29000,4.36000,1675700
2024-01-26,4.41000,4.44000,4.35000,4.40000,1117200
2024-01-29,4.38000,4.40000,4.29000,4.38000,1043900
2024-01-30,4.33000,4.37000,4.26000,4.30000,1141700
2024-01-31,4.35000,4.40000,4.11000,4.11000,2623700
2024-02-01,4.43000,4.53000,3.84000,4.15000,4627800
2024-02-02,4.12000,4.12000,4.01000,4.06000,3203900
2024-02-05,3.97000,3.98000,3.68000,3.74000,3326200
2024-02-06,3.77000,3.98000,3.70000,3.93000,1762900
2024-02-07,3.95000,3.95000,3.84000,3.89000,1059100
2024-02-08,3.86000,3.95000,3.81000,3.92000,1066000
2024-02-09,3.96000,4.07000,3.93000,4.06000,1039900
2024-02-12,4.05000,4.23000,4.05000,4.19000,1522500
2024-02-13,4.04000,4.07000,3.89000,3.97000,1777500
2024-02-14,4.07000,4.12000,3.99000,4.02000,1108500
2024-02-15,4.08000,4.16000,4.00000,4.10000,1560500
2024-02-16,4.06000,4.10000,3.98000,4.03000,963100
2024-02-20,3.96000,4.00000,3.91000,3.94000,1056500
2024-02-21,3.91000,3.94000,3.80000,3.82000,1053800
2024-02-22,3.82000,3.87000,3.76000,3.79000,1052800
2024-02-23,3.79000,3.86000,3.73000,3.81000,831700
2024-02-26,3.84000,3.90000,3.78000,3.86000,1191500
2024-02-27,3.88000,3.93000,3.82000,3.84000,1282000
2024-02-28,3.80000,3.91000,3.76000,3.86000,888800
2024-02-29,3.95000,4.04000,3.90000,4.03000,1264500
2024-03-01,4.04000,4.18000,3.97000,4.17000,1126200
2024-03-04,4.17000,4.21000,4.12000,4.12000,1025600
2024-03-05,4.07000,4.24000,4.05000,4.12000,1140300
2024-03-06,4.17000,4.26000,4.09000,4.10000,1360800
2024-03-07,4.13000,4.19000,4.06000,4.08000,1103200
