date,open,high,low,close,volume
2025-04-22,4.00000,4.40000,3.24000,3.35000,916000
2025-04-23,3.25000,3.45000,3.10000,3.21000,182800
2025-04-24,3.15000,3.33000,3.00000,3.11500,95900
2025-04-25,3.07000,3.22800,3.02000,3.02000,43100
2025-04-28,3.02000,3.16100,3.02000,3.11000,11200
2025-04-29,3.04000,3.16000,3.04000,3.11000,18800
2025-04-30,3.15000,3.24100,3.04000,3.18000,29800
2025-05-01,3.15000,3.24000,3.15000,3.15000,5800
2025-05-02,3.20000,3.25000,3.18000,3.18000,8800
2025-05-05,3.11200,3.12700,3.03000,3.04300,10400
2025-05-06,3.03000,3.18800,3.03000,3.10000,17500
2025-05-07,3.07000,3.25000,3.05000,3.17000,19600
2025-05-08,3.25000,3.53000,3.16700,3.28000,55900
2025-05-09,3.10000,3.50000,3.10000,3.12900,16200
2025-05-12,3.19000,3.29000,3.10000,3.16800,9400
2025-05-13,3.25000,3.34300,3.05000,3.22000,19900
2025-05-14,3.06000,3.34000,3.06000,3.17000,7400
2025-05-15,3.08000,3.24000,3.05000,3.23000,12100
2025-05-16,3.05000,3.39000,3.05000,3.23000,5900
2025-05-19,3.21000,3.30000,3.08300,3.08300,1100
2025-05-20,3.05000,3.28000,3.05000,3.14500,8100
2025-05-21,3.09000,3.25000,3.05000,3.05000,4900
2025-05-22,3.13000,3.40000,3.11200,3.16000,32900
2025-05-23,3.16000,3.39000,3.03000,3.25000,30800
2025-05-27,3.20000,3.29500,3.05000,3.12000,14700
2025-05-28,3.10000,3.15500,2.58000,2.58000,22700
2025-05-29,2.62400,2.68500,1.70000,2.13000,103800
2025-05-30,2.15000,2.30000,2.02500,2.30000,39700
2025-06-02,2.18000,2.70000,2.07000,2.70000,25700
2025-06-03,2.80000,2.82600,2.04000,2.65000,22600
2025-06-04,2.66000,2.88000,2.61000,2.71100,10900
2025-06-05,2.31000,2.90000,2.31000,2.70000,9600
2025-06-06,2.53500,2.75200,2.53500,2.65000,5100
2025-06-09,2.68000,2.81000,2.51000,2.73500,15400
2025-06-10,2.67000,2.80500,2.61500,2.65000,6200
2025-06-11,2.51000,2.89000,2.51000,2.63000,14600
2025-06-12,2.64100,2.83100,2.40000,2.69100,25200
2025-06-13,2.61000,2.70000,2.50000,2.51000,2400
2025-06-16,2.52000,2.70000,1.90000,2.33000,29800
2025-06-17,2.41000,2.58500,2.16300,2.32000,21200
2025-06-18,2.38000,2.46200,2.37000,2.42000,5000
2025-06-20,2.43000,2.52500,2.43000,2.52500,3000
2025-06-23,2.50100,2.68000,2.50100,2.68000,4100
2025-06-24,2.66000,2.66000,2.20000,2.31000,29100
2025-06-25,2.31000,2.49000,2.15000,2.36000,15800
2025-06-26,2.36000,2.37000,2.12500,2.25000,15200
2025-06-27,2.39000,2.47000,2.18000,2.32000,12800
2025-06-30,2.10000,2.61000,2.10000,2.36700,23600
2025-07-01,2.38000,2.58000,2.34900,2.43000,5900
2025-07-02,1.89000,1.92000,1.57300,1.79000,3726600
2025-07-03,1.68000,1.73200,1.58000,1.64000,99600
2025-07-07,1.59000,1.77000,1.55000,1.76000,74100
2025-07-08,1.66000,1.90000,1.63000,1.79000,143800
2025-07-09,1.77000,1.87800,1.66000,1.72000,36000
2025-07-10,1.68000,1.90000,1.65100,1.78000,49900
2025-07-11,1.73000,1.82900,1.70000,1.71000,11800
2025-07-14,1.71000,1.82000,1.63000,1.71500,69100
2025-07-15,1.73000,1.85000,1.70100,1.80000,58000
2025-07-16,1.91000,2.17000,1.82100,2.11000,71000
2025-07-17,2.12000,2.25200,1.99000,2.02000,100100
2025-07-18,1.80000,2.00000,1.75000,1.80500,97700
2025-07-21,1.80000,2.11000,1.74000,1.75000,87300
2025-07-22,1.80000,1.98000,1.77000,1.98000,56900
2025-07-23,1.99000,2.08000,1.82000,1.91000,30200
2025-07-24,1.89000,2.07000,1.85000,1.90000,39200
2025-07-25,1.89200,1.94500,1.89200,1.94000,5900
2025-07-28,1.88000,1.99800,1.76000,1.85000,7400
2025-07-29,1.90000,1.90000,1.75000,1.82000,13400
2025-07-30,1.85000,2.00000,1.81500,1.91000,33600
2025-07-31,1.76200,1.84500,1.75000,1.80000,11400
2025-08-01,1.77000,1.84000,1.60200,1.80000,37800
2025-08-04,1.77600,1.78900,1.70000,1.75500,13400
2025-08-05,1.74000,1.80000,1.67500,1.76500,20000
2025-08-06,1.77000,1.77000,1.69500,1.72200,7100
2025-08-07,1.72000,1.75000,1.66500,1.69000,18600
2025-08-08,1.74000,1.74000,1.57000,1.60100,11000
2025-08-11,1.67000,1.67000,1.50000,1.51000,27100
2025-08-12,1.53000,1.65000,1.50000,1.55000,11000
2025-08-13,1.55000,1.55000,1.48000,1.48000,18700
2025-08-14,1.54000,1.54000,1.41000,1.44000,55800
2025-08-15,1.55300,1.55300,1.30000,1.40000,35400
2025-08-18,1.41000,1.50000,1.41000,1.48400,13900
2025-08-19,1.51000,1.52000,1.44800,1.44800,4600
2025-08-20,1.44000,1.50000,1.42000,1.50000,18100
2025-08-21,1.48000,1.66900,1.47000,1.59500,14600
2025-08-22,1.63000,1.72000,1.58000,1.68000,26800
2025-08-25,1.70000,1.76000,1.67000,1.71000,36100
2025-08-26,1.80000,1.90000,1.60000,1.69000,49500
2025-08-27,1.59000,1.82000,1.58900,1.82000,14900
2025-08-28,1.77000,1.81900,1.71000,1.71000,4500
2025-08-29,1.82000,1.82000,1.73000,1.81800,4800
2025-09-02,1.54000,1.79000,1.54000,1.62500,13100
2025-09-03,1.67000,2.00000,1.67000,2.00000,56300
2025-09-04,1.98000,1.99000,1.79000,1.80000,22700
2025-09-05,1.89000,2.98000,1.89000,2.60000,4909800
2025-09-08,2.19000,2.24000,1.80000,2.11000,177400
2025-09-09,1.98000,1.98000,1.79000,1.84000,30700
2025-09-10,1.89000,2.05000,1.85000,1.88000,7900
2025-09-11,1.85000,2.03300,1.80000,1.87000,17100
2025-09-12,1.80000,2.02800,1.78000,1.82000,27500
2025-09-15,1.79000,1.95000,1.76000,1.95000,13100
2025-09-16,1.88000,1.96000,1.88000,1.96000,9300
2025-09-17,1.98000,1.98000,1.84000,1.87000,6200
2025-09-18,1.87000,1.97900,1.78000,1.97900,6100
2025-09-19,1.91000,1.98000,1.80000,1.98000,32300
2025-09-22,1.96000,2.06500,1.88000,2.00000,28400
2025-09-23,1.95400,2.04900,1.95400,1.98000,16100
2025-09-24,2.02900,2.02900,1.90200,1.91000,12100
2025-09-25,1.91500,1.99800,1.84000,1.98900,4800
2025-09-26,1.91000,1.97800,1.91000,1.97800,2900
2025-09-29,1.92000,1.98000,1.85000,1.91000,8200
2025-09-30,1.91000,1.96000,1.89000,1.95000,7100
2025-10-01,1.85900,1.95000,1.85900,1.95000,8900
2025-10-02,1.94000,1.94900,1.86000,1.92000,7300
2025-10-03,1.94000,1.94800,1.90000,1.94800,6900
2025-10-06,1.94000,2.03000,1.89000,2.03000,9500
2025-10-07,2.02000,2.02000,1.90000,1.91900,3800
2025-10-08,1.97000,1.97000,1.92000,1.94500,5900
2025-10-09,2.03000,2.03000,1.92000,1.92000,11900
2025-10-10,2.02700,2.02700,1.92000,1.92000,12500
2025-10-13,2.04000,2.04000,1.94500,1.99000,5800
2025-10-14,1.92000,1.97000,1.90000,1.91000,2006400
2025-10-15,3.43000,4.93000,3.01000,4.57000,63248700
2025-10-16,3.26000,4.10000,3.21000,3.55000,1040200
2025-10-17,3.02000,3.83000,3.02000,3.62000,254300
2025-10-20,3.62000,4.36000,3.62000,3.81000,327400
2025-10-21,3.76000,4.02000,3.38000,3.38000,155500
2025-10-22,3.26000,3.58000,3.09000,3.09000,82900
2025-10-23,3.06000,3.26800,3.00000,3.01000,48600
2025-10-24,3.00000,3.08000,2.83000,2.93000,40600
2025-10-27,2.89000,2.95000,2.82000,2.84000,13200
2025-10-28,2.80000,2.85600,2.80000,2.82000,13200
2025-10-29,2.76000,2.83000,2.73500,2.80000,29900
2025-10-30,2.74000,2.87500,2.71000,2.75000,12500
2025-10-31,2.70000,2.80000,2.50200,2.66000,23900
2025-11-03,2.61000,2.81600,2.61000,2.72000,24100
2025-11-04,2.63000,2.76000,2.63000,2.70000,5500
2025-11-05,2.65000,2.68900,2.59000,2.68000,9300
2025-11-06,2.60000,2.76500,2.58000,2.61000,20400
2025-11-07,2.45000,2.57000,2.20000,2.44000,25500
2025-11-10,2.38000,2.67000,2.34000,2.44000,10200
2025-11-11,2.40000,2.62000,2.40000,2.61000,28400
2025-11-12,2.62000,2.85500,2.57500,2.80000,16500
2025-11-13,2.76000,2.76000,2.51000,2.56000,25300
2025-11-14,2.57000,2.67500,2.54000,2.54000,18100
2025-11-17,2.49000,2.52000,2.30000,2.42000,24200
2025-11-18,2.41200,2.41200,2.31000,2.31000,4700
2025-11-19,2.31000,2.41000,2.24000,2.38000,17900
2025-11-20,2.37000,2.52000,2.31100,2.34000,8100
2025-11-21,2.31000,2.41000,2.30000,2.36000,16600
2025-11-24,2.29000,2.41500,2.29000,2.36000,5800
2025-11-25,2.36000,2.42000,2.33000,2.41000,4900
2025-11-26,2.30000,2.41000,2.30000,2.35000,12900
2025-11-28,2.35100,2.38000,2.33000,2.33000,1700
2025-12-01,2.33000,2.35000,2.25300,2.27000,6800
2025-12-02,2.23100,2.29000,2.23100,2.24000,1600
2025-12-03,2.31900,2.31900,2.25500,2.25500,500
2025-12-04,2.37000,2.37000,2.26800,2.28000,5900
2025-12-05,2.27000,2.37000,2.27000,2.36700,7300
2025-12-08,2.38000,2.41000,2.31000,2.33000,7800
2025-12-09,2.36000,2.38000,2.27000,2.30000,4700
2025-12-10,2.31900,2.34000,2.30000,2.31300,4100
2025-12-11,2.34000,2.39000,2.28000,2.28000,14300
2025-12-12,2.40000,2.40000,2.30000,2.30000,5800
2025-12-15,2.21000,2.31000,2.20000,2.23000,8500
2025-12-16,2.24000,2.34600,2.21000,2.21000,2700
2025-12-17,2.21000,2.31000,2.20200,2.21000,2400
2025-12-18,2.19000,2.23000,2.19000,2.23000,1400
2025-12-19,2.24800,2.24800,2.23000,2.23000,1300
2025-12-22,2.23000,2.23000,2.08000,2.17000,8700
2025-12-23,2.15800,2.15800,2.03000,2.03000,10500
2025-12-24,2.19000,2.19000,2.10000,2.17000,9000
2025-12-26,2.01000,2.08500,2.01000,2.07000,4000
2025-12-29,2.01000,2.21000,2.01000,2.20000,11400
2025-12-30,2.09000,2.15000,2.02000,2.02000,4100
2025-12-31,2.05000,2.11000,2.05000,2.07600,6200
2026-01-02,2.12000,2.17000,2.11000,2.17000,1500
2026-01-05,2.06000,2.14000,2.03000,2.14000,3800
2026-01-06,2.11000,2.23000,2.10000,2.23000,18700
2026-01-07,2.16000,2.83000,2.11000,2.62000,122000
2026-01-08,2.23000,2.52000,2.18000,2.25000,41300
2026-01-09,2.14000,2.27000,2.09000,2.10000,22900
2026-01-12,2.00000,2.52000,2.00000,2.23000,62400
2026-01-13,2.10000,2.29100,2.10000,2.14000,32500
2026-01-14,2.05000,2.27000,2.05000,2.08000,14700
2026-01-15,2.00000,2.23000,2.00000,2.13000,22800
2026-01-16,2.06000,2.22000,2.06000,2.20000,16900
2026-01-20,2.03000,2.19000,2.00000,2.11000,12600
2026-01-21,2.18000,2.18000,2.10000,2.10000,2300
2026-01-22,2.10000,2.10000,2.05000,2.07000,1800
2026-01-23,2.14000,2.22000,2.07000,2.08000,12000
2026-01-26,2.21000,2.38000,2.17000,2.20000,15200
2026-01-27,2.30000,2.30000,2.21000,2.21000,800
2026-01-28,2.32000,2.42000,2.21000,2.36000,131200
2026-01-29,2.18000,2.28000,2.02000,2.02000,16600
2026-01-30,2.08000,2.71000,2.08000,2.26000,108900
2026-02-02,2.18000,2.33400,2.18000,2.26000,11500
2026-02-03,2.31700,2.35000,2.31700,2.35000,5000
2026-02-04,2.24000,2.36000,2.24000,2.25000,7200
2026-02-05,2.23000,2.35900,2.09000,2.21000,10600
2026-02-06,2.19000,2.32000,2.14000,2.20000,4800
2026-02-09,2.18500,2.29000,2.14000,2.29000,2100
2026-02-10,2.23500,2.32000,2.23500,2.31000,2200
2026-02-11,2.17000,2.32000,2.14000,2.24000,8100
2026-02-12,2.23000,2.38000,2.20000,2.24000,9400
2026-02-13,2.20000,2.27000,2.16000,2.17000,2900
2026-02-17,2.25000,2.32000,2.23000,2.32000,1000
2026-02-18,2.32000,2.33000,2.16000,2.17000,8700
2026-02-19,2.31000,2.36000,2.24000,2.24000,7400
2026-02-20,2.37000,2.37000,2.24000,2.30500,2500
2026-02-23,2.25000,2.25000,2.25000,2.25000,1600
2026-02-26,2.20000,2.25000,2.20000,2.22000,1500
2026-02-27,2.25000,2.25000,2.25000,2.25000,300
2026-03-02,2.20000,2.32000,2.19000,2.30000,5600
2026-03-03,2.22000,2.26000,2.18000,2.19100,4200
2026-03-04,2.26000,2.26000,2.21700,2.21700,600
2026-03-05,2.15000,2.27000,2.02000,2.24000,6800
2026-03-06,2.17000,2.22000,2.03100,2.06000,4700
2026-03-09,2.27000,2.27000,2.06000,2.10000,1600
2026-03-10,2.10000,2.21000,2.10000,2.20000,2700
2026-03-11,2.16000,2.63000,2.16000,2.56000,13000
2026-03-12,2.58000,2.72000,2.27000,2.41000,34300
2026-03-13,2.41000,2.44700,2.33000,2.33000,47100
2026-03-16,2.36000,2.52000,2.36000,2.50100,4300
2026-03-17,2.62000,2.62000,2.50000,2.50300,8700
2026-03-18,2.58000,2.58000,2.50000,2.51000,2400
2026-03-20,2.55000,2.55000,2.50000,2.50000,1830
