date,open,high,low,close,volume
2025-03-27,1.59000,1.64000,1.55000,1.64000,1442300
2025-03-28,1.64000,1.64000,1.57000,1.59000,827700
2025-03-31,1.55000,1.55000,1.41000,1.49000,1872500
2025-04-01,1.45000,1.50000,1.39000,1.44000,1073200
2025-04-02,1.44000,1.51000,1.38000,1.48000,1037100
2025-04-03,1.40000,1.43000,1.33000,1.34000,1386800
2025-04-04,1.31000,1.33000,1.21000,1.24000,2309500
2025-04-07,1.17000,1.35000,1.11000,1.33000,2210500
2025-04-08,1.38000,1.40000,1.14000,1.17000,1669200
2025-04-09,1.13000,1.43000,1.12000,1.39000,2405900
2025-04-10,1.31000,1.35000,1.25000,1.28000,1456600
2025-04-11,1.27000,1.42000,1.27000,1.40000,842700
2025-04-14,1.46000,1.49000,1.37000,1.40000,1851500
2025-04-15,1.40000,1.46000,1.39000,1.44000,970700
2025-04-16,1.43000,1.43000,1.35000,1.37000,889400
2025-04-17,1.36000,1.43000,1.33000,1.39000,1051600
2025-04-21,1.37000,1.46000,1.37000,1.37000,942000
2025-04-22,1.39000,1.55000,1.39000,1.53000,1981300
2025-04-23,1.56000,1.65000,1.56000,1.62000,1427700
2025-04-24,1.62000,1.62000,1.53000,1.59000,1112700
2025-04-25,1.59000,1.59000,1.48000,1.50000,1233500
2025-04-28,1.50000,1.58000,1.49000,1.55000,1106900
2025-04-29,1.54000,1.61000,1.52000,1.54000,1331100
2025-04-30,1.49000,1.59000,1.48000,1.56000,748300
2025-05-01,1.58000,1.60000,1.52000,1.55000,708100
2025-05-02,1.58000,1.66000,1.55000,1.57000,1156000
2025-05-05,1.57000,1.60000,1.52000,1.52000,692000
2025-05-06,1.52000,1.53000,1.37000,1.40000,1995800
2025-05-07,1.41000,1.44000,1.34000,1.35000,1037900
2025-05-08,1.33000,1.40000,1.23000,1.35000,2414300
2025-05-09,1.35000,1.42000,1.33000,1.33000,858500
2025-05-12,1.39000,1.48000,1.36000,1.37000,2794800
2025-05-13,1.37000,1.43000,1.30000,1.35000,1953700
2025-05-14,1.35000,1.36000,1.28000,1.28000,2454700
2025-05-15,1.27000,1.36000,1.26000,1.31000,3142200
2025-05-16,1.32000,1.53000,1.31000,1.45000,2865500
2025-05-19,1.46000,1.47000,1.30000,1.36000,1640900
2025-05-20,1.36000,1.41000,1.33000,1.41000,1645800
2025-05-21,1.38000,1.39000,1.29000,1.32000,2264400
2025-05-22,1.32000,1.44000,1.29000,1.39000,1467300
2025-05-23,1.38000,1.44000,1.35000,1.37000,1416900
2025-05-27,1.38000,1.47000,1.38000,1.41000,1587800
2025-05-28,1.45000,1.47000,1.35000,1.37000,1935500
2025-05-29,1.40000,1.43000,1.37000,1.39000,1051400
2025-05-30,1.38000,1.39000,1.28000,1.32000,1416000
2025-06-02,1.33000,1.40000,1.32000,1.33000,1646300
2025-06-03,1.32000,1.41000,1.28000,1.36000,1266400
2025-06-04,1.36000,1.39000,1.33000,1.33000,619200
2025-06-05,1.33000,1.39000,1.30000,1.33000,1221300
2025-06-06,1.37000,1.58000,1.35000,1.50000,3690900
2025-06-09,1.53000,1.55000,1.46000,1.50000,1600100
2025-06-10,1.51000,1.61000,1.51000,1.54000,2407200
2025-06-11,1.58000,1.59000,1.50000,1.50000,1227300
2025-06-12,1.50000,1.55000,1.48000,1.52000,820300
