date,open,high,low,close,volume
2023-09-25,1258.50000,1259.90002,1238.77502,1247.25000,438234
2023-09-26,1244.09998,1253.00000,1244.09998,1250.90002,256308
2023-09-27,1247.50000,1251.87500,1240.15002,1249.75000,357166
2023-09-28,1249.75000,1251.97498,1207.02502,1210.67505,951582
2023-09-29,1220.00000,1226.19995,1214.50000,1219.75000,246706
2023-10-03,1219.75000,1223.94995,1206.27502,1212.69995,765348
2023-10-04,1210.97498,1211.47498,1192.50000,1203.19995,757666
2023-10-05,1217.80005,1219.15002,1210.00000,1214.59998,463272
2023-10-06,1221.50000,1228.44995,1214.59998,1227.17505,484794
2023-10-09,1215.05005,1219.42505,1205.05005,1212.50000,741138
2023-10-10,1215.00000,1228.00000,1212.50000,1225.05005,576248
2023-10-11,1228.00000,1246.00000,1227.50000,1243.82495,898340
2023-10-12,1243.82495,1248.75000,1236.40002,1240.94995,248616
2023-10-13,1240.00000,1242.09998,1227.19995,1230.02502,292336
2023-10-16,1230.00000,1231.62500,1209.37500,1217.30005,825776
2023-10-17,1220.77502,1222.07495,1209.77502,1213.67505,599216
2023-10-18,1210.05005,1217.47498,1202.25000,1203.62500,312428
2023-10-19,1200.00000,1202.97498,1185.00000,1187.42505,649728
2023-10-20,1187.42505,1192.97498,1177.50000,1186.59998,554286
2023-10-23,1186.59998,1191.17505,1172.50000,1175.50000,295934
2023-10-25,1180.25000,1181.69995,1160.65002,1163.15002,447704
2023-10-26,1160.50000,1161.00000,1146.27502,1147.69995,560530
2023-10-27,1151.42505,1167.19995,1148.05005,1158.40002,844526
2023-10-30,1165.00000,1165.00000,1149.50000,1156.07495,623548
2023-10-31,1182.00000,1239.00000,1175.17505,1229.00000,4629484
2023-11-01,1226.00000,1232.50000,1200.82495,1203.17505,1131352
2023-11-02,1215.00000,1218.17505,1197.62500,1214.15002,475760
2023-11-03,1218.90002,1229.50000,1207.17505,1227.75000,319926
2023-11-06,1235.00000,1235.72498,1210.47498,1216.84998,650950
