date,open,high,low,close,volume
2025-03-26,91.51000,93.02000,89.88000,91.15000,347400
2025-03-27,89.71000,93.28000,89.50000,92.86000,457100
2025-03-28,92.82000,93.26000,89.78000,91.80000,436200
2025-03-31,89.70000,91.72000,88.64800,90.70000,576200
2025-04-01,90.81000,90.81000,83.53000,88.40000,431100
2025-04-02,87.34000,93.43000,87.20000,91.06000,820100
2025-04-03,86.18000,87.00000,73.13000,73.55000,1341800
2025-04-04,70.20000,73.59000,68.07000,73.00000,1128400
2025-04-07,69.11000,79.25000,67.31000,69.63000,1181500
2025-04-08,74.04000,75.20000,60.85000,62.54000,1369900
2025-04-09,62.99000,77.62500,60.97000,77.24000,1855000
2025-04-10,73.13000,73.24000,64.39000,65.92000,1030600
2025-04-11,65.57000,67.64000,63.36000,66.77000,834800
2025-04-14,69.96000,70.02700,65.47000,68.02000,639300
2025-04-15,68.13000,69.54500,66.34000,66.38000,436400
2025-04-16,64.08000,66.14000,62.93500,66.03000,722100
2025-04-17,66.32000,69.14000,65.74300,68.67000,671200
2025-04-21,66.88000,69.80000,65.52000,69.67000,681100
2025-04-22,70.50000,74.53000,69.88000,74.29000,981800
2025-04-23,77.98000,80.63000,76.83000,77.07000,1461500
2025-04-24,91.87000,93.00000,85.54000,89.75000,2294000
2025-04-25,90.14500,92.70000,87.91000,91.51000,815000
2025-04-28,91.43000,92.22500,87.56500,90.84000,823900
2025-04-29,90.71000,91.23200,89.08000,89.69000,912100
2025-04-30,87.16000,92.20000,85.94500,92.13000,768800
2025-05-01,93.35000,96.28000,90.43500,94.93000,710800
2025-05-02,97.45000,100.22000,96.42500,98.80000,552800
2025-05-05,97.90000,100.00000,96.47000,98.46000,673200
2025-05-06,96.26000,97.62000,94.81000,96.51000,317300
2025-05-07,96.95000,98.43000,94.82000,97.68000,481700
2025-05-08,99.10000,100.08000,97.19500,97.82000,483700
2025-05-09,99.78000,102.97500,99.01900,100.00000,486700
2025-05-12,106.16000,112.75000,105.47500,111.95000,975000
2025-05-13,112.46000,121.86000,112.27000,121.82000,1111700
2025-05-14,122.39000,122.39000,116.98900,121.46000,953000
2025-05-15,120.00000,122.00000,117.36000,121.75000,584300
2025-05-16,122.03000,126.23000,120.69000,125.05000,495500
2025-05-19,121.02000,124.31000,121.02000,123.32000,394600
2025-05-20,122.35000,124.74000,122.06500,123.33000,319200
2025-05-21,122.10000,123.17000,116.59000,117.52000,575600
2025-05-22,116.77000,117.76000,113.71000,115.21000,450100
2025-05-23,112.35000,113.08000,110.24000,112.00000,415400
2025-05-27,115.21000,118.98000,113.00000,116.42000,593200
2025-05-28,116.53000,117.61000,114.72500,114.88000,203800
2025-05-29,117.35000,117.70500,113.41000,115.56000,303900
2025-05-30,113.81000,115.66000,111.46000,114.09000,349300
2025-06-02,113.02000,116.63000,112.32000,116.51000,481000
2025-06-03,116.97000,121.68000,115.02000,120.33000,437500
2025-06-04,120.52000,121.97000,117.67000,117.67000,917500
2025-06-05,117.71000,119.00000,114.43000,115.64000,386800
2025-06-06,118.62000,119.45000,112.51000,113.45000,460700
2025-06-09,115.48000,118.79000,114.60000,117.01000,417100
2025-06-10,117.87000,118.81000,115.02500,115.86000,310000
2025-06-11,117.00000,119.50000,109.83000,111.02000,372600
2025-06-12,110.05000,111.14000,107.64000,108.90000,269900
2025-06-13,107.65000,107.87500,104.00000,104.39000,293200
2025-06-16,106.50000,108.74500,104.84000,105.77000,633500
2025-06-17,104.53000,106.33000,103.91000,103.98000,210500
2025-06-18,103.95000,106.16500,103.08100,104.12000,309100
2025-06-20,104.86000,106.18000,101.58000,103.57000,438800
2025-06-23,103.44000,107.40000,103.41000,106.34000,304000
2025-06-24,108.23000,112.15000,107.70000,107.79000,483300
2025-06-25,108.22000,108.62000,106.22000,108.04000,223100
2025-06-26,109.01000,109.49200,107.22000,108.47000,235700
2025-06-27,109.04000,113.07000,108.59000,111.83000,880200
2025-06-30,112.18000,114.60000,110.73500,111.07000,353100
2025-07-01,109.82000,114.00000,108.00000,112.01000,376200
2025-07-02,112.10000,117.21000,111.62500,113.44000,345200
2025-07-03,114.61000,116.21000,112.65000,115.86000,204600
2025-07-07,114.39000,116.34000,110.84000,112.59000,352300
2025-07-08,113.72000,118.85400,113.25000,117.18000,610800
2025-07-09,117.08000,121.72000,115.55000,121.61000,415300
2025-07-10,122.00000,122.01000,119.21000,121.00000,413500
2025-07-11,119.41000,121.40500,116.76500,116.81000,377900
2025-07-14,116.03000,116.06000,111.90000,112.70000,294300
2025-07-15,115.13000,117.06500,110.78800,111.65000,545300
2025-07-16,111.19000,112.73000,107.78000,112.37000,394600
2025-07-17,112.24500,117.74000,111.55000,116.12000,483300
2025-07-18,117.58000,117.60000,115.01000,115.98000,250900
2025-07-21,117.59000,119.00000,115.12000,116.51000,391900
2025-07-22,115.40000,116.51000,107.42000,113.23000,742600
2025-07-23,115.23000,118.41500,112.70000,118.24000,519100
2025-07-24,117.03000,121.47000,114.33000,120.80000,375100
2025-07-25,121.05000,124.48500,119.04600,124.25000,526600
2025-07-28,125.19000,127.21000,123.59000,126.13000,559500
2025-07-29,126.57000,128.83000,121.48000,122.81000,410700
2025-07-30,123.91000,124.98500,119.55500,122.21000,927400
2025-07-31,145.00000,164.35201,142.00000,154.58000,2704100
2025-08-01,150.03999,156.28999,145.00000,152.92000,1027600
2025-08-04,153.74001,164.22000,152.60001,164.05000,587200
2025-08-05,165.00000,166.00000,159.12500,162.96001,711500
2025-08-06,161.85001,162.66000,156.59000,159.97000,560100
2025-08-07,162.00000,162.44501,153.41000,157.77000,467200
2025-08-08,159.75999,159.75999,150.87000,153.73000,314000
2025-08-11,154.00000,156.74001,151.47000,153.55000,376300
2025-08-12,155.20000,163.11501,153.92999,162.42999,328900
2025-08-13,163.11000,170.36000,163.00000,169.92999,573000
2025-08-14,166.66000,167.97000,163.77000,167.37000,379000
2025-08-15,167.48000,167.48000,160.50000,161.77000,371300
2025-08-18,161.92000,166.57001,159.24001,165.74001,268500
2025-08-19,164.10500,168.88499,164.10500,166.55000,337700
2025-08-20,164.70000,167.00000,160.05499,164.78000,335200
2025-08-21,162.81000,168.57001,162.77499,168.21001,348400
2025-08-22,168.31000,182.75999,168.31000,176.82001,503700
2025-08-25,177.37000,178.49500,175.64500,175.78000,251600
2025-08-26,175.78000,179.62000,174.83000,178.86000,449300
2025-08-27,178.50000,189.42999,176.39999,186.37000,860000
2025-08-28,186.28000,192.48000,184.88000,190.56000,385500
2025-08-29,190.61000,191.14799,186.89000,187.47000,256100
2025-09-02,181.46001,185.94000,177.26401,185.74001,293600
2025-09-03,186.00000,195.55000,185.36000,194.47000,1122400
2025-09-04,193.69000,193.69000,184.59000,188.13000,943700
2025-09-05,188.78999,192.77000,187.44000,191.02000,414900
2025-09-08,192.00000,201.25999,191.13499,200.78000,750600
2025-09-09,199.77000,200.00000,189.89000,195.33501,707100
2025-09-10,197.70000,201.00000,189.89999,190.00000,910100
2025-09-11,189.64999,193.89999,182.83000,183.42999,639400
2025-09-12,182.75000,184.82001,176.30000,178.75999,526300
2025-09-15,179.00000,192.00000,178.95000,190.81000,867700
2025-09-16,191.52000,195.00000,185.00999,193.75999,410400
2025-09-17,193.77000,195.50999,189.13000,191.48000,271900
2025-09-18,193.59000,198.52000,191.32001,195.77000,611200
2025-09-19,195.72000,195.72000,191.12000,191.60001,1318600
2025-09-22,191.75000,196.00000,189.62000,190.94000,403800
2025-09-23,193.75999,193.75999,182.77000,184.97000,570000
2025-09-24,185.86000,189.28000,182.76500,184.64000,304000
2025-09-25,182.09000,185.39500,175.86000,178.47000,439000
2025-09-26,178.67999,180.64500,172.80000,175.45000,258800
2025-09-29,178.17000,180.83000,175.11000,180.20000,504000
2025-09-30,180.48000,182.03000,174.17000,180.75000,361900
2025-10-01,176.64999,180.00000,172.99001,177.89000,369700
2025-10-02,181.38000,184.13499,180.11000,182.73000,266700
2025-10-03,185.03000,192.60001,184.17000,185.19000,371200
2025-10-06,189.52000,197.23000,189.52000,196.13000,479800
2025-10-07,196.92999,198.59000,190.57500,192.97000,426200
2025-10-08,194.00000,212.98000,192.60500,212.45000,977600
2025-10-09,213.50999,217.17000,204.89999,205.64000,499800
2025-10-10,205.33000,207.08000,184.67999,187.96001,601300
2025-10-13,194.34000,199.36000,191.25999,196.56000,273200
2025-10-14,189.32001,201.25000,188.42000,197.85001,333700
2025-10-15,200.67999,204.75999,194.12000,198.92999,425200
2025-10-16,200.56000,202.64999,195.18500,201.32001,433200
2025-10-17,197.64999,202.80000,195.89999,201.42999,271300
2025-10-20,203.36000,208.00000,196.60500,203.39999,406500
2025-10-21,201.39999,203.39000,194.86000,200.72000,434300
2025-10-22,195.86000,209.88000,195.61501,202.08000,594700
2025-10-23,202.50999,244.34000,202.50999,241.17000,1512700
2025-10-24,244.37000,247.06400,235.32001,235.83000,638900
2025-10-27,238.73000,240.00000,231.41000,237.88000,411200
2025-10-28,237.88000,239.74001,233.57001,235.89000,338500
2025-10-29,236.25000,245.92999,236.02499,241.91000,618900
2025-10-30,215.73000,223.05000,189.67999,206.08000,1411400
2025-10-31,207.00999,209.00000,196.85001,202.16000,653200
2025-11-03,202.00999,202.85600,186.03000,187.67000,689600
2025-11-04,184.42000,184.42000,175.36000,175.55000,485400
2025-11-05,176.55000,183.27000,172.39999,180.21001,335100
2025-11-06,179.94000,181.75000,168.73000,169.06000,555400
2025-11-07,166.00000,166.06000,153.00000,163.63000,962800
2025-11-10,168.66000,173.62199,160.34000,160.50999,405500
2025-11-11,159.66000,160.94501,154.55000,155.10001,494300
2025-11-12,157.41000,158.93500,152.28999,153.03999,375600
2025-11-13,150.36000,152.05499,142.78999,143.67999,505000
2025-11-14,138.71001,146.31000,137.00000,142.50000,474800
2025-11-17,142.00000,145.57500,139.70000,144.49001,499600
2025-11-18,141.88000,146.23000,139.44000,144.86000,430100
2025-11-19,145.42999,150.74001,144.37000,149.16000,562100
2025-11-20,155.31000,158.58000,146.81100,147.94000,501500
2025-11-21,147.84000,155.99001,140.39999,153.57001,653500
2025-11-24,153.75000,163.83501,153.60500,157.44000,467400
2025-11-25,154.32001,170.82001,154.25301,165.39000,683000
2025-11-26,164.25000,173.30499,164.25000,172.81000,520700
2025-11-28,173.00000,175.57001,169.64000,171.87000,281900
2025-12-01,167.07001,169.91000,162.33000,162.52000,693500
2025-12-02,164.91000,171.37000,162.42999,168.05000,1021800
2025-12-03,168.05000,173.98000,162.96001,164.17999,637400
2025-12-04,162.89000,162.89000,156.16000,156.78999,949400
2025-12-05,158.12000,161.86000,156.46001,158.25999,582500
2025-12-08,159.57001,161.78000,157.42000,158.53999,371800
2025-12-09,156.74001,160.95500,155.73000,156.47000,365500
2025-12-10,156.38000,158.25999,152.81000,155.06000,491300
2025-12-11,154.30000,154.56000,150.53000,152.56000,809000
2025-12-12,150.14000,152.00000,145.00000,145.33000,447400
2025-12-15,146.28000,153.95000,145.00000,153.28999,946100
2025-12-16,152.21001,161.39999,152.21001,161.00999,768700
2025-12-17,163.38000,172.12000,163.38000,166.49001,1251200
2025-12-18,168.44000,177.77000,166.50000,171.25999,874900
2025-12-19,171.45000,176.14700,171.45000,173.17999,780800
2025-12-22,175.27000,182.16000,172.22000,178.25000,490600
2025-12-23,175.92000,182.10001,171.50999,171.99001,333700
2025-12-24,172.50000,178.58000,170.62000,177.66000,174000
2025-12-26,177.75000,178.30000,173.12000,174.00999,241600
2025-12-29,172.00999,175.16000,169.75999,171.59000,281500
2025-12-30,172.00999,173.56400,168.03000,168.60001,228700
2025-12-31,171.49001,176.45900,168.03000,174.00999,953100
2026-01-02,178.00999,180.09000,169.74001,179.75999,724900
2026-01-05,184.68500,186.28999,168.85500,176.78000,743800
2026-01-06,178.10001,194.00000,176.40500,193.23000,674500
2026-01-07,192.75000,201.28000,188.28900,195.82001,597800
2026-01-08,196.05000,208.78999,193.47000,208.47000,919700
2026-01-09,209.31000,215.25000,205.20500,209.16000,746600
2026-01-12,209.30000,212.00000,201.50000,203.41000,616800
2026-01-13,205.69000,209.00000,199.07500,199.53999,418500
