date,open,high,low,close,volume
2023-10-02,19.95000,20.51000,19.90000,20.49000,35400
2023-10-03,20.39000,20.39000,19.77000,19.88000,31300
2023-10-04,20.01000,20.18000,19.61000,20.07000,76000
2023-10-05,20.34000,20.34000,19.48000,19.49000,40000
2023-10-06,19.41000,20.33000,19.34000,20.19000,38400
2023-10-09,19.96000,20.50000,19.96000,20.50000,18100
2023-10-10,20.63000,21.52000,20.63000,21.46000,66800
2023-10-11,21.46000,22.29000,21.13000,22.25000,49300
2023-10-12,22.30000,22.82000,22.00000,22.69000,65200
2023-10-13,22.61000,23.66000,22.49000,23.12000,71300
2023-10-16,23.30000,23.70000,23.00000,23.45000,44900
2023-10-17,23.22000,24.60000,22.68000,24.24000,55800
2023-10-18,24.30000,24.35000,23.53000,23.85000,40300
2023-10-19,23.99000,24.30000,23.12000,23.40000,37900
2023-10-20,23.33000,23.88000,23.14000,23.46000,31600
2023-10-23,23.55000,23.55000,22.11000,22.28000,28900
2023-10-24,22.28000,22.61000,21.93000,22.31000,36400
2023-10-25,22.39000,23.01000,22.27000,22.58000,44700
2023-10-26,22.50000,23.23000,22.21000,22.38000,32500
2023-10-27,22.56000,22.66000,21.96000,22.05000,26600
2023-10-30,22.29000,23.02000,22.03000,22.94000,32500
2023-10-31,22.80000,23.04000,22.54000,22.68000,21900
2023-11-01,22.36000,23.24000,22.28000,22.96000,37600
2023-11-02,24.20000,28.00000,23.85000,27.85000,126900
2023-11-03,28.79000,28.79000,25.21000,25.35000,63300
2023-11-06,25.05000,25.47000,24.11000,25.45000,71200
2023-11-07,25.49000,26.03000,25.09000,25.34000,29800
2023-11-08,25.56000,25.56000,24.33000,24.49000,35400
2023-11-09,24.72000,25.00000,24.15000,24.26000,49100
2023-11-10,24.14000,24.41000,23.72000,23.92000,87100
2023-11-13,23.91000,24.03000,23.41000,23.75000,78800
2023-11-14,24.50000,24.77000,24.20000,24.55000,64300
2023-11-15,24.47000,24.47000,23.40000,23.56000,31800
2023-11-16,23.28000,23.28000,22.88000,23.16000,36700
2023-11-17,23.04000,23.93000,22.78000,23.09000,72900
2023-11-20,23.38000,23.63000,22.87000,23.10000,46200
2023-11-21,22.90000,23.32000,22.80000,22.98000,33800
2023-11-22,22.98000,23.30000,22.32000,22.64000,55000
2023-11-24,22.85000,23.16000,22.72000,23.13000,22500
2023-11-27,23.51000,23.51000,22.78000,23.20000,50200
2023-11-28,23.07000,23.56000,22.82000,22.90000,33100
2023-11-29,22.89000,23.18000,22.82000,23.14000,18300
2023-11-30,22.96000,23.45000,22.52000,22.77000,43400
2023-12-01,22.93000,24.14000,22.58000,24.10000,42200
2023-12-04,24.10000,24.52000,23.47000,23.53000,30000
2023-12-05,22.76000,23.57000,22.64000,23.30000,50200
2023-12-06,23.63000,24.15000,23.25000,23.40000,49600
2023-12-07,23.63000,23.90000,23.49000,23.72000,27200
2023-12-08,23.75000,24.11000,23.06000,23.23000,61900
2023-12-11,23.40000,24.06000,23.06000,24.03000,36700
2023-12-12,24.03000,24.49000,23.71000,23.81000,26900
2023-12-13,24.14000,24.69000,24.00000,24.65000,53400
2023-12-14,24.95000,25.43000,24.41000,24.52000,39000
2023-12-15,24.80000,25.30000,24.43000,25.05000,126200
2023-12-18,25.36000,25.43000,24.52000,24.60000,44200
2023-12-19,24.60000,25.47000,24.60000,25.46000,33300
2023-12-20,25.50000,26.42000,25.38000,25.93000,65800
2023-12-21,26.40000,26.75000,26.00000,26.70000,40000
2023-12-22,26.58000,26.90000,26.26000,26.65000,27400
2023-12-26,26.55000,26.96000,25.65000,26.81000,26700
2023-12-27,26.47000,27.16000,26.35000,26.90000,27600
2023-12-28,26.67000,27.23000,26.57000,26.84000,27600
2023-12-29,26.85000,27.29000,26.63000,26.96000,31300
2024-01-02,27.08000,27.20000,24.68000,26.10000,49200
2024-01-03,26.16000,26.26000,25.52000,26.08000,42800
2024-01-04,26.32000,26.98000,25.36000,25.47000,35900
2024-01-05,25.26000,25.90000,25.26000,25.78000,53300
2024-01-08,25.80000,25.80000,25.11000,25.38000,40300
2024-01-09,25.04000,25.70000,24.68000,25.24000,24600
2024-01-10,25.11000,25.95000,25.06000,25.66000,23700
2024-01-11,25.66000,25.69000,25.00000,25.16000,36100
2024-01-12,25.54000,25.59000,25.17000,25.48000,20400
2024-01-16,25.19000,25.32000,24.92000,25.03000,24200
2024-01-17,24.68000,25.27000,24.50000,25.27000,19900
2024-01-18,25.29000,25.58000,25.09000,25.16000,26200
2024-01-19,25.43000,25.83000,25.03000,25.37000,30900
2024-01-22,25.37000,26.29000,25.37000,26.14000,26400
2024-01-23,26.30000,26.65000,25.67000,25.69000,25800
2024-01-24,25.87000,25.89000,25.60000,25.75000,18000
2024-01-25,26.12000,26.35000,25.89000,26.35000,16100
2024-01-26,26.45000,26.45000,24.78000,25.50000,26400
2024-01-29,25.32000,25.82000,25.32000,25.80000,10800
2024-01-30,25.76000,26.35000,25.42000,25.61000,11200
2024-01-31,25.55000,25.61000,24.74000,24.74000,45200
2024-02-01,24.65000,25.75000,24.65000,25.48000,17700
2024-02-02,25.21000,25.44000,25.03000,25.04000,15000
2024-02-05,24.81000,24.81000,23.85000,24.03000,20400
2024-02-06,23.90000,24.03000,23.48000,24.01000,18100
2024-02-07,24.69000,24.69000,23.73000,23.87000,17100
2024-02-08,23.92000,24.60000,23.83000,24.40000,19400
2024-02-09,24.23000,24.35000,23.91000,24.18000,16000
2024-02-12,24.02000,25.06000,24.02000,24.59000,22200
2024-02-13,23.90000,24.12000,23.18000,23.36000,48400
2024-02-14,24.20000,24.80000,24.09000,24.51000,15300
2024-02-15,25.09000,25.56000,24.51000,25.55000,17700
2024-02-16,25.45000,25.68000,25.04000,25.13000,18500
2024-02-20,25.40000,25.46000,24.19000,24.27000,24500
2024-02-21,24.10000,24.57000,23.91000,24.57000,14100
2024-02-22,24.51000,24.96000,24.41000,24.72000,17700
2024-02-23,24.83000,25.15000,24.67000,25.03000,16700
2024-02-26,25.03000,26.00000,25.03000,25.85000,20600
2024-02-27,25.97000,26.83000,25.97000,26.36000,28200
2024-02-28,26.37000,27.87000,25.51000,26.30000,37800
2024-02-29,26.84000,27.38000,26.73000,26.86000,16000
2024-03-01,27.38000,27.38000,26.25000,26.49000,15300
2024-03-04,26.77000,27.38000,26.39000,26.51000,16400
2024-03-05,26.65000,26.78000,25.86000,25.86000,10500
2024-03-06,26.35000,26.35000,23.50000,24.07000,47000
2024-03-07,24.00000,24.00000,23.06000,23.56000,47200
2024-03-08,23.88000,23.95000,23.13000,23.70000,20200
2024-03-11,23.41000,24.22000,23.41000,24.22000,49900
2024-03-12,24.15000,24.34000,23.98000,24.21000,13500
2024-03-13,24.25000,25.16000,24.25000,25.01000,28800
2024-03-14,24.67000,25.16000,24.53000,24.70000,14000
2024-03-15,24.28000,26.04000,24.28000,26.02000,83200
2024-03-18,26.01000,26.53000,25.88000,26.03000,22000
2024-03-19,25.82000,26.43000,25.80000,26.23000,22800
2024-03-20,26.05000,27.01000,25.95000,26.98000,18800
2024-03-21,27.02000,27.80000,26.48000,27.66000,23800
2024-03-22,27.75000,27.75000,25.54000,25.66000,29900
2024-03-25,25.75000,26.70000,25.59000,26.20000,26400
2024-03-26,26.52000,26.52000,25.37000,25.81000,16100
2024-03-27,26.32000,26.49000,25.78000,26.47000,12800
2024-03-28,26.61000,26.87000,26.47000,26.68000,10400
2024-04-01,26.99000,27.00000,25.97000,26.47000,29000
