date,open,high,low,close,volume
2023-10-05,5.86000,6.23000,5.63000,6.19000,193100
2023-10-06,6.01000,6.66000,6.01000,6.60000,269600
2023-10-09,6.59000,6.61000,6.10000,6.19000,270100
2023-10-10,6.14000,6.50000,6.07000,6.42000,220500
2023-10-11,6.45000,6.54600,4.70000,4.75000,886100
2023-10-12,4.78000,4.87000,2.47000,2.49000,3255300
2023-10-13,2.49000,2.49000,1.69000,2.00000,6125200
2023-10-16,2.06000,2.10000,1.66000,1.78000,2827500
2023-10-17,1.80000,2.03000,1.50000,1.96500,2931400
2023-10-18,1.95000,2.36000,1.90000,2.11500,2519900
2023-10-19,2.10000,2.14000,1.75000,1.76000,975800
2023-10-20,1.78000,1.78000,1.47000,1.49000,1076600
2023-10-23,1.50000,1.52000,1.43000,1.44000,679600
2023-10-24,1.44000,1.53000,1.27000,1.28000,1233000
2023-10-25,1.33000,1.34000,1.23000,1.23000,724100
2023-10-26,1.26000,1.32000,1.23000,1.25000,456900
2023-10-27,1.23000,1.24500,1.17500,1.23000,1187700
2023-10-30,1.23000,1.45000,1.23000,1.38000,873400
2023-10-31,1.33000,1.63500,1.33000,1.51000,1371200
2023-11-01,1.49000,2.03000,1.49000,1.98000,1543700
2023-11-02,2.00000,2.10000,1.79000,1.91000,849000
2023-11-03,1.92000,2.13000,1.88000,1.91000,544100
2023-11-06,1.90000,2.08000,1.90000,2.03000,567300
2023-11-07,2.08000,2.19000,1.91000,2.18000,1147100
2023-11-08,2.16000,2.19000,1.83000,1.86000,779300
2023-11-09,1.85000,2.02000,1.80000,1.90000,692400
2023-11-10,1.90000,2.06000,1.86000,2.00000,471100
2023-11-13,1.99000,2.12000,1.93000,2.03000,357300
2023-11-14,2.11000,2.41000,2.11000,2.23000,611400
2023-11-15,2.22000,2.47000,2.22000,2.41000,986900
2023-11-16,2.39000,2.40000,2.19900,2.30000,240600
2023-11-17,2.31000,2.51000,2.31000,2.50000,444100
2023-11-20,2.50000,2.61000,2.43100,2.49000,874000
