date,open,high,low,close,volume
2025-03-20,1217.50000,1226.80005,1196.34998,1209.19995,55257
2025-03-21,1216.15002,1229.94995,1209.05005,1214.15002,70644
2025-03-24,1231.00000,1264.00000,1223.00000,1243.40002,117987
2025-03-25,1245.00000,1263.00000,1215.00000,1220.25000,69376
2025-03-26,1215.05005,1226.40002,1185.09998,1188.84998,64077
2025-03-27,1226.40002,1239.94995,1200.00000,1219.75000,146788
2025-03-28,1230.55005,1239.00000,1191.44995,1194.75000,65078
2025-04-01,1180.00000,1194.09998,1166.00000,1187.19995,40359
2025-04-02,1189.00000,1221.40002,1168.15002,1216.15002,42938
2025-04-03,1205.00000,1255.00000,1205.00000,1248.40002,62093
2025-04-04,1231.15002,1245.65002,1192.55005,1201.50000,74849
2025-04-07,1130.00000,1171.84998,1130.00000,1149.30005,363618
2025-04-08,1159.50000,1183.84998,1136.50000,1168.80005,67289
2025-04-09,1145.00000,1168.55005,1129.00000,1136.40002,55804
2025-04-11,1165.40002,1192.00000,1156.15002,1174.84998,84413
2025-04-15,1194.50000,1224.40002,1194.40002,1216.30005,67982
2025-04-16,1216.00000,1255.80005,1214.19995,1248.69995,52936
2025-04-17,1252.30005,1274.50000,1240.90002,1264.90002,86101
2025-04-21,1300.00000,1302.30005,1256.69995,1262.69995,54955
2025-04-22,1264.00000,1269.00000,1247.00000,1248.69995,43957
2025-04-23,1249.00000,1265.09998,1228.50000,1255.69995,41018
2025-04-24,1255.00000,1284.00000,1234.09998,1276.00000,88195
2025-04-25,1276.00000,1276.00000,1203.30005,1232.50000,76796
2025-04-28,1220.00000,1256.59998,1215.80005,1248.80005,52386
2025-04-29,1256.00000,1275.00000,1236.59998,1243.50000,37570
2025-04-30,1235.00000,1248.40002,1212.59998,1219.00000,34949
2025-05-02,1219.00000,1235.00000,1196.00000,1207.19995,36778
2025-05-05,1211.00000,1246.80005,1207.80005,1236.50000,42653
2025-05-06,1231.19995,1242.69995,1200.00000,1209.00000,66859
2025-05-07,1199.00000,1233.50000,1188.00000,1215.90002,56028
2025-05-08,1220.00000,1238.90002,1185.00000,1193.59998,63243
2025-05-09,1164.00000,1185.00000,1148.50000,1174.40002,57412
2025-05-12,1196.00000,1240.00000,1196.00000,1230.00000,93964
2025-05-13,1244.80005,1275.00000,1230.00000,1251.09998,69971
2025-05-14,1269.90002,1269.90002,1245.50000,1261.50000,37616
2025-05-15,1260.00000,1267.19995,1248.59998,1255.50000,47328
2025-05-16,1260.00000,1290.00000,1254.69995,1285.30005,87423
2025-05-19,1285.30005,1325.00000,1270.19995,1306.00000,136658
