date,open,high,low,close,volume
2025-10-10,6.60000,6.60000,6.30000,6.30000,13213
2025-10-13,6.60000,6.60000,6.00000,6.00000,10957
2025-10-14,6.00000,6.30000,6.00000,6.00000,8513
2025-10-15,6.00000,6.60000,6.00000,6.00000,13417
2025-10-16,10.20000,14.40000,9.00000,9.30000,1459550
2025-10-17,7.80000,8.70000,7.20000,8.70000,40877
2025-10-20,7.50000,8.10000,7.20000,7.20000,32587
2025-10-21,10.20000,10.50000,6.90000,7.80000,104403
2025-10-22,8.70000,9.90000,8.10000,9.00000,191297
2025-10-23,8.40000,8.70000,8.10000,8.40000,63120
2025-10-24,8.40000,8.40000,8.10000,8.40000,19247
2025-10-27,8.40000,8.40000,8.40000,8.40000,13013
2025-10-28,8.40000,9.00000,8.10000,8.10000,17847
2025-10-29,8.40000,8.40000,7.80000,7.80000,11733
2025-10-30,8.10000,8.40000,7.50000,8.40000,41493
2025-10-31,9.00000,9.00000,7.80000,7.80000,10900
2025-11-03,7.80000,7.80000,6.60000,7.20000,14707
2025-11-04,7.20000,7.20000,6.60000,6.90000,8097
2025-11-05,6.90000,7.50000,6.60000,7.20000,9950
2025-11-06,7.20000,7.50000,6.90000,7.20000,4937
2025-11-07,8.70000,8.70000,6.90000,7.20000,4880
2025-11-10,7.20000,7.50000,6.90000,7.20000,4233
2025-11-11,7.80000,7.80000,7.20000,7.20000,6453
2025-11-12,7.20000,7.20000,6.30000,7.20000,18430
2025-11-13,6.00000,7.20000,6.00000,6.90000,8417
2025-11-14,6.30000,6.90000,6.00000,6.30000,15603
2025-11-17,6.00000,6.30000,6.00000,6.00000,7353
2025-11-18,6.90000,6.90000,6.00000,6.30000,10540
2025-11-19,6.90000,7.20000,6.00000,6.00000,412590
2025-11-20,6.60000,7.20000,6.30000,6.90000,241970
2025-11-21,6.60000,6.60000,6.30000,6.60000,18197
2025-11-24,6.30000,6.90000,6.30000,6.60000,13927
2025-11-25,7.20000,7.80000,6.90000,7.20000,837283
2025-11-26,6.60000,7.20000,6.60000,6.90000,35730
2025-11-28,6.90000,7.20000,6.60000,6.90000,23480
2025-12-01,6.90000,6.90000,6.60000,6.90000,10510
2025-12-02,6.90000,6.90000,6.60000,6.60000,7267
2025-12-03,6.30000,6.90000,6.30000,6.60000,9477
