date,open,high,low,close,volume
2023-10-02,4.51000,4.51000,4.51000,4.51000,900
2023-10-03,4.51000,4.51000,4.18000,4.27000,15400
2023-10-04,4.19000,4.73000,4.00000,4.11300,54500
2023-10-05,4.02000,4.02000,3.75000,3.75000,8600
2023-10-06,3.75000,3.93800,3.56600,3.81000,6000
2023-10-09,4.00600,4.00600,3.67000,3.70000,3200
2023-10-10,3.70000,4.04400,3.70000,3.89000,1100
2023-10-11,3.80000,4.01000,3.80000,4.00000,3100
2023-10-12,4.00000,4.08000,3.86000,3.86000,3700
2023-10-13,3.98000,4.08000,3.92000,3.94000,6800
2023-10-16,3.89000,3.92000,3.81000,3.91000,4200
2023-10-17,3.90000,3.90000,3.90000,3.90000,2600
2023-10-18,3.76000,3.97000,3.76000,3.91600,2300
2023-10-19,4.14000,4.14000,3.86000,3.86000,800
2023-10-20,3.79400,3.94000,3.76100,3.76600,1800
2023-10-23,3.88000,3.94000,3.88000,3.91000,3200
2023-10-24,3.75000,3.79000,3.75000,3.79000,1200
2023-10-25,3.79000,3.86000,3.79000,3.86000,1400
2023-10-26,3.71000,3.71000,3.70400,3.70400,1200
2023-10-27,3.70000,3.98000,3.70000,3.78000,700
2023-10-30,3.78000,3.78000,3.78000,3.78000,400
2023-10-31,3.72000,4.14000,3.72000,4.14000,9000
2023-11-02,4.01000,4.01000,3.90000,3.90000,2600
2023-11-03,4.06800,4.06800,4.05000,4.05000,600
2023-11-06,3.93000,3.93000,3.93000,3.93000,500
2023-11-07,3.96500,4.24000,3.96500,4.24000,1700
2023-11-08,3.86000,4.18500,3.86000,4.18500,500
2023-11-09,4.20000,4.20000,3.80200,3.86000,1600
2023-11-10,3.98000,3.98000,3.70000,3.75000,2800
2023-11-13,4.02500,4.02500,4.02500,4.02500,1400
2023-11-14,4.00000,4.02000,4.00000,4.02000,3500
2023-11-15,3.84000,4.07800,3.84000,3.90000,1800
2023-11-16,3.90000,3.90000,3.90000,3.90000,300
2023-11-17,3.90000,3.90000,3.90000,3.90000,300
2023-11-20,3.94000,4.29000,3.94000,4.07000,3200
2023-11-21,4.11000,4.11000,4.11000,4.11000,600
2023-11-22,3.95000,3.95000,3.95000,3.95000,600
2023-11-24,3.91000,3.91000,3.91000,3.91000,1400
2023-11-27,4.00000,4.10000,4.00000,4.10000,2100
2023-11-28,4.30000,4.33000,4.30000,4.33000,900
2023-11-29,4.47000,4.58000,4.47000,4.58000,2600
2023-11-30,4.70000,4.70000,4.70000,4.70000,400
2023-12-01,4.42000,4.99000,4.42000,4.95000,5800
2023-12-04,4.95000,5.26100,4.95000,5.00000,4900
2023-12-05,5.00000,5.00000,5.00000,5.00000,400
2023-12-06,4.51000,4.51000,4.51000,4.51000,400
2023-12-07,4.64000,4.65000,4.53000,4.55000,2400
2023-12-08,4.68000,4.70000,4.68000,4.70000,1100
2023-12-11,4.75000,4.75400,4.68000,4.68000,800
2023-12-12,4.63000,4.63000,4.02300,4.02300,9700
2023-12-13,4.25000,4.26600,4.01000,4.12500,7600
2023-12-14,4.05000,4.20000,4.05000,4.20000,1800
2023-12-15,4.63000,4.63000,4.05000,4.23000,6000
2023-12-18,4.21000,4.21000,4.21000,4.21000,2100
2023-12-19,4.05000,4.25000,4.05000,4.14500,1000
2023-12-20,4.05000,4.05000,3.80000,3.92600,4300
2023-12-21,3.84000,3.94500,3.80000,3.91000,4100
2023-12-22,3.95000,4.00000,3.80000,3.81100,8100
2023-12-26,3.80000,3.84000,3.61000,3.61000,7800
2023-12-27,4.00000,4.41000,4.00000,4.00000,9700
2023-12-28,4.00000,4.00000,3.70000,3.82000,7800
2023-12-29,3.69000,3.86000,3.63000,3.80000,7000
2024-01-02,4.10000,5.83000,4.10000,5.45000,114400
2024-01-03,5.45000,7.49000,5.45000,7.05000,38500
2024-01-04,7.00000,7.00000,6.52400,6.65000,13000
2024-01-05,8.40000,9.20000,6.70000,7.73800,52000
2024-01-08,7.01000,7.01000,6.50000,6.99000,10000
2024-01-09,6.81000,7.00000,6.81000,6.89000,5600
2024-01-10,6.94500,7.29000,6.89000,6.89000,19000
2024-01-11,6.81000,6.83000,6.14000,6.14000,1100
2024-01-12,6.06000,7.00000,6.06000,6.55000,1700
2024-01-16,6.71000,6.90000,6.71000,6.90000,2100
2024-01-17,6.70000,6.70000,6.58000,6.68900,2400
2024-01-19,6.50000,6.71000,6.46000,6.71000,2400
2024-01-22,6.70000,6.70000,6.60000,6.67000,3700
2024-01-23,6.40000,6.40000,6.15000,6.25000,3100
2024-01-24,6.26000,6.62500,6.26000,6.62500,2300
2024-01-25,6.70000,6.75000,6.50000,6.50000,2400
2024-01-26,6.52800,6.65000,6.51000,6.55000,1900
2024-01-29,6.55000,6.57000,6.30000,6.30000,6200
2024-01-30,6.59000,6.59000,6.59000,6.59000,600
2024-01-31,6.79000,6.79000,6.30000,6.30000,6000
2024-02-01,6.44000,7.00000,6.44000,6.99000,3000
2024-02-02,6.97000,6.99000,6.75000,6.83700,1400
2024-02-05,6.69000,6.75000,6.50000,6.74000,4900
2024-02-06,6.74000,6.74000,6.53000,6.55000,900
2024-02-07,6.55000,6.55000,6.55000,6.55000,700
2024-02-08,6.92100,6.92100,6.92000,6.92000,400
2024-02-12,6.69000,6.84000,6.60000,6.84000,5000
2024-02-13,6.88900,7.00000,6.47800,6.78700,6400
2024-02-14,7.00000,7.00000,6.23000,6.23000,6400
2024-02-15,6.34000,6.34000,6.31000,6.31000,400
2024-02-16,6.42000,6.43000,6.40000,6.40000,1000
2024-02-20,6.30000,6.55000,5.25000,5.25000,47300
2024-02-21,5.52000,5.56000,5.34000,5.34000,2500
2024-02-22,5.30000,5.59000,5.30000,5.47400,2600
2024-02-23,5.60000,5.75000,5.60000,5.67000,3000
2024-02-26,5.50000,5.74000,5.50000,5.74000,1400
2024-02-27,5.80000,5.80000,5.47500,5.47500,1500
2024-02-28,5.98000,6.58000,5.95000,5.95000,8200
2024-02-29,5.78000,5.78000,5.33000,5.36000,2200
