date,open,high,low,close,volume
2022-08-30,1144.00000,1150.00000,1120.00000,1128.44995,81584
2022-09-01,1134.90002,1143.00000,1120.00000,1125.59998,70227
2022-09-02,1136.25000,1136.50000,1095.00000,1101.55005,89594
2022-09-05,1112.00000,1150.00000,1095.09998,1144.44995,159002
2022-09-06,1149.94995,1164.50000,1128.05005,1146.00000,169690
2022-09-07,1151.84998,1302.50000,1136.00000,1281.44995,584589
2022-09-08,1307.09998,1409.90002,1288.80005,1308.00000,729484
2022-09-09,1310.00000,1355.00000,1251.44995,1276.84998,307804
2022-09-12,1285.00000,1338.90002,1272.44995,1323.80005,342875
2022-09-13,1329.84998,1350.00000,1273.25000,1285.05005,263437
2022-09-14,1270.00000,1307.00000,1266.25000,1281.59998,115639
2022-09-15,1291.00000,1297.05005,1240.00000,1244.05005,127869
2022-09-16,1243.90002,1305.40002,1225.05005,1291.59998,204612
2022-09-19,1324.40002,1325.00000,1276.00000,1285.44995,81368
2022-09-20,1294.15002,1310.00000,1265.00000,1272.09998,124447
2022-09-21,1274.90002,1294.00000,1242.00000,1258.19995,61589
2022-09-22,1248.00000,1281.80005,1248.00000,1262.30005,47527
2022-09-23,1269.75000,1274.94995,1200.00000,1215.15002,84865
2022-09-26,1163.00000,1193.00000,1111.00000,1144.94995,169955
2022-09-27,1145.00000,1252.75000,1129.00000,1232.75000,166939
2022-09-28,1232.00000,1247.69995,1163.34998,1196.75000,141872
2022-09-29,1258.00000,1258.00000,1160.00000,1169.19995,95638
2022-09-30,1168.94995,1259.00000,1157.40002,1203.90002,93457
2022-10-03,1196.40002,1244.69995,1190.34998,1219.34998,110811
2022-10-04,1239.00000,1243.25000,1211.05005,1221.50000,68391
2022-10-06,1240.00000,1300.00000,1225.15002,1284.65002,159088
2022-10-07,1283.00000,1299.00000,1267.00000,1278.40002,61361
2022-10-10,1262.00000,1270.00000,1230.00000,1237.50000,50694
2022-10-11,1244.00000,1250.00000,1196.55005,1207.94995,78416
2022-10-12,1215.05005,1239.59998,1208.05005,1225.30005,51929
2022-10-13,1222.80005,1240.90002,1206.80005,1233.55005,50659
2022-10-14,1255.00000,1255.00000,1200.00000,1204.50000,47700
2022-10-17,1204.50000,1205.30005,1159.05005,1168.75000,58922
2022-10-18,1184.69995,1195.00000,1151.00000,1158.19995,93245
2022-10-19,1163.75000,1245.00000,1159.25000,1228.00000,114224
2022-10-20,1221.90002,1250.00000,1210.40002,1234.05005,77629
2022-10-21,1238.25000,1249.00000,987.25000,996.65002,642151
2022-10-24,906.04999,945.00000,821.54999,897.84998,593427
2022-10-25,855.20001,944.95001,827.29999,913.65002,725697
2022-10-27,913.65002,940.45001,876.00000,881.79999,286473
2022-10-28,866.50000,884.90002,858.04999,873.75000,182770
2022-10-31,851.40002,865.00000,835.00000,849.95001,222442
2022-11-01,853.00000,920.00000,852.00000,909.79999,292068
2022-11-02,917.70001,965.00000,908.04999,948.00000,195927
2022-11-03,949.95001,960.00000,912.25000,926.34998,110400
2022-11-04,936.50000,947.90002,925.00000,942.45001,60274
2022-11-07,942.25000,956.95001,930.04999,945.95001,68402
2022-11-09,952.00000,965.00000,924.29999,935.65002,82167
2022-11-10,940.00000,947.95001,926.45001,939.04999,57486
2022-11-11,952.25000,961.00000,915.00000,920.65002,84084
2022-11-14,913.70001,960.00000,905.34998,937.15002,93263
2022-11-15,949.90002,967.00000,945.59998,958.59998,63056
2022-11-16,962.84998,987.00000,962.00000,974.70001,68947
2022-11-17,985.00000,985.00000,955.09998,960.04999,43467
