date,open,high,low,close,volume
2025-03-20,89.55000,92.00000,88.15000,89.92000,9032
2025-03-21,87.69000,90.89000,87.68000,88.78000,11911
2025-03-24,87.50000,90.00000,86.69000,87.90000,18082
2025-03-25,87.90000,89.68000,86.25000,86.75000,15496
2025-03-26,88.05000,88.05000,85.05000,85.39000,112537
2025-03-27,84.10000,86.10000,80.85000,81.29000,61876
2025-03-28,81.50000,85.48000,81.00000,83.18000,101556
2025-04-01,84.00000,88.95000,84.00000,88.37000,22184
2025-04-02,88.30000,101.18000,86.74000,97.59000,58155
2025-04-03,97.59000,99.81000,95.69000,97.38000,14749
2025-04-04,97.51000,98.09000,91.01000,91.59000,12004
2025-04-07,81.00000,87.99000,81.00000,86.77000,18099
2025-04-08,88.00000,91.86000,88.00000,89.70000,7959
2025-04-09,92.50000,93.97000,86.82000,87.19000,20165
2025-04-11,87.13000,92.65000,87.13000,91.74000,14048
2025-04-15,94.00000,110.08000,94.00000,110.08000,277822
2025-04-16,111.00000,124.50000,111.00000,119.58000,409279
2025-04-17,119.57000,121.80000,114.70000,117.14000,80165
2025-04-21,117.99000,121.00000,116.77000,117.64000,58521
2025-04-22,118.90000,120.69000,116.98000,118.54000,52073
2025-04-23,118.13000,130.50000,118.13000,126.52000,584754
2025-04-24,128.00999,138.96001,126.98000,130.57001,374432
2025-04-25,130.00000,132.42999,116.90000,123.68000,138701
2025-04-28,125.50000,131.39999,122.60000,125.74000,121920
2025-04-29,126.75000,129.50000,119.20000,120.24000,98148
2025-04-30,121.97000,121.97000,112.00000,113.62000,101281
2025-05-02,112.00000,116.95000,107.93000,107.93000,18623
2025-05-05,107.79000,107.79000,102.53000,105.82000,21722
2025-05-06,105.35000,106.60000,101.35000,101.69000,6661
2025-05-07,101.50000,103.69000,97.00000,102.88000,10197
2025-05-08,102.37000,106.95000,98.10000,98.56000,12867
2025-05-09,98.00000,101.70000,97.75000,99.98000,11153
2025-05-12,102.00000,104.97000,102.00000,104.97000,13734
2025-05-13,104.01000,109.00000,104.00000,107.54000,5975
2025-05-14,107.90000,112.91000,107.90000,112.91000,17708
2025-05-15,118.55000,118.55000,118.55000,118.55000,9467
2025-05-16,124.47000,124.47000,124.47000,124.47000,26751
2025-05-19,130.69000,130.69000,118.99000,125.81000,119550
2025-05-20,119.51000,119.51000,119.51000,119.51000,8327
2025-05-21,113.53000,122.40000,113.53000,121.91000,78243
2025-05-22,121.91000,121.91000,115.81000,115.81000,16384
2025-05-23,115.24000,118.74000,113.99000,115.50000,9090
2025-05-26,115.50000,115.75000,111.02000,115.00000,4765
2025-05-27,114.99000,117.70000,111.20000,115.09000,16874
2025-05-28,115.50000,117.50000,115.00000,115.05000,5836
2025-05-29,118.00000,118.00000,113.30000,115.87000,15561
2025-05-30,116.00000,116.00000,111.25000,114.02000,4161
2025-06-02,113.98000,118.80000,112.25000,117.22000,16434
2025-06-03,116.60000,121.00000,113.00000,118.40000,33318
2025-06-04,118.99000,118.99000,114.00000,115.84000,11512
2025-06-05,113.50000,117.85000,112.25000,115.40000,13045
2025-06-06,118.80000,120.00000,114.70000,118.49000,18972
2025-06-09,120.00000,121.00000,114.00000,117.18000,14963
2025-06-10,119.00000,123.03000,116.50000,123.03000,24552
2025-06-11,125.20000,127.00000,121.00000,123.43000,23999
2025-06-12,128.89999,129.55000,124.00000,125.16000,39825
2025-06-13,119.20000,128.00000,119.20000,126.62000,15573
2025-06-16,121.35000,128.50000,121.35000,123.78000,10865
2025-06-17,120.56000,124.77000,119.00000,119.59000,16450
2025-06-18,124.00000,124.44000,116.32000,120.75000,11904
2025-06-19,122.00000,123.89000,118.36000,119.35000,18431
2025-06-20,123.45000,123.45000,114.99000,116.79000,18739
2025-06-23,120.70000,120.70000,112.46000,116.92000,18310
2025-06-24,120.85000,122.76000,114.66000,122.49000,37128
2025-06-25,125.00000,125.90000,119.00000,122.41000,30051
2025-06-26,122.95000,128.53000,118.61000,128.53000,88319
2025-06-27,129.99001,134.39999,122.10000,131.55000,150576
2025-06-30,132.00000,134.39999,125.10000,126.53000,53828
2025-07-01,125.00000,125.63000,122.00000,124.98000,6356
2025-07-02,124.98000,124.98000,119.25000,121.10000,5337
2025-07-03,121.00000,127.15000,119.60000,127.15000,25574
2025-07-04,132.78999,133.50000,129.05000,130.92000,42985
2025-07-07,132.00000,135.00000,126.35000,133.46001,19387
2025-07-08,134.00000,135.00000,126.78000,126.78000,20808
2025-07-09,131.60001,131.60001,123.00000,129.13000,19616
2025-07-10,129.13000,132.00000,125.00000,129.89999,12554
2025-07-11,129.00000,132.00000,126.51000,131.41000,22408
2025-07-14,133.50000,137.00000,132.20000,136.10001,72439
2025-07-15,136.10001,141.64999,131.20000,139.47000,58835
2025-07-16,140.99001,144.00000,135.05000,142.60001,56166
2025-07-17,143.70000,147.99001,140.00999,146.75999,29742
2025-07-18,149.95000,154.09000,145.10001,154.09000,82376
2025-07-21,157.80000,161.78999,155.00000,161.78999,125215
2025-07-22,165.02000,165.02000,158.55000,165.02000,79216
2025-07-23,161.71001,165.60001,161.71001,161.71001,17331
2025-07-24,164.94000,164.94000,164.94000,164.94000,25028
2025-07-25,161.64000,168.23000,161.64000,161.64000,223236
2025-07-28,158.39999,161.89999,158.39999,158.39999,40371
2025-07-29,161.56000,161.56000,158.00000,161.56000,45327
2025-07-30,161.00000,163.00000,161.00000,161.00000,80461
2025-07-31,160.97000,160.97000,160.10001,160.97000,24023
2025-08-01,157.75000,158.10001,157.75000,157.75000,7101
2025-08-04,154.59000,155.00000,154.59000,154.59000,17312
2025-08-05,151.49001,153.00000,151.49001,151.49001,69755
2025-08-06,148.46001,148.46001,148.46001,148.46001,16763
2025-08-07,145.49001,145.49001,145.49001,145.49001,1461
2025-08-08,142.58000,142.58000,142.58000,142.58000,6450
2025-08-11,139.80000,142.00000,139.72000,139.80000,14571
2025-08-12,142.59000,142.59000,141.49001,142.59000,20238
2025-08-13,145.44000,145.44000,145.44000,145.44000,2042
2025-08-14,142.53000,147.89999,142.53000,142.53000,7786
2025-08-18,139.67000,142.50000,139.67000,139.67000,7209
2025-08-19,136.87000,137.00999,136.87000,136.87000,14517
2025-08-20,139.60001,139.60001,135.14999,139.60001,14057
2025-08-21,142.39000,142.39000,142.39000,142.39000,5276
2025-08-22,145.23000,145.23000,145.23000,145.23000,14790
2025-08-25,148.13000,148.13000,148.12000,148.13000,10741
2025-08-26,145.16000,145.16000,145.16000,145.16000,1373
2025-08-28,142.25000,142.30000,142.25000,142.25000,1038
2025-08-29,142.25000,142.25000,139.39999,142.25000,9157
2025-09-01,148.89999,149.36000,145.00000,149.36000,27004
2025-09-02,156.80000,156.82001,142.00000,149.00000,86396
2025-09-03,146.30000,153.92999,141.55000,148.02000,93005
2025-09-04,147.94000,148.00000,140.75000,141.00999,48924
2025-09-05,141.50000,144.00000,135.10001,137.66000,26405
2025-09-08,137.66000,143.60001,131.55000,134.12000,31597
2025-09-09,134.00000,140.39999,128.00000,138.87000,33825
2025-09-10,138.48000,145.81000,135.00000,142.28000,45099
2025-09-11,142.69000,146.20000,140.50000,145.32001,7025
2025-09-12,141.27000,149.80000,140.14999,141.57001,11497
2025-09-15,141.57001,145.00000,138.00000,140.21001,15273
2025-09-16,144.39000,144.39000,138.00999,141.11000,9601
2025-09-17,141.00000,142.95000,139.00000,139.34000,5169
2025-09-18,139.34000,141.61000,135.95000,139.55000,12359
2025-09-19,140.74001,146.49001,136.25000,146.16000,50938
2025-09-22,147.00000,153.46001,147.00000,151.20000,82438
2025-09-23,150.00000,150.00000,145.00000,145.99001,25376
2025-09-24,147.69000,153.28000,145.00000,153.28000,82956
2025-09-25,155.00000,160.94000,153.56000,160.94000,59873
2025-09-26,163.50000,164.00000,152.89000,153.85001,46104
2025-09-29,153.85001,153.85001,146.99001,147.70000,28672
2025-09-30,154.49001,154.49001,147.56000,150.34000,13589
2025-10-01,153.00000,153.00000,147.05000,149.64000,7668
2025-10-03,149.64000,155.00000,148.30000,151.84000,10045
2025-10-06,154.00000,155.00999,150.10001,150.95000,40549
2025-10-07,157.89999,158.49001,152.99001,158.49001,39034
2025-10-08,166.00000,182.00000,155.00000,158.57001,525689
2025-10-09,160.05000,172.55000,160.00000,170.33000,171008
2025-10-10,171.99001,171.99001,158.10001,160.78999,198096
2025-10-13,160.50000,175.00000,154.25000,172.14000,388397
