date,open,high,low,close,volume
2025-03-13,1260.05005,1263.50000,1221.00000,1224.09998,223786
2025-03-17,1224.09998,1243.40002,1216.09998,1231.34998,197189
2025-03-19,1403.00000,1428.30005,1382.50000,1416.40002,838555
2025-03-20,1418.00000,1479.15002,1400.09998,1409.30005,707693
2025-03-21,1412.00000,1564.19995,1410.00000,1481.90002,3420492
2025-03-24,1482.00000,1521.59998,1480.25000,1499.09998,425026
2025-03-25,1515.00000,1520.00000,1441.00000,1449.40002,416016
2025-03-26,1446.05005,1476.00000,1425.05005,1428.50000,271500
2025-03-27,1425.00000,1448.19995,1407.84998,1437.50000,285374
2025-03-28,1449.94995,1467.84998,1390.00000,1402.94995,349116
2025-04-01,1395.69995,1413.94995,1367.05005,1373.75000,346048
2025-04-02,1379.40002,1420.34998,1357.19995,1413.30005,307305
2025-04-03,1380.00000,1542.00000,1379.40002,1499.19995,1925783
2025-04-04,1499.00000,1527.50000,1454.00000,1484.55005,501134
2025-04-07,1300.00000,1453.50000,1297.05005,1436.94995,375668
2025-04-08,1459.94995,1485.80005,1433.30005,1458.34998,287324
2025-04-09,1455.00000,1528.25000,1435.09998,1493.25000,629176
2025-04-11,1506.69995,1515.00000,1478.05005,1493.15002,307184
2025-04-15,1510.00000,1547.80005,1500.30005,1522.19995,542353
2025-04-16,1522.19995,1540.00000,1500.09998,1512.50000,223979
2025-04-17,1512.50000,1544.00000,1500.80005,1524.00000,399416
2025-04-21,1529.69995,1543.00000,1505.09998,1536.00000,254303
2025-04-22,1546.00000,1658.00000,1546.00000,1576.90002,2800022
2025-04-23,1584.00000,1589.50000,1542.19995,1550.50000,337088
2025-04-24,1554.69995,1572.09998,1515.00000,1537.50000,323234
2025-04-25,1537.50000,1539.69995,1487.00000,1500.59998,366578
2025-04-28,1492.00000,1539.00000,1470.00000,1512.30005,337728
2025-04-29,1512.40002,1535.00000,1486.30005,1496.40002,165338
2025-04-30,1499.00000,1569.69995,1492.00000,1527.30005,600726
2025-05-02,1531.00000,1583.90002,1508.40002,1533.69995,701637
2025-05-05,1598.00000,1598.00000,1549.59998,1574.50000,287879
2025-05-06,1575.00000,1579.69995,1525.00000,1532.19995,251640
2025-05-07,1510.09998,1581.00000,1510.00000,1574.40002,475402
2025-05-08,1574.50000,1603.80005,1535.00000,1540.40002,320221
2025-05-09,1499.80005,1524.00000,1451.09998,1456.19995,466073
2025-05-12,1520.00000,1595.50000,1501.00000,1572.69995,751791
2025-05-13,1573.00000,1583.09998,1528.00000,1564.30005,766555
2025-05-14,525.00000,551.20001,523.09998,551.20001,353755
2025-05-15,578.70001,578.70001,578.70001,578.70001,215980
2025-05-16,607.59998,607.59998,607.59998,607.59998,101665
2025-05-19,637.90002,637.90002,637.90002,637.90002,169024
2025-05-20,667.00000,669.70001,650.70001,669.70001,1047956
2025-05-21,664.70001,703.09998,637.70001,689.20001,574677
2025-05-22,689.20001,690.00000,659.09998,664.29999,234200
2025-05-23,659.00000,663.09998,631.09998,634.70001,226844
2025-05-26,634.79999,639.70001,610.09998,627.40002,129972
2025-05-27,627.00000,639.00000,620.40002,633.70001,86601
2025-05-28,643.09998,648.00000,615.09998,619.20001,427847
2025-05-29,628.00000,628.00000,611.00000,614.50000,205879
2025-05-30,614.50000,637.00000,608.50000,629.90002,516798
2025-06-02,633.50000,633.90002,618.20001,621.09998,233815
2025-06-03,621.04999,621.04999,606.29999,610.45001,302150
2025-06-04,615.70001,624.70001,606.04999,615.09998,308900
2025-06-05,620.54999,627.00000,615.20001,617.75000,118551
2025-06-06,621.79999,621.79999,612.09998,617.15002,162657
2025-06-09,622.95001,626.95001,618.00000,619.79999,157143
2025-06-10,622.95001,622.95001,613.15002,617.54999,206020
2025-06-11,610.04999,617.45001,607.20001,607.95001,265579
2025-06-12,612.00000,612.29999,594.00000,603.20001,327231
2025-06-13,600.00000,601.00000,587.29999,591.45001,226969
2025-06-16,587.79999,597.59998,575.00000,592.95001,210574
2025-06-17,593.95001,599.65002,585.29999,592.65002,175202
2025-06-18,590.84998,617.59998,588.50000,601.90002,517977
2025-06-19,608.90002,608.90002,582.00000,586.15002,277861
2025-06-20,586.00000,592.79999,578.00000,587.50000,252452
2025-06-23,587.50000,616.75000,578.00000,601.09998,644374
2025-06-24,605.34998,610.59998,594.29999,599.50000,273054
2025-06-25,601.65002,604.70001,594.59998,600.45001,184996
2025-06-26,606.54999,608.50000,596.29999,598.95001,237689
2025-06-27,604.50000,635.00000,598.00000,624.34998,1284525
2025-06-30,629.75000,717.95001,627.45001,709.40002,17937459
2025-07-01,719.95001,771.40002,715.65002,757.00000,24781077
2025-07-02,765.00000,783.90002,751.65002,758.00000,11050415
2025-07-03,758.00000,763.00000,716.34998,724.45001,3300370
2025-07-04,724.00000,724.90002,700.75000,712.90002,1634777
2025-07-07,716.40002,717.90002,699.50000,703.00000,606255
2025-07-08,706.00000,731.70001,686.20001,707.40002,1706784
2025-07-09,711.84998,711.84998,694.00000,697.90002,649511
2025-07-10,697.90002,704.84998,689.09998,693.40002,374973
