date,open,high,low,close,volume
2021-03-10,64.50000,74.83000,60.50000,69.50000,97069300
2021-03-11,74.93000,77.78000,70.13000,73.90000,59629300
2021-03-12,72.47000,72.96000,69.11000,69.70000,19714700
2021-03-15,70.02000,74.06000,66.25000,72.15000,19549800
2021-03-16,73.73000,78.00000,73.18000,77.00000,30274400
2021-03-17,76.03000,79.10000,74.89000,76.79000,10054100
2021-03-18,76.00000,77.00000,66.80000,67.30000,9627400
2021-03-19,69.47000,72.70000,68.08000,70.50000,6776500
2021-03-22,71.81000,72.49000,69.54000,70.00000,4238500
2021-03-23,70.10000,71.75000,67.63000,68.00000,4456000
2021-03-24,69.97000,70.00000,64.01000,64.50000,5460000
2021-03-25,62.01000,69.85000,60.69000,67.85000,6283000
2021-03-26,67.89000,71.20000,64.77000,70.97000,4531200
2021-03-29,69.00000,69.09000,66.51000,67.03000,4351600
2021-03-30,66.98000,66.99000,64.47500,65.17000,3394500
2021-03-31,65.50000,67.19000,64.57000,64.83000,4094900
2021-04-01,66.80000,69.67000,65.90000,67.34000,4063100
2021-04-05,70.14000,72.86000,68.56000,70.76000,8609500
2021-04-06,71.24000,72.39000,70.76000,71.32000,3915500
2021-04-07,70.70000,71.14000,67.88000,68.73000,4424800
2021-04-08,69.47000,71.49000,68.84000,70.76000,4244000
2021-04-09,70.50000,74.99000,70.20500,71.83000,9245500
2021-04-12,71.82000,77.00000,71.51000,75.00000,8004100
2021-04-13,74.69000,83.41000,73.51000,82.05000,17893700
2021-04-14,79.11000,80.57000,74.05100,75.35000,14785800
2021-04-15,75.50000,80.75000,74.56000,79.66000,8841100
2021-04-16,78.00000,79.36000,75.12000,75.85000,5156200
2021-04-19,75.87000,78.30000,71.43000,72.00000,6637700
2021-04-20,71.50000,71.74000,67.30000,69.24000,8393600
2021-04-21,68.81000,71.99000,67.60000,71.76000,4525000
2021-04-22,71.50000,73.79000,69.10000,69.85000,3372200
2021-04-23,70.04000,72.38000,69.59000,71.78000,2729300
2021-04-26,72.00000,75.92000,71.31000,74.90000,4192700
2021-04-27,74.77000,75.37000,72.33000,74.35000,3200600
2021-04-28,74.77000,76.93000,73.64000,75.64000,3084300
2021-04-29,76.71000,77.60000,72.83000,76.12000,4374900
2021-04-30,74.81000,76.99000,73.91000,74.55000,2420200
2021-05-03,74.86000,75.10000,70.61000,71.08000,3212200
2021-05-04,71.00000,71.69000,67.65800,69.62000,5379900
2021-05-05,70.60000,70.88000,66.46000,66.59000,4584800
2021-05-06,66.50000,67.00000,63.83000,65.06000,6004200
2021-05-07,67.01000,68.48000,66.20000,67.90000,4808200
2021-05-10,68.84000,69.29000,64.00000,64.00000,8124100
2021-05-11,64.88000,77.78700,64.70000,77.65000,30995000
2021-05-12,74.21000,76.00000,71.09000,75.53000,20823900
2021-05-13,75.15000,75.15000,67.51000,69.68000,17769500
2021-05-14,71.20000,73.43000,69.25000,70.95000,7676300
2021-05-17,70.95000,76.97000,70.91000,76.93000,16797600
2021-05-18,76.70000,77.59000,73.48000,74.99000,11688200
2021-05-19,70.33000,76.27000,70.33000,75.22000,10886300
2021-05-20,75.72000,76.91000,73.01000,76.33000,10951000
2021-05-21,77.48000,84.68500,77.31000,82.50000,31672600
2021-05-24,82.60000,89.64000,82.50000,89.23000,23117700
2021-05-25,90.00000,90.11000,85.51000,89.32000,14314600
