date,open,high,low,close,volume
2025-03-21,9.18000,9.18000,8.85000,8.96000,249800
2025-03-24,9.07000,9.37000,9.01000,9.32000,106100
2025-03-25,9.36000,9.41000,9.18000,9.38000,86100
2025-03-26,9.29000,9.38000,8.91000,9.00000,135000
2025-03-27,8.96000,9.34000,8.95000,9.22000,108600
2025-03-28,9.19000,9.19000,8.66000,8.73000,99600
2025-03-31,8.50000,8.53000,8.13000,8.14000,234400
2025-04-01,8.35000,8.35000,7.88000,8.17000,164100
2025-04-02,8.01000,8.42000,7.50000,7.81000,301100
2025-04-03,7.45000,7.79000,7.44000,7.51000,366300
2025-04-04,7.40000,7.55000,6.90000,7.50000,456800
2025-04-07,7.15000,7.90000,6.95000,7.76000,255700
2025-04-08,8.16000,8.22000,7.53000,7.67000,202200
2025-04-09,7.57000,8.81000,7.44000,8.71000,312300
2025-04-10,8.67000,8.86000,8.36000,8.63000,172800
2025-04-11,8.35000,8.67000,8.15000,8.62000,151200
2025-04-14,8.76000,9.28000,8.27000,8.95000,156600
2025-04-15,8.96000,9.36000,8.66000,9.23000,190100
2025-04-16,8.86000,9.29000,8.86000,9.02000,151900
2025-04-17,8.97000,9.26000,8.79000,9.21000,133300
2025-04-21,9.00000,9.46000,8.92000,9.10000,217600
2025-04-22,9.30000,9.74000,9.23000,9.61000,135200
2025-04-23,9.81000,9.95000,9.67000,9.74000,113100
2025-04-24,9.79000,9.91000,9.50000,9.89000,69000
2025-04-25,9.74000,10.08000,9.67000,10.07000,81800
2025-04-28,10.06000,10.29000,10.01000,10.25000,92700
2025-04-29,10.18000,10.25000,9.78000,10.00000,103300
2025-04-30,9.78000,9.99000,9.60000,9.69000,150700
2025-05-01,9.70000,9.78000,9.14000,9.34000,149000
2025-05-02,9.43000,9.77000,9.07000,9.24000,295300
2025-05-05,9.13000,9.40000,8.83000,9.21000,121700
2025-05-06,9.08000,9.25000,8.83000,9.21000,198300
2025-05-07,9.21000,9.54000,8.83000,9.47000,136800
2025-05-08,9.85000,9.85000,9.26000,9.33000,219900
2025-05-09,7.25000,7.65000,6.60000,6.97000,1617200
2025-05-12,7.40000,7.40000,6.78000,7.25000,680900
2025-05-13,7.26000,7.43000,6.77000,7.01000,498000
2025-05-14,7.07000,7.19000,6.68000,6.69000,282600
2025-05-15,6.69000,6.84000,6.17000,6.37000,292400
2025-05-16,6.50000,6.80000,6.36000,6.46000,304900
2025-05-19,6.47000,6.82000,6.29000,6.74000,231600
2025-05-20,6.71000,6.87000,6.55000,6.70000,156300
2025-05-21,6.58000,6.94000,6.47000,6.52000,173400
2025-05-22,6.45000,6.63000,6.31000,6.40000,225200
2025-05-23,6.35000,6.59000,6.19000,6.28000,179100
2025-05-27,6.36000,6.45000,6.06000,6.07000,226700
2025-05-28,6.13000,6.27000,6.10000,6.21000,127000
2025-05-29,6.26000,6.38000,5.75000,5.77000,531000
2025-05-30,5.80000,5.88000,5.46000,5.62000,455300
2025-06-02,5.68000,6.06000,5.57000,6.04000,433900
2025-06-03,6.03000,6.13000,5.82000,5.86000,277900
2025-06-04,5.95000,6.20000,5.77000,5.93000,455800
2025-06-05,5.95000,5.95000,5.65000,5.75000,241300
2025-06-06,5.85000,6.33000,5.75000,6.11000,274300
2025-06-09,6.15000,6.32000,6.01000,6.11000,259800
2025-06-10,6.16000,6.19000,5.87000,5.99000,528600
2025-06-11,6.00000,6.16000,5.91000,6.06000,216500
2025-06-12,6.01000,6.07000,5.78000,5.80000,151500
2025-06-13,5.70000,5.73000,5.31000,5.54000,568100
2025-06-16,5.58000,5.61000,5.41000,5.47000,153500
2025-06-17,5.42000,5.46000,5.21000,5.21000,187900
2025-06-18,5.19000,5.33000,5.10000,5.25000,152300
2025-06-20,5.31000,5.31000,5.13000,5.17000,209000
2025-06-23,5.17000,5.45000,5.00000,5.14000,240000
2025-06-24,5.17000,5.17000,4.77000,4.94000,600600
2025-06-25,4.95000,5.00000,4.71000,4.77000,317200
2025-06-26,4.81000,5.17000,4.73000,5.12000,370500
2025-06-27,5.33000,5.50000,5.14000,5.45000,765500
2025-06-30,5.47000,5.55000,5.26000,5.29000,256900
2025-07-01,5.25000,5.52000,5.25000,5.27000,426600
2025-07-02,5.30000,5.39000,5.11000,5.17000,193500
2025-07-03,5.31000,5.53000,5.31000,5.42000,212500
2025-07-07,5.44000,5.49000,5.13000,5.17000,289100
2025-07-08,5.24000,5.62000,5.23000,5.61000,347900
2025-07-09,5.70000,5.87000,5.56000,5.63000,356200
2025-07-10,5.67000,6.04000,5.62000,5.94000,230700
2025-07-11,5.92000,5.97000,5.61000,5.70000,266700
2025-07-14,5.71000,5.96000,5.71000,5.88000,153500
2025-07-15,5.88000,5.99000,5.33000,5.35000,315200
2025-07-16,5.44000,5.51000,5.29000,5.33000,256000
2025-07-17,5.34000,5.53000,5.34000,5.43000,171800
2025-07-18,5.50000,5.85000,5.03000,5.17000,434400
2025-07-21,5.25000,5.31000,5.16000,5.21000,178300
2025-07-22,5.35000,5.91000,5.33000,5.81000,281900
2025-07-23,5.93000,6.34000,5.83000,6.26000,352100
2025-07-24,6.35000,6.35000,5.85000,5.98000,266700
2025-07-25,5.95000,6.09000,5.65000,5.77000,210100
2025-07-28,5.81000,5.88000,5.59000,5.80000,278600
2025-07-29,5.89000,6.15000,5.67000,5.75000,269000
2025-07-30,5.75000,5.80000,5.26000,5.36000,253600
2025-07-31,5.33000,5.40000,5.22000,5.30000,194300
2025-08-01,5.29000,5.46000,5.06000,5.16000,321000
2025-08-04,5.31000,5.37000,5.18000,5.35000,198000
2025-08-05,5.29000,5.38000,5.20000,5.28000,112000
2025-08-06,5.31000,5.39000,5.22000,5.36000,216600
2025-08-07,5.42000,5.64000,5.29000,5.38000,488800
2025-08-08,3.73000,4.26000,3.60000,4.25000,1727400
