date,open,high,low,close,volume
2025-03-19,6.88000,6.95000,6.75000,6.84000,211200
2025-03-20,6.81000,6.89000,6.77000,6.85000,159000
2025-03-21,6.91000,6.91000,6.73000,6.77000,521100
2025-03-24,6.88000,6.88000,6.77000,6.83000,335700
2025-03-25,6.84000,6.84000,6.71000,6.71000,226600
2025-03-26,6.84000,6.84000,6.62000,6.66000,150200
2025-03-27,6.68000,6.77000,6.65000,6.75000,140800
2025-03-28,6.75000,6.75000,6.50000,6.56000,185500
2025-03-31,6.53000,6.61000,6.48000,6.54000,250900
2025-04-01,6.55000,6.72000,6.54000,6.65000,370200
2025-04-02,6.57000,6.65000,6.46000,6.63000,287300
2025-04-03,5.84000,6.04000,5.25000,5.32000,821700
2025-04-04,5.10000,5.25000,4.81000,5.20000,963600
2025-04-07,5.04000,5.41000,4.91000,5.13000,945200
2025-04-08,5.32000,5.38000,5.00000,5.10000,642000
2025-04-09,5.10000,5.78000,5.07000,5.61000,661600
2025-04-10,5.46000,5.66000,5.11000,5.30000,492900
2025-04-11,5.40000,5.40000,5.10000,5.35000,333500
2025-04-14,5.41000,5.48000,5.30000,5.45000,331800
2025-04-15,5.44000,5.48000,5.30000,5.40000,297800
2025-04-16,5.35000,5.46000,5.32000,5.37000,240200
2025-04-17,5.37000,5.58000,5.21000,5.29000,308200
2025-04-21,5.22000,5.39000,5.16000,5.36000,341800
2025-04-22,5.47000,5.52000,5.27000,5.46000,251600
2025-04-23,5.48000,5.58000,5.33000,5.36000,325300
2025-04-24,5.40000,5.53000,5.30000,5.51000,199800
2025-04-25,5.60000,5.65000,5.38000,5.50000,201700
2025-04-28,5.51000,5.64000,5.44000,5.61000,265500
2025-04-29,5.60000,5.82000,5.50000,5.81000,287400
2025-04-30,5.84000,6.00000,5.59000,5.74000,210400
2025-05-01,5.82000,5.94000,5.62000,5.75000,260500
2025-05-02,5.82000,5.91000,5.76000,5.82000,170100
2025-05-05,5.78000,5.84000,5.68000,5.69000,155200
2025-05-06,5.64000,5.68000,5.50000,5.52000,156400
2025-05-07,5.63000,5.69000,5.37000,5.41000,180800
2025-05-08,5.45000,5.72000,5.41000,5.63000,206900
2025-05-09,5.63000,5.70000,5.44000,5.45000,152700
2025-05-12,5.66000,5.76000,5.59000,5.70000,223300
2025-05-13,5.76000,5.76000,5.52000,5.53000,130400
2025-05-14,5.52000,5.59000,5.40000,5.44000,247100
2025-05-15,5.45000,5.45000,5.36000,5.39000,145200
2025-05-16,5.39000,5.45000,5.36000,5.40000,177800
2025-05-19,5.35000,5.39000,5.31000,5.35000,146400
2025-05-20,5.32000,5.34000,5.22000,5.23000,138700
2025-05-21,5.17000,5.34000,4.99000,5.00000,205500
2025-05-22,5.05000,5.07000,4.95000,5.05000,181500
2025-05-23,5.06000,5.08000,4.90000,4.94000,200200
2025-05-27,5.00000,5.42000,5.00000,5.35000,398400
2025-05-28,5.33000,5.33000,5.10000,5.22000,213500
2025-05-29,5.19000,5.30000,5.15000,5.29000,233900
2025-05-30,5.27000,5.34000,5.21000,5.22000,205600
2025-06-02,5.24000,5.24000,5.10000,5.13000,190800
2025-06-03,5.11000,5.32000,5.09000,5.27000,124700
