date,open,high,low,close,volume
2025-03-20,836.00000,840.00000,824.34998,830.09998,228982
2025-03-21,833.00000,850.00000,831.00000,841.84998,173022
2025-03-24,846.65002,866.70001,844.90002,847.40002,201258
2025-03-25,851.79999,855.84998,825.00000,833.09998,160685
2025-03-26,832.00000,836.79999,802.00000,809.09998,164423
2025-03-27,803.00000,822.00000,798.09998,804.54999,237257
2025-03-28,810.00000,853.65002,802.20001,807.90002,238752
2025-04-01,799.95001,821.15002,796.79999,815.75000,87995
2025-04-02,820.00000,826.70001,803.79999,817.79999,111152
2025-04-03,801.00000,835.00000,801.00000,825.50000,113321
2025-04-04,825.09998,825.09998,789.54999,795.09998,125916
2025-04-07,727.04999,758.20001,726.45001,747.00000,132206
2025-04-08,774.00000,784.00000,757.79999,770.20001,99874
2025-04-09,768.09998,784.79999,752.50000,781.09998,78604
2025-04-11,798.95001,801.95001,790.00000,794.45001,80805
2025-04-15,806.65002,828.54999,806.65002,823.45001,111674
2025-04-16,830.00000,847.00000,826.65002,839.75000,122428
2025-04-17,839.34998,851.95001,831.00000,840.70001,153579
2025-04-21,844.00000,891.70001,840.04999,879.40002,322327
2025-04-22,885.00000,890.34998,871.09998,875.75000,114216
2025-04-23,878.04999,888.75000,860.00000,873.25000,128165
2025-04-24,871.95001,888.04999,869.00000,879.34998,116004
2025-04-25,883.00000,886.40002,838.45001,851.34998,133159
2025-04-28,850.00000,881.00000,840.54999,868.79999,143633
2025-04-29,870.00000,885.00000,868.84998,872.15002,72470
2025-04-30,872.00000,872.04999,845.75000,852.79999,75256
2025-05-02,852.00000,872.79999,845.09998,856.70001,88728
2025-05-05,860.95001,878.00000,855.00000,873.29999,99151
2025-05-06,873.15002,880.00000,844.00000,847.95001,81723
2025-05-07,828.00000,843.00000,825.09998,837.25000,68714
2025-05-08,838.75000,863.90002,808.00000,823.84998,97724
2025-05-09,805.00000,820.00000,796.09998,811.15002,86887
2025-05-12,848.00000,875.00000,837.00000,869.65002,166561
2025-05-13,866.00000,885.90002,865.00000,880.25000,138795
2025-05-14,883.70001,919.65002,882.54999,899.90002,209007
2025-05-15,901.00000,929.29999,899.50000,915.45001,208888
2025-05-16,917.70001,940.45001,916.00000,925.79999,184959
2025-05-19,928.59998,947.70001,919.50000,928.59998,154524
2025-05-20,930.70001,939.90002,915.00000,919.59998,118244
2025-05-21,922.70001,926.90002,908.70001,920.65002,81933
2025-05-22,919.79999,922.45001,904.40002,912.15002,67721
2025-05-23,916.00000,939.00000,908.50000,925.75000,166714
2025-05-26,932.90002,939.00000,915.00000,916.79999,88721
2025-05-27,917.29999,924.90002,908.45001,920.45001,94470
2025-05-28,921.70001,960.00000,921.59998,928.34998,200598
2025-05-29,935.00000,938.09998,917.09998,922.25000,70636
2025-05-30,927.00000,968.70001,910.00000,938.59998,482385
2025-06-02,935.00000,988.00000,923.65002,943.59998,530658
2025-06-03,948.79999,951.04999,924.09998,926.90002,135817
2025-06-04,925.00000,957.50000,915.79999,949.70001,260753
2025-06-05,954.00000,1047.90002,954.00000,972.45001,1294983
2025-06-06,976.70001,983.70001,962.40002,966.45001,225743
2025-06-09,971.04999,985.00000,966.00000,975.15002,240081
2025-06-10,980.95001,1018.79999,980.95001,984.84998,555698
2025-06-11,991.00000,1029.50000,990.90002,1004.70001,487539
2025-06-12,1009.00000,1038.00000,993.50000,1000.54999,578761
2025-06-13,967.00000,992.00000,967.00000,975.04999,249092
2025-06-16,981.90002,992.90002,958.04999,981.09998,249853
2025-06-17,987.00000,998.70001,969.90002,974.54999,169084
2025-06-18,974.04999,984.70001,955.00000,959.50000,187253
2025-06-19,958.00000,971.54999,924.40002,927.90002,180491
2025-06-20,924.09998,949.70001,922.00000,945.45001,170659
2025-06-23,939.00000,947.40002,933.29999,943.25000,82362
2025-06-24,953.50000,968.90002,952.04999,953.95001,137213
2025-06-25,959.65002,990.00000,958.79999,977.54999,239837
2025-06-26,983.00000,993.00000,964.09998,966.79999,184060
2025-06-27,970.04999,982.00000,965.25000,967.09998,134549
2025-06-30,970.00000,981.50000,962.15002,970.00000,126736
2025-07-01,971.00000,979.00000,963.00000,966.54999,97246
2025-07-02,968.65002,971.79999,950.04999,957.70001,93282
2025-07-03,957.95001,964.34998,950.00000,951.09998,76136
2025-07-04,951.00000,957.84998,945.00000,953.20001,69849
2025-07-07,952.84998,966.90002,933.29999,941.20001,155865
2025-07-08,937.09998,951.09998,933.20001,941.95001,103598
2025-07-09,940.00000,951.45001,936.00000,938.20001,80487
2025-07-10,939.95001,948.00000,937.45001,941.25000,79083
2025-07-11,939.04999,945.70001,930.50000,933.34998,78546
2025-07-14,933.20001,938.70001,926.09998,928.54999,80754
2025-07-15,930.79999,943.34998,930.25000,939.65002,63653
2025-07-16,942.00000,949.70001,936.34998,946.15002,86752
2025-07-17,952.50000,975.04999,948.70001,961.75000,198471
2025-07-18,966.95001,967.00000,952.00000,958.29999,71299
2025-07-21,961.79999,962.54999,948.00000,951.84998,50714
2025-07-22,955.00000,958.70001,940.09998,942.34998,58710
2025-07-23,945.90002,946.00000,934.00000,942.15002,41475
2025-07-24,935.00000,943.65002,924.84998,928.09998,64255
2025-07-25,924.84998,924.84998,901.09998,908.00000,58009
2025-07-28,902.00000,905.00000,888.00000,891.34998,60269
2025-07-29,888.90002,898.59998,877.59998,887.79999,66010
2025-07-30,894.90002,902.65002,883.00000,885.70001,39378
2025-07-31,872.00000,879.00000,862.04999,868.40002,189690
2025-08-01,866.50000,883.70001,849.65002,854.09998,71674
2025-08-04,859.45001,870.00000,845.75000,863.09998,76204
2025-08-05,863.09998,871.15002,854.54999,857.70001,57021
2025-08-06,855.00000,861.75000,832.79999,844.70001,58164
2025-08-07,840.00000,858.00000,833.45001,852.50000,82030
2025-08-08,854.09998,859.90002,831.40002,839.15002,39111
2025-08-11,834.29999,845.00000,822.00000,841.95001,65281
2025-08-12,847.40002,858.90002,838.50000,841.09998,60235
2025-08-13,848.75000,851.90002,842.95001,846.00000,30749
2025-08-14,846.00000,849.00000,830.20001,833.45001,28181
2025-08-18,845.00000,920.00000,844.09998,890.00000,463832
2025-08-19,891.95001,919.79999,880.00000,906.84998,203827
2025-08-20,906.25000,916.29999,895.00000,898.79999,147285
2025-08-21,901.00000,949.90002,899.00000,923.79999,454663
2025-08-22,918.00000,927.00000,900.00000,904.54999,81759
2025-08-25,906.04999,911.00000,889.09998,892.09998,64658
2025-08-26,887.90002,889.04999,870.09998,877.04999,59110
2025-08-28,878.00000,892.09998,862.59998,878.40002,74118
2025-08-29,878.50000,915.65002,872.20001,880.09998,195347
2025-09-01,881.20001,896.00000,880.34998,889.34998,71238
2025-09-02,892.00000,943.00000,864.00000,918.54999,396791
2025-09-03,916.00000,949.59998,916.00000,939.90002,547810
