date,open,high,low,close,volume
2021-03-30,25.00000,25.14000,24.78000,25.07000,158200
2021-03-31,25.05000,25.14000,24.98000,25.05000,156100
2021-04-01,25.10000,25.18000,25.05000,25.11000,48600
2021-04-05,25.20000,25.29000,25.16000,25.27000,41000
2021-04-06,25.28000,25.30000,25.13000,25.15000,74700
2021-04-07,25.17000,25.17000,25.07000,25.07000,42100
2021-04-08,25.10000,25.13000,25.06000,25.06000,51300
2021-04-09,25.08000,25.16000,25.06000,25.15000,69400
2021-04-12,25.12000,25.20000,25.12000,25.15000,97000
2021-04-13,25.15000,25.24000,25.15000,25.20000,116900
2021-04-14,25.15000,25.20000,25.13000,25.18000,76600
2021-04-15,25.22000,25.22000,25.14000,25.17000,44200
2021-04-16,25.15000,25.18000,25.11000,25.15000,40300
2021-04-19,25.15000,25.18000,25.11000,25.15000,55300
2021-04-20,25.15000,25.19000,25.10000,25.10000,63600
2021-04-21,25.06000,25.15000,25.06000,25.10000,53300
2021-04-22,25.13000,25.14000,25.10000,25.13000,63300
2021-04-23,25.15000,25.16000,25.12000,25.16000,58900
2021-04-26,25.18000,25.19000,25.11000,25.13000,52400
2021-04-27,25.10000,25.14000,25.08000,25.09000,83300
2021-04-28,25.13000,25.23000,25.08000,25.15000,84400
2021-04-29,25.22000,25.22000,25.09000,25.11000,92100
2021-04-30,25.17000,25.20000,24.92000,24.99000,854000
2021-05-03,25.03000,25.10000,25.03000,25.08000,66400
2021-05-04,25.10000,25.10000,25.02000,25.09000,54600
2021-05-05,25.12000,25.14000,25.08000,25.08000,81600
2021-05-06,25.10000,25.10000,25.00000,25.10000,31900
2021-05-07,25.22000,25.22000,25.05000,25.14000,33900
2021-05-10,25.14000,25.15000,25.10000,25.12000,29600
2021-05-11,25.12000,25.14000,24.97000,25.05000,42300
2021-05-12,25.10000,25.10000,24.89000,24.99000,60900
2021-05-13,25.10000,25.13000,25.05000,25.10000,37000
2021-05-14,25.10000,25.10000,25.06500,25.10000,47000
2021-05-17,25.11000,25.15000,25.08000,25.10000,30000
2021-05-18,25.15000,25.15000,25.08000,25.10000,31000
2021-05-19,25.05000,25.14000,25.05000,25.11300,42800
2021-05-20,25.15000,25.15000,25.03000,25.08000,73200
2021-05-21,25.08000,25.15000,25.06000,25.11000,55100
2021-05-24,25.10000,25.15000,25.06000,25.06000,37500
2021-05-25,25.10000,25.15000,25.10000,25.10000,29700
2021-05-26,25.15000,25.15000,25.08000,25.11000,36600
2021-05-27,25.10000,25.16000,25.10000,25.13000,42700
2021-05-28,25.13000,25.18000,25.13000,25.16000,41100
2021-06-01,25.18000,25.18000,25.14000,25.16000,25500
2021-06-02,25.17500,25.19000,25.14000,25.16000,56400
2021-06-03,25.19000,25.19000,25.13500,25.16000,27500
2021-06-04,25.16000,25.18000,25.14000,25.15000,28000
2021-06-07,25.15000,25.18000,25.15000,25.16000,23600
2021-06-08,25.17000,25.18000,25.10000,25.16000,23200
2021-06-09,25.15500,25.18000,25.11000,25.13000,48400
2021-06-10,25.15500,25.20000,25.14000,25.15000,40200
2021-06-11,25.15000,25.20000,25.12000,25.13000,27900
2021-06-14,25.17000,25.19200,25.07000,25.09000,114000
2021-06-15,25.10000,25.12000,25.01000,25.09000,46100
