date,open,high,low,close,volume
2025-03-28,9.56700,9.73500,9.23000,9.44000,11400
2025-03-31,9.45000,9.60000,8.57000,8.57000,124500
2025-04-01,8.62000,8.97000,8.52000,8.90000,77600
2025-04-02,8.75000,8.75000,8.35000,8.72000,13800
2025-04-03,8.25000,8.54000,8.15000,8.39000,44500
2025-04-04,8.16000,8.18000,7.00000,7.58000,23500
2025-04-07,7.53000,7.53000,7.00000,7.10000,17700
2025-04-08,7.50000,7.78800,6.76000,6.78000,33000
2025-04-09,6.81000,7.29000,6.70000,7.17000,38400
2025-04-10,7.00000,7.60000,6.56000,6.69000,12700
2025-04-11,6.87000,7.10000,6.65000,7.10000,18600
2025-04-14,7.20200,7.51000,6.77000,7.31400,15800
2025-04-15,7.00000,7.50700,6.74000,6.88000,31100
2025-04-16,6.71000,7.00000,6.50000,6.96000,10400
2025-04-17,7.09000,7.55000,6.87000,6.87000,30800
2025-04-21,7.00000,7.05700,6.52000,6.76000,7000
2025-04-22,7.34000,7.34000,6.69000,7.03000,10000
2025-04-23,7.21000,7.72000,7.21000,7.41000,16400
2025-04-24,7.42000,7.72000,7.01000,7.25000,18500
2025-04-25,7.00000,7.25000,6.89500,6.91500,5300
2025-04-28,7.03000,7.46000,6.85000,6.88000,28600
2025-04-29,6.90000,7.33000,6.90000,7.11500,14900
2025-04-30,6.85200,7.29600,6.85000,6.96000,12500
2025-05-01,7.39000,7.39000,6.27000,6.27000,7400
2025-05-02,6.35000,6.87100,6.31600,6.31600,8900
2025-05-05,6.61000,6.62000,5.74000,5.80000,16400
2025-05-06,6.00000,6.24400,5.79000,6.11800,3600
2025-05-07,6.21600,6.55000,5.86000,5.99000,27100
2025-05-08,5.86000,6.49000,5.79300,6.10000,22800
2025-05-09,6.00000,6.39000,5.88500,5.90000,10300
2025-05-12,5.88000,5.88000,5.30000,5.40000,11500
2025-05-13,5.64500,5.75000,5.10000,5.10000,23200
2025-05-14,5.28000,5.76000,5.18000,5.18000,5900
2025-05-15,5.14000,5.62000,5.05000,5.25000,9200
2025-05-16,5.40000,6.10000,5.15000,5.77000,11600
2025-05-19,6.29000,6.29000,5.15000,5.99000,14500
2025-05-20,6.02000,6.40000,5.60000,6.30000,32400
2025-05-21,6.72000,7.49000,6.30000,6.51000,62200
2025-05-22,6.74000,6.90000,6.33000,6.84000,7800
2025-05-23,6.90000,7.14000,6.38700,7.02300,17900
2025-05-27,7.25000,7.47000,6.87000,7.03000,14900
2025-05-28,7.00000,7.24000,6.51000,6.71000,10600
2025-05-29,6.80000,6.80000,6.49000,6.65000,11700
2025-05-30,6.65000,6.77000,5.87000,5.87000,65900
2025-06-02,6.00000,6.25000,5.38000,5.87000,25000
2025-06-03,5.64400,6.03000,5.64400,6.01000,14200
2025-06-04,6.20000,6.88000,6.09000,6.45000,15700
2025-06-05,6.90000,6.90000,6.50000,6.51000,5500
