date,open,high,low,close,volume
2025-03-13,212.00000,213.80000,209.00000,209.96001,819983
2025-03-17,209.95000,210.95000,203.10001,204.36000,854234
2025-03-19,213.00000,232.85001,212.20000,228.64999,6324349
2025-03-20,231.00000,233.42999,225.05000,226.55000,1708796
2025-03-21,226.60001,241.00000,224.30000,239.52000,4092832
2025-03-24,243.00000,259.48999,239.21001,255.62000,5205799
2025-03-25,255.58000,255.89999,242.69000,246.85001,2788585
2025-03-26,245.02000,247.00000,232.85001,234.63000,1659634
2025-03-27,234.83000,235.80000,230.00000,230.64000,1651364
2025-03-28,230.99001,236.53999,222.25000,223.37000,2108675
2025-04-01,226.00000,231.64999,224.60001,230.19000,1656096
2025-04-02,228.00000,232.00000,222.02000,231.56000,1268096
2025-04-03,227.00000,233.78000,227.00000,231.88000,847270
2025-04-04,228.41000,231.67999,219.75000,222.83000,1021112
2025-04-07,205.00000,214.80000,202.42999,213.32001,1255875
2025-04-08,217.98000,220.82001,214.10001,218.05000,616090
2025-04-09,215.05000,216.99001,212.89999,215.56000,343667
2025-04-11,224.28999,224.97000,219.25999,223.23000,632399
2025-04-15,226.00000,232.99001,224.70000,232.00999,977508
2025-04-16,230.00999,235.78999,230.00999,232.72000,692262
2025-04-17,233.00000,235.44000,231.00000,233.75000,779832
2025-04-21,235.00000,248.00000,232.39999,242.82001,1557467
2025-04-22,243.00000,245.10001,239.11000,240.67000,790285
2025-04-23,241.61000,244.37000,236.37000,241.81000,693035
2025-04-24,241.81000,243.99001,238.62000,239.28000,722381
2025-04-25,240.47000,243.89000,227.67999,229.96001,1293327
2025-04-28,227.30000,235.80000,226.20000,234.06000,1051587
2025-04-29,232.30000,236.67000,230.89999,231.45000,361620
2025-04-30,229.00999,231.55000,223.14999,225.12000,517739
2025-05-02,224.89999,231.39999,223.72000,224.97000,819446
2025-05-05,225.30000,228.74001,224.42000,227.78999,362675
2025-05-06,228.10001,229.95000,220.39999,221.39999,530636
2025-05-07,218.00000,224.07001,216.45000,222.72000,602564
2025-05-08,223.00000,229.00000,217.69000,219.47000,703541
2025-05-09,212.00000,217.50999,212.00000,216.31000,588322
2025-05-12,221.00000,233.30000,219.00000,230.00000,1270014
2025-05-13,220.00000,235.03999,220.00000,233.11000,1097263
2025-05-14,233.11000,248.46001,233.11000,245.73000,4843513
2025-05-15,246.00000,249.33000,243.96001,248.25999,1572501
2025-05-16,249.39999,292.00000,247.30000,286.98999,25091451
2025-05-19,290.00000,303.39999,290.00000,294.92999,11254701
2025-05-20,296.19000,296.20001,271.81000,275.45001,4117782
2025-05-21,276.54999,279.87000,271.10001,277.09000,1560990
2025-05-22,276.00000,277.79999,271.23999,273.51999,754031
2025-05-23,274.89999,276.37000,271.00000,273.59000,654765
2025-05-26,274.70001,283.35001,271.22000,276.95999,1819675
2025-05-27,277.14999,279.60001,273.42999,276.53000,761896
2025-05-28,278.98999,294.89001,278.56000,287.69000,8498807
2025-05-29,290.70001,292.00000,282.00000,284.92999,1848870
2025-05-30,285.00000,286.67999,276.01001,277.44000,1786116
2025-06-02,277.00000,282.54999,275.39999,279.29999,913908
2025-06-03,281.00000,285.39999,277.50000,280.04999,1060972
2025-06-04,279.29999,301.50000,277.29999,295.54999,10667778
2025-06-05,299.39999,316.00000,298.00000,309.20001,13428157
2025-06-06,309.00000,309.00000,298.10001,300.14999,3166169
2025-06-09,305.00000,308.89999,301.50000,302.25000,3780462
2025-06-10,305.95001,310.54999,300.35001,301.60001,2910532
2025-06-11,302.75000,308.89999,298.75000,304.25000,3461892
2025-06-12,305.00000,306.89999,287.75000,289.39999,2562704
2025-06-13,286.00000,294.00000,280.70001,289.79999,2359508
2025-06-16,286.00000,291.79999,280.29999,288.20001,1253705
2025-06-17,288.20001,292.29999,280.00000,281.45001,875645
2025-06-18,280.95001,290.50000,279.20001,280.95001,1943458
2025-06-19,281.00000,283.00000,268.00000,270.50000,1449901
2025-06-20,269.10001,275.89999,269.00000,272.70001,1227636
2025-06-23,272.60001,277.60001,270.60001,275.35001,978100
2025-06-24,278.64999,282.60001,275.14999,275.89999,1234168
2025-06-25,281.39999,283.64999,277.79999,279.20001,1717382
2025-06-26,280.79999,283.00000,277.25000,278.95001,645415
2025-06-27,280.00000,284.39999,279.20001,280.10001,1115063
2025-06-30,281.29999,282.70001,279.00000,280.00000,499517
2025-07-01,280.60001,282.20001,277.50000,279.04999,466742
2025-07-02,285.00000,299.79999,284.75000,295.10001,29010873
2025-07-03,296.89999,298.00000,284.60001,285.85001,3705585
2025-07-04,286.10001,289.39999,282.00000,284.95001,1337273
2025-07-07,284.00000,287.00000,280.79999,281.89999,649853
2025-07-08,281.79999,284.89999,278.39999,280.54999,765440
2025-07-09,280.89999,283.00000,278.14999,279.79999,685286
2025-07-10,280.00000,285.50000,279.00000,280.20001,687393
2025-07-11,280.00000,281.60001,276.54999,278.25000,387797
2025-07-14,283.64999,284.00000,277.89999,278.95001,973588
2025-07-15,280.00000,282.70001,279.10001,279.89999,466451
2025-07-16,280.35001,280.75000,278.04999,278.64999,347152
2025-07-17,278.64999,279.79999,277.04999,277.54999,293931
2025-07-18,277.79999,278.64999,274.00000,275.10001,327615
2025-07-21,276.00000,277.00000,273.29999,275.70001,367090
2025-07-22,277.00000,278.04999,274.00000,274.64999,274395
2025-07-23,275.70001,275.70001,272.25000,273.39999,295896
2025-07-24,274.04999,276.25000,272.45001,273.64999,254667
2025-07-25,273.45001,273.45001,263.25000,264.60001,674230
2025-07-28,270.00000,272.50000,261.04999,263.25000,1163713
2025-07-29,261.50000,264.39999,257.25000,262.79999,533229
2025-07-30,262.75000,263.70001,260.00000,260.54999,257901
2025-07-31,258.14999,260.64999,254.45000,256.75000,424910
2025-08-01,258.00000,259.79999,251.00000,252.05000,425007
2025-08-04,252.00000,260.70001,250.25000,258.89999,509438
2025-08-05,258.70001,263.25000,255.60001,257.85001,376658
2025-08-06,258.95001,260.04999,255.00000,256.50000,484617
2025-08-07,253.00000,254.05000,247.75000,250.89999,533329
2025-08-08,251.14999,254.89999,246.00000,247.05000,378880
2025-08-11,247.00000,251.00000,245.00000,250.30000,329331
2025-08-12,252.00000,253.50000,247.30000,248.89999,352700
2025-08-13,248.89999,252.10001,248.14999,250.39999,275020
2025-08-14,249.39999,253.80000,248.75000,250.50000,362555
2025-08-18,251.50000,254.70000,250.00000,251.00000,320259
2025-08-19,252.00000,259.39999,251.50000,258.20001,462888
2025-08-20,258.14999,260.50000,254.64999,257.35001,464118
2025-08-21,257.39999,260.54999,256.39999,259.35001,492880
2025-08-22,258.04999,259.35001,255.10001,256.04999,193730
2025-08-25,256.45001,257.04999,251.55000,252.10001,237694
2025-08-26,253.00000,253.60001,248.64999,250.25000,301688
2025-08-28,250.25000,250.80000,243.75000,244.35001,316686
2025-08-29,244.00000,248.45000,242.50000,243.95000,346058
2025-09-01,247.00000,260.00000,245.85001,258.48001,1685144
2025-09-02,259.04999,267.98999,255.30000,264.17999,1549925
2025-09-03,263.17999,266.56000,261.20001,262.64001,535496
2025-09-04,265.00000,265.70001,256.76999,257.62000,460910
2025-09-05,257.70001,263.45001,255.89999,262.19000,427988
2025-09-08,262.19000,266.82001,259.60999,261.44000,551183
2025-09-09,261.59000,270.79999,261.59000,269.87000,1609437
2025-09-10,271.39999,273.91000,268.12000,269.23001,955207
2025-09-11,268.89999,269.00000,263.20001,263.92999,537207
2025-09-12,265.19000,269.13000,264.50000,267.89999,704766
2025-09-15,267.91000,280.89999,267.91000,275.14001,2419079
2025-09-16,277.00000,277.07001,272.48001,275.14001,835145
2025-09-17,274.39999,278.29999,271.54999,272.92999,1168603
2025-09-18,273.89999,275.00000,269.79001,270.56000,450948
2025-09-19,269.00000,273.51999,269.00000,272.47000,733207
2025-09-22,269.00000,272.51001,263.01999,264.51999,772902
2025-09-23,264.70001,267.23001,260.39999,260.91000,560162
2025-09-24,260.51001,263.13000,257.32999,258.28000,499609
2025-09-25,258.28000,260.38000,251.49001,252.30000,527215
2025-09-26,258.85001,270.00000,241.14999,248.31000,37461051
2025-09-29,249.00000,252.33000,246.70000,248.07001,1825080
2025-09-30,248.07001,249.25000,245.00000,246.03999,835552
2025-10-01,249.89999,253.23000,248.39999,251.80000,1756194
2025-10-03,253.70000,255.00000,251.50999,253.96001,736080
2025-10-06,253.74001,253.99001,250.97000,251.98000,450005
2025-10-07,252.80000,258.17999,251.20000,256.62000,1075800
