date,open,high,low,close,volume
2019-07-02,13.32000,13.70000,13.32000,13.65000,2655000
2019-07-03,13.65000,13.65000,13.55000,13.59000,311200
2019-07-05,13.56000,13.65000,13.45000,13.65000,444400
2019-07-08,13.59000,13.59000,13.44000,13.45000,299200
2019-07-09,13.46400,13.59000,13.40000,13.50000,268300
2019-07-10,13.54000,13.54000,13.40000,13.41000,367600
2019-07-11,13.46000,13.50000,13.35000,13.40000,292900
2019-07-12,13.40000,13.41000,13.35000,13.38500,225800
2019-07-15,13.35000,13.37000,13.21000,13.21000,252300
2019-07-16,13.25000,13.26900,13.11000,13.18000,308400
2019-07-17,13.15000,13.16000,13.05000,13.13000,218900
2019-07-18,13.10000,13.15000,13.06000,13.11000,160300
2019-07-19,13.14500,13.23000,13.09000,13.10000,103100
2019-07-22,13.14000,13.14000,12.96000,13.01000,204300
2019-07-23,13.01000,13.10000,13.01000,13.06000,79800
2019-07-24,13.06000,13.06200,13.00000,13.02000,35900
2019-07-25,13.02100,13.05000,13.00000,13.00000,47500
2019-07-26,13.01000,13.02000,12.99000,13.00000,62100
2019-07-29,13.03000,13.05000,13.00000,13.02000,55500
2019-07-30,13.02000,13.15000,13.00000,13.10000,89600
2019-07-31,13.14000,13.25000,13.12500,13.20000,55500
2019-08-01,13.21400,13.35000,13.16000,13.23000,39600
2019-08-02,13.19700,13.35000,13.06000,13.29000,47000
2019-08-05,13.32000,13.32000,13.12000,13.31000,76500
2019-08-06,13.30000,13.34000,13.23000,13.34000,62600
2019-08-07,13.30000,13.30000,13.14000,13.29000,49600
2019-08-08,13.30000,13.30000,13.16000,13.25000,32100
2019-08-09,13.30000,13.49000,13.22000,13.41000,58800
2019-08-12,13.21000,13.49000,13.21000,13.35000,60600
2019-08-13,13.30000,13.45000,13.19000,13.40000,27600
2019-08-14,13.40000,13.40000,13.12000,13.25000,56100
2019-08-15,13.12000,13.20000,12.97000,12.99000,78000
2019-08-16,13.00000,13.40000,12.95800,13.08000,43000
2019-08-19,13.21000,13.25000,13.06700,13.23000,75200
2019-08-20,13.24000,13.35000,13.13000,13.33000,96300
2019-08-21,13.34000,13.34000,13.13000,13.27000,33100
2019-08-22,13.28000,13.35000,13.16000,13.35000,60500
2019-08-23,13.19000,13.33500,13.18000,13.24000,14200
2019-08-26,13.18000,13.27500,13.02000,13.05000,76500
2019-08-27,13.05000,13.19000,12.93000,12.95000,91000
2019-08-28,12.95000,13.19000,12.95000,13.19000,48200
2019-08-29,13.19000,13.26000,13.04000,13.20000,55400
2019-08-30,13.23000,13.23000,13.06000,13.18000,67000
2019-09-03,13.01000,13.18000,12.75000,12.81000,96800
2019-09-04,12.90000,13.01000,12.80000,13.00000,29800
2019-09-05,13.06000,13.20000,12.98000,13.10000,50800
2019-09-06,13.04000,13.15000,12.99000,13.15000,66200
2019-09-09,13.09500,13.45000,13.01500,13.42000,252500
2019-09-10,13.43000,13.55000,13.29500,13.35000,155700
2019-09-11,13.39000,13.55000,13.31000,13.47000,89300
2019-09-12,13.53000,13.56000,13.43000,13.51000,93000
2019-09-13,13.52000,13.58000,13.42000,13.46000,110700
2019-09-16,13.42000,13.79000,13.37000,13.74000,205000
2019-09-17,13.55500,14.02000,13.55500,14.02000,241300
2019-09-18,13.98000,14.05000,13.57000,13.93000,311900
2019-09-19,13.96000,14.09000,13.81500,13.93000,283200
2019-09-20,13.91000,14.07000,13.82000,14.05000,1758900
2019-09-23,14.06000,14.06000,13.87000,13.90000,100100
2019-09-24,13.82000,14.00000,13.76000,13.90000,162000
2019-09-25,13.85000,13.90000,13.71000,13.84000,81600
2019-09-26,13.88000,13.88000,13.66000,13.74000,38000
2019-09-27,13.78000,13.94000,13.78000,13.87000,56500
2019-09-30,13.87000,13.99500,13.86000,13.99000,136800
2019-10-01,13.94000,14.00000,13.50000,13.54000,100100
2019-10-02,13.53000,13.80000,13.53000,13.77000,43000
2019-10-03,13.73000,13.93000,13.52000,13.79000,47700
2019-10-04,13.82000,13.87000,13.66000,13.83000,18800
2019-10-07,13.81000,13.89500,13.67000,13.71000,45700
2019-10-08,13.63000,13.77000,13.47000,13.63000,14100
2019-10-09,13.69000,13.69000,13.48000,13.54000,20500
2019-10-10,13.55000,13.57000,13.48000,13.55000,35300
2019-10-11,13.55000,13.89000,13.48000,13.83000,69200
2019-10-14,13.78000,13.78000,13.58000,13.63000,40200
2019-10-15,13.67000,13.74000,13.49000,13.72000,21200
2019-10-16,13.71000,13.82000,13.70500,13.81000,49200
2019-10-17,13.83000,13.95000,13.70000,13.92000,62500
2019-10-18,13.86000,13.98000,13.82500,13.96000,41300
2019-10-21,13.95000,13.98000,13.87500,13.93000,85200
2019-10-22,13.93000,13.98000,13.88000,13.89000,42400
2019-10-23,13.94000,13.98000,13.75000,13.86000,32300
2019-10-24,13.91000,13.91000,13.76000,13.86000,7800
2019-10-25,13.85000,13.98000,13.85000,13.87000,103700
2019-10-28,13.90000,13.97000,13.86000,13.94000,141900
2019-10-29,13.93000,13.94000,13.83000,13.90000,53600
2019-10-30,13.90000,13.94000,13.78000,13.91000,30000
2019-10-31,13.89000,13.95000,13.72500,13.95000,40500
2019-11-01,13.95000,13.97000,13.83500,13.95000,88500
2019-11-04,13.95000,13.95000,13.86000,13.88000,74400
2019-11-05,13.93000,13.95000,13.85000,13.93000,41000
2019-11-06,13.94000,13.95000,13.82000,13.85000,58400
2019-11-07,13.89000,13.90000,13.84000,13.89000,52200
2019-11-08,13.91000,13.97000,13.89000,13.93000,37000
2019-11-11,13.93000,13.98000,13.91800,13.95000,41500
2019-11-12,13.95000,13.98000,13.86000,13.91000,44000
2019-11-13,13.87000,13.98000,13.85000,13.97000,28200
