date,open,high,low,close,volume
2025-03-26,1.15000,1.17000,1.10000,1.12000,26600
2025-03-27,1.11000,1.15200,1.01000,1.11100,133600
2025-03-28,1.12000,1.13000,1.11000,1.11000,20800
2025-03-31,1.14000,1.14000,1.06300,1.11000,10400
2025-04-01,1.13000,1.17000,1.05000,1.09000,47700
2025-04-02,1.07000,1.10000,1.04000,1.07000,31700
2025-04-03,1.07000,1.08800,1.05100,1.06000,6200
2025-04-04,1.03000,1.05000,0.94400,0.99800,41300
2025-04-07,0.97500,1.03000,0.95000,0.98400,29500
2025-04-08,0.98500,1.03000,0.91500,0.96000,91000
2025-04-09,0.95500,1.02000,0.95500,1.02000,16300
2025-04-10,0.99800,1.00000,0.97500,0.97500,19300
2025-04-11,0.96500,1.02000,0.93900,1.00000,69900
2025-04-14,0.97000,1.15000,0.97000,1.10000,34000
2025-04-15,1.12000,1.15000,1.07000,1.09100,11000
2025-04-16,1.09000,1.26000,1.09000,1.18000,57500
2025-04-17,1.15000,1.25000,1.15000,1.21000,88600
2025-04-21,1.24000,1.28000,1.12000,1.20000,174300
2025-04-22,1.20000,1.24000,1.16000,1.19000,14800
2025-04-23,1.19000,1.23000,1.16000,1.22000,6100
2025-04-24,1.24000,1.32000,1.17000,1.29000,240800
2025-04-25,1.30000,1.31000,1.20000,1.24000,175800
2025-04-28,1.27000,1.30000,1.12000,1.17000,149100
2025-04-29,1.29900,1.29900,1.13000,1.15000,52600
2025-04-30,1.14000,1.20000,1.13100,1.16000,37400
2025-05-01,1.12000,1.24000,1.12000,1.14500,15700
2025-05-02,1.14000,1.18400,1.12500,1.18000,32000
2025-05-05,1.20000,1.22100,1.14000,1.14000,7600
2025-05-06,1.19000,1.19000,1.10000,1.14000,16100
2025-05-07,1.12000,1.12000,1.06000,1.08000,28800
2025-05-08,1.06000,1.15400,1.06000,1.09500,17400
2025-05-09,1.14000,1.19000,1.07000,1.15000,20900
2025-05-12,1.11000,1.11700,1.07000,1.08000,30700
2025-05-13,1.08500,1.10000,1.05000,1.09000,27600
2025-05-14,1.06000,1.07900,1.05000,1.06000,25900
2025-05-15,1.07000,1.10000,1.06000,1.10000,17200
2025-05-16,1.14000,1.24400,1.10000,1.17000,121100
2025-05-19,1.19400,1.20200,1.11100,1.16000,26800
2025-05-20,1.14500,1.19500,1.14000,1.17000,12700
2025-05-21,1.18000,1.18000,1.13000,1.14000,3400
2025-05-22,1.30000,1.30000,1.13000,1.15000,9800
2025-05-23,1.15000,1.15500,1.13000,1.15500,11600
2025-05-27,1.20000,1.23000,0.97600,1.11000,74600
2025-05-28,1.13000,1.13000,1.02800,1.07000,40600
2025-05-29,1.13000,1.14500,1.04000,1.08500,23800
2025-05-30,1.11500,1.14000,1.06000,1.10000,32100
2025-06-02,1.09000,1.12000,1.09000,1.12000,7000
2025-06-03,1.09000,1.12000,1.06000,1.08000,8600
2025-06-04,1.10000,1.13000,1.03100,1.06000,20000
2025-06-05,1.06000,1.10000,1.04000,1.07700,6200
2025-06-06,1.05900,1.07500,1.05000,1.05000,2000
2025-06-09,1.07500,1.09500,1.05000,1.06100,4400
2025-06-10,1.08900,1.10000,1.06000,1.07000,8200
2025-06-11,1.09000,1.16000,1.07000,1.11000,20000
2025-06-12,1.13000,1.15200,1.09000,1.09000,8900
2025-06-13,1.11000,1.16000,1.11000,1.12000,17800
2025-06-16,1.17000,1.17000,1.11800,1.12000,36500
2025-06-17,1.13500,1.17000,1.13000,1.16000,15700
2025-06-18,1.16500,1.17900,1.14000,1.17000,10800
2025-06-20,1.20000,1.28000,1.16000,1.27000,64900
2025-06-23,1.26000,1.28000,1.25100,1.28000,14800
2025-06-24,1.30000,1.30000,1.19000,1.22000,36800
2025-06-25,1.21500,1.26500,1.20000,1.22000,21900
2025-06-26,1.25500,1.27000,1.22000,1.26000,11200
2025-06-27,1.29000,1.29000,1.24000,1.25000,11500
2025-06-30,1.26100,1.31000,1.26000,1.29800,21900
2025-07-01,1.33000,1.41000,1.29500,1.30000,89000
2025-07-02,1.36000,1.74000,1.36000,1.66000,746800
2025-07-03,1.73000,1.88000,1.49900,1.59000,360400
2025-07-07,1.58000,1.64000,1.23000,1.40000,446800
2025-07-08,1.37000,1.40000,1.31200,1.35000,71500
2025-07-09,1.36300,1.46500,1.34000,1.45800,52700
2025-07-10,1.51000,1.53900,1.35000,1.36000,113900
2025-07-11,1.31000,1.35000,1.28000,1.33000,110500
2025-07-14,1.29000,1.43400,1.29000,1.34000,24600
2025-07-15,1.31000,1.34700,1.30000,1.31000,25200
2025-07-16,1.32000,1.35000,1.19000,1.20000,73800
2025-07-17,1.20000,1.31500,1.18000,1.22000,48900
2025-07-18,1.20000,1.34700,1.20000,1.32000,208500
2025-07-21,1.32000,1.37000,1.23000,1.23000,118900
2025-07-22,1.25000,1.51100,1.24000,1.43000,314300
2025-07-23,1.42000,1.56000,1.35000,1.44500,190200
2025-07-24,1.41000,1.48000,1.35000,1.39000,56200
2025-07-25,1.39000,1.41000,1.28000,1.33000,38300
2025-07-28,1.32000,1.41500,1.32000,1.34000,32100
2025-07-29,1.36000,1.43000,1.36000,1.38000,12600
2025-07-30,1.35000,1.41000,1.33000,1.39000,54100
2025-07-31,1.36000,1.39000,1.32000,1.32000,11900
2025-08-01,1.32000,1.37000,1.28000,1.35000,22300
2025-08-04,1.32000,1.43000,1.28000,1.40700,41200
2025-08-05,1.42000,1.44000,1.40200,1.41500,13200
2025-08-06,1.41900,1.53000,1.41500,1.49700,19100
2025-08-07,1.51000,1.51800,1.46000,1.51000,20300
2025-08-08,1.52000,1.52000,1.47000,1.47000,20800
2025-08-11,1.50000,1.66000,1.46000,1.64700,60300
2025-08-12,1.80000,1.81400,1.53000,1.63000,216900
2025-08-13,1.60000,1.62000,1.52000,1.57000,37200
2025-08-14,1.58000,1.60200,1.53000,1.57000,46700
2025-08-15,1.57000,1.61000,1.56000,1.60000,36000
2025-08-18,1.55000,1.61400,1.55000,1.59000,13000
2025-08-19,1.57100,1.61300,1.56000,1.58000,5700
2025-08-20,1.56000,1.60000,1.55000,1.56800,9300
2025-08-21,1.56000,1.62000,1.55500,1.61500,11800
2025-08-22,1.61000,1.87300,1.61000,1.78000,638900
2025-08-25,1.76000,1.97000,1.71900,1.91000,224100
2025-08-26,1.91000,1.94000,1.71000,1.80500,89100
2025-08-27,1.87000,2.03000,1.81000,1.98000,71500
2025-08-28,2.02000,2.13000,1.99500,2.07000,106700
2025-08-29,2.15000,2.32000,2.05000,2.24000,170300
2025-09-02,2.25000,2.34000,2.08000,2.09000,177100
2025-09-03,2.05000,2.20000,2.00000,2.19000,153500
2025-09-04,2.18000,2.20500,2.02000,2.02000,48200
2025-09-05,1.99000,2.06000,1.98000,2.02000,33500
2025-09-08,2.01000,2.02000,1.88000,1.89000,133500
2025-09-09,1.90000,1.99900,1.85200,1.86000,51700
2025-09-10,1.96000,2.05000,1.88700,1.91000,49400
