date,open,high,low,close,volume
2025-03-19,14.77000,15.68000,14.54500,15.46000,115800
2025-03-20,15.39000,15.97000,15.00000,15.93000,173600
2025-03-21,16.37000,16.79000,15.80000,16.05000,125400
2025-03-24,16.05000,16.62300,15.70000,15.94000,43700
2025-03-25,15.93000,16.18000,15.40000,15.92000,59900
2025-03-26,15.96000,15.96000,14.66000,14.88000,29000
2025-03-27,14.93000,14.93000,14.30000,14.36000,97500
2025-03-28,14.28000,15.10000,14.06000,14.54000,48600
2025-03-31,14.24000,14.45200,13.02000,13.18000,96400
2025-04-01,13.45000,13.66000,12.33000,12.49000,107500
2025-04-02,12.26000,13.00000,12.21500,12.95000,71300
2025-04-03,12.56000,12.76500,11.92000,12.34000,83700
2025-04-04,12.01000,12.10000,9.12000,10.00000,340900
2025-04-07,10.00000,10.21000,9.02000,10.11000,170900
2025-04-08,10.81000,11.49000,9.33000,9.52000,163400
2025-04-09,9.34000,11.72000,8.85000,11.36000,280200
2025-04-10,10.79000,10.98000,9.80000,10.36000,183100
2025-04-11,10.36000,11.15500,10.30000,10.67000,195500
2025-04-14,11.39000,13.07000,11.05000,13.00000,115200
2025-04-15,12.88000,13.03500,11.49000,11.97000,117000
2025-04-16,11.51000,11.62600,10.26000,10.57000,122200
2025-04-17,10.67000,10.67000,10.19000,10.50000,96200
2025-04-21,10.38000,10.51000,9.54500,10.34000,135200
2025-04-22,10.45000,11.41000,10.45000,11.26000,64100
2025-04-23,11.62000,11.97000,11.31500,11.63000,52900
2025-04-24,11.63000,12.18000,11.63000,12.05000,50400
2025-04-25,11.87000,12.05000,11.50700,11.83000,45600
2025-04-28,11.96000,12.40000,11.63000,12.21000,45000
2025-04-29,12.21000,12.40000,11.81000,11.90000,48400
2025-04-30,11.62000,12.20000,11.18400,12.00000,43700
2025-05-01,12.02000,12.45000,11.56000,12.27000,74300
2025-05-02,12.20000,12.95000,12.00000,12.70000,66300
2025-05-05,12.68000,13.10000,12.42500,12.44000,43400
2025-05-06,12.28000,12.49000,10.48500,10.57000,113400
2025-05-07,10.67000,10.80000,10.03000,10.15000,74100
2025-05-08,10.26000,11.31000,10.00000,10.42000,69500
2025-05-09,10.38000,10.53400,9.51000,9.90000,215900
2025-05-12,10.34000,11.23000,9.55000,10.44000,79900
2025-05-13,10.57000,10.60000,9.91500,10.20000,95900
2025-05-14,10.26000,10.48000,9.88000,9.98000,77500
2025-05-15,9.97000,10.54000,9.71000,10.43000,60500
2025-05-16,10.40000,10.52500,10.11100,10.26000,42100
2025-05-19,10.26000,10.41000,9.91000,10.37000,50100
2025-05-20,10.31000,10.42500,10.01000,10.23000,48200
2025-05-21,10.10000,10.10000,9.25000,9.28000,56900
2025-05-22,9.22000,9.47700,9.13000,9.14500,58100
2025-05-23,9.01000,9.35500,9.00000,9.16000,53700
2025-05-27,9.28000,9.29000,8.46000,8.77000,95800
2025-05-28,8.79000,9.37000,8.76000,9.09000,84200
2025-05-29,9.20000,10.10000,9.01000,10.00000,100500
2025-05-30,10.00000,10.02000,9.36000,9.56000,42000
2025-06-02,9.72000,10.12000,9.46000,9.98000,129800
2025-06-03,9.98000,10.12000,9.80000,9.90000,36300
2025-06-04,9.90000,10.01000,9.36500,9.54000,70100
2025-06-05,9.55000,9.55000,9.01000,9.34000,82600
2025-06-06,9.42000,11.12000,9.18000,11.03500,100200
2025-06-09,11.43000,11.48000,10.50000,10.85000,65800
2025-06-10,10.90000,11.31000,10.51300,10.77000,50600
2025-06-11,11.04000,11.26000,10.41000,10.41000,44100
