date,open,high,low,close,volume
2024-09-11,3250.00000,3275.00000,3087.50000,3120.75000,22162
2024-09-12,3250.00000,3250.00000,3020.00000,3098.19995,6373
2024-09-13,3100.00000,3252.00000,3099.89990,3197.69995,6659
2024-09-16,3210.00000,3357.55005,3210.00000,3344.55005,8413
2024-09-17,3510.00000,3510.00000,3300.00000,3300.75000,5002
2024-09-18,3444.00000,3465.75000,3444.00000,3465.75000,609
2024-09-19,3639.00000,3639.00000,3333.00000,3540.35010,16160
2024-09-20,3400.00000,3600.00000,3363.35010,3365.80005,4189
2024-09-23,3400.00000,3470.00000,3320.00000,3365.85010,1894
2024-09-24,3495.00000,3495.00000,3300.00000,3316.00000,1474
2024-09-25,3399.94995,3670.00000,3399.89990,3559.44995,15802
2024-09-26,3620.00000,3620.00000,3301.94995,3402.39990,3244
2024-09-27,3390.00000,3424.30005,3204.35010,3358.85010,7901
2024-09-30,3223.00000,3325.00000,2687.10010,2687.10010,53698
2024-10-01,2550.00000,2630.00000,2507.00000,2569.35010,44920
2024-10-03,2466.50000,2552.35010,2416.00000,2501.44995,16979
2024-10-04,2549.94995,2565.00000,2431.00000,2438.30005,6581
2024-10-07,2450.30005,2497.44995,2330.00000,2356.30005,4811
2024-10-08,2356.30005,2375.00000,2300.00000,2371.44995,1938
2024-10-09,2437.60010,2490.00000,2380.00000,2479.94995,1237
2024-10-10,2497.44995,2525.00000,2401.00000,2424.14990,1091
2024-10-11,2413.94995,2495.85010,2402.14990,2464.55005,1096
2024-10-14,2465.14990,2619.44995,2421.05005,2439.25000,1117
2024-10-15,2499.00000,2499.00000,2430.00000,2447.00000,598
2024-10-16,2487.00000,2487.00000,2348.05005,2387.69995,1167
2024-10-17,2448.00000,2448.00000,2292.94995,2323.10010,3244
2024-10-18,2276.00000,2354.00000,2201.50000,2336.94995,8877
2024-10-21,2336.94995,2379.10010,2228.55005,2284.80005,1735
2024-10-22,2271.14990,2326.39990,2150.00000,2171.89990,3136
2024-10-23,2187.14990,2267.80005,2170.75000,2196.25000,1679
2024-10-24,2299.00000,2299.00000,2171.00000,2200.19995,1205
2024-10-25,2273.69995,2273.69995,2076.00000,2107.64990,4591
2024-10-28,1960.05005,2098.00000,1925.00000,2002.40002,5889
2024-10-29,2029.30005,2039.94995,1964.55005,2002.25000,3021
2024-10-31,2169.00000,2194.39990,2012.00000,2072.00000,606
2024-11-01,2149.89990,2175.60010,2149.89990,2162.39990,489
2024-11-04,2249.00000,2270.50000,2151.00000,2173.75000,1210
2024-11-06,2140.00000,2200.00000,2102.00000,2126.50000,710
2024-11-07,2219.00000,2232.69995,2150.00000,2161.80005,705
2024-11-08,2214.39990,2220.00000,2100.00000,2153.94995,499
2024-11-11,2050.10010,2210.00000,2046.25000,2050.94995,1229
2024-11-12,2050.94995,2145.00000,2050.94995,2087.44995,210
2024-11-13,2087.44995,2087.44995,1983.09998,2000.00000,777
2024-11-14,2000.05005,2069.94995,1900.00000,1970.65002,817
2024-11-18,1902.00000,2000.00000,1902.00000,1995.09998,178
2024-11-19,1945.25000,1998.00000,1945.25000,1996.94995,326
2024-11-21,1965.05005,1994.00000,1950.05005,1958.55005,575
2024-11-22,1960.00000,1960.00000,1875.00000,1898.05005,1438
2024-11-25,1939.94995,1939.94995,1810.15002,1900.50000,803
2024-11-26,1901.00000,1919.94995,1840.00000,1852.94995,1450
2024-11-27,1852.94995,1940.00000,1841.09998,1884.00000,2807
2024-11-28,1863.00000,1926.90002,1822.44995,1897.69995,1149
2024-11-29,1897.69995,1897.69995,1862.09998,1862.09998,391
2024-12-02,1837.00000,1880.00000,1820.00000,1879.94995,640
2024-12-03,1867.50000,1899.94995,1835.00000,1841.69995,1557
2024-12-04,1874.90002,1933.75000,1851.05005,1933.75000,1930
2024-12-05,2030.00000,2030.40002,1975.00000,2030.40002,1270
2024-12-06,2131.50000,2131.89990,2033.59998,2110.00000,1315
2024-12-09,2040.50000,2107.89990,2040.50000,2081.44995,210
2024-12-10,2080.00000,2117.94995,2034.00000,2099.89990,394
2024-12-11,2099.80005,2124.94995,2039.00000,2082.85010,728
2024-12-12,2082.00000,2099.60010,1978.69995,2033.84998,1324
2024-12-13,1980.05005,2050.00000,1932.15002,2036.69995,1266
