date,open,high,low,close,volume
2025-03-11,899.95001,915.00000,862.45001,873.95001,120772
2025-03-12,882.00000,888.75000,830.04999,841.70001,116712
2025-03-13,856.00000,874.90002,835.04999,865.84998,83087
2025-03-17,867.15002,943.50000,865.84998,883.34998,283773
2025-03-19,946.50000,991.90002,945.00000,972.40002,142193
2025-03-20,978.00000,993.04999,960.50000,963.29999,103748
2025-03-21,971.00000,1003.59998,957.04999,975.15002,140449
2025-03-24,1020.00000,1129.00000,1020.00000,1111.50000,725210
2025-03-25,1130.00000,1167.55005,1079.94995,1100.30005,362774
2025-03-26,1106.00000,1137.69995,1071.00000,1080.90002,143246
2025-03-27,1080.90002,1094.94995,1060.00000,1084.90002,104916
2025-03-28,1092.30005,1109.80005,1066.69995,1077.59998,110523
2025-04-01,1075.00000,1116.80005,1061.59998,1072.50000,76904
2025-04-02,1085.00000,1117.75000,1043.00000,1111.55005,86129
2025-04-03,1109.65002,1148.44995,1104.40002,1118.55005,107660
2025-04-04,1118.00000,1121.00000,1041.00000,1051.84998,118396
2025-04-07,885.00000,996.00000,881.00000,980.54999,157450
2025-04-08,1038.00000,1038.00000,1003.00000,1021.45001,71119
2025-04-09,1026.50000,1026.50000,971.50000,978.75000,121675
2025-04-11,1049.00000,1060.00000,1002.20001,1020.45001,74285
2025-04-15,1030.09998,1115.00000,1030.09998,1105.19995,119485
2025-04-16,1109.80005,1115.00000,1076.69995,1081.09998,77564
2025-04-17,1085.90002,1115.00000,1074.59998,1078.40002,77849
2025-04-21,1089.09998,1095.00000,1067.50000,1087.09998,63447
2025-04-22,1081.00000,1115.00000,1072.00000,1082.19995,72175
2025-04-23,1120.00000,1125.00000,1069.00000,1077.50000,158601
2025-04-24,1083.00000,1088.30005,1041.00000,1044.00000,109241
2025-04-25,1054.00000,1054.00000,985.00000,1004.40002,125012
2025-04-28,1002.00000,1014.79999,982.09998,990.90002,77303
2025-04-29,987.00000,1015.00000,975.90002,982.79999,98554
2025-04-30,995.00000,1002.29999,945.00000,949.29999,75229
2025-05-02,949.95001,970.00000,940.00000,945.79999,47617
2025-05-05,950.50000,979.00000,940.65002,974.79999,64638
2025-05-06,984.90002,988.00000,896.50000,909.09998,109839
2025-05-07,920.90002,920.90002,884.84998,910.04999,84868
2025-05-08,910.40002,934.00000,885.00000,891.50000,73560
2025-05-09,887.00000,907.90002,874.04999,902.84998,73056
2025-05-12,938.50000,1008.00000,932.90002,980.45001,187169
2025-05-13,993.00000,1040.25000,984.84998,1036.00000,118017
2025-05-14,1047.00000,1077.00000,1045.00000,1055.09998,117583
2025-05-15,1060.00000,1075.00000,1032.80005,1049.30005,63467
2025-05-16,1061.00000,1106.00000,1041.05005,1078.34998,202449
2025-05-19,1078.00000,1089.00000,1055.59998,1059.59998,78236
2025-05-20,1070.00000,1085.00000,1024.84998,1035.34998,76859
2025-05-21,1035.34998,1059.00000,1022.59998,1052.40002,55186
2025-05-22,1052.40002,1086.25000,1039.09998,1064.59998,137108
2025-05-23,1084.00000,1127.00000,1071.65002,1084.05005,325199
2025-05-26,942.00000,999.00000,942.00000,960.75000,527747
2025-05-27,960.75000,1016.90002,960.75000,996.34998,324631
2025-05-28,1003.00000,1012.95001,920.00000,926.00000,351175
2025-05-29,930.00000,949.20001,923.09998,937.20001,151529
2025-05-30,941.90002,947.04999,921.75000,929.45001,110929
2025-06-02,929.45001,943.54999,907.45001,910.45001,96952
2025-06-03,922.90002,950.45001,922.90002,937.45001,106971
2025-06-04,940.00000,952.00000,914.59998,925.04999,123746
2025-06-05,929.65002,941.25000,919.15002,929.59998,103555
2025-06-06,933.95001,939.25000,915.90002,933.15002,64213
2025-06-09,940.90002,946.25000,920.20001,925.70001,92180
2025-06-10,930.90002,937.95001,922.09998,934.00000,42976
2025-06-11,926.00000,954.00000,926.00000,948.09998,122406
2025-06-12,952.79999,967.34998,913.79999,924.50000,151731
2025-06-13,907.00000,934.00000,901.00000,914.04999,85072
2025-06-16,913.00000,932.15002,902.79999,919.34998,73534
2025-06-17,918.00000,932.15002,908.70001,911.09998,54002
2025-06-18,910.00000,917.95001,900.00000,903.70001,44202
2025-06-19,907.95001,911.90002,875.00000,882.54999,75657
2025-06-20,886.90002,906.00000,874.95001,885.79999,80690
2025-06-23,887.45001,954.90002,887.40002,931.15002,239989
2025-06-24,937.79999,948.00000,910.00000,912.34998,77174
2025-06-25,920.84998,934.04999,915.45001,927.95001,49394
2025-06-26,933.00000,937.95001,905.50000,907.84998,67862
2025-06-27,910.00000,929.15002,904.04999,907.04999,72028
2025-06-30,911.70001,942.00000,911.45001,921.95001,70351
2025-07-01,925.00000,926.95001,907.00000,908.84998,34856
2025-07-02,914.95001,914.95001,890.50000,892.15002,76345
2025-07-03,896.70001,917.54999,892.00000,909.95001,68516
2025-07-04,912.70001,913.20001,889.50000,896.95001,49087
2025-07-07,898.90002,906.90002,882.00000,883.84998,66224
2025-07-08,888.00000,899.04999,877.00000,878.09998,63827
2025-07-09,880.00000,889.00000,871.00000,874.00000,48600
2025-07-10,880.95001,891.00000,865.20001,867.70001,66838
2025-07-11,868.00000,879.79999,856.79999,858.00000,60857
2025-07-14,858.00000,868.70001,851.34998,866.09998,42009
2025-07-15,869.00000,878.45001,859.59998,865.79999,62182
2025-07-16,868.00000,877.79999,865.04999,871.75000,35266
2025-07-17,875.15002,877.00000,851.00000,854.29999,88712
2025-07-18,861.15002,864.95001,846.20001,852.09998,52551
2025-07-21,861.00000,861.00000,847.00000,851.25000,40287
2025-07-22,857.00000,867.54999,848.15002,850.79999,36907
2025-07-23,852.00000,859.00000,835.20001,842.50000,63696
2025-07-24,837.90002,845.40002,812.95001,825.54999,125946
2025-07-25,829.50000,834.75000,804.00000,814.75000,63130
2025-07-28,820.00000,825.25000,782.04999,791.45001,84747
2025-07-29,791.90002,800.00000,781.79999,789.20001,70413
2025-07-30,789.40002,846.95001,789.40002,834.65002,173520
2025-07-31,831.00000,843.50000,802.09998,824.84998,82648
2025-08-01,820.40002,852.04999,817.95001,822.79999,70171
2025-08-04,825.00000,877.00000,815.09998,869.04999,132059
2025-08-05,873.90002,894.00000,856.65002,877.15002,156239
2025-08-06,865.00000,877.45001,843.00000,846.95001,47982
2025-08-07,840.09998,871.09998,828.04999,855.09998,60670
2025-08-08,869.79999,964.70001,832.09998,900.70001,1181341
2025-08-11,900.54999,920.00000,881.90002,892.34998,192592
2025-08-12,907.95001,907.95001,869.79999,877.70001,95837
2025-08-13,879.00000,894.90002,849.59998,858.20001,84031
2025-08-14,867.00000,867.00000,840.00000,844.20001,35247
2025-08-18,863.90002,869.84998,840.09998,842.95001,57851
2025-08-19,840.00000,862.70001,840.00000,858.65002,45423
2025-08-20,853.09998,868.54999,852.00000,860.50000,41146
2025-08-21,860.00000,864.90002,843.09998,846.15002,37769
2025-08-22,853.00000,853.00000,823.00000,830.75000,71187
